CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00007;SP;9748,000;5727,000;4021,000;5077,000;1,000;0,020;0,102;0,017
SP00011;SP;7822,000;5249,000;2573,000;4769,000;1,000;0,021;0,102;0,019
SP00017;SP;6847,000;4140,000;2707,000;3704,000;2,000;0,054;0,203;0,048
SP00018;SP;5238,000;3256,000;1982,000;2906,000;1,000;0,034;0,102;0,031
SP00029;SP;17797,000;12599,000;5198,000;11769,000;1,000;0,008;0,102;0,008
SP00033;SP;7735,000;5271,000;2464,000;4792,000;1,000;0,021;0,102;0,019
SP00035;SP;5608,000;3859,000;1749,000;3432,000;1,000;0,029;0,102;0,026
SP00044;SP;7789,000;5743,000;2046,000;5331,000;1,000;0,019;0,102;0,017
SP00054;SP;5696,000;3753,000;1943,000;3197,000;1,000;0,031;0,102;0,027
SP00062;SP;4386,000;2971,000;1415,000;2589,000;1,000;0,039;0,102;0,034
SP00076;SP;7781,000;5170,000;2611,000;4521,000;1,000;0,022;0,102;0,019
SP00078;SP;6145,000;4471,000;1674,000;4014,000;1,000;0,025;0,102;0,022
SP00079;SP;6753,000;5126,000;1627,000;4484,000;1,000;0,022;0,102;0,020
SP00095;SP;7262,000;5378,000;1884,000;4657,000;2,000;0,043;0,203;0,037
SP00099;SP;4550,000;3344,000;1206,000;2841,000;1,000;0,035;0,102;0,030
SP00101;SP;8957,000;6780,000;2177,000;6001,000;1,000;0,017;0,102;0,015
SP00103;SP;2478,000;1733,000;745,000;1529,000;1,000;0,065;0,102;0,058
SP00129;SP;8021,000;5609,000;2412,000;5146,000;1,000;0,019;0,102;0,018
SP00219;SP;5453,000;3846,000;1607,000;3316,000;1,000;0,030;0,102;0,026
SP00228;SP;3772,000;2679,000;1093,000;2265,000;1,000;0,044;0,102;0,037
SP00234;SP;1126,000;832,000;294,000;718,000;1,000;0,139;0,102;0,120
SP00239;SP;5869,000;4516,000;1353,000;3700,000;1,000;0,027;0,102;0,022
SP00243;SP;3895,000;2713,000;1182,000;2275,000;1,000;0,044;0,102;0,037
