CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00002;SP;8476,000;5539,000;2937,000;5059,000;1,000;0,020;0,008;0,018
SP00003;SP;6223,000;3562,000;2661,000;3191,000;5,000;0,157;0,039;0,140
SP00004;SP;6071,000;4117,000;1954,000;3653,000;6,000;0,164;0,047;0,146
SP00005;SP;7574,000;4851,000;2723,000;4286,000;6,000;0,140;0,047;0,124
SP00006;SP;6187,000;4196,000;1991,000;3800,000;6,000;0,158;0,047;0,143
SP00007;SP;9748,000;5727,000;4021,000;5077,000;9,000;0,177;0,071;0,157
SP00008;SP;4250,000;2710,000;1540,000;2422,000;9,000;0,372;0,071;0,332
SP00009;SP;5809,000;3876,000;1933,000;3552,000;1,000;0,028;0,008;0,026
SP00010;SP;9269,000;6039,000;3230,000;5553,000;3,000;0,054;0,024;0,050
SP00011;SP;7822,000;5249,000;2573,000;4769,000;2,000;0,042;0,016;0,038
SP00012;SP;9441,000;6116,000;3325,000;5498,000;1,000;0,018;0,008;0,016
SP00014;SP;7153,000;4433,000;2720,000;3934,000;3,000;0,076;0,024;0,068
SP00015;SP;4890,000;3200,000;1690,000;2777,000;2,000;0,072;0,016;0,062
SP00016;SP;4976,000;3125,000;1851,000;2763,000;5,000;0,181;0,039;0,160
SP00017;SP;6847,000;4140,000;2707,000;3704,000;5,000;0,135;0,039;0,121
SP00018;SP;5238,000;3256,000;1982,000;2906,000;8,000;0,275;0,063;0,246
SP00019;SP;4798,000;3546,000;1252,000;3272,000;1,000;0,031;0,008;0,028
SP00020;SP;1562,000;1060,000;502,000;914,000;1,000;0,109;0,008;0,094
SP00021;SP;3914,000;2744,000;1170,000;2386,000;4,000;0,168;0,031;0,146
SP00022;SP;5474,000;3858,000;1616,000;3218,000;12,000;0,373;0,094;0,311
SP00023;SP;2029,000;1448,000;581,000;1264,000;1,000;0,079;0,008;0,069
SP00026;SP;1515,000;1057,000;458,000;941,000;1,000;0,106;0,008;0,095
SP00027;SP;3011,000;1933,000;1078,000;1784,000;1,000;0,056;0,008;0,052
SP00029;SP;17797,000;12599,000;5198,000;11769,000;3,000;0,025;0,024;0,024
SP00031;SP;6412,000;4268,000;2144,000;3816,000;2,000;0,052;0,016;0,047
SP00033;SP;7735,000;5271,000;2464,000;4792,000;1,000;0,021;0,008;0,019
SP00034;SP;5401,000;3246,000;2155,000;2941,000;5,000;0,170;0,039;0,154
SP00035;SP;5608,000;3859,000;1749,000;3432,000;2,000;0,058;0,016;0,052
SP00038;SP;8044,000;5650,000;2394,000;5177,000;3,000;0,058;0,024;0,053
SP00040;SP;7288,000;5434,000;1854,000;4999,000;1,000;0,020;0,008;0,018
SP00044;SP;7789,000;5743,000;2046,000;5331,000;2,000;0,038;0,016;0,035
SP00048;SP;5609,000;4361,000;1248,000;4021,000;2,000;0,050;0,016;0,046
SP00052;SP;5165,000;3133,000;2032,000;2746,000;4,000;0,146;0,031;0,128
SP00053;SP;6007,000;3594,000;2413,000;3140,000;2,000;0,064;0,016;0,056
SP00055;SP;8226,000;5391,000;2835,000;4660,000;9,000;0,193;0,071;0,167
SP00056;SP;5794,000;3640,000;2154,000;3156,000;5,000;0,158;0,039;0,137
SP00057;SP;4525,000;2909,000;1616,000;2485,000;2,000;0,080;0,016;0,069
SP00058;SP;5387,000;3548,000;1839,000;3095,000;3,000;0,097;0,024;0,085
SP00059;SP;6072,000;4040,000;2032,000;3525,000;6,000;0,170;0,047;0,149
SP00060;SP;6204,000;4150,000;2054,000;3582,000;5,000;0,140;0,039;0,120
SP00061;SP;5110,000;3413,000;1697,000;2995,000;5,000;0,167;0,039;0,146
SP00062;SP;4386,000;2971,000;1415,000;2589,000;2,000;0,077;0,016;0,067
SP00063;SP;2961,000;1817,000;1144,000;1572,000;5,000;0,318;0,039;0,275
SP00064;SP;6208,000;4037,000;2171,000;3511,000;10,000;0,285;0,079;0,248
SP00065;SP;3705,000;2327,000;1378,000;1980,000;14,000;0,707;0,110;0,602
SP00066;SP;2941,000;1926,000;1015,000;1623,000;2,000;0,123;0,016;0,104
SP00067;SP;1499,000;922,000;577,000;799,000;3,000;0,375;0,024;0,325
SP00070;SP;4221,000;2997,000;1224,000;2670,000;1,000;0,037;0,008;0,033
SP00071;SP;6547,000;4082,000;2465,000;3615,000;5,000;0,138;0,039;0,122
SP00072;SP;4862,000;3103,000;1759,000;2736,000;1,000;0,037;0,008;0,032
SP00073;SP;14871,000;9817,000;5054,000;8895,000;4,000;0,045;0,031;0,041
SP00075;SP;2374,000;1530,000;844,000;1347,000;2,000;0,148;0,016;0,131
SP00076;SP;7781,000;5170,000;2611,000;4521,000;5,000;0,111;0,039;0,097
SP00077;SP;5316,000;3714,000;1602,000;3239,000;5,000;0,154;0,039;0,135
SP00078;SP;6145,000;4471,000;1674,000;4014,000;3,000;0,075;0,024;0,067
SP00081;SP;4985,000;3194,000;1791,000;2755,000;4,000;0,145;0,031;0,125
SP00083;SP;12710,000;9298,000;3412,000;8373,000;3,000;0,036;0,024;0,032
SP00085;SP;7942,000;5522,000;2420,000;4861,000;6,000;0,123;0,047;0,109
SP00086;SP;5934,000;4153,000;1781,000;3692,000;3,000;0,081;0,024;0,072
SP00087;SP;7025,000;4901,000;2124,000;4319,000;3,000;0,069;0,024;0,061
SP00088;SP;8110,000;5666,000;2444,000;5056,000;5,000;0,099;0,039;0,088
SP00089;SP;6261,000;4229,000;2032,000;3816,000;1,000;0,026;0,008;0,024
SP00090;SP;5982,000;4272,000;1710,000;3906,000;4,000;0,102;0,031;0,094
SP00091;SP;6781,000;4661,000;2120,000;4098,000;1,000;0,024;0,008;0,021
SP00092;SP;8010,000;5674,000;2336,000;5030,000;3,000;0,060;0,024;0,053
