CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00196;SP;3423,000;2500,000;923,000;2236,000;1,000;0,045;0,405;0,040
SP00227;SP;5078,000;3646,000;1432,000;3077,000;1,000;0,032;0,405;0,027
SP00243;SP;3895,000;2713,000;1182,000;2275,000;1,000;0,044;0,405;0,037
SP00247;SP;3039,000;2356,000;683,000;1915,000;1,000;0,052;0,405;0,042
SP00248;SP;2993,000;2193,000;800,000;1833,000;1,000;0,055;0,405;0,046
SP00255;SP;6778,000;5044,000;1734,000;4293,000;1,000;0,023;0,405;0,020
SP00256;SP;4254,000;3283,000;971,000;2674,000;1,000;0,037;0,405;0,030
SP00260;SP;6967,000;4886,000;2081,000;4112,000;1,000;0,024;0,405;0,020
SP00266;SP;6960,000;5099,000;1861,000;4318,000;1,000;0,023;0,405;0,020
SP00272;SP;3513,000;2773,000;740,000;2324,000;1,000;0,043;0,405;0,036
SP00293;SP;2607,000;1718,000;889,000;1522,000;1,000;0,066;0,405;0,058
SP00322;SP;8258,000;5548,000;2710,000;4975,000;1,000;0,020;0,405;0,018
SP00323;SP;4008,000;2671,000;1337,000;2414,000;1,000;0,041;0,405;0,037
SP00392;SP;4859,000;3569,000;1290,000;3137,000;1,000;0,032;0,405;0,028
SP00393;SP;3958,000;2809,000;1149,000;2404,000;1,000;0,042;0,405;0,036
SP00401;SP;6075,000;4286,000;1789,000;3723,000;2,000;0,054;0,810;0,047
SP00408;SP;7217,000;5129,000;2088,000;4414,000;1,000;0,023;0,405;0,019
SP00429;SP;5111,000;3592,000;1519,000;3236,000;1,000;0,031;0,405;0,028
SP00747;SP;4941,000;3778,000;1163,000;3217,000;1,000;0,031;0,405;0,026
SP00848;SP;5251,000;3634,000;1617,000;3006,000;1,000;0,033;0,405;0,028
SP00849;SP;3277,000;2481,000;796,000;2090,000;1,000;0,048;0,405;0,040
SP00850;SP;5224,000;3817,000;1407,000;3220,000;2,000;0,062;0,810;0,052
SP00851;SP;5695,000;3897,000;1798,000;3271,000;3,000;0,092;1,215;0,077
SP00852;SP;1783,000;1336,000;447,000;1128,000;2,000;0,177;0,810;0,150
SP00853;SP;4081,000;3040,000;1041,000;2553,000;1,000;0,039;0,405;0,033
SP00854;SP;6049,000;4219,000;1830,000;3570,000;3,000;0,084;1,215;0,071
SP00856;SP;6062,000;4538,000;1524,000;3805,000;1,000;0,026;0,405;0,022
SP00858;SP;6096,000;4589,000;1507,000;3794,000;6,000;0,158;2,429;0,131
SP00862;SP;4149,000;3028,000;1121,000;2481,000;4,000;0,161;1,619;0,132
SP00863;SP;3714,000;2835,000;879,000;2384,000;3,000;0,126;1,215;0,106
SP00866;SP;2305,000;1801,000;504,000;1511,000;2,000;0,132;0,810;0,111
SP00868;SP;4537,000;3375,000;1162,000;2769,000;2,000;0,072;0,810;0,059
SP00872;SP;4150,000;2963,000;1187,000;2373,000;1,000;0,042;0,405;0,034
SP00878;SP;4052,000;3009,000;1043,000;2553,000;1,000;0,039;0,405;0,033
SP00880;SP;4156,000;3214,000;942,000;2672,000;2,000;0,075;0,810;0,062
SP00882;SP;1968,000;1497,000;471,000;1197,000;1,000;0,084;0,405;0,067
SP00901;SP;4411,000;3185,000;1226,000;2668,000;1,000;0,037;0,405;0,031
SP00915;SP;1861,000;1401,000;460,000;1187,000;1,000;0,084;0,405;0,071
SP01057;SP;6658,000;5029,000;1629,000;4330,000;1,000;0,023;0,405;0,020
SP01061;SP;4129,000;2950,000;1179,000;2515,000;1,000;0,040;0,405;0,034
SP01241;SP;6681,000;4962,000;1719,000;3929,000;1,000;0,025;0,405;0,020
SP01254;SP;7148,000;5309,000;1839,000;4294,000;1,000;0,023;0,405;0,019
SP01348;SP;3369,000;2354,000;1015,000;1888,000;1,000;0,053;0,405;0,042
SP01437;SP;5207,000;3881,000;1326,000;3148,000;1,000;0,032;0,405;0,026
SP01486;SP;6492,000;4955,000;1537,000;4168,000;1,000;0,024;0,405;0,020
SP01614;SP;5270,000;3880,000;1390,000;3345,000;2,000;0,060;0,810;0,052
SP01616;SP;5568,000;4270,000;1298,000;3582,000;3,000;0,084;1,215;0,070
SP01617;SP;6274,000;4569,000;1705,000;3806,000;3,000;0,079;1,215;0,066
SP01618;SP;8129,000;6088,000;2041,000;4942,000;1,000;0,020;0,405;0,016
SP01619;SP;6560,000;4738,000;1822,000;3972,000;2,000;0,050;0,810;0,042
SP01621;SP;5101,000;3838,000;1263,000;3203,000;11,000;0,343;4,453;0,287
SP01622;SP;4052,000;2947,000;1105,000;2495,000;1,000;0,040;0,405;0,034
SP01623;SP;3923,000;2803,000;1120,000;2393,000;2,000;0,084;0,810;0,071
SP01625;SP;5942,000;4747,000;1195,000;4037,000;101,000;2,502;40,891;2,128
SP01626;SP;2768,000;2232,000;536,000;1856,000;5,000;0,269;2,024;0,224
SP01627;SP;4603,000;3009,000;1594,000;2576,000;1,000;0,039;0,405;0,033
SP01629;SP;3617,000;2806,000;811,000;2389,000;2,000;0,084;0,810;0,071
SP01630;SP;1721,000;1304,000;417,000;1090,000;1,000;0,092;0,405;0,077
SP01632;SP;5894,000;4098,000;1796,000;3431,000;7,000;0,204;2,834;0,171
SP01635;SP;6200,000;4212,000;1988,000;3548,000;3,000;0,085;1,215;0,071
SP01636;SP;4041,000;3118,000;923,000;2633,000;6,000;0,228;2,429;0,192
SP01637;SP;1545,000;1206,000;339,000;1011,000;1,000;0,099;0,405;0,083
SP01638;SP;2663,000;1969,000;694,000;1626,000;9,000;0,554;3,644;0,457
SP01649;SP;3698,000;2822,000;876,000;2374,000;1,000;0,042;0,405;0,035
SP01654;SP;4908,000;3591,000;1317,000;3061,000;1,000;0,033;0,405;0,028
SP01656;SP;5925,000;4175,000;1750,000;3558,000;2,000;0,056;0,810;0,048
SP01658;SP;4665,000;3405,000;1260,000;2870,000;1,000;0,035;0,405;0,029
SP01662;SP;5362,000;3769,000;1593,000;3191,000;1,000;0,031;0,405;0,027
SP01673;SP;1979,000;1600,000;379,000;1367,000;1,000;0,073;0,405;0,062
SP01678;SP;6291,000;4642,000;1649,000;3951,000;1,000;0,025;0,405;0,022
SP01680;SP;5598,000;4355,000;1243,000;3657,000;1,000;0,027;0,405;0,023
SP01686;SP;7314,000;5422,000;1892,000;4542,000;1,000;0,022;0,405;0,018
SP01694;SP;6468,000;4848,000;1620,000;4112,000;2,000;0,049;0,810;0,041
SP01711;SP;2862,000;2103,000;759,000;1740,000;1,000;0,057;0,405;0,048
SP01719;SP;5072,000;3667,000;1405,000;3138,000;1,000;0,032;0,405;0,027
SP01778;SP;5530,000;4135,000;1395,000;3487,000;1,000;0,029;0,405;0,024
SP01804;SP;6591,000;4968,000;1623,000;4178,000;1,000;0,024;0,405;0,020
SP01893;SP;6981,000;4853,000;2128,000;4154,000;1,000;0,024;0,405;0,021
SP01894;SP;7264,000;5494,000;1770,000;4613,000;1,000;0,022;0,405;0,018
SP01895;SP;4468,000;3366,000;1102,000;2872,000;1,000;0,035;0,405;0,030
SP01900;SP;4988,000;3830,000;1158,000;3267,000;1,000;0,031;0,405;0,026
SP02028;SP;7224,000;4975,000;2249,000;4154,000;1,000;0,024;0,405;0,020
