CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00002;SP;8476,000;5539,000;2937,000;5059,000;1,000;0,020;0,045;0,018
SP00008;SP;4250,000;2710,000;1540,000;2422,000;1,000;0,041;0,045;0,037
SP00010;SP;9269,000;6039,000;3230,000;5553,000;2,000;0,036;0,090;0,033
SP00012;SP;9441,000;6116,000;3325,000;5498,000;5,000;0,091;0,226;0,082
SP00017;SP;6847,000;4140,000;2707,000;3704,000;2,000;0,054;0,090;0,048
SP00019;SP;4798,000;3546,000;1252,000;3272,000;2,000;0,061;0,090;0,056
SP00028;SP;8070,000;5175,000;2895,000;4726,000;2,000;0,042;0,090;0,039
SP00029;SP;17797,000;12599,000;5198,000;11769,000;5,000;0,042;0,226;0,040
SP00030;SP;2911,000;1924,000;987,000;1764,000;1,000;0,057;0,045;0,052
SP00031;SP;6412,000;4268,000;2144,000;3816,000;2,000;0,052;0,090;0,047
SP00032;SP;11991,000;8507,000;3484,000;8030,000;3,000;0,037;0,136;0,035
SP00033;SP;7735,000;5271,000;2464,000;4792,000;1,000;0,021;0,045;0,019
SP00034;SP;5401,000;3246,000;2155,000;2941,000;2,000;0,068;0,090;0,062
SP00036;SP;6716,000;4776,000;1940,000;4457,000;2,000;0,045;0,090;0,042
SP00037;SP;5446,000;3922,000;1524,000;3606,000;2,000;0,055;0,090;0,051
SP00039;SP;6391,000;4336,000;2055,000;3981,000;1,000;0,025;0,045;0,023
SP00040;SP;7288,000;5434,000;1854,000;4999,000;3,000;0,060;0,136;0,055
SP00042;SP;3797,000;2921,000;876,000;2677,000;1,000;0,037;0,045;0,034
SP00044;SP;7789,000;5743,000;2046,000;5331,000;1,000;0,019;0,045;0,017
SP00045;SP;3377,000;2532,000;845,000;2298,000;1,000;0,044;0,045;0,039
SP00046;SP;8211,000;6097,000;2114,000;5678,000;2,000;0,035;0,090;0,033
SP00047;SP;4672,000;3348,000;1324,000;3050,000;1,000;0,033;0,045;0,030
SP00048;SP;5609,000;4361,000;1248,000;4021,000;1,000;0,025;0,045;0,023
SP00049;SP;2731,000;2018,000;713,000;1902,000;1,000;0,053;0,045;0,050
SP00051;SP;9919,000;6324,000;3595,000;5895,000;2,000;0,034;0,090;0,032
SP00052;SP;5165,000;3133,000;2032,000;2746,000;1,000;0,036;0,045;0,032
SP00053;SP;6007,000;3594,000;2413,000;3140,000;1,000;0,032;0,045;0,028
SP00054;SP;5696,000;3753,000;1943,000;3197,000;3,000;0,094;0,136;0,080
SP00055;SP;8226,000;5391,000;2835,000;4660,000;5,000;0,107;0,226;0,093
SP00061;SP;5110,000;3413,000;1697,000;2995,000;1,000;0,033;0,045;0,029
SP00071;SP;6547,000;4082,000;2465,000;3615,000;1,000;0,028;0,045;0,024
SP00073;SP;14871,000;9817,000;5054,000;8895,000;3,000;0,034;0,136;0,031
SP00077;SP;5316,000;3714,000;1602,000;3239,000;1,000;0,031;0,045;0,027
SP00083;SP;12710,000;9298,000;3412,000;8373,000;1,000;0,012;0,045;0,011
SP00084;SP;8514,000;5960,000;2554,000;5282,000;3,000;0,057;0,136;0,050
SP00085;SP;7942,000;5522,000;2420,000;4861,000;1,000;0,021;0,045;0,018
SP00088;SP;8110,000;5666,000;2444,000;5056,000;2,000;0,040;0,090;0,035
SP00092;SP;8010,000;5674,000;2336,000;5030,000;1,000;0,020;0,045;0,018
SP00100;SP;4225,000;2928,000;1297,000;2539,000;2,000;0,079;0,090;0,068
SP00103;SP;2478,000;1733,000;745,000;1529,000;1,000;0,065;0,045;0,058
SP00112;SP;5370,000;3564,000;1806,000;3242,000;1,000;0,031;0,045;0,028
SP00114;SP;11524,000;7280,000;4244,000;6663,000;1,000;0,015;0,045;0,014
SP00120;SP;7492,000;5053,000;2439,000;4694,000;1,000;0,021;0,045;0,020
SP00132;SP;4938,000;3378,000;1560,000;3079,000;2,000;0,065;0,090;0,059
SP00134;SP;5615,000;3841,000;1774,000;3504,000;1,000;0,029;0,045;0,026
SP00136;SP;9241,000;6497,000;2744,000;5815,000;2,000;0,034;0,090;0,031
SP00143;SP;8101,000;5686,000;2415,000;5122,000;1,000;0,020;0,045;0,018
SP00148;SP;4985,000;3706,000;1279,000;3293,000;1,000;0,030;0,045;0,027
SP00155;SP;6109,000;4286,000;1823,000;3668,000;1,000;0,027;0,045;0,023
SP00167;SP;6528,000;4883,000;1645,000;3930,000;1,000;0,025;0,045;0,020
SP00174;SP;4271,000;3221,000;1050,000;2581,000;1,000;0,039;0,045;0,031
SP00178;SP;8552,000;6363,000;2189,000;5204,000;1,000;0,019;0,045;0,016
SP00202;SP;7973,000;5469,000;2504,000;5015,000;1,000;0,020;0,045;0,018
SP00206;SP;3004,000;2207,000;797,000;2000,000;1,000;0,050;0,045;0,045
SP00207;SP;4643,000;3544,000;1099,000;3043,000;1,000;0,033;0,045;0,028
SP00210;SP;2712,000;2153,000;559,000;1857,000;1,000;0,054;0,045;0,046
SP00268;SP;6330,000;4415,000;1915,000;3742,000;1,000;0,027;0,045;0,023
SP00282;SP;6521,000;4899,000;1622,000;4004,000;1,000;0,025;0,045;0,020
SP00294;SP;5157,000;3659,000;1498,000;3309,000;2,000;0,060;0,090;0,055
SP00295;SP;4636,000;3029,000;1607,000;2673,000;1,000;0,037;0,045;0,033
SP00298;SP;4475,000;3118,000;1357,000;2813,000;1,000;0,036;0,045;0,032
SP00299;SP;2182,000;1568,000;614,000;1389,000;1,000;0,072;0,045;0,064
SP00300;SP;5119,000;3795,000;1324,000;3340,000;1,000;0,030;0,045;0,026
SP00304;SP;3481,000;2524,000;957,000;2284,000;1,000;0,044;0,045;0,040
SP00309;SP;3845,000;2727,000;1118,000;2377,000;1,000;0,042;0,045;0,037
SP00310;SP;5928,000;4260,000;1668,000;3647,000;1,000;0,027;0,045;0,023
SP00311;SP;4745,000;3212,000;1533,000;2868,000;1,000;0,035;0,045;0,031
SP00314;SP;2699,000;1861,000;838,000;1628,000;1,000;0,061;0,045;0,054
SP00315;SP;5861,000;4276,000;1585,000;3850,000;1,000;0,026;0,045;0,023
SP00319;SP;2366,000;1775,000;591,000;1580,000;1,000;0,063;0,045;0,056
SP00322;SP;8258,000;5548,000;2710,000;4975,000;8,000;0,161;0,362;0,144
