CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00010;SP;9269,000;6039,000;3230,000;5553,000;1,000;0,018;0,131;0,017
SP00012;SP;9441,000;6116,000;3325,000;5498,000;1,000;0,018;0,131;0,016
SP00017;SP;6847,000;4140,000;2707,000;3704,000;1,000;0,027;0,131;0,024
SP00025;SP;3193,000;2227,000;966,000;2052,000;1,000;0,049;0,131;0,045
SP00029;SP;17797,000;12599,000;5198,000;11769,000;3,000;0,025;0,392;0,024
SP00032;SP;11991,000;8507,000;3484,000;8030,000;1,000;0,012;0,131;0,012
SP00037;SP;5446,000;3922,000;1524,000;3606,000;1,000;0,028;0,131;0,025
SP00040;SP;7288,000;5434,000;1854,000;4999,000;1,000;0,020;0,131;0,018
SP00042;SP;3797,000;2921,000;876,000;2677,000;1,000;0,037;0,131;0,034
SP00052;SP;5165,000;3133,000;2032,000;2746,000;1,000;0,036;0,131;0,032
SP00055;SP;8226,000;5391,000;2835,000;4660,000;1,000;0,021;0,131;0,019
SP00059;SP;6072,000;4040,000;2032,000;3525,000;1,000;0,028;0,131;0,025
SP00061;SP;5110,000;3413,000;1697,000;2995,000;1,000;0,033;0,131;0,029
SP00069;SP;2939,000;2032,000;907,000;1793,000;1,000;0,056;0,131;0,049
SP00071;SP;6547,000;4082,000;2465,000;3615,000;1,000;0,028;0,131;0,024
SP00073;SP;14871,000;9817,000;5054,000;8895,000;1,000;0,011;0,131;0,010
SP00077;SP;5316,000;3714,000;1602,000;3239,000;4,000;0,123;0,523;0,108
SP00078;SP;6145,000;4471,000;1674,000;4014,000;1,000;0,025;0,131;0,022
SP00079;SP;6753,000;5126,000;1627,000;4484,000;1,000;0,022;0,131;0,020
SP00083;SP;12710,000;9298,000;3412,000;8373,000;1,000;0,012;0,131;0,011
SP00084;SP;8514,000;5960,000;2554,000;5282,000;1,000;0,019;0,131;0,017
SP00085;SP;7942,000;5522,000;2420,000;4861,000;2,000;0,041;0,261;0,036
SP00087;SP;7025,000;4901,000;2124,000;4319,000;4,000;0,093;0,523;0,082
SP00092;SP;8010,000;5674,000;2336,000;5030,000;1,000;0,020;0,131;0,018
SP00093;SP;4638,000;3524,000;1114,000;3163,000;1,000;0,032;0,131;0,028
SP00094;SP;3713,000;2680,000;1033,000;2357,000;1,000;0,042;0,131;0,037
SP00095;SP;7262,000;5378,000;1884,000;4657,000;1,000;0,021;0,131;0,019
SP00099;SP;4550,000;3344,000;1206,000;2841,000;1,000;0,035;0,131;0,030
SP00100;SP;4225,000;2928,000;1297,000;2539,000;2,000;0,079;0,261;0,068
SP00102;SP;4710,000;2822,000;1888,000;2446,000;1,000;0,041;0,131;0,035
SP00103;SP;2478,000;1733,000;745,000;1529,000;1,000;0,065;0,131;0,058
SP00109;SP;3531,000;2268,000;1263,000;2068,000;1,000;0,048;0,131;0,044
SP00111;SP;5405,000;3713,000;1692,000;3463,000;1,000;0,029;0,131;0,027
