CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00002;SP;8476,000;5539,000;2937,000;5059,000;1,000;0,020;0,291;0,018
SP00003;SP;6223,000;3562,000;2661,000;3191,000;1,000;0,031;0,291;0,028
SP00005;SP;7574,000;4851,000;2723,000;4286,000;1,000;0,023;0,291;0,021
SP00007;SP;9748,000;5727,000;4021,000;5077,000;3,000;0,059;0,872;0,052
SP00010;SP;9269,000;6039,000;3230,000;5553,000;1,000;0,018;0,291;0,017
SP00012;SP;9441,000;6116,000;3325,000;5498,000;1,000;0,018;0,291;0,016
SP00016;SP;4976,000;3125,000;1851,000;2763,000;1,000;0,036;0,291;0,032
SP00021;SP;3914,000;2744,000;1170,000;2386,000;1,000;0,042;0,291;0,036
SP00024;SP;629,000;454,000;175,000;420,000;3,000;0,714;0,872;0,661
SP00030;SP;2911,000;1924,000;987,000;1764,000;1,000;0,057;0,291;0,052
SP00034;SP;5401,000;3246,000;2155,000;2941,000;3,000;0,102;0,872;0,092
SP00037;SP;5446,000;3922,000;1524,000;3606,000;1,000;0,028;0,291;0,025
SP00042;SP;3797,000;2921,000;876,000;2677,000;1,000;0,037;0,291;0,034
SP00053;SP;6007,000;3594,000;2413,000;3140,000;2,000;0,064;0,581;0,056
SP00054;SP;5696,000;3753,000;1943,000;3197,000;3,000;0,094;0,872;0,080
SP00055;SP;8226,000;5391,000;2835,000;4660,000;2,000;0,043;0,581;0,037
SP00056;SP;5794,000;3640,000;2154,000;3156,000;4,000;0,127;1,163;0,110
SP00057;SP;4525,000;2909,000;1616,000;2485,000;8,000;0,322;2,326;0,275
SP00058;SP;5387,000;3548,000;1839,000;3095,000;4,000;0,129;1,163;0,113
SP00059;SP;6072,000;4040,000;2032,000;3525,000;2,000;0,057;0,581;0,050
SP00060;SP;6204,000;4150,000;2054,000;3582,000;2,000;0,056;0,581;0,048
SP00061;SP;5110,000;3413,000;1697,000;2995,000;2,000;0,067;0,581;0,059
SP00063;SP;2961,000;1817,000;1144,000;1572,000;2,000;0,127;0,581;0,110
SP00064;SP;6208,000;4037,000;2171,000;3511,000;4,000;0,114;1,163;0,099
SP00065;SP;3705,000;2327,000;1378,000;1980,000;7,000;0,354;2,035;0,301
SP00067;SP;1499,000;922,000;577,000;799,000;1,000;0,125;0,291;0,108
SP00071;SP;6547,000;4082,000;2465,000;3615,000;1,000;0,028;0,291;0,024
SP00072;SP;4862,000;3103,000;1759,000;2736,000;1,000;0,037;0,291;0,032
SP00073;SP;14871,000;9817,000;5054,000;8895,000;1,000;0,011;0,291;0,010
SP00081;SP;4985,000;3194,000;1791,000;2755,000;1,000;0,036;0,291;0,031
SP00085;SP;7942,000;5522,000;2420,000;4861,000;1,000;0,021;0,291;0,018
SP00091;SP;6781,000;4661,000;2120,000;4098,000;1,000;0,024;0,291;0,021
SP00106;SP;4729,000;3001,000;1728,000;2772,000;1,000;0,036;0,291;0,033
SP00110;SP;4331,000;2860,000;1471,000;2625,000;1,000;0,038;0,291;0,035
SP00124;SP;5471,000;3750,000;1721,000;3417,000;1,000;0,029;0,291;0,027
SP00126;SP;3970,000;2788,000;1182,000;2578,000;2,000;0,078;0,581;0,072
SP00129;SP;8021,000;5609,000;2412,000;5146,000;1,000;0,019;0,291;0,018
SP00135;SP;10099,000;6853,000;3246,000;5983,000;2,000;0,033;0,581;0,029
SP00136;SP;9241,000;6497,000;2744,000;5815,000;1,000;0,017;0,291;0,015
SP00145;SP;4652,000;3551,000;1101,000;3217,000;2,000;0,062;0,581;0,056
SP00160;SP;7072,000;5254,000;1818,000;4369,000;1,000;0,023;0,291;0,019
SP00171;SP;6293,000;4730,000;1563,000;3938,000;1,000;0,025;0,291;0,021
SP00175;SP;4700,000;3395,000;1305,000;2728,000;1,000;0,037;0,291;0,029
SP00177;SP;6291,000;4620,000;1671,000;3718,000;1,000;0,027;0,291;0,022
SP00182;SP;780,000;558,000;222,000;444,000;2,000;0,450;0,581;0,358
SP00255;SP;6778,000;5044,000;1734,000;4293,000;1,000;0,023;0,291;0,020
SP00269;SP;4567,000;3317,000;1250,000;2813,000;1,000;0,036;0,291;0,030
SP00292;SP;3524,000;2286,000;1238,000;2056,000;1,000;0,049;0,291;0,044
SP00294;SP;5157,000;3659,000;1498,000;3309,000;1,000;0,030;0,291;0,027
SP00303;SP;3512,000;2379,000;1133,000;2163,000;1,000;0,046;0,291;0,042
SP00306;SP;5275,000;3647,000;1628,000;3252,000;1,000;0,031;0,291;0,027
SP00316;SP;8808,000;6530,000;2278,000;5921,000;1,000;0,017;0,291;0,015
SP00333;SP;2049,000;1351,000;698,000;1203,000;1,000;0,083;0,291;0,074
SP00343;SP;5204,000;3721,000;1483,000;3344,000;1,000;0,030;0,291;0,027
SP00344;SP;5849,000;4118,000;1731,000;3729,000;1,000;0,027;0,291;0,024
SP00356;SP;6871,000;5190,000;1681,000;4713,000;2,000;0,042;0,581;0,039
SP00362;SP;1767,000;1220,000;547,000;1081,000;1,000;0,093;0,291;0,082
SP00367;SP;3181,000;2043,000;1138,000;1835,000;1,000;0,054;0,291;0,049
SP00393;SP;3958,000;2809,000;1149,000;2404,000;1,000;0,042;0,291;0,036
SP00406;SP;3867,000;2759,000;1108,000;2325,000;2,000;0,086;0,581;0,072
SP00409;SP;5537,000;4146,000;1391,000;3428,000;1,000;0,029;0,291;0,024
SP00422;SP;10320,000;7595,000;2725,000;6744,000;2,000;0,030;0,581;0,026
SP00443;SP;5342,000;3920,000;1422,000;3502,000;1,000;0,029;0,291;0,026
SP00471;SP;3265,000;2247,000;1018,000;1966,000;1,000;0,051;0,291;0,045
SP00473;SP;5477,000;3996,000;1481,000;3538,000;1,000;0,028;0,291;0,025
SP00477;SP;2863,000;2003,000;860,000;1768,000;1,000;0,057;0,291;0,050
SP00503;SP;6619,000;4634,000;1985,000;4034,000;1,000;0,025;0,291;0,022
SP00511;SP;6942,000;4878,000;2064,000;4132,000;2,000;0,048;0,581;0,041
SP00512;SP;7389,000;5163,000;2226,000;4319,000;1,000;0,023;0,291;0,019
SP00525;SP;5945,000;4545,000;1400,000;3796,000;1,000;0,026;0,291;0,022
SP00532;SP;2674,000;1939,000;735,000;1655,000;1,000;0,060;0,291;0,052
SP00538;SP;5278,000;3612,000;1666,000;3064,000;1,000;0,033;0,291;0,028
SP00543;SP;8077,000;5459,000;2618,000;4653,000;1,000;0,021;0,291;0,018
SP00549;SP;5928,000;4010,000;1918,000;3526,000;2,000;0,057;0,581;0,050
SP00572;SP;5117,000;3692,000;1425,000;3011,000;2,000;0,066;0,581;0,054
SP00588;SP;5167,000;3521,000;1646,000;3105,000;2,000;0,064;0,581;0,057
SP00590;SP;7580,000;5281,000;2299,000;4546,000;1,000;0,022;0,291;0,019
SP00623;SP;5777,000;3983,000;1794,000;3670,000;1,000;0,027;0,291;0,025
SP00624;SP;6339,000;4326,000;2013,000;3981,000;2,000;0,050;0,581;0,046
SP00634;SP;6679,000;4545,000;2134,000;4143,000;1,000;0,024;0,291;0,022
SP00638;SP;6804,000;4640,000;2164,000;4208,000;1,000;0,024;0,291;0,022
SP00647;SP;7403,000;5083,000;2320,000;4634,000;2,000;0,043;0,581;0,039
SP00652;SP;4711,000;3356,000;1355,000;2915,000;2,000;0,069;0,581;0,060
SP00656;SP;7540,000;5423,000;2117,000;4936,000;1,000;0,020;0,291;0,018
SP00661;SP;3498,000;2295,000;1203,000;2021,000;2,000;0,099;0,581;0,087
SP00668;SP;5384,000;3806,000;1578,000;3465,000;1,000;0,029;0,291;0,026
SP00670;SP;5766,000;4219,000;1547,000;3799,000;1,000;0,026;0,291;0,024
SP00680;SP;11486,000;8694,000;2792,000;7821,000;2,000;0,026;0,581;0,023
SP00681;SP;5137,000;3903,000;1234,000;3542,000;2,000;0,056;0,581;0,051
