CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00016;SP;4976,000;3125,000;1851,000;2763,000;1,000;0,036;0,183;0,032
SP00022;SP;5474,000;3858,000;1616,000;3218,000;2,000;0,062;0,367;0,052
SP00069;SP;2939,000;2032,000;907,000;1793,000;1,000;0,056;0,183;0,049
SP00078;SP;6145,000;4471,000;1674,000;4014,000;1,000;0,025;0,183;0,022
SP00084;SP;8514,000;5960,000;2554,000;5282,000;1,000;0,019;0,183;0,017
SP00161;SP;7454,000;5453,000;2001,000;4461,000;1,000;0,022;0,183;0,018
SP00167;SP;6528,000;4883,000;1645,000;3930,000;1,000;0,025;0,183;0,020
SP00190;SP;9191,000;6215,000;2976,000;5565,000;1,000;0,018;0,183;0,016
SP00222;SP;5627,000;4034,000;1593,000;3525,000;1,000;0,028;0,183;0,025
SP00225;SP;4793,000;3416,000;1377,000;2882,000;1,000;0,035;0,183;0,029
SP00226;SP;6504,000;4681,000;1823,000;3905,000;1,000;0,026;0,183;0,021
SP00236;SP;4570,000;3488,000;1082,000;2996,000;1,000;0,033;0,183;0,029
SP00255;SP;6778,000;5044,000;1734,000;4293,000;1,000;0,023;0,183;0,020
SP00256;SP;4254,000;3283,000;971,000;2674,000;1,000;0,037;0,183;0,030
SP00257;SP;5556,000;4081,000;1475,000;3166,000;1,000;0,032;0,183;0,025
SP00266;SP;6960,000;5099,000;1861,000;4318,000;1,000;0,023;0,183;0,020
SP00267;SP;6197,000;4417,000;1780,000;3682,000;1,000;0,027;0,183;0,023
SP00269;SP;4567,000;3317,000;1250,000;2813,000;1,000;0,036;0,183;0,030
SP00274;SP;5083,000;4027,000;1056,000;3417,000;1,000;0,029;0,183;0,025
SP00285;SP;2333,000;1770,000;563,000;1490,000;1,000;0,067;0,183;0,056
SP00307;SP;3529,000;2356,000;1173,000;2055,000;1,000;0,049;0,183;0,042
SP00339;SP;3299,000;2272,000;1027,000;2075,000;1,000;0,048;0,183;0,044
SP00351;SP;883,000;686,000;197,000;584,000;1,000;0,171;0,183;0,146
SP00383;SP;3490,000;2283,000;1207,000;2113,000;1,000;0,047;0,183;0,044
