CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00055;SP;8226,000;5391,000;2835,000;4660,000;1,000;0,021;1,010;0,019
SP00064;SP;6208,000;4037,000;2171,000;3511,000;1,000;0,028;1,010;0,025
SP00305;SP;2904,000;1801,000;1103,000;1620,000;1,000;0,062;1,010;0,056
SP00512;SP;7389,000;5163,000;2226,000;4319,000;1,000;0,023;1,010;0,019
SP00676;SP;3751,000;2837,000;914,000;2529,000;1,000;0,040;1,010;0,035
SP00714;SP;3081,000;2248,000;833,000;1931,000;2,000;0,104;2,020;0,089
SP00717;SP;5351,000;4130,000;1221,000;3567,000;1,000;0,028;1,010;0,024
SP00940;SP;7378,000;5137,000;2241,000;4304,000;1,000;0,023;1,010;0,019
SP01053;SP;5114,000;3307,000;1807,000;2816,000;1,000;0,036;1,010;0,030
SP01073;SP;2744,000;2141,000;603,000;1865,000;1,000;0,054;1,010;0,047
SP01124;SP;6479,000;4476,000;2003,000;3780,000;1,000;0,026;1,010;0,022
SP01136;SP;6560,000;4999,000;1561,000;4267,000;1,000;0,023;1,010;0,020
SP01142;SP;5011,000;3854,000;1157,000;3252,000;1,000;0,031;1,010;0,026
SP01153;SP;12021,000;8675,000;3346,000;7258,000;2,000;0,028;2,020;0,023
SP01155;SP;4827,000;3705,000;1122,000;3096,000;1,000;0,032;1,010;0,027
SP01157;SP;6773,000;5060,000;1713,000;4280,000;1,000;0,023;1,010;0,020
SP01158;SP;6016,000;4357,000;1659,000;3658,000;4,000;0,109;4,040;0,092
SP01161;SP;2722,000;2141,000;581,000;1793,000;3,000;0,167;3,030;0,140
SP01361;SP;7818,000;5512,000;2306,000;4598,000;1,000;0,022;1,010;0,018
SP01371;SP;7808,000;5764,000;2044,000;4744,000;1,000;0,021;1,010;0,017
SP01436;SP;3934,000;2767,000;1167,000;2402,000;3,000;0,125;3,030;0,108
SP01437;SP;5207,000;3881,000;1326,000;3148,000;3,000;0,095;3,030;0,077
SP01440;SP;4739,000;3347,000;1392,000;2705,000;1,000;0,037;1,010;0,030
SP01442;SP;5335,000;4064,000;1271,000;3369,000;3,000;0,089;3,030;0,074
SP01445;SP;5567,000;4250,000;1317,000;3503,000;2,000;0,057;2,020;0,047
SP01452;SP;5785,000;4402,000;1383,000;3633,000;2,000;0,055;2,020;0,045
SP01453;SP;6778,000;5078,000;1700,000;4140,000;3,000;0,072;3,030;0,059
SP01457;SP;4727,000;3479,000;1248,000;2704,000;1,000;0,037;1,010;0,029
SP01465;SP;3773,000;2818,000;955,000;2190,000;2,000;0,091;2,020;0,071
SP01466;SP;5214,000;3923,000;1291,000;3163,000;1,000;0,032;1,010;0,025
SP01467;SP;3037,000;2270,000;767,000;1875,000;2,000;0,107;2,020;0,088
SP01469;SP;5075,000;3731,000;1344,000;2913,000;1,000;0,034;1,010;0,027
SP01725;SP;6477,000;4901,000;1576,000;4149,000;1,000;0,024;1,010;0,020
SP01770;SP;6174,000;4477,000;1697,000;3720,000;1,000;0,027;1,010;0,022
SP01772;SP;6424,000;4687,000;1737,000;3846,000;2,000;0,052;2,020;0,043
SP01866;SP;4946,000;3465,000;1481,000;3008,000;2,000;0,066;2,020;0,058
SP01887;SP;11149,000;7662,000;3487,000;6482,000;1,000;0,015;1,010;0,013
SP01968;SP;6332,000;4433,000;1899,000;3881,000;1,000;0,026;1,010;0,023
SP01986;SP;5859,000;4091,000;1768,000;3489,000;1,000;0,029;1,010;0,024
SP01988;SP;5876,000;4116,000;1760,000;3522,000;1,000;0,028;1,010;0,024
SP01989;SP;5992,000;4344,000;1648,000;3718,000;6,000;0,161;6,061;0,138
SP01990;SP;6386,000;4883,000;1503,000;4034,000;1,000;0,025;1,010;0,020
SP01991;SP;6762,000;5186,000;1576,000;4448,000;2,000;0,045;2,020;0,039
SP01995;SP;5916,000;4532,000;1384,000;3685,000;7,000;0,190;7,071;0,154
SP01996;SP;4065,000;3200,000;865,000;2650,000;4,000;0,151;4,040;0,125
SP01998;SP;6178,000;4568,000;1610,000;3831,000;5,000;0,131;5,051;0,109
SP01999;SP;6988,000;5415,000;1573,000;4564,000;1,000;0,022;1,010;0,018
SP02002;SP;3675,000;2757,000;918,000;2297,000;1,000;0,044;1,010;0,036
SP02014;SP;3660,000;2664,000;996,000;2271,000;5,000;0,220;5,051;0,188
SP02018;SP;4910,000;3391,000;1519,000;2745,000;3,000;0,109;3,030;0,088
SP02020;SP;5169,000;3750,000;1419,000;3142,000;1,000;0,032;1,010;0,027
SP02022;SP;2804,000;2154,000;650,000;1788,000;1,000;0,056;1,010;0,046
SP02047;SP;5031,000;3799,000;1232,000;3118,000;1,000;0,032;1,010;0,026
