CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00008;SP;4250,000;2710,000;1540,000;2422,000;1,000;0,041;1,087;0,037
SP00062;SP;4386,000;2971,000;1415,000;2589,000;1,000;0,039;1,087;0,034
SP00351;SP;883,000;686,000;197,000;584,000;1,000;0,171;1,087;0,146
SP00454;SP;6000,000;4085,000;1915,000;3524,000;3,000;0,085;3,261;0,073
SP00466;SP;6038,000;4389,000;1649,000;3812,000;2,000;0,052;2,174;0,046
SP00486;SP;4286,000;3178,000;1108,000;2833,000;1,000;0,035;1,087;0,031
SP00686;SP;9715,000;6586,000;3129,000;5733,000;1,000;0,017;1,087;0,015
SP00714;SP;3081,000;2248,000;833,000;1931,000;1,000;0,052;1,087;0,044
SP00806;SP;5119,000;3556,000;1563,000;3097,000;2,000;0,065;2,174;0,056
SP00807;SP;4221,000;2943,000;1278,000;2555,000;1,000;0,039;1,087;0,034
SP00821;SP;3156,000;2353,000;803,000;2019,000;1,000;0,050;1,087;0,042
SP00827;SP;7530,000;5704,000;1826,000;4991,000;1,000;0,020;1,087;0,018
SP00838;SP;4893,000;3681,000;1212,000;3136,000;2,000;0,064;2,174;0,054
SP00841;SP;6587,000;5004,000;1583,000;4195,000;8,000;0,191;8,696;0,160
SP00842;SP;6278,000;4306,000;1972,000;3669,000;5,000;0,136;5,435;0,116
SP00890;SP;6506,000;4670,000;1836,000;4087,000;1,000;0,024;1,087;0,021
SP00896;SP;3683,000;2558,000;1125,000;2191,000;1,000;0,046;1,087;0,039
SP00898;SP;4477,000;3114,000;1363,000;2686,000;1,000;0,037;1,087;0,032
SP00901;SP;4411,000;3185,000;1226,000;2668,000;2,000;0,075;2,174;0,063
SP00926;SP;5575,000;3935,000;1640,000;3387,000;1,000;0,030;1,087;0,025
SP00927;SP;4583,000;3288,000;1295,000;2862,000;1,000;0,035;1,087;0,030
SP01395;SP;5978,000;4264,000;1714,000;3711,000;1,000;0,027;1,087;0,023
SP01487;SP;5209,000;4004,000;1205,000;3388,000;2,000;0,059;2,174;0,050
SP01580;SP;12295,000;8363,000;3932,000;6990,000;1,000;0,014;1,087;0,012
SP01585;SP;5347,000;3952,000;1395,000;3209,000;1,000;0,031;1,087;0,025
SP01589;SP;5101,000;3963,000;1138,000;3337,000;2,000;0,060;2,174;0,050
SP01590;SP;2697,000;2047,000;650,000;1741,000;1,000;0,057;1,087;0,049
SP01591;SP;5257,000;4209,000;1048,000;3614,000;1,000;0,028;1,087;0,024
SP01593;SP;3907,000;3008,000;899,000;2558,000;2,000;0,078;2,174;0,066
SP01594;SP;3504,000;2794,000;710,000;2366,000;2,000;0,085;2,174;0,072
SP01597;SP;2735,000;2080,000;655,000;1731,000;1,000;0,058;1,087;0,048
SP01606;SP;3909,000;2776,000;1133,000;2270,000;1,000;0,044;1,087;0,036
SP01607;SP;1156,000;906,000;250,000;769,000;1,000;0,130;1,087;0,110
SP01608;SP;2455,000;1874,000;581,000;1552,000;1,000;0,064;1,087;0,053
SP01609;SP;4359,000;3104,000;1255,000;2531,000;1,000;0,040;1,087;0,032
SP01712;SP;3629,000;2848,000;781,000;2457,000;4,000;0,163;4,348;0,140
SP01713;SP;4285,000;3322,000;963,000;2877,000;4,000;0,139;4,348;0,120
SP01714;SP;3989,000;2965,000;1024,000;2432,000;7,000;0,288;7,609;0,236
SP01725;SP;6477,000;4901,000;1576,000;4149,000;3,000;0,072;3,261;0,061
SP01726;SP;4123,000;3080,000;1043,000;2542,000;3,000;0,118;3,261;0,097
SP01727;SP;4196,000;3134,000;1062,000;2630,000;1,000;0,038;1,087;0,032
SP01728;SP;3507,000;2774,000;733,000;2436,000;6,000;0,246;6,522;0,216
SP01732;SP;5337,000;4122,000;1215,000;3348,000;3,000;0,090;3,261;0,073
SP01735;SP;2431,000;1787,000;644,000;1502,000;1,000;0,067;1,087;0,056
SP01737;SP;4533,000;3032,000;1501,000;2598,000;1,000;0,038;1,087;0,033
SP01740;SP;5160,000;3900,000;1260,000;3207,000;3,000;0,094;3,261;0,077
