CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00005;SP;7574,000;4851,000;2723,000;4286,000;1,000;0,023;0,097;0,021
SP00006;SP;6187,000;4196,000;1991,000;3800,000;1,000;0,026;0,097;0,024
SP00007;SP;9748,000;5727,000;4021,000;5077,000;1,000;0,020;0,097;0,017
SP00012;SP;9441,000;6116,000;3325,000;5498,000;2,000;0,036;0,195;0,033
SP00014;SP;7153,000;4433,000;2720,000;3934,000;2,000;0,051;0,195;0,045
SP00018;SP;5238,000;3256,000;1982,000;2906,000;1,000;0,034;0,097;0,031
SP00026;SP;1515,000;1057,000;458,000;941,000;1,000;0,106;0,097;0,095
SP00046;SP;8211,000;6097,000;2114,000;5678,000;1,000;0,018;0,097;0,016
SP00052;SP;5165,000;3133,000;2032,000;2746,000;1,000;0,036;0,097;0,032
SP00053;SP;6007,000;3594,000;2413,000;3140,000;1,000;0,032;0,097;0,028
SP00055;SP;8226,000;5391,000;2835,000;4660,000;1,000;0,021;0,097;0,019
SP00056;SP;5794,000;3640,000;2154,000;3156,000;1,000;0,032;0,097;0,027
SP00058;SP;5387,000;3548,000;1839,000;3095,000;1,000;0,032;0,097;0,028
SP00059;SP;6072,000;4040,000;2032,000;3525,000;1,000;0,028;0,097;0,025
SP00060;SP;6204,000;4150,000;2054,000;3582,000;4,000;0,112;0,390;0,096
SP00061;SP;5110,000;3413,000;1697,000;2995,000;2,000;0,067;0,195;0,059
SP00062;SP;4386,000;2971,000;1415,000;2589,000;11,000;0,425;1,072;0,370
SP00069;SP;2939,000;2032,000;907,000;1793,000;1,000;0,056;0,097;0,049
SP00073;SP;14871,000;9817,000;5054,000;8895,000;2,000;0,022;0,195;0,020
SP00075;SP;2374,000;1530,000;844,000;1347,000;1,000;0,074;0,097;0,065
SP00076;SP;7781,000;5170,000;2611,000;4521,000;125,000;2,765;12,183;2,418
SP00077;SP;5316,000;3714,000;1602,000;3239,000;32,000;0,988;3,119;0,862
SP00078;SP;6145,000;4471,000;1674,000;4014,000;58,000;1,445;5,653;1,297
SP00079;SP;6753,000;5126,000;1627,000;4484,000;75,000;1,673;7,310;1,463
SP00081;SP;4985,000;3194,000;1791,000;2755,000;1,000;0,036;0,097;0,031
SP00082;SP;2042,000;1343,000;699,000;1191,000;1,000;0,084;0,097;0,074
SP00083;SP;12710,000;9298,000;3412,000;8373,000;4,000;0,048;0,390;0,043
SP00084;SP;8514,000;5960,000;2554,000;5282,000;1,000;0,019;0,097;0,017
SP00086;SP;5934,000;4153,000;1781,000;3692,000;5,000;0,135;0,487;0,120
