CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00004;SP;6071,000;4117,000;1954,000;3653,000;1,000;0,027;0,427;0,024
SP00007;SP;9748,000;5727,000;4021,000;5077,000;1,000;0,020;0,427;0,017
SP00022;SP;5474,000;3858,000;1616,000;3218,000;1,000;0,031;0,427;0,026
SP00043;SP;3049,000;2192,000;857,000;1985,000;1,000;0,050;0,427;0,046
SP00059;SP;6072,000;4040,000;2032,000;3525,000;1,000;0,028;0,427;0,025
SP00062;SP;4386,000;2971,000;1415,000;2589,000;2,000;0,077;0,855;0,067
SP00071;SP;6547,000;4082,000;2465,000;3615,000;1,000;0,028;0,427;0,024
SP00076;SP;7781,000;5170,000;2611,000;4521,000;1,000;0,022;0,427;0,019
SP00077;SP;5316,000;3714,000;1602,000;3239,000;1,000;0,031;0,427;0,027
SP00427;SP;4605,000;3414,000;1191,000;3042,000;1,000;0,033;0,427;0,029
SP00439;SP;3746,000;2751,000;995,000;2414,000;1,000;0,041;0,427;0,036
SP00454;SP;6000,000;4085,000;1915,000;3524,000;3,000;0,085;1,282;0,073
SP00455;SP;4145,000;2936,000;1209,000;2668,000;2,000;0,075;0,855;0,068
SP00456;SP;4320,000;3095,000;1225,000;2792,000;3,000;0,107;1,282;0,097
SP00458;SP;8529,000;5970,000;2559,000;5339,000;16,000;0,300;6,838;0,268
SP00460;SP;6386,000;4591,000;1795,000;4104,000;1,000;0,024;0,427;0,022
SP00461;SP;4042,000;2899,000;1143,000;2649,000;2,000;0,076;0,855;0,069
SP00464;SP;4296,000;3192,000;1104,000;2765,000;26,000;0,940;11,111;0,815
SP00465;SP;7597,000;5474,000;2123,000;4737,000;23,000;0,486;9,829;0,420
SP00466;SP;6038,000;4389,000;1649,000;3812,000;23,000;0,603;9,829;0,524
SP00467;SP;5303,000;3827,000;1476,000;3421,000;12,000;0,351;5,128;0,314
SP00468;SP;5330,000;3854,000;1476,000;3503,000;2,000;0,057;0,855;0,052
SP00480;SP;1874,000;1351,000;523,000;1236,000;1,000;0,081;0,427;0,074
SP00482;SP;6633,000;4865,000;1768,000;4345,000;2,000;0,046;0,855;0,041
SP00486;SP;4286,000;3178,000;1108,000;2833,000;31,000;1,094;13,248;0,975
