CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;1,000;0,016;0,526;0,015
SP00015;SP;4890,000;3200,000;1690,000;2777,000;1,000;0,036;0,526;0,031
SP00060;SP;6204,000;4150,000;2054,000;3582,000;1,000;0,028;0,526;0,024
SP00082;SP;2042,000;1343,000;699,000;1191,000;1,000;0,084;0,526;0,074
SP00135;SP;10099,000;6853,000;3246,000;5983,000;4,000;0,067;2,105;0,058
SP00136;SP;9241,000;6497,000;2744,000;5815,000;1,000;0,017;0,526;0,015
SP00137;SP;6956,000;4953,000;2003,000;4471,000;2,000;0,045;1,053;0,040
SP00138;SP;3114,000;2129,000;985,000;1891,000;2,000;0,106;1,053;0,094
SP00139;SP;7945,000;5514,000;2431,000;4905,000;4,000;0,082;2,105;0,073
SP00147;SP;7272,000;5483,000;1789,000;5016,000;2,000;0,040;1,053;0,036
SP00148;SP;4985,000;3706,000;1279,000;3293,000;1,000;0,030;0,526;0,027
SP00149;SP;3452,000;2590,000;862,000;2234,000;5,000;0,224;2,632;0,193
SP00305;SP;2904,000;1801,000;1103,000;1620,000;2,000;0,123;1,053;0,111
SP00577;SP;8415,000;5842,000;2573,000;5257,000;1,000;0,019;0,526;0,017
SP00603;SP;4959,000;3460,000;1499,000;2923,000;2,000;0,068;1,053;0,058
SP00604;SP;3537,000;2594,000;943,000;2222,000;2,000;0,090;1,053;0,077
SP00662;SP;4467,000;3192,000;1275,000;2948,000;1,000;0,034;0,526;0,031
SP00671;SP;7344,000;4961,000;2383,000;4380,000;1,000;0,023;0,526;0,020
SP00680;SP;11486,000;8694,000;2792,000;7821,000;1,000;0,013;0,526;0,012
SP00687;SP;5282,000;3669,000;1613,000;3211,000;1,000;0,031;0,526;0,027
SP00688;SP;4013,000;2804,000;1209,000;2484,000;1,000;0,040;0,526;0,036
SP00692;SP;8151,000;5848,000;2303,000;5192,000;3,000;0,058;1,579;0,051
SP00694;SP;8474,000;6228,000;2246,000;5583,000;2,000;0,036;1,053;0,032
SP00695;SP;5738,000;3934,000;1804,000;3443,000;3,000;0,087;1,579;0,076
SP00699;SP;2845,000;1980,000;865,000;1691,000;1,000;0,059;0,526;0,051
SP00703;SP;3713,000;2640,000;1073,000;2200,000;2,000;0,091;1,053;0,076
SP00706;SP;5478,000;3976,000;1502,000;3402,000;4,000;0,118;2,105;0,101
SP00707;SP;6988,000;4980,000;2008,000;4238,000;4,000;0,094;2,105;0,080
SP00708;SP;5710,000;3952,000;1758,000;3354,000;18,000;0,537;9,474;0,455
SP00709;SP;5869,000;4162,000;1707,000;3614,000;9,000;0,249;4,737;0,216
SP00710;SP;3923,000;2817,000;1106,000;2427,000;3,000;0,124;1,579;0,106
SP00711;SP;4783,000;3500,000;1283,000;3017,000;27,000;0,895;14,211;0,771
SP00715;SP;4628,000;3619,000;1009,000;3057,000;9,000;0,294;4,737;0,249
SP00717;SP;5351,000;4130,000;1221,000;3567,000;4,000;0,112;2,105;0,097
SP00719;SP;6130,000;4359,000;1771,000;3647,000;20,000;0,548;10,526;0,459
SP00720;SP;2043,000;1618,000;425,000;1422,000;1,000;0,070;0,526;0,062
SP00722;SP;3108,000;2416,000;692,000;2060,000;1,000;0,049;0,526;0,041
