CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00002;SP;8476,000;5539,000;2937,000;5059,000;4,000;0,079;0,265;0,072
SP00003;SP;6223,000;3562,000;2661,000;3191,000;1,000;0,031;0,066;0,028
SP00004;SP;6071,000;4117,000;1954,000;3653,000;1,000;0,027;0,066;0,024
SP00005;SP;7574,000;4851,000;2723,000;4286,000;4,000;0,093;0,265;0,082
SP00006;SP;6187,000;4196,000;1991,000;3800,000;1,000;0,026;0,066;0,024
SP00007;SP;9748,000;5727,000;4021,000;5077,000;1,000;0,020;0,066;0,017
SP00008;SP;4250,000;2710,000;1540,000;2422,000;1,000;0,041;0,066;0,037
SP00009;SP;5809,000;3876,000;1933,000;3552,000;2,000;0,056;0,132;0,052
SP00010;SP;9269,000;6039,000;3230,000;5553,000;2,000;0,036;0,132;0,033
SP00011;SP;7822,000;5249,000;2573,000;4769,000;2,000;0,042;0,132;0,038
SP00012;SP;9441,000;6116,000;3325,000;5498,000;2,000;0,036;0,132;0,033
SP00013;SP;4269,000;2958,000;1311,000;2742,000;1,000;0,036;0,066;0,034
SP00014;SP;7153,000;4433,000;2720,000;3934,000;2,000;0,051;0,132;0,045
SP00021;SP;3914,000;2744,000;1170,000;2386,000;1,000;0,042;0,066;0,036
SP00022;SP;5474,000;3858,000;1616,000;3218,000;2,000;0,062;0,132;0,052
SP00024;SP;629,000;454,000;175,000;420,000;1,000;0,238;0,066;0,220
SP00025;SP;3193,000;2227,000;966,000;2052,000;1,000;0,049;0,066;0,045
SP00028;SP;8070,000;5175,000;2895,000;4726,000;3,000;0,063;0,199;0,058
SP00029;SP;17797,000;12599,000;5198,000;11769,000;3,000;0,025;0,199;0,024
SP00030;SP;2911,000;1924,000;987,000;1764,000;1,000;0,057;0,066;0,052
SP00031;SP;6412,000;4268,000;2144,000;3816,000;1,000;0,026;0,066;0,023
SP00032;SP;11991,000;8507,000;3484,000;8030,000;1,000;0,012;0,066;0,012
SP00033;SP;7735,000;5271,000;2464,000;4792,000;1,000;0,021;0,066;0,019
SP00034;SP;5401,000;3246,000;2155,000;2941,000;1,000;0,034;0,066;0,031
SP00036;SP;6716,000;4776,000;1940,000;4457,000;6,000;0,135;0,397;0,126
SP00038;SP;8044,000;5650,000;2394,000;5177,000;2,000;0,039;0,132;0,035
SP00039;SP;6391,000;4336,000;2055,000;3981,000;1,000;0,025;0,066;0,023
SP00040;SP;7288,000;5434,000;1854,000;4999,000;1,000;0,020;0,066;0,018
SP00041;SP;4585,000;3191,000;1394,000;2950,000;1,000;0,034;0,066;0,031
SP00045;SP;3377,000;2532,000;845,000;2298,000;1,000;0,044;0,066;0,039
SP00046;SP;8211,000;6097,000;2114,000;5678,000;2,000;0,035;0,132;0,033
SP00048;SP;5609,000;4361,000;1248,000;4021,000;2,000;0,050;0,132;0,046
SP00051;SP;9919,000;6324,000;3595,000;5895,000;4,000;0,068;0,265;0,063
SP00052;SP;5165,000;3133,000;2032,000;2746,000;1,000;0,036;0,066;0,032
SP00053;SP;6007,000;3594,000;2413,000;3140,000;1,000;0,032;0,066;0,028
SP00056;SP;5794,000;3640,000;2154,000;3156,000;4,000;0,127;0,265;0,110
SP00057;SP;4525,000;2909,000;1616,000;2485,000;1,000;0,040;0,066;0,034
