CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00012;SP;9441,000;6116,000;3325,000;5498,000;1,000;0,018;0,287;0,016
SP00019;SP;4798,000;3546,000;1252,000;3272,000;1,000;0,031;0,287;0,028
SP00025;SP;3193,000;2227,000;966,000;2052,000;1,000;0,049;0,287;0,045
SP00035;SP;5608,000;3859,000;1749,000;3432,000;4,000;0,117;1,146;0,104
SP00042;SP;3797,000;2921,000;876,000;2677,000;1,000;0,037;0,287;0,034
SP00045;SP;3377,000;2532,000;845,000;2298,000;2,000;0,087;0,573;0,079
SP00047;SP;4672,000;3348,000;1324,000;3050,000;1,000;0,033;0,287;0,030
SP00048;SP;5609,000;4361,000;1248,000;4021,000;1,000;0,025;0,287;0,023
SP00076;SP;7781,000;5170,000;2611,000;4521,000;1,000;0,022;0,287;0,019
SP00100;SP;4225,000;2928,000;1297,000;2539,000;1,000;0,039;0,287;0,034
SP00124;SP;5471,000;3750,000;1721,000;3417,000;1,000;0,029;0,287;0,027
SP00132;SP;4938,000;3378,000;1560,000;3079,000;1,000;0,032;0,287;0,030
SP00159;SP;8207,000;5759,000;2448,000;4847,000;1,000;0,021;0,287;0,017
SP00194;SP;8615,000;6268,000;2347,000;5780,000;1,000;0,017;0,287;0,016
SP00238;SP;6012,000;4671,000;1341,000;3951,000;1,000;0,025;0,287;0,021
SP00251;SP;3854,000;2856,000;998,000;2435,000;1,000;0,041;0,287;0,035
SP00320;SP;4504,000;3135,000;1369,000;2784,000;3,000;0,108;0,860;0,096
SP00324;SP;4770,000;3319,000;1451,000;2949,000;4,000;0,136;1,146;0,121
SP00333;SP;2049,000;1351,000;698,000;1203,000;3,000;0,249;0,860;0,222
SP00334;SP;1713,000;1283,000;430,000;1116,000;1,000;0,090;0,287;0,078
SP00341;SP;3178,000;2297,000;881,000;2077,000;2,000;0,096;0,573;0,087
SP00342;SP;5123,000;3662,000;1461,000;3278,000;8,000;0,244;2,292;0,218
SP00345;SP;7886,000;5416,000;2470,000;4892,000;2,000;0,041;0,573;0,037
SP00346;SP;1595,000;1205,000;390,000;1113,000;1,000;0,090;0,287;0,083
SP00351;SP;883,000;686,000;197,000;584,000;1,000;0,171;0,287;0,146
SP00355;SP;1892,000;1470,000;422,000;1316,000;1,000;0,076;0,287;0,068
SP00446;SP;7010,000;5463,000;1547,000;4823,000;1,000;0,021;0,287;0,018
SP00500;SP;6586,000;4736,000;1850,000;4014,000;1,000;0,025;0,287;0,021
SP00501;SP;4776,000;3340,000;1436,000;2871,000;1,000;0,035;0,287;0,030
SP00507;SP;9953,000;7335,000;2618,000;6265,000;2,000;0,032;0,573;0,027
SP00519;SP;5846,000;4121,000;1725,000;3509,000;1,000;0,028;0,287;0,024
SP00536;SP;6329,000;4580,000;1749,000;3965,000;1,000;0,025;0,287;0,022
SP00543;SP;8077,000;5459,000;2618,000;4653,000;2,000;0,043;0,573;0,037
SP00575;SP;1945,000;1339,000;606,000;1078,000;1,000;0,093;0,287;0,075
SP00659;SP;4066,000;2843,000;1223,000;2587,000;1,000;0,039;0,287;0,035
SP00735;SP;5909,000;4419,000;1490,000;3878,000;1,000;0,026;0,287;0,023
SP00805;SP;6882,000;4879,000;2003,000;4246,000;1,000;0,024;0,287;0,020
SP00807;SP;4221,000;2943,000;1278,000;2555,000;1,000;0,039;0,287;0,034
SP00808;SP;5967,000;4362,000;1605,000;3844,000;8,000;0,208;2,292;0,183
SP00809;SP;4931,000;3684,000;1247,000;3295,000;7,000;0,212;2,006;0,190
SP00810;SP;4312,000;3025,000;1287,000;2622,000;1,000;0,038;0,287;0,033
SP00811;SP;4790,000;3322,000;1468,000;2896,000;13,000;0,449;3,725;0,391
SP00812;SP;6537,000;4507,000;2030,000;3857,000;21,000;0,544;6,017;0,466
SP00813;SP;5405,000;3715,000;1690,000;3298,000;23,000;0,697;6,590;0,619
SP00814;SP;3409,000;2340,000;1069,000;2047,000;5,000;0,244;1,433;0,214
SP00815;SP;4827,000;3371,000;1456,000;2943,000;9,000;0,306;2,579;0,267
SP00816;SP;4010,000;2677,000;1333,000;2281,000;3,000;0,132;0,860;0,112
SP00817;SP;5075,000;3549,000;1526,000;2989,000;6,000;0,201;1,719;0,169
SP00818;SP;4699,000;3648,000;1051,000;3126,000;1,000;0,032;0,287;0,027
SP00819;SP;1557,000;1232,000;325,000;1066,000;1,000;0,094;0,287;0,081
SP00820;SP;2998,000;2256,000;742,000;1983,000;5,000;0,252;1,433;0,222
SP00821;SP;3156,000;2353,000;803,000;2019,000;3,000;0,149;0,860;0,127
SP00823;SP;2754,000;2085,000;669,000;1805,000;2,000;0,111;0,573;0,096
SP00824;SP;5510,000;4207,000;1303,000;3616,000;17,000;0,470;4,871;0,404
SP00827;SP;7530,000;5704,000;1826,000;4991,000;7,000;0,140;2,006;0,123
SP00832;SP;4365,000;3114,000;1251,000;2744,000;2,000;0,073;0,573;0,064
SP00835;SP;4136,000;2891,000;1245,000;2501,000;1,000;0,040;0,287;0,035
SP00838;SP;4893,000;3681,000;1212,000;3136,000;1,000;0,032;0,287;0,027
SP00842;SP;6278,000;4306,000;1972,000;3669,000;2,000;0,055;0,573;0,046
SP00887;SP;2549,000;1778,000;771,000;1536,000;2,000;0,130;0,573;0,112
SP00889;SP;4118,000;2831,000;1287,000;2529,000;3,000;0,119;0,860;0,106
SP00890;SP;6506,000;4670,000;1836,000;4087,000;1,000;0,024;0,287;0,021
SP00891;SP;6195,000;4624,000;1571,000;4037,000;2,000;0,050;0,573;0,043
SP00894;SP;4335,000;3134,000;1201,000;2776,000;1,000;0,036;0,287;0,032
SP00897;SP;4232,000;3120,000;1112,000;2666,000;3,000;0,113;0,860;0,096
SP00900;SP;4799,000;3561,000;1238,000;2989,000;1,000;0,033;0,287;0,028
SP00901;SP;4411,000;3185,000;1226,000;2668,000;2,000;0,075;0,573;0,063
SP00904;SP;1355,000;1053,000;302,000;902,000;1,000;0,111;0,287;0,095
SP00905;SP;5577,000;4262,000;1315,000;3604,000;2,000;0,055;0,573;0,047
SP00907;SP;3598,000;2756,000;842,000;2283,000;1,000;0,044;0,287;0,036
SP00908;SP;2080,000;1573,000;507,000;1325,000;1,000;0,075;0,287;0,064
SP00913;SP;3776,000;2897,000;879,000;2382,000;4,000;0,168;1,146;0,138
SP00918;SP;1646,000;1272,000;374,000;1081,000;2,000;0,185;0,573;0,157
