CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00004;SP;6071,000;4117,000;1954,000;3653,000;2,000;0,055;0,048;0,049
SP00007;SP;9748,000;5727,000;4021,000;5077,000;1,000;0,020;0,024;0,017
SP00009;SP;5809,000;3876,000;1933,000;3552,000;1,000;0,028;0,024;0,026
SP00014;SP;7153,000;4433,000;2720,000;3934,000;2,000;0,051;0,048;0,045
SP00017;SP;6847,000;4140,000;2707,000;3704,000;1,000;0,027;0,024;0,024
SP00030;SP;2911,000;1924,000;987,000;1764,000;1,000;0,057;0,024;0,052
SP00031;SP;6412,000;4268,000;2144,000;3816,000;1,000;0,026;0,024;0,023
SP00035;SP;5608,000;3859,000;1749,000;3432,000;1,000;0,029;0,024;0,026
SP00037;SP;5446,000;3922,000;1524,000;3606,000;1,000;0,028;0,024;0,025
SP00054;SP;5696,000;3753,000;1943,000;3197,000;2,000;0,063;0,048;0,053
SP00059;SP;6072,000;4040,000;2032,000;3525,000;4,000;0,113;0,096;0,099
SP00060;SP;6204,000;4150,000;2054,000;3582,000;1,000;0,028;0,024;0,024
SP00061;SP;5110,000;3413,000;1697,000;2995,000;2,000;0,067;0,048;0,059
SP00063;SP;2961,000;1817,000;1144,000;1572,000;1,000;0,064;0,024;0,055
SP00064;SP;6208,000;4037,000;2171,000;3511,000;6,000;0,171;0,144;0,149
SP00065;SP;3705,000;2327,000;1378,000;1980,000;2,000;0,101;0,048;0,086
SP00066;SP;2941,000;1926,000;1015,000;1623,000;1,000;0,062;0,024;0,052
SP00067;SP;1499,000;922,000;577,000;799,000;1,000;0,125;0,024;0,108
SP00076;SP;7781,000;5170,000;2611,000;4521,000;1,000;0,022;0,024;0,019
SP00077;SP;5316,000;3714,000;1602,000;3239,000;2,000;0,062;0,048;0,054
SP00079;SP;6753,000;5126,000;1627,000;4484,000;1,000;0,022;0,024;0,020
SP00083;SP;12710,000;9298,000;3412,000;8373,000;7,000;0,084;0,168;0,075
SP00084;SP;8514,000;5960,000;2554,000;5282,000;3,000;0,057;0,072;0,050
SP00086;SP;5934,000;4153,000;1781,000;3692,000;2,000;0,054;0,048;0,048
SP00089;SP;6261,000;4229,000;2032,000;3816,000;1,000;0,026;0,024;0,024
SP00092;SP;8010,000;5674,000;2336,000;5030,000;1,000;0,020;0,024;0,018
SP00094;SP;3713,000;2680,000;1033,000;2357,000;1,000;0,042;0,024;0,037
SP00095;SP;7262,000;5378,000;1884,000;4657,000;2,000;0,043;0,048;0,037
SP00096;SP;3961,000;2845,000;1116,000;2437,000;5,000;0,205;0,120;0,176
SP00097;SP;4480,000;3320,000;1160,000;2831,000;1,000;0,035;0,024;0,030
SP00098;SP;5038,000;3701,000;1337,000;3156,000;7,000;0,222;0,168;0,189
SP00099;SP;4550,000;3344,000;1206,000;2841,000;2,000;0,070;0,048;0,060
SP00101;SP;8957,000;6780,000;2177,000;6001,000;1,000;0,017;0,024;0,015
SP00106;SP;4729,000;3001,000;1728,000;2772,000;1,000;0,036;0,024;0,033
SP00119;SP;8699,000;5629,000;3070,000;5241,000;1,000;0,019;0,024;0,018
SP00123;SP;2390,000;1759,000;631,000;1653,000;1,000;0,060;0,024;0,057
SP00136;SP;9241,000;6497,000;2744,000;5815,000;1,000;0,017;0,024;0,015
SP00137;SP;6956,000;4953,000;2003,000;4471,000;3,000;0,067;0,072;0,061
SP00139;SP;7945,000;5514,000;2431,000;4905,000;5,000;0,102;0,120;0,091
SP00141;SP;4594,000;3186,000;1408,000;2804,000;3,000;0,107;0,072;0,094
SP00142;SP;4541,000;2990,000;1551,000;2638,000;1,000;0,038;0,024;0,033
SP00143;SP;8101,000;5686,000;2415,000;5122,000;2,000;0,039;0,048;0,035
