CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00005;SP;7574,000;4851,000;2723,000;4286,000;1,000;0,023;0,302;0,021
SP00010;SP;9269,000;6039,000;3230,000;5553,000;1,000;0,018;0,302;0,017
SP00014;SP;7153,000;4433,000;2720,000;3934,000;1,000;0,025;0,302;0,023
SP00017;SP;6847,000;4140,000;2707,000;3704,000;1,000;0,027;0,302;0,024
SP00022;SP;5474,000;3858,000;1616,000;3218,000;1,000;0,031;0,302;0,026
SP00029;SP;17797,000;12599,000;5198,000;11769,000;1,000;0,008;0,302;0,008
SP00030;SP;2911,000;1924,000;987,000;1764,000;1,000;0,057;0,302;0,052
SP00048;SP;5609,000;4361,000;1248,000;4021,000;1,000;0,025;0,302;0,023
SP00053;SP;6007,000;3594,000;2413,000;3140,000;1,000;0,032;0,302;0,028
SP00061;SP;5110,000;3413,000;1697,000;2995,000;1,000;0,033;0,302;0,029
SP00071;SP;6547,000;4082,000;2465,000;3615,000;1,000;0,028;0,302;0,024
SP00076;SP;7781,000;5170,000;2611,000;4521,000;1,000;0,022;0,302;0,019
SP00077;SP;5316,000;3714,000;1602,000;3239,000;1,000;0,031;0,302;0,027
SP00083;SP;12710,000;9298,000;3412,000;8373,000;1,000;0,012;0,302;0,011
SP00102;SP;4710,000;2822,000;1888,000;2446,000;1,000;0,041;0,302;0,035
SP00106;SP;4729,000;3001,000;1728,000;2772,000;1,000;0,036;0,302;0,033
SP00114;SP;11524,000;7280,000;4244,000;6663,000;1,000;0,015;0,302;0,014
SP00116;SP;13458,000;8809,000;4649,000;8195,000;1,000;0,012;0,302;0,011
SP00128;SP;9830,000;6546,000;3284,000;5910,000;1,000;0,017;0,302;0,015
SP00135;SP;10099,000;6853,000;3246,000;5983,000;1,000;0,017;0,302;0,015
SP00146;SP;7336,000;5404,000;1932,000;4752,000;1,000;0,021;0,302;0,019
SP00151;SP;4988,000;3688,000;1300,000;3066,000;1,000;0,033;0,302;0,027
SP00159;SP;8207,000;5759,000;2448,000;4847,000;1,000;0,021;0,302;0,017
SP00160;SP;7072,000;5254,000;1818,000;4369,000;1,000;0,023;0,302;0,019
SP00161;SP;7454,000;5453,000;2001,000;4461,000;3,000;0,067;0,906;0,055
SP00162;SP;7705,000;5622,000;2083,000;4624,000;1,000;0,022;0,302;0,018
SP00167;SP;6528,000;4883,000;1645,000;3930,000;1,000;0,025;0,302;0,020
SP00168;SP;4204,000;3050,000;1154,000;2550,000;1,000;0,039;0,302;0,033
SP00171;SP;6293,000;4730,000;1563,000;3938,000;1,000;0,025;0,302;0,021
SP00172;SP;4627,000;3517,000;1110,000;2935,000;1,000;0,034;0,302;0,028
SP00173;SP;1568,000;1128,000;440,000;942,000;1,000;0,106;0,302;0,089
SP00174;SP;4271,000;3221,000;1050,000;2581,000;1,000;0,039;0,302;0,031
SP00176;SP;4725,000;3530,000;1195,000;2946,000;1,000;0,034;0,302;0,028
SP00185;SP;785,000;570,000;215,000;463,000;2,000;0,432;0,604;0,351
SP00188;SP;4302,000;3191,000;1111,000;2652,000;1,000;0,038;0,302;0,031
SP00203;SP;7005,000;4837,000;2168,000;4332,000;1,000;0,023;0,302;0,021
SP00212;SP;5586,000;4124,000;1462,000;3719,000;1,000;0,027;0,302;0,024
SP00215;SP;993,000;761,000;232,000;665,000;1,000;0,150;0,302;0,131
SP00219;SP;5453,000;3846,000;1607,000;3316,000;1,000;0,030;0,302;0,026
SP00221;SP;3925,000;2950,000;975,000;2531,000;1,000;0,040;0,302;0,034
SP00237;SP;4589,000;3414,000;1175,000;2908,000;1,000;0,034;0,302;0,029
SP00243;SP;3895,000;2713,000;1182,000;2275,000;1,000;0,044;0,302;0,037
SP00249;SP;3623,000;2627,000;996,000;2284,000;1,000;0,044;0,302;0,038
SP00250;SP;4023,000;3125,000;898,000;2566,000;1,000;0,039;0,302;0,032
SP00251;SP;3854,000;2856,000;998,000;2435,000;1,000;0,041;0,302;0,035
SP00273;SP;5615,000;4390,000;1225,000;3670,000;1,000;0,027;0,302;0,023
SP00279;SP;3855,000;2853,000;1002,000;2307,000;1,000;0,043;0,302;0,035
SP00283;SP;4282,000;3227,000;1055,000;2653,000;1,000;0,038;0,302;0,031
SP00292;SP;3524,000;2286,000;1238,000;2056,000;1,000;0,049;0,302;0,044
SP00305;SP;2904,000;1801,000;1103,000;1620,000;1,000;0,062;0,302;0,056
SP00320;SP;4504,000;3135,000;1369,000;2784,000;1,000;0,036;0,302;0,032
SP00322;SP;8258,000;5548,000;2710,000;4975,000;1,000;0,020;0,302;0,018
SP00392;SP;4859,000;3569,000;1290,000;3137,000;1,000;0,032;0,302;0,028
SP00397;SP;4072,000;2894,000;1178,000;2418,000;1,000;0,041;0,302;0,035
SP00406;SP;3867,000;2759,000;1108,000;2325,000;1,000;0,043;0,302;0,036
SP00423;SP;4513,000;3158,000;1355,000;2820,000;1,000;0,035;0,302;0,032
SP00449;SP;6333,000;4838,000;1495,000;4289,000;1,000;0,023;0,302;0,021
SP00464;SP;4296,000;3192,000;1104,000;2765,000;1,000;0,036;0,302;0,031
SP00465;SP;7597,000;5474,000;2123,000;4737,000;1,000;0,021;0,302;0,018
SP00469;SP;5448,000;3854,000;1594,000;3445,000;1,000;0,029;0,302;0,026
SP00501;SP;4776,000;3340,000;1436,000;2871,000;1,000;0,035;0,302;0,030
SP00517;SP;3694,000;2650,000;1044,000;2223,000;1,000;0,045;0,302;0,038
SP00523;SP;4290,000;3229,000;1061,000;2690,000;1,000;0,037;0,302;0,031
SP00526;SP;3210,000;2393,000;817,000;2007,000;1,000;0,050;0,302;0,042
SP00574;SP;4916,000;3364,000;1552,000;2734,000;1,000;0,037;0,302;0,030
SP00640;SP;6187,000;4214,000;1973,000;3845,000;1,000;0,026;0,302;0,024
SP00681;SP;5137,000;3903,000;1234,000;3542,000;2,000;0,056;0,604;0,051
SP00703;SP;3713,000;2640,000;1073,000;2200,000;1,000;0,045;0,302;0,038
