CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00014;SP;7153,000;4433,000;2720,000;3934,000;1,000;0,025;0,312;0,023
SP00020;SP;1562,000;1060,000;502,000;914,000;1,000;0,109;0,312;0,094
SP00030;SP;2911,000;1924,000;987,000;1764,000;1,000;0,057;0,312;0,052
SP00042;SP;3797,000;2921,000;876,000;2677,000;1,000;0,037;0,312;0,034
SP00051;SP;9919,000;6324,000;3595,000;5895,000;1,000;0,017;0,312;0,016
SP00053;SP;6007,000;3594,000;2413,000;3140,000;1,000;0,032;0,312;0,028
SP00069;SP;2939,000;2032,000;907,000;1793,000;1,000;0,056;0,312;0,049
SP00070;SP;4221,000;2997,000;1224,000;2670,000;1,000;0,037;0,312;0,033
SP00083;SP;12710,000;9298,000;3412,000;8373,000;2,000;0,024;0,623;0,022
SP00084;SP;8514,000;5960,000;2554,000;5282,000;2,000;0,038;0,623;0,034
SP00085;SP;7942,000;5522,000;2420,000;4861,000;3,000;0,062;0,935;0,054
SP00087;SP;7025,000;4901,000;2124,000;4319,000;1,000;0,023;0,312;0,020
SP00088;SP;8110,000;5666,000;2444,000;5056,000;3,000;0,059;0,935;0,053
SP00089;SP;6261,000;4229,000;2032,000;3816,000;2,000;0,052;0,623;0,047
SP00091;SP;6781,000;4661,000;2120,000;4098,000;2,000;0,049;0,623;0,043
SP00092;SP;8010,000;5674,000;2336,000;5030,000;5,000;0,099;1,558;0,088
SP00093;SP;4638,000;3524,000;1114,000;3163,000;1,000;0,032;0,312;0,028
SP00099;SP;4550,000;3344,000;1206,000;2841,000;3,000;0,106;0,935;0,090
SP00101;SP;8957,000;6780,000;2177,000;6001,000;4,000;0,067;1,246;0,059
SP00103;SP;2478,000;1733,000;745,000;1529,000;2,000;0,131;0,623;0,115
SP00108;SP;7706,000;4996,000;2710,000;4672,000;1,000;0,021;0,312;0,020
SP00114;SP;11524,000;7280,000;4244,000;6663,000;1,000;0,015;0,312;0,014
SP00115;SP;6789,000;4670,000;2119,000;4276,000;1,000;0,023;0,312;0,021
SP00117;SP;12258,000;8026,000;4232,000;7396,000;2,000;0,027;0,623;0,025
SP00119;SP;8699,000;5629,000;3070,000;5241,000;1,000;0,019;0,312;0,018
SP00124;SP;5471,000;3750,000;1721,000;3417,000;1,000;0,029;0,312;0,027
SP00125;SP;8768,000;6055,000;2713,000;5539,000;1,000;0,018;0,312;0,017
SP00126;SP;3970,000;2788,000;1182,000;2578,000;2,000;0,078;0,623;0,072
SP00132;SP;4938,000;3378,000;1560,000;3079,000;2,000;0,065;0,623;0,059
SP00141;SP;4594,000;3186,000;1408,000;2804,000;1,000;0,036;0,312;0,031
SP00143;SP;8101,000;5686,000;2415,000;5122,000;1,000;0,020;0,312;0,018
SP00155;SP;6109,000;4286,000;1823,000;3668,000;1,000;0,027;0,312;0,023
SP00178;SP;8552,000;6363,000;2189,000;5204,000;1,000;0,019;0,312;0,016
SP00191;SP;4893,000;3386,000;1507,000;3120,000;1,000;0,032;0,312;0,030
SP00193;SP;4453,000;3011,000;1442,000;2715,000;1,000;0,037;0,312;0,033
SP00194;SP;8615,000;6268,000;2347,000;5780,000;1,000;0,017;0,312;0,016
SP00198;SP;9846,000;7057,000;2789,000;6333,000;1,000;0,016;0,312;0,014
SP00209;SP;4117,000;3042,000;1075,000;2774,000;1,000;0,036;0,312;0,033
SP00225;SP;4793,000;3416,000;1377,000;2882,000;1,000;0,035;0,312;0,029
SP00231;SP;4477,000;3485,000;992,000;2989,000;1,000;0,033;0,312;0,029
SP00235;SP;6359,000;4733,000;1626,000;4005,000;3,000;0,075;0,935;0,063
SP00238;SP;6012,000;4671,000;1341,000;3951,000;1,000;0,025;0,312;0,021
SP00256;SP;4254,000;3283,000;971,000;2674,000;1,000;0,037;0,312;0,030
SP00260;SP;6967,000;4886,000;2081,000;4112,000;1,000;0,024;0,312;0,020
SP00281;SP;5656,000;4194,000;1462,000;3612,000;1,000;0,028;0,312;0,024
SP00285;SP;2333,000;1770,000;563,000;1490,000;1,000;0,067;0,312;0,056
SP00294;SP;5157,000;3659,000;1498,000;3309,000;2,000;0,060;0,623;0,055
SP00298;SP;4475,000;3118,000;1357,000;2813,000;1,000;0,036;0,312;0,032
SP00307;SP;3529,000;2356,000;1173,000;2055,000;1,000;0,049;0,312;0,042
SP00316;SP;8808,000;6530,000;2278,000;5921,000;1,000;0,017;0,312;0,015
