CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;1,000;0,016;0,154;0,015
SP00005;SP;7574,000;4851,000;2723,000;4286,000;1,000;0,023;0,154;0,021
SP00011;SP;7822,000;5249,000;2573,000;4769,000;1,000;0,021;0,154;0,019
SP00016;SP;4976,000;3125,000;1851,000;2763,000;1,000;0,036;0,154;0,032
SP00019;SP;4798,000;3546,000;1252,000;3272,000;1,000;0,031;0,154;0,028
SP00022;SP;5474,000;3858,000;1616,000;3218,000;1,000;0,031;0,154;0,026
SP00026;SP;1515,000;1057,000;458,000;941,000;1,000;0,106;0,154;0,095
SP00029;SP;17797,000;12599,000;5198,000;11769,000;1,000;0,008;0,154;0,008
SP00038;SP;8044,000;5650,000;2394,000;5177,000;1,000;0,019;0,154;0,018
SP00045;SP;3377,000;2532,000;845,000;2298,000;1,000;0,044;0,154;0,039
SP00053;SP;6007,000;3594,000;2413,000;3140,000;1,000;0,032;0,154;0,028
SP00059;SP;6072,000;4040,000;2032,000;3525,000;1,000;0,028;0,154;0,025
SP00060;SP;6204,000;4150,000;2054,000;3582,000;1,000;0,028;0,154;0,024
SP00061;SP;5110,000;3413,000;1697,000;2995,000;1,000;0,033;0,154;0,029
SP00073;SP;14871,000;9817,000;5054,000;8895,000;1,000;0,011;0,154;0,010
SP00083;SP;12710,000;9298,000;3412,000;8373,000;1,000;0,012;0,154;0,011
SP00089;SP;6261,000;4229,000;2032,000;3816,000;2,000;0,052;0,309;0,047
SP00093;SP;4638,000;3524,000;1114,000;3163,000;1,000;0,032;0,154;0,028
SP00095;SP;7262,000;5378,000;1884,000;4657,000;1,000;0,021;0,154;0,019
SP00097;SP;4480,000;3320,000;1160,000;2831,000;1,000;0,035;0,154;0,030
SP00100;SP;4225,000;2928,000;1297,000;2539,000;1,000;0,039;0,154;0,034
SP00106;SP;4729,000;3001,000;1728,000;2772,000;1,000;0,036;0,154;0,033
SP00116;SP;13458,000;8809,000;4649,000;8195,000;1,000;0,012;0,154;0,011
SP00118;SP;11540,000;7496,000;4044,000;6933,000;1,000;0,014;0,154;0,013
SP00127;SP;7300,000;5121,000;2179,000;4725,000;1,000;0,021;0,154;0,020
SP00129;SP;8021,000;5609,000;2412,000;5146,000;1,000;0,019;0,154;0,018
SP00135;SP;10099,000;6853,000;3246,000;5983,000;1,000;0,017;0,154;0,015
SP00136;SP;9241,000;6497,000;2744,000;5815,000;1,000;0,017;0,154;0,015
SP00137;SP;6956,000;4953,000;2003,000;4471,000;1,000;0,022;0,154;0,020
SP00140;SP;5793,000;3889,000;1904,000;3467,000;1,000;0,029;0,154;0,026
SP00143;SP;8101,000;5686,000;2415,000;5122,000;1,000;0,020;0,154;0,018
SP00155;SP;6109,000;4286,000;1823,000;3668,000;1,000;0,027;0,154;0,023
SP00190;SP;9191,000;6215,000;2976,000;5565,000;1,000;0,018;0,154;0,016
SP00203;SP;7005,000;4837,000;2168,000;4332,000;1,000;0,023;0,154;0,021
SP00222;SP;5627,000;4034,000;1593,000;3525,000;1,000;0,028;0,154;0,025
SP00249;SP;3623,000;2627,000;996,000;2284,000;1,000;0,044;0,154;0,038
SP00250;SP;4023,000;3125,000;898,000;2566,000;1,000;0,039;0,154;0,032
SP00255;SP;6778,000;5044,000;1734,000;4293,000;2,000;0,047;0,309;0,040
SP00260;SP;6967,000;4886,000;2081,000;4112,000;4,000;0,097;0,617;0,082
SP00261;SP;5727,000;3983,000;1744,000;3376,000;1,000;0,030;0,154;0,025
SP00262;SP;6791,000;4838,000;1953,000;4128,000;6,000;0,145;0,926;0,124
SP00263;SP;10873,000;8161,000;2712,000;7067,000;2,000;0,028;0,309;0,025
SP00264;SP;6606,000;4757,000;1849,000;3973,000;6,000;0,151;0,926;0,126
SP00266;SP;6960,000;5099,000;1861,000;4318,000;1,000;0,023;0,154;0,020
SP00267;SP;6197,000;4417,000;1780,000;3682,000;5,000;0,136;0,772;0,113
SP00268;SP;6330,000;4415,000;1915,000;3742,000;1,000;0,027;0,154;0,023
SP00272;SP;3513,000;2773,000;740,000;2324,000;5,000;0,215;0,772;0,180
SP00273;SP;5615,000;4390,000;1225,000;3670,000;1,000;0,027;0,154;0,023
SP00274;SP;5083,000;4027,000;1056,000;3417,000;9,000;0,263;1,389;0,223
SP00277;SP;4274,000;3219,000;1055,000;2691,000;1,000;0,037;0,154;0,031
SP00281;SP;5656,000;4194,000;1462,000;3612,000;1,000;0,028;0,154;0,024
SP00282;SP;6521,000;4899,000;1622,000;4004,000;5,000;0,125;0,772;0,102
SP00283;SP;4282,000;3227,000;1055,000;2653,000;1,000;0,038;0,154;0,031
SP00284;SP;4514,000;3367,000;1147,000;2775,000;2,000;0,072;0,309;0,059
SP00290;SP;2127,000;1639,000;488,000;1389,000;1,000;0,072;0,154;0,061
SP00311;SP;4745,000;3212,000;1533,000;2868,000;1,000;0,035;0,154;0,031
SP00338;SP;4592,000;3124,000;1468,000;2780,000;1,000;0,036;0,154;0,032
SP00356;SP;6871,000;5190,000;1681,000;4713,000;1,000;0,021;0,154;0,019
