CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00009;SP;5809,000;3876,000;1933,000;3552,000;1,000;0,028;0,279;0,026
SP00010;SP;9269,000;6039,000;3230,000;5553,000;3,000;0,054;0,836;0,050
SP00012;SP;9441,000;6116,000;3325,000;5498,000;4,000;0,073;1,114;0,065
SP00026;SP;1515,000;1057,000;458,000;941,000;1,000;0,106;0,279;0,095
SP00028;SP;8070,000;5175,000;2895,000;4726,000;1,000;0,021;0,279;0,019
SP00029;SP;17797,000;12599,000;5198,000;11769,000;1,000;0,008;0,279;0,008
SP00055;SP;8226,000;5391,000;2835,000;4660,000;1,000;0,021;0,279;0,019
SP00064;SP;6208,000;4037,000;2171,000;3511,000;1,000;0,028;0,279;0,025
SP00070;SP;4221,000;2997,000;1224,000;2670,000;1,000;0,037;0,279;0,033
SP00071;SP;6547,000;4082,000;2465,000;3615,000;1,000;0,028;0,279;0,024
SP00084;SP;8514,000;5960,000;2554,000;5282,000;1,000;0,019;0,279;0,017
SP00085;SP;7942,000;5522,000;2420,000;4861,000;1,000;0,021;0,279;0,018
SP00086;SP;5934,000;4153,000;1781,000;3692,000;3,000;0,081;0,836;0,072
SP00087;SP;7025,000;4901,000;2124,000;4319,000;2,000;0,046;0,557;0,041
SP00099;SP;4550,000;3344,000;1206,000;2841,000;2,000;0,070;0,557;0,060
SP00103;SP;2478,000;1733,000;745,000;1529,000;1,000;0,065;0,279;0,058
SP00112;SP;5370,000;3564,000;1806,000;3242,000;1,000;0,031;0,279;0,028
SP00115;SP;6789,000;4670,000;2119,000;4276,000;1,000;0,023;0,279;0,021
SP00116;SP;13458,000;8809,000;4649,000;8195,000;1,000;0,012;0,279;0,011
SP00126;SP;3970,000;2788,000;1182,000;2578,000;1,000;0,039;0,279;0,036
SP00134;SP;5615,000;3841,000;1774,000;3504,000;4,000;0,114;1,114;0,104
SP00136;SP;9241,000;6497,000;2744,000;5815,000;2,000;0,034;0,557;0,031
SP00137;SP;6956,000;4953,000;2003,000;4471,000;1,000;0,022;0,279;0,020
SP00140;SP;5793,000;3889,000;1904,000;3467,000;1,000;0,029;0,279;0,026
SP00147;SP;7272,000;5483,000;1789,000;5016,000;1,000;0,020;0,279;0,018
SP00149;SP;3452,000;2590,000;862,000;2234,000;1,000;0,045;0,279;0,039
SP00159;SP;8207,000;5759,000;2448,000;4847,000;1,000;0,021;0,279;0,017
SP00166;SP;3724,000;2789,000;935,000;2307,000;1,000;0,043;0,279;0,036
SP00199;SP;9351,000;6697,000;2654,000;6031,000;1,000;0,017;0,279;0,015
SP00224;SP;4682,000;3295,000;1387,000;2841,000;2,000;0,070;0,557;0,061
SP00229;SP;6362,000;4716,000;1646,000;4007,000;2,000;0,050;0,557;0,042
SP00257;SP;5556,000;4081,000;1475,000;3166,000;1,000;0,032;0,279;0,025
SP00259;SP;1803,000;1399,000;404,000;1139,000;1,000;0,088;0,279;0,071
SP00260;SP;6967,000;4886,000;2081,000;4112,000;2,000;0,049;0,557;0,041
SP00261;SP;5727,000;3983,000;1744,000;3376,000;1,000;0,030;0,279;0,025
SP00262;SP;6791,000;4838,000;1953,000;4128,000;3,000;0,073;0,836;0,062
SP00263;SP;10873,000;8161,000;2712,000;7067,000;3,000;0,042;0,836;0,037
SP00268;SP;6330,000;4415,000;1915,000;3742,000;2,000;0,053;0,557;0,045
SP00270;SP;6129,000;4512,000;1617,000;3803,000;1,000;0,026;0,279;0,022
SP00273;SP;5615,000;4390,000;1225,000;3670,000;1,000;0,027;0,279;0,023
SP00277;SP;4274,000;3219,000;1055,000;2691,000;1,000;0,037;0,279;0,031
SP00284;SP;4514,000;3367,000;1147,000;2775,000;1,000;0,036;0,279;0,030
SP00287;SP;1938,000;1490,000;448,000;1274,000;1,000;0,078;0,279;0,067
SP00288;SP;2503,000;1898,000;605,000;1542,000;1,000;0,065;0,279;0,053
SP00294;SP;5157,000;3659,000;1498,000;3309,000;2,000;0,060;0,557;0,055
SP00301;SP;3036,000;2157,000;879,000;1924,000;2,000;0,104;0,557;0,093
SP00306;SP;5275,000;3647,000;1628,000;3252,000;1,000;0,031;0,279;0,027
SP00311;SP;4745,000;3212,000;1533,000;2868,000;2,000;0,070;0,557;0,062
SP00348;SP;4643,000;3365,000;1278,000;3024,000;1,000;0,033;0,279;0,030
SP00370;SP;7693,000;5691,000;2002,000;5410,000;1,000;0,018;0,279;0,018
SP00371;SP;7513,000;5272,000;2241,000;4897,000;2,000;0,041;0,557;0,038
SP00374;SP;4011,000;2670,000;1341,000;2516,000;1,000;0,040;0,279;0,037
SP00390;SP;4307,000;3128,000;1179,000;2733,000;1,000;0,037;0,279;0,032
SP00402;SP;4338,000;3200,000;1138,000;2741,000;1,000;0,036;0,279;0,031
SP00422;SP;10320,000;7595,000;2725,000;6744,000;1,000;0,015;0,279;0,013
SP00426;SP;6948,000;4982,000;1966,000;4433,000;1,000;0,023;0,279;0,020
SP00435;SP;7037,000;5280,000;1757,000;4647,000;2,000;0,043;0,557;0,038
SP00444;SP;4038,000;3031,000;1007,000;2708,000;1,000;0,037;0,279;0,033
SP00446;SP;7010,000;5463,000;1547,000;4823,000;4,000;0,083;1,114;0,073
SP00472;SP;2507,000;1806,000;701,000;1593,000;1,000;0,063;0,279;0,055
SP00479;SP;2742,000;2051,000;691,000;1807,000;1,000;0,055;0,279;0,049
SP00511;SP;6942,000;4878,000;2064,000;4132,000;1,000;0,024;0,279;0,021
SP00519;SP;5846,000;4121,000;1725,000;3509,000;1,000;0,028;0,279;0,024
SP00522;SP;4695,000;3519,000;1176,000;2921,000;1,000;0,034;0,279;0,028
SP00553;SP;4676,000;3124,000;1552,000;2659,000;1,000;0,038;0,279;0,032
SP00625;SP;10784,000;7630,000;3154,000;7038,000;2,000;0,028;0,557;0,026
SP00627;SP;7090,000;4763,000;2327,000;4286,000;2,000;0,047;0,557;0,042
SP00632;SP;9851,000;7134,000;2717,000;6537,000;1,000;0,015;0,279;0,014
SP00635;SP;5917,000;4054,000;1863,000;3591,000;1,000;0,028;0,279;0,025
SP00666;SP;4794,000;3234,000;1560,000;2902,000;1,000;0,034;0,279;0,031
SP00681;SP;5137,000;3903,000;1234,000;3542,000;1,000;0,028;0,279;0,026
SP00707;SP;6988,000;4980,000;2008,000;4238,000;1,000;0,024;0,279;0,020
SP00709;SP;5869,000;4162,000;1707,000;3614,000;1,000;0,028;0,279;0,024
SP00710;SP;3923,000;2817,000;1106,000;2427,000;1,000;0,041;0,279;0,035
SP00716;SP;6085,000;4740,000;1345,000;4111,000;1,000;0,024;0,279;0,021
SP00727;SP;5267,000;3869,000;1398,000;3416,000;1,000;0,029;0,279;0,026
SP00742;SP;5088,000;4001,000;1087,000;3393,000;1,000;0,029;0,279;0,025
SP00771;SP;7436,000;5164,000;2272,000;4500,000;1,000;0,022;0,279;0,019
SP00775;SP;7449,000;5305,000;2144,000;4528,000;1,000;0,022;0,279;0,019
SP00789;SP;1625,000;1189,000;436,000;1067,000;3,000;0,281;0,836;0,252
SP00791;SP;1168,000;863,000;305,000;759,000;1,000;0,132;0,279;0,116
SP00814;SP;3409,000;2340,000;1069,000;2047,000;1,000;0,049;0,279;0,043
SP00925;SP;5327,000;3864,000;1463,000;3310,000;1,000;0,030;0,279;0,026
SP01014;SP;3487,000;2551,000;936,000;2157,000;1,000;0,046;0,279;0,039
SP01022;SP;7237,000;5347,000;1890,000;4505,000;1,000;0,022;0,279;0,019
SP01027;SP;3926,000;2963,000;963,000;2463,000;1,000;0,041;0,279;0,034
SP01052;SP;6139,000;4367,000;1772,000;3809,000;1,000;0,026;0,279;0,023
SP01083;SP;3114,000;2088,000;1026,000;1808,000;1,000;0,055;0,279;0,048
SP01179;SP;3692,000;2867,000;825,000;2431,000;1,000;0,041;0,279;0,035
SP01212;SP;7434,000;5663,000;1771,000;4627,000;2,000;0,043;0,557;0,035
SP01227;SP;4013,000;2907,000;1106,000;2421,000;1,000;0,041;0,279;0,034
SP01228;SP;4077,000;2878,000;1199,000;2288,000;1,000;0,044;0,279;0,035
SP01229;SP;5709,000;4410,000;1299,000;3576,000;5,000;0,140;1,393;0,113
SP01230;SP;2563,000;1804,000;759,000;1469,000;2,000;0,136;0,557;0,111
SP01231;SP;4357,000;2845,000;1512,000;2387,000;6,000;0,251;1,671;0,211
SP01232;SP;4544,000;3180,000;1364,000;2674,000;2,000;0,075;0,557;0,063
SP01233;SP;3348,000;2374,000;974,000;1949,000;4,000;0,205;1,114;0,168
SP01235;SP;7584,000;5463,000;2121,000;4460,000;4,000;0,090;1,114;0,073
SP01236;SP;4335,000;3024,000;1311,000;2493,000;2,000;0,080;0,557;0,066
SP01237;SP;5922,000;4157,000;1765,000;3352,000;2,000;0,060;0,557;0,048
SP01238;SP;4275,000;3201,000;1074,000;2644,000;1,000;0,038;0,279;0,031
SP01240;SP;2099,000;1609,000;490,000;1314,000;1,000;0,076;0,279;0,062
SP01243;SP;4912,000;3806,000;1106,000;3153,000;1,000;0,032;0,279;0,026
SP01244;SP;3449,000;2654,000;795,000;2184,000;1,000;0,046;0,279;0,038
SP01247;SP;4854,000;3719,000;1135,000;3036,000;1,000;0,033;0,279;0,027
SP01248;SP;6322,000;4741,000;1581,000;3875,000;1,000;0,026;0,279;0,021
SP01251;SP;5249,000;3752,000;1497,000;3003,000;3,000;0,100;0,836;0,080
SP01255;SP;5145,000;3807,000;1338,000;3011,000;1,000;0,033;0,279;0,026
SP01256;SP;6264,000;4532,000;1732,000;3688,000;9,000;0,244;2,507;0,199
SP01259;SP;1800,000;1367,000;433,000;1129,000;1,000;0,089;0,279;0,073
SP01261;SP;4017,000;2950,000;1067,000;2362,000;2,000;0,085;0,557;0,068
SP01264;SP;1742,000;1334,000;408,000;1046,000;2,000;0,191;0,557;0,150
SP01265;SP;2308,000;1638,000;670,000;1298,000;1,000;0,077;0,279;0,061
SP01304;SP;3849,000;2885,000;964,000;2389,000;1,000;0,042;0,279;0,035
SP01322;SP;6445,000;4994,000;1451,000;4166,000;1,000;0,024;0,279;0,020
SP01364;SP;3423,000;2550,000;873,000;2100,000;1,000;0,048;0,279;0,039
SP01375;SP;4586,000;3582,000;1004,000;2958,000;1,000;0,034;0,279;0,028
SP01378;SP;5134,000;3809,000;1325,000;3086,000;2,000;0,065;0,557;0,053
SP01421;SP;9984,000;7349,000;2635,000;6353,000;2,000;0,031;0,557;0,027
SP01467;SP;3037,000;2270,000;767,000;1875,000;1,000;0,053;0,279;0,044
SP01481;SP;2868,000;2080,000;788,000;1681,000;1,000;0,059;0,279;0,048
SP01581;SP;5066,000;3570,000;1496,000;3039,000;1,000;0,033;0,279;0,028
SP01630;SP;1721,000;1304,000;417,000;1090,000;1,000;0,092;0,279;0,077
SP01632;SP;5894,000;4098,000;1796,000;3431,000;1,000;0,029;0,279;0,024
SP01663;SP;4863,000;3380,000;1483,000;2815,000;1,000;0,036;0,279;0,030
SP01664;SP;4100,000;3227,000;873,000;2743,000;2,000;0,073;0,557;0,062
SP01665;SP;2933,000;2048,000;885,000;1706,000;1,000;0,059;0,279;0,049
SP01667;SP;1115,000;846,000;269,000;684,000;2,000;0,292;0,557;0,236
SP01675;SP;7296,000;5435,000;1861,000;4628,000;7,000;0,151;1,950;0,129
SP01676;SP;7202,000;5553,000;1649,000;4501,000;1,000;0,022;0,279;0,018
SP01679;SP;6584,000;5223,000;1361,000;4406,000;5,000;0,113;1,393;0,096
SP01680;SP;5598,000;4355,000;1243,000;3657,000;1,000;0,027;0,279;0,023
SP01681;SP;6345,000;4849,000;1496,000;4083,000;2,000;0,049;0,557;0,041
SP01683;SP;4635,000;3492,000;1143,000;2877,000;3,000;0,104;0,836;0,086
SP01684;SP;4928,000;3721,000;1207,000;3132,000;2,000;0,064;0,557;0,054
SP01685;SP;7787,000;5783,000;2004,000;4857,000;1,000;0,021;0,279;0,017
SP01687;SP;5072,000;3960,000;1112,000;3344,000;4,000;0,120;1,114;0,101
SP01688;SP;5851,000;4458,000;1393,000;3814,000;7,000;0,184;1,950;0,157
SP01689;SP;4779,000;3653,000;1126,000;2960,000;3,000;0,101;0,836;0,082
SP01694;SP;6468,000;4848,000;1620,000;4112,000;2,000;0,049;0,557;0,041
SP01697;SP;6299,000;4729,000;1570,000;4049,000;10,000;0,247;2,786;0,211
SP01698;SP;4270,000;3456,000;814,000;2903,000;1,000;0,034;0,279;0,029
SP01700;SP;3480,000;2776,000;704,000;2319,000;2,000;0,086;0,557;0,072
SP01703;SP;2290,000;1786,000;504,000;1471,000;3,000;0,204;0,836;0,168
SP01708;SP;4897,000;3752,000;1145,000;3009,000;1,000;0,033;0,279;0,027
SP01710;SP;4727,000;3480,000;1247,000;2859,000;2,000;0,070;0,557;0,057
SP01732;SP;5337,000;4122,000;1215,000;3348,000;4,000;0,119;1,114;0,097
SP01747;SP;2073,000;1508,000;565,000;1224,000;1,000;0,082;0,279;0,066
SP01769;SP;4801,000;3442,000;1359,000;2891,000;2,000;0,069;0,557;0,058
SP01772;SP;6424,000;4687,000;1737,000;3846,000;1,000;0,026;0,279;0,021
SP01774;SP;3149,000;2395,000;754,000;1983,000;3,000;0,151;0,836;0,125
SP01775;SP;5254,000;3935,000;1319,000;3270,000;2,000;0,061;0,557;0,051
SP01777;SP;4580,000;3464,000;1116,000;2911,000;1,000;0,034;0,279;0,029
SP01782;SP;1588,000;1131,000;457,000;923,000;3,000;0,325;0,836;0,265
SP01793;SP;3967,000;2708,000;1259,000;2244,000;1,000;0,045;0,279;0,037
SP01796;SP;5940,000;4145,000;1795,000;3466,000;12,000;0,346;3,343;0,290
SP01797;SP;6711,000;4719,000;1992,000;3984,000;1,000;0,025;0,279;0,021
SP01798;SP;7205,000;5180,000;2025,000;4415,000;2,000;0,045;0,557;0,039
SP01799;SP;7489,000;5627,000;1862,000;4802,000;3,000;0,062;0,836;0,053
SP01802;SP;4568,000;3396,000;1172,000;2879,000;5,000;0,174;1,393;0,147
SP01804;SP;6591,000;4968,000;1623,000;4178,000;37,000;0,886;10,306;0,745
SP01805;SP;5577,000;4145,000;1432,000;3471,000;1,000;0,029;0,279;0,024
SP01806;SP;4493,000;3478,000;1015,000;2937,000;1,000;0,034;0,279;0,029
SP01807;SP;4489,000;3336,000;1153,000;2767,000;2,000;0,072;0,557;0,060
SP01810;SP;2637,000;1906,000;731,000;1572,000;11,000;0,700;3,064;0,577
SP01811;SP;6412,000;4710,000;1702,000;3911,000;1,000;0,026;0,279;0,021
SP01814;SP;4705,000;3560,000;1145,000;2954,000;2,000;0,068;0,557;0,056
SP01816;SP;3092,000;2313,000;779,000;1986,000;2,000;0,101;0,557;0,086
SP01819;SP;6180,000;4697,000;1483,000;3886,000;1,000;0,026;0,279;0,021
SP01828;SP;8402,000;6116,000;2286,000;5090,000;1,000;0,020;0,279;0,016
