CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00011;SP;7822,000;5249,000;2573,000;4769,000;1,000;0,021;0,180;0,019
SP00012;SP;9441,000;6116,000;3325,000;5498,000;1,000;0,018;0,180;0,016
SP00018;SP;5238,000;3256,000;1982,000;2906,000;1,000;0,034;0,180;0,031
SP00022;SP;5474,000;3858,000;1616,000;3218,000;1,000;0,031;0,180;0,026
SP00038;SP;8044,000;5650,000;2394,000;5177,000;1,000;0,019;0,180;0,018
SP00054;SP;5696,000;3753,000;1943,000;3197,000;1,000;0,031;0,180;0,027
SP00116;SP;13458,000;8809,000;4649,000;8195,000;1,000;0,012;0,180;0,011
SP00119;SP;8699,000;5629,000;3070,000;5241,000;1,000;0,019;0,180;0,018
SP00162;SP;7705,000;5622,000;2083,000;4624,000;1,000;0,022;0,180;0,018
SP00165;SP;5151,000;3881,000;1270,000;3088,000;6,000;0,194;1,081;0,155
SP00170;SP;3660,000;2732,000;928,000;2322,000;1,000;0,043;0,180;0,037
SP00171;SP;6293,000;4730,000;1563,000;3938,000;1,000;0,025;0,180;0,021
SP00177;SP;6291,000;4620,000;1671,000;3718,000;1,000;0,027;0,180;0,022
SP00178;SP;8552,000;6363,000;2189,000;5204,000;1,000;0,019;0,180;0,016
SP00188;SP;4302,000;3191,000;1111,000;2652,000;1,000;0,038;0,180;0,031
SP00193;SP;4453,000;3011,000;1442,000;2715,000;1,000;0,037;0,180;0,033
SP00196;SP;3423,000;2500,000;923,000;2236,000;1,000;0,045;0,180;0,040
SP00200;SP;4987,000;3648,000;1339,000;3251,000;1,000;0,031;0,180;0,027
SP00207;SP;4643,000;3544,000;1099,000;3043,000;1,000;0,033;0,180;0,028
SP00211;SP;6388,000;4682,000;1706,000;4168,000;1,000;0,024;0,180;0,021
SP00218;SP;3583,000;2575,000;1008,000;2277,000;1,000;0,044;0,180;0,039
SP00220;SP;2119,000;1454,000;665,000;1292,000;2,000;0,155;0,360;0,138
SP00240;SP;3251,000;2449,000;802,000;2056,000;1,000;0,049;0,180;0,041
SP00262;SP;6791,000;4838,000;1953,000;4128,000;3,000;0,073;0,541;0,062
SP00263;SP;10873,000;8161,000;2712,000;7067,000;1,000;0,014;0,180;0,012
SP00353;SP;2983,000;2278,000;705,000;2068,000;1,000;0,048;0,180;0,044
