CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;4,000;0,066;1,044;0,060
SP00005;SP;7574,000;4851,000;2723,000;4286,000;1,000;0,023;0,261;0,021
SP00010;SP;9269,000;6039,000;3230,000;5553,000;1,000;0,018;0,261;0,017
SP00011;SP;7822,000;5249,000;2573,000;4769,000;2,000;0,042;0,522;0,038
SP00012;SP;9441,000;6116,000;3325,000;5498,000;1,000;0,018;0,261;0,016
SP00015;SP;4890,000;3200,000;1690,000;2777,000;1,000;0,036;0,261;0,031
SP00018;SP;5238,000;3256,000;1982,000;2906,000;1,000;0,034;0,261;0,031
SP00019;SP;4798,000;3546,000;1252,000;3272,000;4,000;0,122;1,044;0,113
SP00029;SP;17797,000;12599,000;5198,000;11769,000;4,000;0,034;1,044;0,032
SP00030;SP;2911,000;1924,000;987,000;1764,000;3,000;0,170;0,783;0,156
SP00032;SP;11991,000;8507,000;3484,000;8030,000;2,000;0,025;0,522;0,024
SP00033;SP;7735,000;5271,000;2464,000;4792,000;1,000;0,021;0,261;0,019
SP00035;SP;5608,000;3859,000;1749,000;3432,000;1,000;0,029;0,261;0,026
SP00036;SP;6716,000;4776,000;1940,000;4457,000;1,000;0,022;0,261;0,021
SP00037;SP;5446,000;3922,000;1524,000;3606,000;2,000;0,055;0,522;0,051
SP00038;SP;8044,000;5650,000;2394,000;5177,000;1,000;0,019;0,261;0,018
SP00039;SP;6391,000;4336,000;2055,000;3981,000;1,000;0,025;0,261;0,023
SP00044;SP;7789,000;5743,000;2046,000;5331,000;2,000;0,038;0,522;0,035
SP00045;SP;3377,000;2532,000;845,000;2298,000;1,000;0,044;0,261;0,039
SP00046;SP;8211,000;6097,000;2114,000;5678,000;1,000;0,018;0,261;0,016
SP00059;SP;6072,000;4040,000;2032,000;3525,000;1,000;0,028;0,261;0,025
SP00062;SP;4386,000;2971,000;1415,000;2589,000;1,000;0,039;0,261;0,034
SP00066;SP;2941,000;1926,000;1015,000;1623,000;1,000;0,062;0,261;0,052
SP00071;SP;6547,000;4082,000;2465,000;3615,000;1,000;0,028;0,261;0,024
SP00074;SP;4599,000;3060,000;1539,000;2770,000;2,000;0,072;0,522;0,065
SP00087;SP;7025,000;4901,000;2124,000;4319,000;3,000;0,069;0,783;0,061
SP00088;SP;8110,000;5666,000;2444,000;5056,000;1,000;0,020;0,261;0,018
SP00100;SP;4225,000;2928,000;1297,000;2539,000;2,000;0,079;0,522;0,068
SP00102;SP;4710,000;2822,000;1888,000;2446,000;1,000;0,041;0,261;0,035
SP00103;SP;2478,000;1733,000;745,000;1529,000;1,000;0,065;0,261;0,058
SP00105;SP;3570,000;2330,000;1240,000;2184,000;1,000;0,046;0,261;0,043
SP00110;SP;4331,000;2860,000;1471,000;2625,000;2,000;0,076;0,522;0,070
SP00111;SP;5405,000;3713,000;1692,000;3463,000;1,000;0,029;0,261;0,027
SP00113;SP;4368,000;2914,000;1454,000;2731,000;3,000;0,110;0,783;0,103
SP00116;SP;13458,000;8809,000;4649,000;8195,000;3,000;0,037;0,783;0,034
SP00117;SP;12258,000;8026,000;4232,000;7396,000;1,000;0,014;0,261;0,012
SP00118;SP;11540,000;7496,000;4044,000;6933,000;2,000;0,029;0,522;0,027
SP00119;SP;8699,000;5629,000;3070,000;5241,000;2,000;0,038;0,522;0,036
SP00120;SP;7492,000;5053,000;2439,000;4694,000;2,000;0,043;0,522;0,040
SP00124;SP;5471,000;3750,000;1721,000;3417,000;2,000;0,059;0,522;0,053
SP00125;SP;8768,000;6055,000;2713,000;5539,000;1,000;0,018;0,261;0,017
SP00126;SP;3970,000;2788,000;1182,000;2578,000;2,000;0,078;0,522;0,072
SP00128;SP;9830,000;6546,000;3284,000;5910,000;3,000;0,051;0,783;0,046
SP00129;SP;8021,000;5609,000;2412,000;5146,000;2,000;0,039;0,522;0,036
SP00130;SP;7718,000;5325,000;2393,000;4865,000;2,000;0,041;0,522;0,038
SP00132;SP;4938,000;3378,000;1560,000;3079,000;4,000;0,130;1,044;0,118
SP00134;SP;5615,000;3841,000;1774,000;3504,000;1,000;0,029;0,261;0,026
SP00135;SP;10099,000;6853,000;3246,000;5983,000;1,000;0,017;0,261;0,015
SP00136;SP;9241,000;6497,000;2744,000;5815,000;4,000;0,069;1,044;0,062
SP00137;SP;6956,000;4953,000;2003,000;4471,000;3,000;0,067;0,783;0,061
SP00139;SP;7945,000;5514,000;2431,000;4905,000;2,000;0,041;0,522;0,036
SP00140;SP;5793,000;3889,000;1904,000;3467,000;6,000;0,173;1,567;0,154
SP00142;SP;4541,000;2990,000;1551,000;2638,000;2,000;0,076;0,522;0,067
SP00143;SP;8101,000;5686,000;2415,000;5122,000;8,000;0,156;2,089;0,141
SP00144;SP;5788,000;3963,000;1825,000;3611,000;1,000;0,028;0,261;0,025
SP00145;SP;4652,000;3551,000;1101,000;3217,000;1,000;0,031;0,261;0,028
SP00146;SP;7336,000;5404,000;1932,000;4752,000;1,000;0,021;0,261;0,019
SP00147;SP;7272,000;5483,000;1789,000;5016,000;1,000;0,020;0,261;0,018
SP00148;SP;4985,000;3706,000;1279,000;3293,000;1,000;0,030;0,261;0,027
SP00150;SP;2320,000;1742,000;578,000;1615,000;3,000;0,186;0,783;0,172
SP00188;SP;4302,000;3191,000;1111,000;2652,000;1,000;0,038;0,261;0,031
SP00189;SP;5717,000;3833,000;1884,000;3381,000;1,000;0,030;0,261;0,026
SP00190;SP;9191,000;6215,000;2976,000;5565,000;1,000;0,018;0,261;0,016
SP00191;SP;4893,000;3386,000;1507,000;3120,000;1,000;0,032;0,261;0,030
SP00197;SP;4829,000;3340,000;1489,000;3099,000;3,000;0,097;0,783;0,090
SP00200;SP;4987,000;3648,000;1339,000;3251,000;1,000;0,031;0,261;0,027
SP00202;SP;7973,000;5469,000;2504,000;5015,000;1,000;0,020;0,261;0,018
SP00206;SP;3004,000;2207,000;797,000;2000,000;1,000;0,050;0,261;0,045
SP00210;SP;2712,000;2153,000;559,000;1857,000;1,000;0,054;0,261;0,046
SP00212;SP;5586,000;4124,000;1462,000;3719,000;2,000;0,054;0,522;0,048
SP00213;SP;4732,000;3454,000;1278,000;3107,000;1,000;0,032;0,261;0,029
SP00229;SP;6362,000;4716,000;1646,000;4007,000;2,000;0,050;0,522;0,042
SP00249;SP;3623,000;2627,000;996,000;2284,000;1,000;0,044;0,261;0,038
SP00255;SP;6778,000;5044,000;1734,000;4293,000;1,000;0,023;0,261;0,020
SP00298;SP;4475,000;3118,000;1357,000;2813,000;1,000;0,036;0,261;0,032
SP00301;SP;3036,000;2157,000;879,000;1924,000;1,000;0,052;0,261;0,046
SP00302;SP;5488,000;4163,000;1325,000;3804,000;1,000;0,026;0,261;0,024
SP00306;SP;5275,000;3647,000;1628,000;3252,000;1,000;0,031;0,261;0,027
SP00311;SP;4745,000;3212,000;1533,000;2868,000;1,000;0,035;0,261;0,031
SP00312;SP;3428,000;2474,000;954,000;2235,000;1,000;0,045;0,261;0,040
SP00315;SP;5861,000;4276,000;1585,000;3850,000;1,000;0,026;0,261;0,023
SP00316;SP;8808,000;6530,000;2278,000;5921,000;2,000;0,034;0,522;0,031
SP00321;SP;4314,000;3059,000;1255,000;2771,000;3,000;0,108;0,783;0,098
SP00330;SP;4062,000;2873,000;1189,000;2547,000;1,000;0,039;0,261;0,035
SP00349;SP;3642,000;2779,000;863,000;2310,000;1,000;0,043;0,261;0,036
SP00356;SP;6871,000;5190,000;1681,000;4713,000;1,000;0,021;0,261;0,019
SP00368;SP;4441,000;3045,000;1396,000;2778,000;2,000;0,072;0,522;0,066
SP00370;SP;7693,000;5691,000;2002,000;5410,000;2,000;0,037;0,522;0,035
SP00373;SP;5182,000;3550,000;1632,000;3328,000;1,000;0,030;0,261;0,028
SP00378;SP;3829,000;2734,000;1095,000;2571,000;5,000;0,194;1,305;0,183
SP00379;SP;4356,000;2992,000;1364,000;2717,000;1,000;0,037;0,261;0,033
SP00380;SP;4357,000;2944,000;1413,000;2747,000;1,000;0,036;0,261;0,034
