CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;1,000;0,016;0,213;0,015
SP00006;SP;6187,000;4196,000;1991,000;3800,000;1,000;0,026;0,213;0,024
SP00007;SP;9748,000;5727,000;4021,000;5077,000;1,000;0,020;0,213;0,017
SP00009;SP;5809,000;3876,000;1933,000;3552,000;3,000;0,084;0,640;0,077
SP00010;SP;9269,000;6039,000;3230,000;5553,000;2,000;0,036;0,426;0,033
SP00013;SP;4269,000;2958,000;1311,000;2742,000;2,000;0,073;0,426;0,068
SP00025;SP;3193,000;2227,000;966,000;2052,000;1,000;0,049;0,213;0,045
SP00028;SP;8070,000;5175,000;2895,000;4726,000;1,000;0,021;0,213;0,019
SP00029;SP;17797,000;12599,000;5198,000;11769,000;5,000;0,042;1,066;0,040
SP00030;SP;2911,000;1924,000;987,000;1764,000;2,000;0,113;0,426;0,104
SP00031;SP;6412,000;4268,000;2144,000;3816,000;1,000;0,026;0,213;0,023
SP00032;SP;11991,000;8507,000;3484,000;8030,000;12,000;0,149;2,559;0,141
SP00033;SP;7735,000;5271,000;2464,000;4792,000;7,000;0,146;1,493;0,133
SP00034;SP;5401,000;3246,000;2155,000;2941,000;5,000;0,170;1,066;0,154
SP00035;SP;5608,000;3859,000;1749,000;3432,000;2,000;0,058;0,426;0,052
SP00036;SP;6716,000;4776,000;1940,000;4457,000;2,000;0,045;0,426;0,042
SP00038;SP;8044,000;5650,000;2394,000;5177,000;2,000;0,039;0,426;0,035
SP00039;SP;6391,000;4336,000;2055,000;3981,000;2,000;0,050;0,426;0,046
SP00040;SP;7288,000;5434,000;1854,000;4999,000;2,000;0,040;0,426;0,037
SP00042;SP;3797,000;2921,000;876,000;2677,000;6,000;0,224;1,279;0,205
SP00043;SP;3049,000;2192,000;857,000;1985,000;2,000;0,101;0,426;0,091
SP00044;SP;7789,000;5743,000;2046,000;5331,000;13,000;0,244;2,772;0,226
SP00046;SP;8211,000;6097,000;2114,000;5678,000;4,000;0,070;0,853;0,066
SP00047;SP;4672,000;3348,000;1324,000;3050,000;2,000;0,066;0,426;0,060
SP00049;SP;2731,000;2018,000;713,000;1902,000;17,000;0,894;3,625;0,842
SP00050;SP;1956,000;1443,000;513,000;1344,000;1,000;0,074;0,213;0,069
SP00051;SP;9919,000;6324,000;3595,000;5895,000;8,000;0,136;1,706;0,127
SP00052;SP;5165,000;3133,000;2032,000;2746,000;2,000;0,073;0,426;0,064
SP00053;SP;6007,000;3594,000;2413,000;3140,000;2,000;0,064;0,426;0,056
SP00054;SP;5696,000;3753,000;1943,000;3197,000;3,000;0,094;0,640;0,080
SP00055;SP;8226,000;5391,000;2835,000;4660,000;2,000;0,043;0,426;0,037
SP00057;SP;4525,000;2909,000;1616,000;2485,000;2,000;0,080;0,426;0,069
SP00058;SP;5387,000;3548,000;1839,000;3095,000;1,000;0,032;0,213;0,028
SP00064;SP;6208,000;4037,000;2171,000;3511,000;1,000;0,028;0,213;0,025
