CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00011;SP;7822,000;5249,000;2573,000;4769,000;1,000;0,021;0,203;0,019
SP00033;SP;7735,000;5271,000;2464,000;4792,000;1,000;0,021;0,203;0,019
SP00034;SP;5401,000;3246,000;2155,000;2941,000;1,000;0,034;0,203;0,031
SP00035;SP;5608,000;3859,000;1749,000;3432,000;1,000;0,029;0,203;0,026
SP00056;SP;5794,000;3640,000;2154,000;3156,000;1,000;0,032;0,203;0,027
SP00058;SP;5387,000;3548,000;1839,000;3095,000;1,000;0,032;0,203;0,028
SP00062;SP;4386,000;2971,000;1415,000;2589,000;1,000;0,039;0,203;0,034
SP00064;SP;6208,000;4037,000;2171,000;3511,000;1,000;0,028;0,203;0,025
SP00073;SP;14871,000;9817,000;5054,000;8895,000;1,000;0,011;0,203;0,010
SP00081;SP;4985,000;3194,000;1791,000;2755,000;1,000;0,036;0,203;0,031
SP00102;SP;4710,000;2822,000;1888,000;2446,000;1,000;0,041;0,203;0,035
SP00146;SP;7336,000;5404,000;1932,000;4752,000;1,000;0,021;0,203;0,019
SP00161;SP;7454,000;5453,000;2001,000;4461,000;1,000;0,022;0,203;0,018
SP00162;SP;7705,000;5622,000;2083,000;4624,000;2,000;0,043;0,406;0,036
SP00166;SP;3724,000;2789,000;935,000;2307,000;4,000;0,173;0,811;0,143
SP00171;SP;6293,000;4730,000;1563,000;3938,000;1,000;0,025;0,203;0,021
SP00172;SP;4627,000;3517,000;1110,000;2935,000;1,000;0,034;0,203;0,028
SP00175;SP;4700,000;3395,000;1305,000;2728,000;3,000;0,110;0,609;0,088
SP00253;SP;6617,000;5105,000;1512,000;4218,000;1,000;0,024;0,203;0,020
SP00260;SP;6967,000;4886,000;2081,000;4112,000;1,000;0,024;0,203;0,020
SP00322;SP;8258,000;5548,000;2710,000;4975,000;3,000;0,060;0,609;0,054
SP00323;SP;4008,000;2671,000;1337,000;2414,000;3,000;0,124;0,609;0,112
SP00324;SP;4770,000;3319,000;1451,000;2949,000;1,000;0,034;0,203;0,030
SP00327;SP;1859,000;1362,000;497,000;1164,000;1,000;0,086;0,203;0,073
SP00328;SP;3718,000;2674,000;1044,000;2278,000;9,000;0,395;1,826;0,337
SP00329;SP;3347,000;2208,000;1139,000;1860,000;1,000;0,054;0,203;0,045
SP00335;SP;4066,000;2940,000;1126,000;2443,000;2,000;0,082;0,406;0,068
SP00339;SP;3299,000;2272,000;1027,000;2075,000;1,000;0,048;0,203;0,044
SP00351;SP;883,000;686,000;197,000;584,000;1,000;0,171;0,203;0,146
SP00370;SP;7693,000;5691,000;2002,000;5410,000;1,000;0,018;0,203;0,018
SP00371;SP;7513,000;5272,000;2241,000;4897,000;1,000;0,020;0,203;0,019
SP00372;SP;5891,000;3989,000;1902,000;3708,000;1,000;0,027;0,203;0,025
SP00377;SP;4059,000;2893,000;1166,000;2693,000;1,000;0,037;0,203;0,035
SP00381;SP;4728,000;3340,000;1388,000;3119,000;1,000;0,032;0,203;0,030
SP00393;SP;3958,000;2809,000;1149,000;2404,000;1,000;0,042;0,203;0,036
SP00425;SP;6519,000;4845,000;1674,000;4356,000;1,000;0,023;0,203;0,021
SP00440;SP;4147,000;2940,000;1207,000;2548,000;1,000;0,039;0,203;0,034
SP00500;SP;6586,000;4736,000;1850,000;4014,000;1,000;0,025;0,203;0,021
SP00502;SP;6808,000;4910,000;1898,000;4207,000;1,000;0,024;0,203;0,020
SP00516;SP;6938,000;4877,000;2061,000;4090,000;1,000;0,024;0,203;0,021
SP00525;SP;5945,000;4545,000;1400,000;3796,000;1,000;0,026;0,203;0,022
SP00532;SP;2674,000;1939,000;735,000;1655,000;1,000;0,060;0,203;0,052
SP00594;SP;3522,000;2548,000;974,000;2172,000;1,000;0,046;0,203;0,039
SP00637;SP;5885,000;3783,000;2102,000;3470,000;1,000;0,029;0,203;0,026
SP00683;SP;5169,000;3990,000;1179,000;3629,000;1,000;0,028;0,203;0,025
SP00686;SP;9715,000;6586,000;3129,000;5733,000;1,000;0,017;0,203;0,015
SP00706;SP;5478,000;3976,000;1502,000;3402,000;1,000;0,029;0,203;0,025
SP00728;SP;4919,000;3629,000;1290,000;3093,000;1,000;0,032;0,203;0,028
SP00729;SP;8105,000;5929,000;2176,000;5111,000;1,000;0,020;0,203;0,017
SP00736;SP;6501,000;5079,000;1422,000;4352,000;4,000;0,092;0,811;0,079
SP00739;SP;1868,000;1437,000;431,000;1249,000;2,000;0,160;0,406;0,139
SP00741;SP;4300,000;3373,000;927,000;2832,000;1,000;0,035;0,203;0,030
SP00766;SP;7053,000;4968,000;2085,000;4402,000;1,000;0,023;0,203;0,020
SP00805;SP;6882,000;4879,000;2003,000;4246,000;9,000;0,212;1,826;0,184
SP00806;SP;5119,000;3556,000;1563,000;3097,000;9,000;0,291;1,826;0,253
SP00807;SP;4221,000;2943,000;1278,000;2555,000;2,000;0,078;0,406;0,068
SP00808;SP;5967,000;4362,000;1605,000;3844,000;3,000;0,078;0,609;0,069
SP00809;SP;4931,000;3684,000;1247,000;3295,000;2,000;0,061;0,406;0,054
SP00810;SP;4312,000;3025,000;1287,000;2622,000;1,000;0,038;0,203;0,033
SP00811;SP;4790,000;3322,000;1468,000;2896,000;5,000;0,173;1,014;0,151
SP00812;SP;6537,000;4507,000;2030,000;3857,000;4,000;0,104;0,811;0,089
SP00813;SP;5405,000;3715,000;1690,000;3298,000;5,000;0,152;1,014;0,135
SP00814;SP;3409,000;2340,000;1069,000;2047,000;3,000;0,147;0,609;0,128
SP00815;SP;4827,000;3371,000;1456,000;2943,000;2,000;0,068;0,406;0,059
SP00816;SP;4010,000;2677,000;1333,000;2281,000;3,000;0,132;0,609;0,112
SP00817;SP;5075,000;3549,000;1526,000;2989,000;4,000;0,134;0,811;0,113
SP00820;SP;2998,000;2256,000;742,000;1983,000;3,000;0,151;0,609;0,133
SP00821;SP;3156,000;2353,000;803,000;2019,000;1,000;0,050;0,203;0,042
SP00822;SP;1894,000;1440,000;454,000;1247,000;3,000;0,241;0,609;0,208
SP00823;SP;2754,000;2085,000;669,000;1805,000;2,000;0,111;0,406;0,096
SP00824;SP;5510,000;4207,000;1303,000;3616,000;5,000;0,138;1,014;0,119
SP00826;SP;2231,000;1737,000;494,000;1498,000;2,000;0,134;0,406;0,115
SP00827;SP;7530,000;5704,000;1826,000;4991,000;5,000;0,100;1,014;0,088
SP00829;SP;1366,000;1096,000;270,000;992,000;1,000;0,101;0,203;0,091
SP00831;SP;3038,000;2306,000;732,000;1971,000;1,000;0,051;0,203;0,043
SP00832;SP;4365,000;3114,000;1251,000;2744,000;2,000;0,073;0,406;0,064
SP00833;SP;5058,000;3636,000;1422,000;3107,000;3,000;0,097;0,609;0,083
SP00834;SP;3451,000;2534,000;917,000;2279,000;1,000;0,044;0,203;0,039
SP00835;SP;4136,000;2891,000;1245,000;2501,000;1,000;0,040;0,203;0,035
SP00836;SP;4922,000;3424,000;1498,000;2884,000;2,000;0,069;0,406;0,058
SP00837;SP;2272,000;1787,000;485,000;1553,000;1,000;0,064;0,203;0,056
SP00838;SP;4893,000;3681,000;1212,000;3136,000;4,000;0,128;0,811;0,109
SP00839;SP;942,000;694,000;248,000;608,000;1,000;0,164;0,203;0,144
SP00840;SP;990,000;792,000;198,000;676,000;1,000;0,148;0,203;0,126
SP00841;SP;6587,000;5004,000;1583,000;4195,000;7,000;0,167;1,420;0,140
SP00842;SP;6278,000;4306,000;1972,000;3669,000;6,000;0,164;1,217;0,139
