CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00005;SP;7574,000;4851,000;2723,000;4286,000;1,000;0,023;0,284;0,021
SP00022;SP;5474,000;3858,000;1616,000;3218,000;1,000;0,031;0,284;0,026
SP00061;SP;5110,000;3413,000;1697,000;2995,000;2,000;0,067;0,568;0,059
SP00165;SP;5151,000;3881,000;1270,000;3088,000;1,000;0,032;0,284;0,026
SP00207;SP;4643,000;3544,000;1099,000;3043,000;1,000;0,033;0,284;0,028
SP00220;SP;2119,000;1454,000;665,000;1292,000;1,000;0,077;0,284;0,069
SP00227;SP;5078,000;3646,000;1432,000;3077,000;1,000;0,032;0,284;0,027
SP00232;SP;6760,000;5102,000;1658,000;4371,000;1,000;0,023;0,284;0,020
SP00350;SP;1278,000;961,000;317,000;845,000;1,000;0,118;0,284;0,104
SP00356;SP;6871,000;5190,000;1681,000;4713,000;1,000;0,021;0,284;0,019
SP00503;SP;6619,000;4634,000;1985,000;4034,000;1,000;0,025;0,284;0,022
SP00504;SP;4008,000;3045,000;963,000;2673,000;1,000;0,037;0,284;0,033
SP00515;SP;4792,000;3544,000;1248,000;3046,000;1,000;0,033;0,284;0,028
SP00525;SP;5945,000;4545,000;1400,000;3796,000;1,000;0,026;0,284;0,022
SP00625;SP;10784,000;7630,000;3154,000;7038,000;1,000;0,014;0,284;0,013
SP00653;SP;9758,000;6871,000;2887,000;6317,000;1,000;0,016;0,284;0,015
SP00671;SP;7344,000;4961,000;2383,000;4380,000;1,000;0,023;0,284;0,020
SP00688;SP;4013,000;2804,000;1209,000;2484,000;1,000;0,040;0,284;0,036
SP00805;SP;6882,000;4879,000;2003,000;4246,000;1,000;0,024;0,284;0,020
SP00808;SP;5967,000;4362,000;1605,000;3844,000;3,000;0,078;0,852;0,069
SP00813;SP;5405,000;3715,000;1690,000;3298,000;1,000;0,030;0,284;0,027
SP00814;SP;3409,000;2340,000;1069,000;2047,000;1,000;0,049;0,284;0,043
SP00821;SP;3156,000;2353,000;803,000;2019,000;2,000;0,099;0,568;0,085
SP00825;SP;3960,000;3079,000;881,000;2727,000;1,000;0,037;0,284;0,032
SP00830;SP;1919,000;1541,000;378,000;1355,000;1,000;0,074;0,284;0,065
SP00833;SP;5058,000;3636,000;1422,000;3107,000;1,000;0,032;0,284;0,028
SP00859;SP;4366,000;3337,000;1029,000;2773,000;1,000;0,036;0,284;0,030
SP00885;SP;3760,000;2696,000;1064,000;2288,000;1,000;0,044;0,284;0,037
SP00890;SP;6506,000;4670,000;1836,000;4087,000;2,000;0,049;0,568;0,043
SP00897;SP;4232,000;3120,000;1112,000;2666,000;1,000;0,038;0,284;0,032
SP00898;SP;4477,000;3114,000;1363,000;2686,000;1,000;0,037;0,284;0,032
SP00912;SP;2322,000;1799,000;523,000;1573,000;1,000;0,064;0,284;0,056
SP00913;SP;3776,000;2897,000;879,000;2382,000;1,000;0,042;0,284;0,035
SP01006;SP;5115,000;3831,000;1284,000;3413,000;1,000;0,029;0,284;0,026
SP01153;SP;12021,000;8675,000;3346,000;7258,000;1,000;0,014;0,284;0,012
SP01177;SP;4264,000;3029,000;1235,000;2602,000;1,000;0,038;0,284;0,033
SP01277;SP;5451,000;4180,000;1271,000;3551,000;1,000;0,028;0,284;0,024
SP01409;SP;4997,000;3488,000;1509,000;3043,000;2,000;0,066;0,568;0,057
SP01410;SP;6568,000;4871,000;1697,000;4389,000;1,000;0,023;0,284;0,021
SP01479;SP;7013,000;5355,000;1658,000;4424,000;1,000;0,023;0,284;0,019
SP01521;SP;6526,000;4864,000;1662,000;4159,000;1,000;0,024;0,284;0,021
SP01574;SP;7876,000;5506,000;2370,000;4641,000;10,000;0,215;2,841;0,182
SP01575;SP;4037,000;2763,000;1274,000;2347,000;3,000;0,128;0,852;0,109
SP01576;SP;4532,000;3498,000;1034,000;2944,000;1,000;0,034;0,284;0,029
SP01577;SP;4405,000;3382,000;1023,000;2871,000;9,000;0,313;2,557;0,266
SP01579;SP;3634,000;2823,000;811,000;2348,000;1,000;0,043;0,284;0,035
SP01580;SP;12295,000;8363,000;3932,000;6990,000;4,000;0,057;1,136;0,048
SP01581;SP;5066,000;3570,000;1496,000;3039,000;1,000;0,033;0,284;0,028
SP01582;SP;5360,000;3974,000;1386,000;3379,000;2,000;0,059;0,568;0,050
SP01586;SP;4583,000;3528,000;1055,000;3021,000;3,000;0,099;0,852;0,085
SP01587;SP;2480,000;1899,000;581,000;1615,000;2,000;0,124;0,568;0,105
SP01588;SP;4161,000;3146,000;1015,000;2747,000;1,000;0,036;0,284;0,032
SP01589;SP;5101,000;3963,000;1138,000;3337,000;4,000;0,120;1,136;0,101
SP01593;SP;3907,000;3008,000;899,000;2558,000;1,000;0,039;0,284;0,033
SP01597;SP;2735,000;2080,000;655,000;1731,000;1,000;0,058;0,284;0,048
SP01602;SP;5026,000;3719,000;1307,000;3000,000;4,000;0,133;1,136;0,108
SP01610;SP;3105,000;2321,000;784,000;1935,000;3,000;0,155;0,852;0,129
SP01678;SP;6291,000;4642,000;1649,000;3951,000;1,000;0,025;0,284;0,022
SP01697;SP;6299,000;4729,000;1570,000;4049,000;1,000;0,025;0,284;0,021
SP01713;SP;4285,000;3322,000;963,000;2877,000;1,000;0,035;0,284;0,030
SP01715;SP;3987,000;2703,000;1284,000;2302,000;11,000;0,478;3,125;0,407
SP01716;SP;3015,000;2185,000;830,000;1849,000;2,000;0,108;0,568;0,092
SP01717;SP;3491,000;2515,000;976,000;2185,000;15,000;0,686;4,261;0,596
SP01718;SP;6133,000;4462,000;1671,000;3746,000;13,000;0,347;3,693;0,291
SP01719;SP;5072,000;3667,000;1405,000;3138,000;2,000;0,064;0,568;0,055
SP01720;SP;4886,000;3771,000;1115,000;3270,000;1,000;0,031;0,284;0,027
SP01721;SP;3300,000;2518,000;782,000;2118,000;30,000;1,416;8,523;1,191
SP01722;SP;4433,000;3424,000;1009,000;2973,000;3,000;0,101;0,852;0,088
SP01723;SP;2776,000;2110,000;666,000;1723,000;6,000;0,348;1,705;0,284
SP01724;SP;5829,000;4472,000;1357,000;3791,000;36,000;0,950;10,227;0,805
SP01725;SP;6477,000;4901,000;1576,000;4149,000;4,000;0,096;1,136;0,082
SP01726;SP;4123,000;3080,000;1043,000;2542,000;11,000;0,433;3,125;0,357
SP01727;SP;4196,000;3134,000;1062,000;2630,000;33,000;1,255;9,375;1,053
SP01728;SP;3507,000;2774,000;733,000;2436,000;1,000;0,041;0,284;0,036
SP01729;SP;3858,000;2903,000;955,000;2392,000;5,000;0,209;1,420;0,172
SP01730;SP;1570,000;1190,000;380,000;978,000;2,000;0,204;0,568;0,168
SP01732;SP;5337,000;4122,000;1215,000;3348,000;43,000;1,284;12,216;1,043
SP01733;SP;4951,000;3567,000;1384,000;2964,000;5,000;0,169;1,420;0,140
SP01735;SP;2431,000;1787,000;644,000;1502,000;2,000;0,133;0,568;0,112
SP01737;SP;4533,000;3032,000;1501,000;2598,000;3,000;0,115;0,852;0,099
SP01738;SP;6502,000;4692,000;1810,000;3933,000;3,000;0,076;0,852;0,064
SP01739;SP;4727,000;3508,000;1219,000;2932,000;3,000;0,102;0,852;0,086
SP01740;SP;5160,000;3900,000;1260,000;3207,000;6,000;0,187;1,705;0,154
SP01741;SP;2084,000;1633,000;451,000;1382,000;2,000;0,145;0,568;0,122
SP01743;SP;4150,000;3091,000;1059,000;2542,000;1,000;0,039;0,284;0,032
SP01748;SP;3372,000;2550,000;822,000;2096,000;1,000;0,048;0,284;0,039
SP01749;SP;3518,000;2677,000;841,000;2231,000;2,000;0,090;0,568;0,075
SP01863;SP;5889,000;4259,000;1630,000;3651,000;1,000;0,027;0,284;0,023
SP02031;SP;5725,000;4113,000;1612,000;3423,000;4,000;0,117;1,136;0,097
SP02047;SP;5031,000;3799,000;1232,000;3118,000;1,000;0,032;0,284;0,026
