CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;1,000;0,016;0,145;0,015
SP00011;SP;7822,000;5249,000;2573,000;4769,000;1,000;0,021;0,145;0,019
SP00015;SP;4890,000;3200,000;1690,000;2777,000;1,000;0,036;0,145;0,031
SP00028;SP;8070,000;5175,000;2895,000;4726,000;1,000;0,021;0,145;0,019
SP00032;SP;11991,000;8507,000;3484,000;8030,000;1,000;0,012;0,145;0,012
SP00038;SP;8044,000;5650,000;2394,000;5177,000;1,000;0,019;0,145;0,018
SP00040;SP;7288,000;5434,000;1854,000;4999,000;2,000;0,040;0,289;0,037
SP00044;SP;7789,000;5743,000;2046,000;5331,000;1,000;0,019;0,145;0,017
SP00051;SP;9919,000;6324,000;3595,000;5895,000;3,000;0,051;0,434;0,047
SP00071;SP;6547,000;4082,000;2465,000;3615,000;1,000;0,028;0,145;0,024
SP00073;SP;14871,000;9817,000;5054,000;8895,000;1,000;0,011;0,145;0,010
SP00074;SP;4599,000;3060,000;1539,000;2770,000;1,000;0,036;0,145;0,033
SP00075;SP;2374,000;1530,000;844,000;1347,000;1,000;0,074;0,145;0,065
SP00083;SP;12710,000;9298,000;3412,000;8373,000;1,000;0,012;0,145;0,011
SP00084;SP;8514,000;5960,000;2554,000;5282,000;1,000;0,019;0,145;0,017
SP00090;SP;5982,000;4272,000;1710,000;3906,000;2,000;0,051;0,289;0,047
SP00092;SP;8010,000;5674,000;2336,000;5030,000;1,000;0,020;0,145;0,018
SP00094;SP;3713,000;2680,000;1033,000;2357,000;1,000;0,042;0,145;0,037
SP00097;SP;4480,000;3320,000;1160,000;2831,000;1,000;0,035;0,145;0,030
SP00105;SP;3570,000;2330,000;1240,000;2184,000;1,000;0,046;0,145;0,043
SP00106;SP;4729,000;3001,000;1728,000;2772,000;1,000;0,036;0,145;0,033
SP00111;SP;5405,000;3713,000;1692,000;3463,000;1,000;0,029;0,145;0,027
SP00114;SP;11524,000;7280,000;4244,000;6663,000;1,000;0,015;0,145;0,014
SP00115;SP;6789,000;4670,000;2119,000;4276,000;1,000;0,023;0,145;0,021
SP00117;SP;12258,000;8026,000;4232,000;7396,000;2,000;0,027;0,289;0,025
SP00121;SP;4046,000;2658,000;1388,000;2420,000;2,000;0,083;0,289;0,075
SP00125;SP;8768,000;6055,000;2713,000;5539,000;1,000;0,018;0,145;0,017
SP00130;SP;7718,000;5325,000;2393,000;4865,000;1,000;0,021;0,145;0,019
SP00134;SP;5615,000;3841,000;1774,000;3504,000;1,000;0,029;0,145;0,026
SP00136;SP;9241,000;6497,000;2744,000;5815,000;1,000;0,017;0,145;0,015
SP00165;SP;5151,000;3881,000;1270,000;3088,000;1,000;0,032;0,145;0,026
SP00194;SP;8615,000;6268,000;2347,000;5780,000;2,000;0,035;0,289;0,032
SP00200;SP;4987,000;3648,000;1339,000;3251,000;1,000;0,031;0,145;0,027
