CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00003;SP;6223,000;3562,000;2661,000;3191,000;1,000;0,031;0,196;0,028
SP00006;SP;6187,000;4196,000;1991,000;3800,000;1,000;0,026;0,196;0,024
SP00011;SP;7822,000;5249,000;2573,000;4769,000;2,000;0,042;0,392;0,038
SP00014;SP;7153,000;4433,000;2720,000;3934,000;1,000;0,025;0,196;0,023
SP00017;SP;6847,000;4140,000;2707,000;3704,000;1,000;0,027;0,196;0,024
SP00020;SP;1562,000;1060,000;502,000;914,000;1,000;0,109;0,196;0,094
SP00036;SP;6716,000;4776,000;1940,000;4457,000;1,000;0,022;0,196;0,021
SP00065;SP;3705,000;2327,000;1378,000;1980,000;1,000;0,051;0,196;0,043
SP00085;SP;7942,000;5522,000;2420,000;4861,000;1,000;0,021;0,196;0,018
SP00113;SP;4368,000;2914,000;1454,000;2731,000;1,000;0,037;0,196;0,034
SP00136;SP;9241,000;6497,000;2744,000;5815,000;1,000;0,017;0,196;0,015
SP00141;SP;4594,000;3186,000;1408,000;2804,000;1,000;0,036;0,196;0,031
SP00151;SP;4988,000;3688,000;1300,000;3066,000;1,000;0,033;0,196;0,027
SP00153;SP;6503,000;4705,000;1798,000;3830,000;5,000;0,131;0,980;0,106
SP00154;SP;6876,000;4799,000;2077,000;4025,000;3,000;0,075;0,588;0,063
SP00155;SP;6109,000;4286,000;1823,000;3668,000;1,000;0,027;0,196;0,023
SP00156;SP;7080,000;4869,000;2211,000;4038,000;1,000;0,025;0,196;0,021
SP00158;SP;5902,000;3987,000;1915,000;3372,000;4,000;0,119;0,784;0,100
SP00160;SP;7072,000;5254,000;1818,000;4369,000;2,000;0,046;0,392;0,038
SP00162;SP;7705,000;5622,000;2083,000;4624,000;1,000;0,022;0,196;0,018
SP00163;SP;6612,000;4970,000;1642,000;4153,000;2,000;0,048;0,392;0,040
SP00164;SP;5864,000;4364,000;1500,000;3543,000;1,000;0,028;0,196;0,023
SP00165;SP;5151,000;3881,000;1270,000;3088,000;4,000;0,130;0,784;0,103
SP00167;SP;6528,000;4883,000;1645,000;3930,000;2,000;0,051;0,392;0,041
SP00168;SP;4204,000;3050,000;1154,000;2550,000;4,000;0,157;0,784;0,131
SP00169;SP;6507,000;4898,000;1609,000;3997,000;5,000;0,125;0,980;0,102
SP00170;SP;3660,000;2732,000;928,000;2322,000;3,000;0,129;0,588;0,110
SP00176;SP;4725,000;3530,000;1195,000;2946,000;3,000;0,102;0,588;0,085
SP00177;SP;6291,000;4620,000;1671,000;3718,000;2,000;0,054;0,392;0,043
SP00178;SP;8552,000;6363,000;2189,000;5204,000;1,000;0,019;0,196;0,016
SP00179;SP;3023,000;2176,000;847,000;1776,000;4,000;0,225;0,784;0,184
SP00180;SP;2715,000;1992,000;723,000;1618,000;1,000;0,062;0,196;0,050
SP00183;SP;1181,000;745,000;436,000;604,000;2,000;0,331;0,392;0,268
SP00184;SP;781,000;570,000;211,000;453,000;1,000;0,221;0,196;0,175
SP00201;SP;9459,000;6572,000;2887,000;5989,000;2,000;0,033;0,392;0,030
SP00203;SP;7005,000;4837,000;2168,000;4332,000;1,000;0,023;0,196;0,021
SP00224;SP;4682,000;3295,000;1387,000;2841,000;1,000;0,035;0,196;0,030
SP00231;SP;4477,000;3485,000;992,000;2989,000;1,000;0,033;0,196;0,029
SP00238;SP;6012,000;4671,000;1341,000;3951,000;1,000;0,025;0,196;0,021
SP00241;SP;3798,000;2913,000;885,000;2413,000;1,000;0,041;0,196;0,034
SP00258;SP;2237,000;1521,000;716,000;1192,000;1,000;0,084;0,196;0,066
SP00259;SP;1803,000;1399,000;404,000;1139,000;1,000;0,088;0,196;0,071
SP00271;SP;6516,000;4689,000;1827,000;3929,000;1,000;0,025;0,196;0,021
SP00272;SP;3513,000;2773,000;740,000;2324,000;2,000;0,086;0,392;0,072
SP00282;SP;6521,000;4899,000;1622,000;4004,000;1,000;0,025;0,196;0,020
SP00284;SP;4514,000;3367,000;1147,000;2775,000;1,000;0,036;0,196;0,030
SP00290;SP;2127,000;1639,000;488,000;1389,000;3,000;0,216;0,588;0,183
SP00330;SP;4062,000;2873,000;1189,000;2547,000;1,000;0,039;0,196;0,035
SP00335;SP;4066,000;2940,000;1126,000;2443,000;2,000;0,082;0,392;0,068
SP00342;SP;5123,000;3662,000;1461,000;3278,000;1,000;0,031;0,196;0,027
SP00356;SP;6871,000;5190,000;1681,000;4713,000;1,000;0,021;0,196;0,019
SP00367;SP;3181,000;2043,000;1138,000;1835,000;1,000;0,054;0,196;0,049
SP00397;SP;4072,000;2894,000;1178,000;2418,000;1,000;0,041;0,196;0,035
SP00398;SP;2787,000;1796,000;991,000;1541,000;1,000;0,065;0,196;0,056
SP00435;SP;7037,000;5280,000;1757,000;4647,000;1,000;0,022;0,196;0,019
SP00452;SP;3018,000;2212,000;806,000;1929,000;1,000;0,052;0,196;0,045
SP00454;SP;6000,000;4085,000;1915,000;3524,000;1,000;0,028;0,196;0,024
SP00457;SP;2816,000;1940,000;876,000;1732,000;1,000;0,058;0,196;0,052
SP00487;SP;2063,000;1542,000;521,000;1295,000;3,000;0,232;0,588;0,195
SP00518;SP;4780,000;3303,000;1477,000;2826,000;1,000;0,035;0,196;0,030
SP00519;SP;5846,000;4121,000;1725,000;3509,000;3,000;0,085;0,588;0,073
SP00523;SP;4290,000;3229,000;1061,000;2690,000;1,000;0,037;0,196;0,031
SP00525;SP;5945,000;4545,000;1400,000;3796,000;2,000;0,053;0,392;0,044
SP00545;SP;7097,000;4864,000;2233,000;4172,000;1,000;0,024;0,196;0,021
SP00546;SP;4580,000;3085,000;1495,000;2705,000;1,000;0,037;0,196;0,032
SP00572;SP;5117,000;3692,000;1425,000;3011,000;1,000;0,033;0,196;0,027
SP00625;SP;10784,000;7630,000;3154,000;7038,000;1,000;0,014;0,196;0,013
SP00658;SP;4399,000;3055,000;1344,000;2774,000;1,000;0,036;0,196;0,033
SP00719;SP;6130,000;4359,000;1771,000;3647,000;1,000;0,027;0,196;0,023
SP00733;SP;6587,000;4986,000;1601,000;4131,000;2,000;0,048;0,392;0,040
SP00737;SP;6265,000;4846,000;1419,000;4149,000;1,000;0,024;0,196;0,021
SP00738;SP;8744,000;6776,000;1968,000;5693,000;2,000;0,035;0,392;0,030
SP00741;SP;4300,000;3373,000;927,000;2832,000;1,000;0,035;0,196;0,030
SP00748;SP;3624,000;2591,000;1033,000;2215,000;1,000;0,045;0,196;0,039
SP00749;SP;1955,000;1539,000;416,000;1305,000;1,000;0,077;0,196;0,065
SP00756;SP;3235,000;2278,000;957,000;1971,000;3,000;0,152;0,588;0,132
SP00757;SP;3284,000;2523,000;761,000;2167,000;1,000;0,046;0,196;0,040
SP00771;SP;7436,000;5164,000;2272,000;4500,000;1,000;0,022;0,196;0,019
SP00773;SP;6264,000;4426,000;1838,000;3805,000;1,000;0,026;0,196;0,023
SP00776;SP;6598,000;4696,000;1902,000;4003,000;1,000;0,025;0,196;0,021
SP00778;SP;7392,000;5180,000;2212,000;4241,000;1,000;0,024;0,196;0,019
SP00782;SP;6626,000;4932,000;1694,000;4068,000;4,000;0,098;0,784;0,081
SP00799;SP;7792,000;5629,000;2163,000;4646,000;1,000;0,022;0,196;0,018
SP00856;SP;6062,000;4538,000;1524,000;3805,000;1,000;0,026;0,196;0,022
SP00933;SP;6037,000;4261,000;1776,000;3621,000;8,000;0,221;1,569;0,188
SP00934;SP;5284,000;3737,000;1547,000;3064,000;2,000;0,065;0,392;0,054
SP00935;SP;6922,000;4974,000;1948,000;4152,000;1,000;0,024;0,196;0,020
SP00936;SP;6913,000;5008,000;1905,000;4173,000;2,000;0,048;0,392;0,040
SP00939;SP;6851,000;5005,000;1846,000;4282,000;1,000;0,023;0,196;0,020
SP00941;SP;8289,000;6027,000;2262,000;5126,000;22,000;0,429;4,314;0,365
SP00942;SP;6510,000;5027,000;1483,000;4307,000;9,000;0,209;1,765;0,179
SP00943;SP;5578,000;4080,000;1498,000;3484,000;1,000;0,029;0,196;0,025
SP00944;SP;6614,000;4784,000;1830,000;3934,000;1,000;0,025;0,196;0,021
SP00945;SP;6631,000;4923,000;1708,000;4190,000;4,000;0,095;0,784;0,081
SP00946;SP;4553,000;3449,000;1104,000;2787,000;1,000;0,036;0,196;0,029
SP00947;SP;6568,000;4904,000;1664,000;4056,000;1,000;0,025;0,196;0,020
