CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;1,000;0,016;0,056;0,015
SP00002;SP;8476,000;5539,000;2937,000;5059,000;1,000;0,020;0,056;0,018
SP00009;SP;5809,000;3876,000;1933,000;3552,000;2,000;0,056;0,111;0,052
SP00012;SP;9441,000;6116,000;3325,000;5498,000;1,000;0,018;0,056;0,016
SP00020;SP;1562,000;1060,000;502,000;914,000;1,000;0,109;0,056;0,094
SP00052;SP;5165,000;3133,000;2032,000;2746,000;1,000;0,036;0,056;0,032
SP00055;SP;8226,000;5391,000;2835,000;4660,000;2,000;0,043;0,111;0,037
SP00059;SP;6072,000;4040,000;2032,000;3525,000;5,000;0,142;0,278;0,124
SP00060;SP;6204,000;4150,000;2054,000;3582,000;1,000;0,028;0,056;0,024
SP00061;SP;5110,000;3413,000;1697,000;2995,000;1,000;0,033;0,056;0,029
SP00063;SP;2961,000;1817,000;1144,000;1572,000;1,000;0,064;0,056;0,055
SP00065;SP;3705,000;2327,000;1378,000;1980,000;1,000;0,051;0,056;0,043
SP00066;SP;2941,000;1926,000;1015,000;1623,000;2,000;0,123;0,111;0,104
SP00071;SP;6547,000;4082,000;2465,000;3615,000;1,000;0,028;0,056;0,024
SP00072;SP;4862,000;3103,000;1759,000;2736,000;1,000;0,037;0,056;0,032
SP00088;SP;8110,000;5666,000;2444,000;5056,000;2,000;0,040;0,111;0,035
SP00100;SP;4225,000;2928,000;1297,000;2539,000;1,000;0,039;0,056;0,034
SP00103;SP;2478,000;1733,000;745,000;1529,000;1,000;0,065;0,056;0,058
SP00118;SP;11540,000;7496,000;4044,000;6933,000;2,000;0,029;0,111;0,027
SP00121;SP;4046,000;2658,000;1388,000;2420,000;1,000;0,041;0,056;0,038
SP00128;SP;9830,000;6546,000;3284,000;5910,000;1,000;0,017;0,056;0,015
SP00135;SP;10099,000;6853,000;3246,000;5983,000;1,000;0,017;0,056;0,015
SP00136;SP;9241,000;6497,000;2744,000;5815,000;2,000;0,034;0,111;0,031
SP00144;SP;5788,000;3963,000;1825,000;3611,000;1,000;0,028;0,056;0,025
SP00163;SP;6612,000;4970,000;1642,000;4153,000;1,000;0,024;0,056;0,020
SP00174;SP;4271,000;3221,000;1050,000;2581,000;1,000;0,039;0,056;0,031
SP00190;SP;9191,000;6215,000;2976,000;5565,000;1,000;0,018;0,056;0,016
SP00194;SP;8615,000;6268,000;2347,000;5780,000;1,000;0,017;0,056;0,016
SP00198;SP;9846,000;7057,000;2789,000;6333,000;1,000;0,016;0,056;0,014
SP00200;SP;4987,000;3648,000;1339,000;3251,000;2,000;0,062;0,111;0,055
SP00211;SP;6388,000;4682,000;1706,000;4168,000;1,000;0,024;0,056;0,021
SP00219;SP;5453,000;3846,000;1607,000;3316,000;1,000;0,030;0,056;0,026
SP00221;SP;3925,000;2950,000;975,000;2531,000;1,000;0,040;0,056;0,034
SP00222;SP;5627,000;4034,000;1593,000;3525,000;1,000;0,028;0,056;0,025
SP00223;SP;2666,000;1909,000;757,000;1662,000;2,000;0,120;0,111;0,105
SP00224;SP;4682,000;3295,000;1387,000;2841,000;4,000;0,141;0,222;0,121
SP00226;SP;6504,000;4681,000;1823,000;3905,000;2,000;0,051;0,111;0,043
SP00229;SP;6362,000;4716,000;1646,000;4007,000;2,000;0,050;0,111;0,042
SP00230;SP;4442,000;3139,000;1303,000;2668,000;5,000;0,187;0,278;0,159
SP00231;SP;4477,000;3485,000;992,000;2989,000;6,000;0,201;0,334;0,172
SP00232;SP;6760,000;5102,000;1658,000;4371,000;2,000;0,046;0,111;0,039
SP00234;SP;1126,000;832,000;294,000;718,000;1,000;0,139;0,056;0,120
SP00235;SP;6359,000;4733,000;1626,000;4005,000;2,000;0,050;0,111;0,042
SP00236;SP;4570,000;3488,000;1082,000;2996,000;2,000;0,067;0,111;0,057
SP00237;SP;4589,000;3414,000;1175,000;2908,000;5,000;0,172;0,278;0,146
SP00238;SP;6012,000;4671,000;1341,000;3951,000;3,000;0,076;0,167;0,064
SP00239;SP;5869,000;4516,000;1353,000;3700,000;11,000;0,297;0,611;0,244
SP00240;SP;3251,000;2449,000;802,000;2056,000;1,000;0,049;0,056;0,041
SP00241;SP;3798,000;2913,000;885,000;2413,000;3,000;0,124;0,167;0,103
SP00242;SP;4031,000;3017,000;1014,000;2461,000;2,000;0,081;0,111;0,066
SP00243;SP;3895,000;2713,000;1182,000;2275,000;5,000;0,220;0,278;0,184
SP00244;SP;1594,000;1206,000;388,000;978,000;1,000;0,102;0,056;0,083
SP00245;SP;1860,000;1458,000;402,000;1167,000;2,000;0,171;0,111;0,137
SP00247;SP;3039,000;2356,000;683,000;1915,000;1,000;0,052;0,056;0,042
SP00248;SP;2993,000;2193,000;800,000;1833,000;4,000;0,218;0,222;0,182
SP00250;SP;4023,000;3125,000;898,000;2566,000;4,000;0,156;0,222;0,128
SP00252;SP;4288,000;3078,000;1210,000;2638,000;3,000;0,114;0,167;0,097
SP00253;SP;6617,000;5105,000;1512,000;4218,000;4,000;0,095;0,222;0,078
SP00255;SP;6778,000;5044,000;1734,000;4293,000;2,000;0,047;0,111;0,040
SP00256;SP;4254,000;3283,000;971,000;2674,000;2,000;0,075;0,111;0,061
SP00258;SP;2237,000;1521,000;716,000;1192,000;4,000;0,336;0,222;0,263
SP00259;SP;1803,000;1399,000;404,000;1139,000;2,000;0,176;0,111;0,143
SP00260;SP;6967,000;4886,000;2081,000;4112,000;7,000;0,170;0,389;0,143
SP00261;SP;5727,000;3983,000;1744,000;3376,000;6,000;0,178;0,334;0,151
SP00262;SP;6791,000;4838,000;1953,000;4128,000;4,000;0,097;0,222;0,083
SP00263;SP;10873,000;8161,000;2712,000;7067,000;9,000;0,127;0,500;0,110
SP00264;SP;6606,000;4757,000;1849,000;3973,000;5,000;0,126;0,278;0,105
SP00265;SP;5313,000;3854,000;1459,000;3315,000;2,000;0,060;0,111;0,052
SP00266;SP;6960,000;5099,000;1861,000;4318,000;2,000;0,046;0,111;0,039
SP00267;SP;6197,000;4417,000;1780,000;3682,000;3,000;0,081;0,167;0,068
SP00268;SP;6330,000;4415,000;1915,000;3742,000;2,000;0,053;0,111;0,045
SP00269;SP;4567,000;3317,000;1250,000;2813,000;4,000;0,142;0,222;0,121
SP00270;SP;6129,000;4512,000;1617,000;3803,000;2,000;0,053;0,111;0,044
SP00271;SP;6516,000;4689,000;1827,000;3929,000;5,000;0,127;0,278;0,107
SP00272;SP;3513,000;2773,000;740,000;2324,000;5,000;0,215;0,278;0,180
SP00274;SP;5083,000;4027,000;1056,000;3417,000;10,000;0,293;0,556;0,248
SP00275;SP;4248,000;3284,000;964,000;2804,000;7,000;0,250;0,389;0,213
SP00276;SP;4234,000;3269,000;965,000;2704,000;4,000;0,148;0,222;0,122
SP00277;SP;4274,000;3219,000;1055,000;2691,000;2,000;0,074;0,111;0,062
SP00278;SP;3874,000;2884,000;990,000;2434,000;1,000;0,041;0,056;0,035
SP00279;SP;3855,000;2853,000;1002,000;2307,000;3,000;0,130;0,167;0,105
SP00280;SP;6493,000;4855,000;1638,000;3966,000;6,000;0,151;0,334;0,124
SP00281;SP;5656,000;4194,000;1462,000;3612,000;4,000;0,111;0,222;0,095
SP00282;SP;6521,000;4899,000;1622,000;4004,000;32,000;0,799;1,779;0,653
SP00283;SP;4282,000;3227,000;1055,000;2653,000;3,000;0,113;0,167;0,093
SP00284;SP;4514,000;3367,000;1147,000;2775,000;4,000;0,144;0,222;0,119
SP00286;SP;6009,000;4463,000;1546,000;3798,000;6,000;0,158;0,334;0,134
SP00289;SP;3751,000;2887,000;864,000;2359,000;2,000;0,085;0,111;0,069
SP00290;SP;2127,000;1639,000;488,000;1389,000;1,000;0,072;0,056;0,061
SP00294;SP;5157,000;3659,000;1498,000;3309,000;2,000;0,060;0,111;0,055
SP00339;SP;3299,000;2272,000;1027,000;2075,000;1,000;0,048;0,056;0,044
SP00362;SP;1767,000;1220,000;547,000;1081,000;2,000;0,185;0,111;0,164
SP00364;SP;1999,000;1353,000;646,000;1259,000;1,000;0,079;0,056;0,074
SP00372;SP;5891,000;3989,000;1902,000;3708,000;1,000;0,027;0,056;0,025
SP00373;SP;5182,000;3550,000;1632,000;3328,000;3,000;0,090;0,167;0,085
SP00385;SP;3955,000;2825,000;1130,000;2607,000;1,000;0,038;0,056;0,035
SP00387;SP;3215,000;2482,000;733,000;2310,000;1,000;0,043;0,056;0,040
SP00395;SP;7319,000;5036,000;2283,000;4255,000;5,000;0,118;0,278;0,099
SP00396;SP;2981,000;2015,000;966,000;1734,000;2,000;0,115;0,111;0,099
SP00401;SP;6075,000;4286,000;1789,000;3723,000;1,000;0,027;0,056;0,023
SP00403;SP;6930,000;5024,000;1906,000;4268,000;1,000;0,023;0,056;0,020
SP00405;SP;4680,000;3515,000;1165,000;3097,000;1,000;0,032;0,056;0,028
SP00408;SP;7217,000;5129,000;2088,000;4414,000;1,000;0,023;0,056;0,019
SP00412;SP;2247,000;1715,000;532,000;1480,000;1,000;0,068;0,056;0,058
SP00419;SP;4961,000;3484,000;1477,000;3096,000;1,000;0,032;0,056;0,029
SP00420;SP;1442,000;1026,000;416,000;925,000;3,000;0,324;0,167;0,292
SP00422;SP;10320,000;7595,000;2725,000;6744,000;1,000;0,015;0,056;0,013
SP00424;SP;4823,000;3449,000;1374,000;3041,000;1,000;0,033;0,056;0,029
SP00425;SP;6519,000;4845,000;1674,000;4356,000;1,000;0,023;0,056;0,021
SP00426;SP;6948,000;4982,000;1966,000;4433,000;1,000;0,023;0,056;0,020
SP00434;SP;5194,000;3618,000;1576,000;3183,000;1,000;0,031;0,056;0,028
SP00446;SP;7010,000;5463,000;1547,000;4823,000;1,000;0,021;0,056;0,018
SP00456;SP;4320,000;3095,000;1225,000;2792,000;1,000;0,036;0,056;0,032
SP00459;SP;4392,000;3188,000;1204,000;2896,000;1,000;0,035;0,056;0,031
SP00470;SP;4692,000;3265,000;1427,000;2911,000;1,000;0,034;0,056;0,031
SP00475;SP;5821,000;4091,000;1730,000;3609,000;2,000;0,055;0,111;0,049
SP00483;SP;2523,000;1867,000;656,000;1612,000;1,000;0,062;0,056;0,054
SP00488;SP;1859,000;1441,000;418,000;1270,000;1,000;0,079;0,056;0,069
SP00492;SP;847,000;671,000;176,000;585,000;1,000;0,171;0,056;0,149
SP00499;SP;6834,000;4904,000;1930,000;4285,000;1,000;0,023;0,056;0,020
SP00503;SP;6619,000;4634,000;1985,000;4034,000;1,000;0,025;0,056;0,022
SP00551;SP;4597,000;3270,000;1327,000;2815,000;1,000;0,036;0,056;0,031
SP00582;SP;4259,000;3081,000;1178,000;2707,000;1,000;0,037;0,056;0,032
SP00589;SP;4702,000;3299,000;1403,000;2808,000;2,000;0,071;0,111;0,061
SP00590;SP;7580,000;5281,000;2299,000;4546,000;1,000;0,022;0,056;0,019
SP00591;SP;6263,000;4400,000;1863,000;3772,000;2,000;0,053;0,111;0,045
SP00595;SP;3557,000;2586,000;971,000;2244,000;1,000;0,045;0,056;0,039
SP00598;SP;4844,000;3433,000;1411,000;2954,000;1,000;0,034;0,056;0,029
SP00616;SP;3937,000;3054,000;883,000;2687,000;1,000;0,037;0,056;0,033
SP00629;SP;3705,000;2452,000;1253,000;2194,000;1,000;0,046;0,056;0,041
SP00639;SP;9027,000;6272,000;2755,000;5745,000;2,000;0,035;0,111;0,032
SP00645;SP;3823,000;2661,000;1162,000;2407,000;1,000;0,042;0,056;0,038
SP00650;SP;4689,000;3535,000;1154,000;3191,000;1,000;0,031;0,056;0,028
SP00655;SP;4274,000;3048,000;1226,000;2819,000;1,000;0,035;0,056;0,033
SP00656;SP;7540,000;5423,000;2117,000;4936,000;1,000;0,020;0,056;0,018
SP00666;SP;4794,000;3234,000;1560,000;2902,000;1,000;0,034;0,056;0,031
SP00669;SP;4307,000;3090,000;1217,000;2819,000;1,000;0,035;0,056;0,032
