CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00032;SP;11991,000;8507,000;3484,000;8030,000;1,000;0,012;0,714;0,012
SP00051;SP;9919,000;6324,000;3595,000;5895,000;1,000;0,017;0,714;0,016
SP00136;SP;9241,000;6497,000;2744,000;5815,000;2,000;0,034;1,429;0,031
SP00141;SP;4594,000;3186,000;1408,000;2804,000;1,000;0,036;0,714;0,031
SP00219;SP;5453,000;3846,000;1607,000;3316,000;1,000;0,030;0,714;0,026
SP00224;SP;4682,000;3295,000;1387,000;2841,000;1,000;0,035;0,714;0,030
SP00344;SP;5849,000;4118,000;1731,000;3729,000;5,000;0,134;3,571;0,121
SP00478;SP;3496,000;2495,000;1001,000;2209,000;1,000;0,045;0,714;0,040
SP00482;SP;6633,000;4865,000;1768,000;4345,000;1,000;0,023;0,714;0,021
SP00499;SP;6834,000;4904,000;1930,000;4285,000;2,000;0,047;1,429;0,041
SP00515;SP;4792,000;3544,000;1248,000;3046,000;1,000;0,033;0,714;0,028
SP00601;SP;6122,000;4375,000;1747,000;3842,000;1,000;0,026;0,714;0,023
SP00603;SP;4959,000;3460,000;1499,000;2923,000;1,000;0,034;0,714;0,029
SP00611;SP;1902,000;1499,000;403,000;1287,000;1,000;0,078;0,714;0,067
SP00638;SP;6804,000;4640,000;2164,000;4208,000;2,000;0,048;1,429;0,043
SP00686;SP;9715,000;6586,000;3129,000;5733,000;6,000;0,105;4,286;0,091
SP00690;SP;5510,000;3819,000;1691,000;3318,000;4,000;0,121;2,857;0,105
SP00692;SP;8151,000;5848,000;2303,000;5192,000;4,000;0,077;2,857;0,068
SP00694;SP;8474,000;6228,000;2246,000;5583,000;1,000;0,018;0,714;0,016
SP00695;SP;5738,000;3934,000;1804,000;3443,000;2,000;0,058;1,429;0,051
SP00698;SP;4269,000;3022,000;1247,000;2595,000;2,000;0,077;1,429;0,066
SP00703;SP;3713,000;2640,000;1073,000;2200,000;1,000;0,045;0,714;0,038
SP00704;SP;5896,000;4329,000;1567,000;3685,000;6,000;0,163;4,286;0,139
SP00706;SP;5478,000;3976,000;1502,000;3402,000;1,000;0,029;0,714;0,025
SP00707;SP;6988,000;4980,000;2008,000;4238,000;1,000;0,024;0,714;0,020
SP00709;SP;5869,000;4162,000;1707,000;3614,000;1,000;0,028;0,714;0,024
SP00711;SP;4783,000;3500,000;1283,000;3017,000;2,000;0,066;1,429;0,057
SP00712;SP;7054,000;5112,000;1942,000;4323,000;19,000;0,440;13,571;0,372
SP00713;SP;5464,000;4097,000;1367,000;3538,000;21,000;0,594;15,000;0,513
SP00714;SP;3081,000;2248,000;833,000;1931,000;5,000;0,259;3,571;0,222
SP00715;SP;4628,000;3619,000;1009,000;3057,000;1,000;0,033;0,714;0,028
SP00716;SP;6085,000;4740,000;1345,000;4111,000;3,000;0,073;2,143;0,063
SP00717;SP;5351,000;4130,000;1221,000;3567,000;1,000;0,028;0,714;0,024
SP00718;SP;3625,000;2512,000;1113,000;2090,000;1,000;0,048;0,714;0,040
SP00719;SP;6130,000;4359,000;1771,000;3647,000;1,000;0,027;0,714;0,023
SP00723;SP;5496,000;4095,000;1401,000;3502,000;2,000;0,057;1,429;0,049
SP00736;SP;6501,000;5079,000;1422,000;4352,000;1,000;0,023;0,714;0,020
SP00741;SP;4300,000;3373,000;927,000;2832,000;2,000;0,071;1,429;0,059
SP00853;SP;4081,000;3040,000;1041,000;2553,000;1,000;0,039;0,714;0,033
SP00857;SP;3507,000;2824,000;683,000;2367,000;1,000;0,042;0,714;0,035
SP00920;SP;6672,000;4828,000;1844,000;3916,000;1,000;0,026;0,714;0,021
SP00923;SP;5779,000;3898,000;1881,000;3357,000;1,000;0,030;0,714;0,026
SP00925;SP;5327,000;3864,000;1463,000;3310,000;1,000;0,030;0,714;0,026
SP00941;SP;8289,000;6027,000;2262,000;5126,000;2,000;0,039;1,429;0,033
SP00942;SP;6510,000;5027,000;1483,000;4307,000;1,000;0,023;0,714;0,020
SP00961;SP;1021,000;668,000;353,000;532,000;2,000;0,376;1,429;0,299
SP01170;SP;7817,000;5560,000;2257,000;4585,000;1,000;0,022;0,714;0,018
