CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;7,000;0,115;0,461;0,106
SP00002;SP;8476,000;5539,000;2937,000;5059,000;4,000;0,079;0,264;0,072
SP00003;SP;6223,000;3562,000;2661,000;3191,000;6,000;0,188;0,396;0,168
SP00004;SP;6071,000;4117,000;1954,000;3653,000;4,000;0,109;0,264;0,097
SP00005;SP;7574,000;4851,000;2723,000;4286,000;2,000;0,047;0,132;0,041
SP00006;SP;6187,000;4196,000;1991,000;3800,000;2,000;0,053;0,132;0,048
SP00007;SP;9748,000;5727,000;4021,000;5077,000;6,000;0,118;0,396;0,105
SP00008;SP;4250,000;2710,000;1540,000;2422,000;4,000;0,165;0,264;0,148
SP00009;SP;5809,000;3876,000;1933,000;3552,000;5,000;0,141;0,330;0,129
SP00010;SP;9269,000;6039,000;3230,000;5553,000;3,000;0,054;0,198;0,050
SP00011;SP;7822,000;5249,000;2573,000;4769,000;6,000;0,126;0,396;0,114
SP00012;SP;9441,000;6116,000;3325,000;5498,000;15,000;0,273;0,989;0,245
SP00013;SP;4269,000;2958,000;1311,000;2742,000;6,000;0,219;0,396;0,203
SP00014;SP;7153,000;4433,000;2720,000;3934,000;14,000;0,356;0,923;0,316
SP00015;SP;4890,000;3200,000;1690,000;2777,000;13,000;0,468;0,857;0,406
SP00016;SP;4976,000;3125,000;1851,000;2763,000;10,000;0,362;0,659;0,320
SP00017;SP;6847,000;4140,000;2707,000;3704,000;8,000;0,216;0,527;0,193
SP00018;SP;5238,000;3256,000;1982,000;2906,000;7,000;0,241;0,461;0,215
SP00019;SP;4798,000;3546,000;1252,000;3272,000;6,000;0,183;0,396;0,169
SP00020;SP;1562,000;1060,000;502,000;914,000;2,000;0,219;0,132;0,189
SP00021;SP;3914,000;2744,000;1170,000;2386,000;3,000;0,126;0,198;0,109
SP00022;SP;5474,000;3858,000;1616,000;3218,000;26,000;0,808;1,714;0,674
SP00023;SP;2029,000;1448,000;581,000;1264,000;4,000;0,316;0,264;0,276
SP00024;SP;629,000;454,000;175,000;420,000;2,000;0,476;0,132;0,441
SP00025;SP;3193,000;2227,000;966,000;2052,000;3,000;0,146;0,198;0,135
SP00026;SP;1515,000;1057,000;458,000;941,000;1,000;0,106;0,066;0,095
SP00027;SP;3011,000;1933,000;1078,000;1784,000;3,000;0,168;0,198;0,155
SP00029;SP;17797,000;12599,000;5198,000;11769,000;1,000;0,008;0,066;0,008
SP00031;SP;6412,000;4268,000;2144,000;3816,000;2,000;0,052;0,132;0,047
SP00032;SP;11991,000;8507,000;3484,000;8030,000;2,000;0,025;0,132;0,024
SP00033;SP;7735,000;5271,000;2464,000;4792,000;1,000;0,021;0,066;0,019
SP00034;SP;5401,000;3246,000;2155,000;2941,000;1,000;0,034;0,066;0,031
SP00035;SP;5608,000;3859,000;1749,000;3432,000;3,000;0,087;0,198;0,078
