CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00004;SP;6071,000;4117,000;1954,000;3653,000;2,000;0,055;0,697;0,049
SP00005;SP;7574,000;4851,000;2723,000;4286,000;1,000;0,023;0,348;0,021
SP00007;SP;9748,000;5727,000;4021,000;5077,000;2,000;0,039;0,697;0,035
SP00014;SP;7153,000;4433,000;2720,000;3934,000;2,000;0,051;0,697;0,045
SP00016;SP;4976,000;3125,000;1851,000;2763,000;2,000;0,072;0,697;0,064
SP00021;SP;3914,000;2744,000;1170,000;2386,000;1,000;0,042;0,348;0,036
SP00029;SP;17797,000;12599,000;5198,000;11769,000;1,000;0,008;0,348;0,008
SP00060;SP;6204,000;4150,000;2054,000;3582,000;2,000;0,056;0,697;0,048
SP00092;SP;8010,000;5674,000;2336,000;5030,000;1,000;0,020;0,348;0,018
SP00099;SP;4550,000;3344,000;1206,000;2841,000;3,000;0,106;1,045;0,090
SP00112;SP;5370,000;3564,000;1806,000;3242,000;1,000;0,031;0,348;0,028
SP00114;SP;11524,000;7280,000;4244,000;6663,000;2,000;0,030;0,697;0,027
SP00121;SP;4046,000;2658,000;1388,000;2420,000;1,000;0,041;0,348;0,038
SP00132;SP;4938,000;3378,000;1560,000;3079,000;1,000;0,032;0,348;0,030
SP00164;SP;5864,000;4364,000;1500,000;3543,000;1,000;0,028;0,348;0,023
SP00175;SP;4700,000;3395,000;1305,000;2728,000;1,000;0,037;0,348;0,029
SP00176;SP;4725,000;3530,000;1195,000;2946,000;1,000;0,034;0,348;0,028
SP00181;SP;1188,000;823,000;365,000;662,000;1,000;0,151;0,348;0,122
SP00198;SP;9846,000;7057,000;2789,000;6333,000;1,000;0,016;0,348;0,014
SP00203;SP;7005,000;4837,000;2168,000;4332,000;1,000;0,023;0,348;0,021
SP00209;SP;4117,000;3042,000;1075,000;2774,000;1,000;0,036;0,348;0,033
SP00222;SP;5627,000;4034,000;1593,000;3525,000;2,000;0,057;0,697;0,050
SP00241;SP;3798,000;2913,000;885,000;2413,000;1,000;0,041;0,348;0,034
