CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;1,000;0,016;0,127;0,015
SP00002;SP;8476,000;5539,000;2937,000;5059,000;1,000;0,020;0,127;0,018
SP00007;SP;9748,000;5727,000;4021,000;5077,000;2,000;0,039;0,253;0,035
SP00008;SP;4250,000;2710,000;1540,000;2422,000;1,000;0,041;0,127;0,037
SP00017;SP;6847,000;4140,000;2707,000;3704,000;1,000;0,027;0,127;0,024
SP00033;SP;7735,000;5271,000;2464,000;4792,000;2,000;0,042;0,253;0,038
SP00037;SP;5446,000;3922,000;1524,000;3606,000;1,000;0,028;0,127;0,025
SP00039;SP;6391,000;4336,000;2055,000;3981,000;2,000;0,050;0,253;0,046
SP00040;SP;7288,000;5434,000;1854,000;4999,000;1,000;0,020;0,127;0,018
SP00047;SP;4672,000;3348,000;1324,000;3050,000;1,000;0,033;0,127;0,030
SP00054;SP;5696,000;3753,000;1943,000;3197,000;1,000;0,031;0,127;0,027
SP00055;SP;8226,000;5391,000;2835,000;4660,000;1,000;0,021;0,127;0,019
SP00057;SP;4525,000;2909,000;1616,000;2485,000;1,000;0,040;0,127;0,034
SP00059;SP;6072,000;4040,000;2032,000;3525,000;1,000;0,028;0,127;0,025
SP00060;SP;6204,000;4150,000;2054,000;3582,000;2,000;0,056;0,253;0,048
SP00071;SP;6547,000;4082,000;2465,000;3615,000;2,000;0,055;0,253;0,049
SP00078;SP;6145,000;4471,000;1674,000;4014,000;1,000;0,025;0,127;0,022
SP00079;SP;6753,000;5126,000;1627,000;4484,000;1,000;0,022;0,127;0,020
SP00084;SP;8514,000;5960,000;2554,000;5282,000;1,000;0,019;0,127;0,017
SP00090;SP;5982,000;4272,000;1710,000;3906,000;1,000;0,026;0,127;0,023
SP00095;SP;7262,000;5378,000;1884,000;4657,000;1,000;0,021;0,127;0,019
SP00101;SP;8957,000;6780,000;2177,000;6001,000;1,000;0,017;0,127;0,015
SP00103;SP;2478,000;1733,000;745,000;1529,000;1,000;0,065;0,127;0,058
SP00105;SP;3570,000;2330,000;1240,000;2184,000;1,000;0,046;0,127;0,043
SP00106;SP;4729,000;3001,000;1728,000;2772,000;1,000;0,036;0,127;0,033
SP00115;SP;6789,000;4670,000;2119,000;4276,000;1,000;0,023;0,127;0,021
SP00116;SP;13458,000;8809,000;4649,000;8195,000;1,000;0,012;0,127;0,011
SP00120;SP;7492,000;5053,000;2439,000;4694,000;1,000;0,021;0,127;0,020
SP00122;SP;2338,000;1648,000;690,000;1510,000;1,000;0,066;0,127;0,061
SP00127;SP;7300,000;5121,000;2179,000;4725,000;1,000;0,021;0,127;0,020
