CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;1,000;0,016;0,292;0,015
SP00005;SP;7574,000;4851,000;2723,000;4286,000;1,000;0,023;0,292;0,021
SP00010;SP;9269,000;6039,000;3230,000;5553,000;1,000;0,018;0,292;0,017
SP00011;SP;7822,000;5249,000;2573,000;4769,000;1,000;0,021;0,292;0,019
SP00013;SP;4269,000;2958,000;1311,000;2742,000;1,000;0,036;0,292;0,034
SP00023;SP;2029,000;1448,000;581,000;1264,000;1,000;0,079;0,292;0,069
SP00029;SP;17797,000;12599,000;5198,000;11769,000;2,000;0,017;0,585;0,016
SP00032;SP;11991,000;8507,000;3484,000;8030,000;1,000;0,012;0,292;0,012
SP00041;SP;4585,000;3191,000;1394,000;2950,000;1,000;0,034;0,292;0,031
SP00061;SP;5110,000;3413,000;1697,000;2995,000;2,000;0,067;0,585;0,059
SP00077;SP;5316,000;3714,000;1602,000;3239,000;1,000;0,031;0,292;0,027
SP00092;SP;8010,000;5674,000;2336,000;5030,000;1,000;0,020;0,292;0,018
SP00102;SP;4710,000;2822,000;1888,000;2446,000;1,000;0,041;0,292;0,035
SP00116;SP;13458,000;8809,000;4649,000;8195,000;1,000;0,012;0,292;0,011
SP00122;SP;2338,000;1648,000;690,000;1510,000;1,000;0,066;0,292;0,061
SP00124;SP;5471,000;3750,000;1721,000;3417,000;1,000;0,029;0,292;0,027
SP00125;SP;8768,000;6055,000;2713,000;5539,000;1,000;0,018;0,292;0,017
SP00127;SP;7300,000;5121,000;2179,000;4725,000;1,000;0,021;0,292;0,020
SP00142;SP;4541,000;2990,000;1551,000;2638,000;1,000;0,038;0,292;0,033
SP00154;SP;6876,000;4799,000;2077,000;4025,000;1,000;0,025;0,292;0,021
SP00159;SP;8207,000;5759,000;2448,000;4847,000;1,000;0,021;0,292;0,017
SP00193;SP;4453,000;3011,000;1442,000;2715,000;3,000;0,110;0,877;0,100
SP00206;SP;3004,000;2207,000;797,000;2000,000;1,000;0,050;0,292;0,045
SP00213;SP;4732,000;3454,000;1278,000;3107,000;1,000;0,032;0,292;0,029
SP00223;SP;2666,000;1909,000;757,000;1662,000;1,000;0,060;0,292;0,052
SP00268;SP;6330,000;4415,000;1915,000;3742,000;2,000;0,053;0,585;0,045
SP00293;SP;2607,000;1718,000;889,000;1522,000;2,000;0,131;0,585;0,116
SP00317;SP;2042,000;1501,000;541,000;1271,000;1,000;0,079;0,292;0,067
SP00330;SP;4062,000;2873,000;1189,000;2547,000;1,000;0,039;0,292;0,035
SP00364;SP;1999,000;1353,000;646,000;1259,000;1,000;0,079;0,292;0,074
SP00379;SP;4356,000;2992,000;1364,000;2717,000;1,000;0,037;0,292;0,033
SP00393;SP;3958,000;2809,000;1149,000;2404,000;1,000;0,042;0,292;0,036
SP00396;SP;2981,000;2015,000;966,000;1734,000;1,000;0,058;0,292;0,050
SP00397;SP;4072,000;2894,000;1178,000;2418,000;1,000;0,041;0,292;0,035
SP00399;SP;4200,000;2969,000;1231,000;2600,000;1,000;0,038;0,292;0,034
SP00408;SP;7217,000;5129,000;2088,000;4414,000;1,000;0,023;0,292;0,019
SP00413;SP;5079,000;3987,000;1092,000;3298,000;1,000;0,030;0,292;0,025
SP00419;SP;4961,000;3484,000;1477,000;3096,000;1,000;0,032;0,292;0,029
SP00429;SP;5111,000;3592,000;1519,000;3236,000;1,000;0,031;0,292;0,028
SP00430;SP;8129,000;5971,000;2158,000;5396,000;2,000;0,037;0,585;0,033
SP00431;SP;4417,000;3122,000;1295,000;2760,000;1,000;0,036;0,292;0,032
SP00432;SP;3964,000;2754,000;1210,000;2401,000;3,000;0,125;0,877;0,109
SP00434;SP;5194,000;3618,000;1576,000;3183,000;1,000;0,031;0,292;0,028
SP00436;SP;2845,000;1967,000;878,000;1697,000;1,000;0,059;0,292;0,051
SP00447;SP;4015,000;3076,000;939,000;2611,000;3,000;0,115;0,877;0,098
SP00452;SP;3018,000;2212,000;806,000;1929,000;1,000;0,052;0,292;0,045
SP00471;SP;3265,000;2247,000;1018,000;1966,000;1,000;0,051;0,292;0,045
SP00496;SP;4579,000;3372,000;1207,000;3009,000;1,000;0,033;0,292;0,030
SP00499;SP;6834,000;4904,000;1930,000;4285,000;1,000;0,023;0,292;0,020
SP00562;SP;3269,000;2452,000;817,000;2120,000;1,000;0,047;0,292;0,041
SP00573;SP;1187,000;887,000;300,000;742,000;1,000;0,135;0,292;0,113
SP00581;SP;5307,000;3773,000;1534,000;3338,000;2,000;0,060;0,585;0,053
SP00598;SP;4844,000;3433,000;1411,000;2954,000;2,000;0,068;0,585;0,058
SP00610;SP;4996,000;3877,000;1119,000;3393,000;1,000;0,029;0,292;0,026
SP00621;SP;7468,000;5058,000;2410,000;4641,000;1,000;0,022;0,292;0,020
SP00627;SP;7090,000;4763,000;2327,000;4286,000;1,000;0,023;0,292;0,021
SP00632;SP;9851,000;7134,000;2717,000;6537,000;1,000;0,015;0,292;0,014
SP00642;SP;5042,000;3746,000;1296,000;3356,000;1,000;0,030;0,292;0,027
SP00644;SP;5516,000;3931,000;1585,000;3555,000;1,000;0,028;0,292;0,025
SP00652;SP;4711,000;3356,000;1355,000;2915,000;1,000;0,034;0,292;0,030
SP00653;SP;9758,000;6871,000;2887,000;6317,000;1,000;0,016;0,292;0,015
SP00656;SP;7540,000;5423,000;2117,000;4936,000;1,000;0,020;0,292;0,018
SP00676;SP;3751,000;2837,000;914,000;2529,000;1,000;0,040;0,292;0,035
SP00680;SP;11486,000;8694,000;2792,000;7821,000;1,000;0,013;0,292;0,012
SP00681;SP;5137,000;3903,000;1234,000;3542,000;1,000;0,028;0,292;0,026
SP00683;SP;5169,000;3990,000;1179,000;3629,000;1,000;0,028;0,292;0,025
SP00687;SP;5282,000;3669,000;1613,000;3211,000;1,000;0,031;0,292;0,027
SP00696;SP;1384,000;1069,000;315,000;972,000;1,000;0,103;0,292;0,094
SP00697;SP;4338,000;3181,000;1157,000;2881,000;1,000;0,035;0,292;0,031
SP00698;SP;4269,000;3022,000;1247,000;2595,000;1,000;0,039;0,292;0,033
SP00708;SP;5710,000;3952,000;1758,000;3354,000;1,000;0,030;0,292;0,025
SP00767;SP;6440,000;4457,000;1983,000;3930,000;1,000;0,025;0,292;0,022
SP00769;SP;5078,000;3464,000;1614,000;3068,000;1,000;0,033;0,292;0,029
SP00771;SP;7436,000;5164,000;2272,000;4500,000;1,000;0,022;0,292;0,019
SP00775;SP;7449,000;5305,000;2144,000;4528,000;1,000;0,022;0,292;0,019
SP00779;SP;7813,000;5789,000;2024,000;4877,000;1,000;0,021;0,292;0,017
SP00785;SP;1882,000;1434,000;448,000;1271,000;1,000;0,079;0,292;0,070
SP00788;SP;6979,000;5171,000;1808,000;4203,000;1,000;0,024;0,292;0,019
SP00798;SP;3561,000;2771,000;790,000;2464,000;1,000;0,041;0,292;0,036
SP00812;SP;6537,000;4507,000;2030,000;3857,000;1,000;0,026;0,292;0,022
SP00825;SP;3960,000;3079,000;881,000;2727,000;1,000;0,037;0,292;0,032
SP00826;SP;2231,000;1737,000;494,000;1498,000;1,000;0,067;0,292;0,058
SP00874;SP;3637,000;2753,000;884,000;2278,000;1,000;0,044;0,292;0,036
SP00926;SP;5575,000;3935,000;1640,000;3387,000;1,000;0,030;0,292;0,025
SP00939;SP;6851,000;5005,000;1846,000;4282,000;1,000;0,023;0,292;0,020
SP00952;SP;13315,000;8912,000;4403,000;7365,000;1,000;0,014;0,292;0,011
SP00953;SP;6513,000;4880,000;1633,000;4005,000;1,000;0,025;0,292;0,020
SP00958;SP;5350,000;3284,000;2066,000;2681,000;1,000;0,037;0,292;0,030
SP00975;SP;5925,000;4068,000;1857,000;3551,000;1,000;0,028;0,292;0,025
SP00977;SP;4747,000;3316,000;1431,000;2910,000;1,000;0,034;0,292;0,030
SP00979;SP;3936,000;2939,000;997,000;2570,000;1,000;0,039;0,292;0,034
SP00981;SP;4660,000;3036,000;1624,000;2763,000;2,000;0,072;0,585;0,066
SP01001;SP;5804,000;4098,000;1706,000;3731,000;2,000;0,054;0,585;0,049
SP01004;SP;8670,000;6136,000;2534,000;5546,000;1,000;0,018;0,292;0,016
SP01012;SP;9040,000;6338,000;2702,000;5575,000;1,000;0,018;0,292;0,016
SP01013;SP;5581,000;4094,000;1487,000;3585,000;1,000;0,028;0,292;0,024
SP01016;SP;7681,000;5440,000;2241,000;4570,000;1,000;0,022;0,292;0,018
SP01017;SP;3849,000;2621,000;1228,000;2231,000;2,000;0,090;0,585;0,076
SP01018;SP;4200,000;2913,000;1287,000;2462,000;1,000;0,041;0,292;0,034
SP01025;SP;3899,000;2743,000;1156,000;2367,000;2,000;0,084;0,585;0,073
SP01031;SP;4290,000;3312,000;978,000;2843,000;4,000;0,141;1,170;0,121
SP01032;SP;4988,000;3787,000;1201,000;3216,000;4,000;0,124;1,170;0,106
SP01034;SP;3909,000;2923,000;986,000;2528,000;2,000;0,079;0,585;0,068
SP01035;SP;6691,000;4957,000;1734,000;4181,000;31,000;0,741;9,064;0,625
SP01037;SP;5057,000;3801,000;1256,000;3294,000;7,000;0,213;2,047;0,184
SP01038;SP;3517,000;2693,000;824,000;2279,000;8,000;0,351;2,339;0,297
SP01039;SP;3823,000;2910,000;913,000;2407,000;1,000;0,042;0,292;0,034
SP01042;SP;4324,000;3222,000;1102,000;2725,000;10,000;0,367;2,924;0,310
SP01043;SP;1572,000;1215,000;357,000;1043,000;1,000;0,096;0,292;0,082
SP01044;SP;4726,000;3643,000;1083,000;3151,000;6,000;0,190;1,754;0,165
SP01045;SP;4702,000;3558,000;1144,000;2953,000;4,000;0,135;1,170;0,112
SP01046;SP;1567,000;1208,000;359,000;1036,000;1,000;0,097;0,292;0,083
SP01051;SP;3156,000;2436,000;720,000;2042,000;2,000;0,098;0,585;0,082
SP01056;SP;6196,000;4361,000;1835,000;3772,000;1,000;0,027;0,292;0,023
SP01058;SP;5074,000;3597,000;1477,000;3098,000;1,000;0,032;0,292;0,028
SP01063;SP;4282,000;3023,000;1259,000;2516,000;6,000;0,238;1,754;0,198
SP01067;SP;3428,000;2676,000;752,000;2228,000;2,000;0,090;0,585;0,075
SP01078;SP;10615,000;7516,000;3099,000;6404,000;3,000;0,047;0,877;0,040
SP01079;SP;8588,000;6157,000;2431,000;5169,000;1,000;0,019;0,292;0,016
SP01082;SP;2526,000;1599,000;927,000;1355,000;1,000;0,074;0,292;0,063
SP01084;SP;4187,000;3316,000;871,000;2810,000;2,000;0,071;0,585;0,060
SP01097;SP;7641,000;5404,000;2237,000;4710,000;1,000;0,021;0,292;0,019
SP01101;SP;5144,000;3574,000;1570,000;3122,000;1,000;0,032;0,292;0,028
SP01105;SP;5682,000;4024,000;1658,000;3544,000;1,000;0,028;0,292;0,025
SP01123;SP;8211,000;5806,000;2405,000;4970,000;1,000;0,020;0,292;0,017
SP01126;SP;6161,000;4278,000;1883,000;3664,000;1,000;0,027;0,292;0,023
SP01132;SP;5881,000;4069,000;1812,000;3481,000;1,000;0,029;0,292;0,025
SP01133;SP;5893,000;4168,000;1725,000;3571,000;2,000;0,056;0,585;0,048
SP01135;SP;5468,000;3955,000;1513,000;3382,000;1,000;0,030;0,292;0,025
SP01136;SP;6560,000;4999,000;1561,000;4267,000;1,000;0,023;0,292;0,020
SP01138;SP;3414,000;2601,000;813,000;2219,000;1,000;0,045;0,292;0,038
SP01145;SP;5008,000;3768,000;1240,000;3211,000;1,000;0,031;0,292;0,027
SP01157;SP;6773,000;5060,000;1713,000;4280,000;1,000;0,023;0,292;0,020
SP01163;SP;4114,000;2788,000;1326,000;2400,000;3,000;0,125;0,877;0,108
SP01164;SP;5708,000;3888,000;1820,000;3284,000;1,000;0,030;0,292;0,026
SP01167;SP;6259,000;4450,000;1809,000;3620,000;2,000;0,055;0,585;0,045
SP01186;SP;3559,000;2774,000;785,000;2416,000;1,000;0,041;0,292;0,036
SP01187;SP;2356,000;1723,000;633,000;1366,000;1,000;0,073;0,292;0,058
SP01192;SP;5481,000;3973,000;1508,000;3323,000;1,000;0,030;0,292;0,025
SP01208;SP;6891,000;5231,000;1660,000;4256,000;1,000;0,023;0,292;0,019
SP01219;SP;3597,000;2723,000;874,000;2163,000;1,000;0,046;0,292;0,037
SP01236;SP;4335,000;3024,000;1311,000;2493,000;1,000;0,040;0,292;0,033
SP01251;SP;5249,000;3752,000;1497,000;3003,000;1,000;0,033;0,292;0,027
SP01275;SP;8215,000;5845,000;2370,000;4919,000;1,000;0,020;0,292;0,017
SP01316;SP;6703,000;4570,000;2133,000;3887,000;1,000;0,026;0,292;0,022
SP01346;SP;4333,000;3268,000;1065,000;2784,000;1,000;0,036;0,292;0,031
SP01391;SP;5920,000;4493,000;1427,000;3657,000;1,000;0,027;0,292;0,022
SP01401;SP;8695,000;6029,000;2666,000;5349,000;1,000;0,019;0,292;0,017
SP01405;SP;6097,000;4577,000;1520,000;4036,000;2,000;0,050;0,585;0,044
SP01421;SP;9984,000;7349,000;2635,000;6353,000;1,000;0,016;0,292;0,014
SP01427;SP;13842,000;9705,000;4137,000;8556,000;3,000;0,035;0,877;0,031
SP01433;SP;2066,000;1622,000;444,000;1356,000;1,000;0,074;0,292;0,062
SP01451;SP;4196,000;3104,000;1092,000;2494,000;2,000;0,080;0,585;0,064
SP01479;SP;7013,000;5355,000;1658,000;4424,000;2,000;0,045;0,585;0,037
SP01513;SP;3487,000;2433,000;1054,000;2006,000;1,000;0,050;0,292;0,041
SP01543;SP;6952,000;5280,000;1672,000;4396,000;1,000;0,023;0,292;0,019
SP01618;SP;8129,000;6088,000;2041,000;4942,000;1,000;0,020;0,292;0,016
SP01652;SP;5410,000;3880,000;1530,000;3273,000;1,000;0,031;0,292;0,026
SP01661;SP;4921,000;3565,000;1356,000;3038,000;1,000;0,033;0,292;0,028
SP01696;SP;3501,000;2635,000;866,000;2139,000;1,000;0,047;0,292;0,038
SP01711;SP;2862,000;2103,000;759,000;1740,000;1,000;0,057;0,292;0,048
SP01752;SP;5109,000;3572,000;1537,000;2956,000;2,000;0,068;0,585;0,056
SP01755;SP;4747,000;3670,000;1077,000;3180,000;1,000;0,031;0,292;0,027
SP01758;SP;4558,000;3594,000;964,000;3021,000;1,000;0,033;0,292;0,028
SP01761;SP;6449,000;4860,000;1589,000;3968,000;1,000;0,025;0,292;0,021
SP01770;SP;6174,000;4477,000;1697,000;3720,000;1,000;0,027;0,292;0,022
SP01797;SP;6711,000;4719,000;1992,000;3984,000;1,000;0,025;0,292;0,021
SP01799;SP;7489,000;5627,000;1862,000;4802,000;1,000;0,021;0,292;0,018
SP01830;SP;3740,000;2650,000;1090,000;2266,000;1,000;0,044;0,292;0,038
SP01832;SP;6225,000;4582,000;1643,000;3756,000;1,000;0,027;0,292;0,022
SP01844;SP;4512,000;3069,000;1443,000;2698,000;1,000;0,037;0,292;0,033
SP01867;SP;5509,000;4205,000;1304,000;3512,000;1,000;0,028;0,292;0,024
SP01872;SP;7613,000;5835,000;1778,000;5033,000;1,000;0,020;0,292;0,017
SP01878;SP;4970,000;3583,000;1387,000;2983,000;1,000;0,034;0,292;0,028
SP01883;SP;5157,000;3842,000;1315,000;3197,000;1,000;0,031;0,292;0,026
SP01887;SP;11149,000;7662,000;3487,000;6482,000;2,000;0,031;0,585;0,026
SP01890;SP;5322,000;3800,000;1522,000;3207,000;3,000;0,094;0,877;0,079
SP01891;SP;2651,000;2058,000;593,000;1758,000;2,000;0,114;0,585;0,097
SP01892;SP;7589,000;5302,000;2287,000;4472,000;4,000;0,089;1,170;0,075
SP01893;SP;6981,000;4853,000;2128,000;4154,000;10,000;0,241;2,924;0,206
SP01894;SP;7264,000;5494,000;1770,000;4613,000;7,000;0,152;2,047;0,127
SP01896;SP;4681,000;3529,000;1152,000;2874,000;2,000;0,070;0,585;0,057
SP01897;SP;3517,000;2672,000;845,000;2257,000;1,000;0,044;0,292;0,037
SP01898;SP;4700,000;3612,000;1088,000;2987,000;1,000;0,033;0,292;0,028
SP01899;SP;6018,000;4686,000;1332,000;4033,000;4,000;0,099;1,170;0,085
SP01900;SP;4988,000;3830,000;1158,000;3267,000;2,000;0,061;0,585;0,052
SP01901;SP;2685,000;2070,000;615,000;1730,000;4,000;0,231;1,170;0,193
SP01906;SP;4600,000;3470,000;1130,000;2856,000;2,000;0,070;0,585;0,058
SP01907;SP;5356,000;4156,000;1200,000;3425,000;1,000;0,029;0,292;0,024
SP01909;SP;2748,000;2096,000;652,000;1732,000;5,000;0,289;1,462;0,239
SP01912;SP;1369,000;1015,000;354,000;853,000;2,000;0,234;0,585;0,197
SP01932;SP;6660,000;4948,000;1712,000;3975,000;2,000;0,050;0,585;0,040
SP01946;SP;2503,000;1878,000;625,000;1619,000;1,000;0,062;0,292;0,053
SP01957;SP;4354,000;2954,000;1400,000;2548,000;1,000;0,039;0,292;0,034
SP01963;SP;6175,000;4386,000;1789,000;3833,000;2,000;0,052;0,585;0,046
SP01965;SP;6052,000;4377,000;1675,000;3858,000;2,000;0,052;0,585;0,046
SP02006;SP;2512,000;1848,000;664,000;1496,000;1,000;0,067;0,292;0,054
SP02056;SP;3560,000;2821,000;739,000;2491,000;1,000;0,040;0,292;0,035
SP02058;SP;3951,000;2944,000;1007,000;2403,000;1,000;0,042;0,292;0,034
