CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00129;SP;8021,000;5609,000;2412,000;5146,000;1,000;0,019;0,820;0,018
SP00170;SP;3660,000;2732,000;928,000;2322,000;1,000;0,043;0,820;0,037
SP00175;SP;4700,000;3395,000;1305,000;2728,000;1,000;0,037;0,820;0,029
SP00189;SP;5717,000;3833,000;1884,000;3381,000;3,000;0,089;2,459;0,078
SP00201;SP;9459,000;6572,000;2887,000;5989,000;1,000;0,017;0,820;0,015
SP00247;SP;3039,000;2356,000;683,000;1915,000;1,000;0,052;0,820;0,042
SP00297;SP;1311,000;946,000;365,000;845,000;1,000;0,118;0,820;0,106
SP00389;SP;2663,000;1942,000;721,000;1788,000;1,000;0,056;0,820;0,051
SP00415;SP;3888,000;2993,000;895,000;2599,000;1,000;0,038;0,820;0,033
SP00585;SP;4746,000;3318,000;1428,000;2911,000;1,000;0,034;0,820;0,030
SP00647;SP;7403,000;5083,000;2320,000;4634,000;1,000;0,022;0,820;0,020
SP00876;SP;4758,000;3686,000;1072,000;3039,000;1,000;0,033;0,820;0,027
SP00933;SP;6037,000;4261,000;1776,000;3621,000;1,000;0,028;0,820;0,023
SP00934;SP;5284,000;3737,000;1547,000;3064,000;1,000;0,033;0,820;0,027
SP00936;SP;6913,000;5008,000;1905,000;4173,000;1,000;0,024;0,820;0,020
SP00940;SP;7378,000;5137,000;2241,000;4304,000;24,000;0,558;19,672;0,467
SP00943;SP;5578,000;4080,000;1498,000;3484,000;4,000;0,115;3,279;0,098
SP00944;SP;6614,000;4784,000;1830,000;3934,000;3,000;0,076;2,459;0,063
SP00946;SP;4553,000;3449,000;1104,000;2787,000;5,000;0,179;4,098;0,145
SP00949;SP;6028,000;4426,000;1602,000;3627,000;7,000;0,193;5,738;0,158
SP00951;SP;6758,000;5122,000;1636,000;4246,000;18,000;0,424;14,754;0,351
SP00952;SP;13315,000;8912,000;4403,000;7365,000;1,000;0,014;0,820;0,011
SP00957;SP;6423,000;4747,000;1676,000;3930,000;1,000;0,025;0,820;0,021
SP00959;SP;7126,000;5108,000;2018,000;4199,000;7,000;0,167;5,738;0,137
SP00991;SP;3538,000;2527,000;1011,000;2242,000;3,000;0,134;2,459;0,119
SP01096;SP;4179,000;2929,000;1250,000;2561,000;1,000;0,039;0,820;0,034
SP01171;SP;6620,000;4759,000;1861,000;3966,000;1,000;0,025;0,820;0,021
SP01267;SP;3668,000;2674,000;994,000;2188,000;1,000;0,046;0,820;0,037
SP01287;SP;4630,000;3599,000;1031,000;3061,000;1,000;0,033;0,820;0,028
SP01312;SP;4582,000;3352,000;1230,000;2711,000;1,000;0,037;0,820;0,030
SP01320;SP;8209,000;6019,000;2190,000;5015,000;1,000;0,020;0,820;0,017
SP01325;SP;2946,000;2309,000;637,000;1970,000;1,000;0,051;0,820;0,043
SP01347;SP;7950,000;5978,000;1972,000;5066,000;1,000;0,020;0,820;0,017
SP01361;SP;7818,000;5512,000;2306,000;4598,000;1,000;0,022;0,820;0,018
SP01363;SP;5696,000;3998,000;1698,000;3277,000;1,000;0,031;0,820;0,025
SP01364;SP;3423,000;2550,000;873,000;2100,000;1,000;0,048;0,820;0,039
SP01371;SP;7808,000;5764,000;2044,000;4744,000;1,000;0,021;0,820;0,017
SP01373;SP;6512,000;4729,000;1783,000;3906,000;1,000;0,026;0,820;0,021
SP01380;SP;6398,000;4752,000;1646,000;3983,000;1,000;0,025;0,820;0,021
SP01382;SP;4773,000;3511,000;1262,000;2832,000;1,000;0,035;0,820;0,028
SP01384;SP;1615,000;1256,000;359,000;1024,000;2,000;0,195;1,639;0,159
SP01427;SP;13842,000;9705,000;4137,000;8556,000;1,000;0,012;0,820;0,010
SP01719;SP;5072,000;3667,000;1405,000;3138,000;1,000;0,032;0,820;0,027
SP01772;SP;6424,000;4687,000;1737,000;3846,000;1,000;0,026;0,820;0,021
SP01789;SP;5960,000;4385,000;1575,000;3608,000;1,000;0,028;0,820;0,023
SP01792;SP;4050,000;2861,000;1189,000;2330,000;1,000;0,043;0,820;0,035
SP01819;SP;6180,000;4697,000;1483,000;3886,000;1,000;0,026;0,820;0,021
SP01829;SP;6875,000;5127,000;1748,000;4366,000;2,000;0,046;1,639;0,039
SP01836;SP;6148,000;4540,000;1608,000;3783,000;1,000;0,026;0,820;0,022
SP01845;SP;6584,000;4733,000;1851,000;3854,000;1,000;0,026;0,820;0,021
SP01849;SP;3121,000;2123,000;998,000;1729,000;1,000;0,058;0,820;0,047
SP01880;SP;4589,000;3325,000;1264,000;2844,000;1,000;0,035;0,820;0,030
SP01934;SP;7848,000;5935,000;1913,000;4997,000;1,000;0,020;0,820;0,017
SP01939;SP;6689,000;4917,000;1772,000;4007,000;1,000;0,025;0,820;0,020
SP01954;SP;2478,000;1836,000;642,000;1560,000;1,000;0,064;0,820;0,054
