CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;2,000;0,033;0,044;0,030
SP00002;SP;8476,000;5539,000;2937,000;5059,000;1,000;0,020;0,022;0,018
SP00007;SP;9748,000;5727,000;4021,000;5077,000;4,000;0,079;0,087;0,070
SP00015;SP;4890,000;3200,000;1690,000;2777,000;1,000;0,036;0,022;0,031
SP00016;SP;4976,000;3125,000;1851,000;2763,000;1,000;0,036;0,022;0,032
SP00017;SP;6847,000;4140,000;2707,000;3704,000;1,000;0,027;0,022;0,024
SP00018;SP;5238,000;3256,000;1982,000;2906,000;1,000;0,034;0,022;0,031
SP00027;SP;3011,000;1933,000;1078,000;1784,000;3,000;0,168;0,066;0,155
SP00029;SP;17797,000;12599,000;5198,000;11769,000;1,000;0,008;0,022;0,008
SP00036;SP;6716,000;4776,000;1940,000;4457,000;1,000;0,022;0,022;0,021
SP00037;SP;5446,000;3922,000;1524,000;3606,000;1,000;0,028;0,022;0,025
SP00039;SP;6391,000;4336,000;2055,000;3981,000;1,000;0,025;0,022;0,023
SP00041;SP;4585,000;3191,000;1394,000;2950,000;1,000;0,034;0,022;0,031
SP00047;SP;4672,000;3348,000;1324,000;3050,000;1,000;0,033;0,022;0,030
SP00052;SP;5165,000;3133,000;2032,000;2746,000;1,000;0,036;0,022;0,032
SP00053;SP;6007,000;3594,000;2413,000;3140,000;1,000;0,032;0,022;0,028
SP00056;SP;5794,000;3640,000;2154,000;3156,000;1,000;0,032;0,022;0,027
SP00058;SP;5387,000;3548,000;1839,000;3095,000;1,000;0,032;0,022;0,028
SP00064;SP;6208,000;4037,000;2171,000;3511,000;1,000;0,028;0,022;0,025
SP00070;SP;4221,000;2997,000;1224,000;2670,000;2,000;0,075;0,044;0,067
SP00071;SP;6547,000;4082,000;2465,000;3615,000;1,000;0,028;0,022;0,024
SP00073;SP;14871,000;9817,000;5054,000;8895,000;3,000;0,034;0,066;0,031
SP00076;SP;7781,000;5170,000;2611,000;4521,000;3,000;0,066;0,066;0,058
SP00082;SP;2042,000;1343,000;699,000;1191,000;1,000;0,084;0,022;0,074
SP00084;SP;8514,000;5960,000;2554,000;5282,000;1,000;0,019;0,022;0,017
SP00085;SP;7942,000;5522,000;2420,000;4861,000;1,000;0,021;0,022;0,018
SP00087;SP;7025,000;4901,000;2124,000;4319,000;1,000;0,023;0,022;0,020
SP00088;SP;8110,000;5666,000;2444,000;5056,000;2,000;0,040;0,044;0,035
SP00089;SP;6261,000;4229,000;2032,000;3816,000;2,000;0,052;0,044;0,047
SP00093;SP;4638,000;3524,000;1114,000;3163,000;1,000;0,032;0,022;0,028
SP00094;SP;3713,000;2680,000;1033,000;2357,000;1,000;0,042;0,022;0,037
SP00096;SP;3961,000;2845,000;1116,000;2437,000;1,000;0,041;0,022;0,035
SP00100;SP;4225,000;2928,000;1297,000;2539,000;1,000;0,039;0,022;0,034
SP00101;SP;8957,000;6780,000;2177,000;6001,000;2,000;0,033;0,044;0,029
SP00105;SP;3570,000;2330,000;1240,000;2184,000;1,000;0,046;0,022;0,043
SP00106;SP;4729,000;3001,000;1728,000;2772,000;1,000;0,036;0,022;0,033
SP00111;SP;5405,000;3713,000;1692,000;3463,000;1,000;0,029;0,022;0,027
