CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00002;SP;8476,000;5539,000;2937,000;5059,000;1,000;0,020;0,299;0,018
SP00003;SP;6223,000;3562,000;2661,000;3191,000;2,000;0,063;0,599;0,056
SP00004;SP;6071,000;4117,000;1954,000;3653,000;1,000;0,027;0,299;0,024
SP00007;SP;9748,000;5727,000;4021,000;5077,000;1,000;0,020;0,299;0,017
SP00014;SP;7153,000;4433,000;2720,000;3934,000;1,000;0,025;0,299;0,023
SP00016;SP;4976,000;3125,000;1851,000;2763,000;1,000;0,036;0,299;0,032
SP00028;SP;8070,000;5175,000;2895,000;4726,000;1,000;0,021;0,299;0,019
SP00029;SP;17797,000;12599,000;5198,000;11769,000;1,000;0,008;0,299;0,008
SP00033;SP;7735,000;5271,000;2464,000;4792,000;1,000;0,021;0,299;0,019
SP00036;SP;6716,000;4776,000;1940,000;4457,000;5,000;0,112;1,497;0,105
SP00038;SP;8044,000;5650,000;2394,000;5177,000;1,000;0,019;0,299;0,018
SP00041;SP;4585,000;3191,000;1394,000;2950,000;1,000;0,034;0,299;0,031
SP00045;SP;3377,000;2532,000;845,000;2298,000;3,000;0,131;0,898;0,118
SP00046;SP;8211,000;6097,000;2114,000;5678,000;2,000;0,035;0,599;0,033
SP00048;SP;5609,000;4361,000;1248,000;4021,000;1,000;0,025;0,299;0,023
SP00049;SP;2731,000;2018,000;713,000;1902,000;1,000;0,053;0,299;0,050
SP00051;SP;9919,000;6324,000;3595,000;5895,000;2,000;0,034;0,599;0,032
SP00058;SP;5387,000;3548,000;1839,000;3095,000;1,000;0,032;0,299;0,028
SP00069;SP;2939,000;2032,000;907,000;1793,000;2,000;0,112;0,599;0,098
SP00073;SP;14871,000;9817,000;5054,000;8895,000;2,000;0,022;0,599;0,020
SP00077;SP;5316,000;3714,000;1602,000;3239,000;2,000;0,062;0,599;0,054
SP00083;SP;12710,000;9298,000;3412,000;8373,000;1,000;0,012;0,299;0,011
SP00085;SP;7942,000;5522,000;2420,000;4861,000;1,000;0,021;0,299;0,018
SP00089;SP;6261,000;4229,000;2032,000;3816,000;1,000;0,026;0,299;0,024
SP00093;SP;4638,000;3524,000;1114,000;3163,000;3,000;0,095;0,898;0,085
SP00095;SP;7262,000;5378,000;1884,000;4657,000;3,000;0,064;0,898;0,056
SP00101;SP;8957,000;6780,000;2177,000;6001,000;3,000;0,050;0,898;0,044
SP00108;SP;7706,000;4996,000;2710,000;4672,000;2,000;0,043;0,599;0,040
SP00110;SP;4331,000;2860,000;1471,000;2625,000;1,000;0,038;0,299;0,035
SP00114;SP;11524,000;7280,000;4244,000;6663,000;2,000;0,030;0,599;0,027
SP00115;SP;6789,000;4670,000;2119,000;4276,000;1,000;0,023;0,299;0,021
SP00117;SP;12258,000;8026,000;4232,000;7396,000;1,000;0,014;0,299;0,012
SP00119;SP;8699,000;5629,000;3070,000;5241,000;1,000;0,019;0,299;0,018
SP00120;SP;7492,000;5053,000;2439,000;4694,000;1,000;0,021;0,299;0,020
SP00121;SP;4046,000;2658,000;1388,000;2420,000;1,000;0,041;0,299;0,038
SP00125;SP;8768,000;6055,000;2713,000;5539,000;1,000;0,018;0,299;0,017
SP00126;SP;3970,000;2788,000;1182,000;2578,000;1,000;0,039;0,299;0,036
SP00127;SP;7300,000;5121,000;2179,000;4725,000;2,000;0,042;0,599;0,039
SP00128;SP;9830,000;6546,000;3284,000;5910,000;1,000;0,017;0,299;0,015
SP00129;SP;8021,000;5609,000;2412,000;5146,000;3,000;0,058;0,898;0,053
SP00130;SP;7718,000;5325,000;2393,000;4865,000;1,000;0,021;0,299;0,019
SP00131;SP;5037,000;3622,000;1415,000;3345,000;1,000;0,030;0,299;0,028
SP00133;SP;4191,000;2905,000;1286,000;2648,000;3,000;0,113;0,898;0,103
SP00134;SP;5615,000;3841,000;1774,000;3504,000;1,000;0,029;0,299;0,026
SP00136;SP;9241,000;6497,000;2744,000;5815,000;2,000;0,034;0,599;0,031
SP00139;SP;7945,000;5514,000;2431,000;4905,000;1,000;0,020;0,299;0,018
SP00140;SP;5793,000;3889,000;1904,000;3467,000;2,000;0,058;0,599;0,051
SP00141;SP;4594,000;3186,000;1408,000;2804,000;1,000;0,036;0,299;0,031
