CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00004;SP;6071,000;4117,000;1954,000;3653,000;1,000;0,027;1,099;0,024
SP00017;SP;6847,000;4140,000;2707,000;3704,000;1,000;0,027;1,099;0,024
SP00060;SP;6204,000;4150,000;2054,000;3582,000;1,000;0,028;1,099;0,024
SP00064;SP;6208,000;4037,000;2171,000;3511,000;2,000;0,057;2,198;0,050
SP00224;SP;4682,000;3295,000;1387,000;2841,000;1,000;0,035;1,099;0,030
SP00300;SP;5119,000;3795,000;1324,000;3340,000;1,000;0,030;1,099;0,026
SP00303;SP;3512,000;2379,000;1133,000;2163,000;1,000;0,046;1,099;0,042
SP00403;SP;6930,000;5024,000;1906,000;4268,000;1,000;0,023;1,099;0,020
SP00414;SP;2489,000;1977,000;512,000;1655,000;1,000;0,060;1,099;0,051
SP00454;SP;6000,000;4085,000;1915,000;3524,000;1,000;0,028;1,099;0,024
SP00468;SP;5330,000;3854,000;1476,000;3503,000;1,000;0,029;1,099;0,026
SP00469;SP;5448,000;3854,000;1594,000;3445,000;3,000;0,087;3,297;0,078
SP00475;SP;5821,000;4091,000;1730,000;3609,000;1,000;0,028;1,099;0,024
SP00478;SP;3496,000;2495,000;1001,000;2209,000;1,000;0,045;1,099;0,040
SP00484;SP;3212,000;2384,000;828,000;2097,000;1,000;0,048;1,099;0,042
SP00489;SP;1525,000;1226,000;299,000;1101,000;1,000;0,091;1,099;0,082
SP00491;SP;985,000;764,000;221,000;701,000;1,000;0,143;1,099;0,131
SP00528;SP;2366,000;1777,000;589,000;1569,000;1,000;0,064;1,099;0,056
SP00543;SP;8077,000;5459,000;2618,000;4653,000;1,000;0,021;1,099;0,018
SP00545;SP;7097,000;4864,000;2233,000;4172,000;2,000;0,048;2,198;0,041
SP00553;SP;4676,000;3124,000;1552,000;2659,000;1,000;0,038;1,099;0,032
SP00559;SP;6869,000;5121,000;1748,000;4262,000;1,000;0,023;1,099;0,020
SP00560;SP;4755,000;3443,000;1312,000;2876,000;5,000;0,174;5,495;0,145
SP00571;SP;1966,000;1470,000;496,000;1235,000;4,000;0,324;4,396;0,272
SP00572;SP;5117,000;3692,000;1425,000;3011,000;1,000;0,033;1,099;0,027
SP00574;SP;4916,000;3364,000;1552,000;2734,000;9,000;0,329;9,890;0,268
SP00634;SP;6679,000;4545,000;2134,000;4143,000;1,000;0,024;1,099;0,022
SP00676;SP;3751,000;2837,000;914,000;2529,000;2,000;0,079;2,198;0,070
SP00690;SP;5510,000;3819,000;1691,000;3318,000;1,000;0,030;1,099;0,026
SP00808;SP;5967,000;4362,000;1605,000;3844,000;2,000;0,052;2,198;0,046
SP00814;SP;3409,000;2340,000;1069,000;2047,000;1,000;0,049;1,099;0,043
SP00895;SP;4545,000;3059,000;1486,000;2625,000;1,000;0,038;1,099;0,033
SP00922;SP;8638,000;6089,000;2549,000;5158,000;2,000;0,039;2,198;0,033
SP00929;SP;2588,000;2013,000;575,000;1723,000;1,000;0,058;1,099;0,050
SP01012;SP;9040,000;6338,000;2702,000;5575,000;2,000;0,036;2,198;0,032
SP01041;SP;1390,000;1045,000;345,000;903,000;1,000;0,111;1,099;0,096
SP01093;SP;5944,000;4192,000;1752,000;3670,000;1,000;0,027;1,099;0,024
SP01098;SP;5642,000;4016,000;1626,000;3546,000;2,000;0,056;2,198;0,050
SP01113;SP;5153,000;3920,000;1233,000;3365,000;2,000;0,059;2,198;0,051
SP01121;SP;2241,000;1669,000;572,000;1388,000;2,000;0,144;2,198;0,120
SP01128;SP;4920,000;3469,000;1451,000;2978,000;1,000;0,034;1,099;0,029
SP01241;SP;6681,000;4962,000;1719,000;3929,000;1,000;0,025;1,099;0,020
SP01486;SP;6492,000;4955,000;1537,000;4168,000;1,000;0,024;1,099;0,020
SP01500;SP;1399,000;1031,000;368,000;873,000;1,000;0,115;1,099;0,097
SP01583;SP;5432,000;4096,000;1336,000;3442,000;1,000;0,029;1,099;0,024
SP01635;SP;6200,000;4212,000;1988,000;3548,000;1,000;0,028;1,099;0,024
SP01713;SP;4285,000;3322,000;963,000;2877,000;1,000;0,035;1,099;0,030
SP01833;SP;6103,000;4442,000;1661,000;3955,000;1,000;0,025;1,099;0,023
SP01844;SP;4512,000;3069,000;1443,000;2698,000;2,000;0,074;2,198;0,065
SP01894;SP;7264,000;5494,000;1770,000;4613,000;2,000;0,043;2,198;0,036
SP01961;SP;5779,000;4031,000;1748,000;3463,000;1,000;0,029;1,099;0,025
SP01964;SP;5289,000;3773,000;1516,000;3360,000;5,000;0,149;5,495;0,133
SP01965;SP;6052,000;4377,000;1675,000;3858,000;3,000;0,078;3,297;0,069
SP01966;SP;3725,000;2683,000;1042,000;2393,000;1,000;0,042;1,099;0,037
SP01990;SP;6386,000;4883,000;1503,000;4034,000;1,000;0,025;1,099;0,020
SP02026;SP;6348,000;4500,000;1848,000;3840,000;1,000;0,026;1,099;0,022
SP02052;SP;4927,000;3580,000;1347,000;3044,000;1,000;0,033;1,099;0,028
