CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00074;SP;4599,000;3060,000;1539,000;2770,000;2,000;0,072;0,456;0,065
SP00211;SP;6388,000;4682,000;1706,000;4168,000;1,000;0,024;0,228;0,021
SP00255;SP;6778,000;5044,000;1734,000;4293,000;1,000;0,023;0,228;0,020
SP00315;SP;5861,000;4276,000;1585,000;3850,000;1,000;0,026;0,228;0,023
SP00333;SP;2049,000;1351,000;698,000;1203,000;1,000;0,083;0,228;0,074
SP00512;SP;7389,000;5163,000;2226,000;4319,000;1,000;0,023;0,228;0,019
SP00514;SP;5514,000;3990,000;1524,000;3430,000;4,000;0,117;0,911;0,100
SP00515;SP;4792,000;3544,000;1248,000;3046,000;1,000;0,033;0,228;0,028
SP00520;SP;3065,000;2185,000;880,000;1832,000;1,000;0,055;0,228;0,046
SP00530;SP;1521,000;1164,000;357,000;979,000;2,000;0,204;0,456;0,172
SP00540;SP;3175,000;2092,000;1083,000;1863,000;1,000;0,054;0,228;0,048
SP00541;SP;3175,000;2092,000;1083,000;1863,000;1,000;0,054;0,228;0,048
SP00550;SP;4742,000;3413,000;1329,000;2933,000;1,000;0,034;0,228;0,029
SP00715;SP;4628,000;3619,000;1009,000;3057,000;1,000;0,033;0,228;0,028
SP00810;SP;4312,000;3025,000;1287,000;2622,000;2,000;0,076;0,456;0,066
SP00812;SP;6537,000;4507,000;2030,000;3857,000;1,000;0,026;0,228;0,022
SP00815;SP;4827,000;3371,000;1456,000;2943,000;1,000;0,034;0,228;0,030
SP00818;SP;4699,000;3648,000;1051,000;3126,000;1,000;0,032;0,228;0,027
SP00819;SP;1557,000;1232,000;325,000;1066,000;1,000;0,094;0,228;0,081
SP00823;SP;2754,000;2085,000;669,000;1805,000;1,000;0,055;0,228;0,048
SP00824;SP;5510,000;4207,000;1303,000;3616,000;1,000;0,028;0,228;0,024
SP00825;SP;3960,000;3079,000;881,000;2727,000;4,000;0,147;0,911;0,130
SP00827;SP;7530,000;5704,000;1826,000;4991,000;4,000;0,080;0,911;0,070
SP00840;SP;990,000;792,000;198,000;676,000;1,000;0,148;0,228;0,126
SP00842;SP;6278,000;4306,000;1972,000;3669,000;1,000;0,027;0,228;0,023
SP00891;SP;6195,000;4624,000;1571,000;4037,000;2,000;0,050;0,456;0,043
SP00894;SP;4335,000;3134,000;1201,000;2776,000;1,000;0,036;0,228;0,032
SP00901;SP;4411,000;3185,000;1226,000;2668,000;2,000;0,075;0,456;0,063
SP00903;SP;1833,000;1397,000;436,000;1247,000;1,000;0,080;0,228;0,072
SP00905;SP;5577,000;4262,000;1315,000;3604,000;1,000;0,028;0,228;0,023
SP00922;SP;8638,000;6089,000;2549,000;5158,000;1,000;0,019;0,228;0,016
SP00928;SP;5132,000;3949,000;1183,000;3288,000;1,000;0,030;0,228;0,025
SP01073;SP;2744,000;2141,000;603,000;1865,000;1,000;0,054;0,228;0,047
SP01241;SP;6681,000;4962,000;1719,000;3929,000;1,000;0,025;0,228;0,020
SP01381;SP;5235,000;3846,000;1389,000;3111,000;1,000;0,032;0,228;0,026
SP01386;SP;5463,000;4021,000;1442,000;3254,000;1,000;0,031;0,228;0,025
SP01475;SP;3961,000;2752,000;1209,000;2310,000;2,000;0,087;0,456;0,073
SP01476;SP;4315,000;3049,000;1266,000;2546,000;1,000;0,039;0,228;0,033
SP01477;SP;6382,000;4456,000;1926,000;3738,000;7,000;0,187;1,595;0,157
SP01478;SP;7765,000;5221,000;2544,000;4345,000;3,000;0,069;0,683;0,057
SP01485;SP;4366,000;3308,000;1058,000;2767,000;1,000;0,036;0,228;0,030
SP01486;SP;6492,000;4955,000;1537,000;4168,000;1,000;0,024;0,228;0,020
SP01488;SP;4853,000;3805,000;1048,000;3190,000;4,000;0,125;0,911;0,105
SP01502;SP;4069,000;3074,000;995,000;2489,000;1,000;0,040;0,228;0,033
SP01504;SP;3973,000;2869,000;1104,000;2402,000;1,000;0,042;0,228;0,035
SP01510;SP;2124,000;1616,000;508,000;1309,000;1,000;0,076;0,228;0,062
SP01574;SP;7876,000;5506,000;2370,000;4641,000;13,000;0,280;2,961;0,236
SP01575;SP;4037,000;2763,000;1274,000;2347,000;2,000;0,085;0,456;0,072
SP01577;SP;4405,000;3382,000;1023,000;2871,000;2,000;0,070;0,456;0,059
SP01578;SP;5035,000;3915,000;1120,000;3263,000;8,000;0,245;1,822;0,204
SP01579;SP;3634,000;2823,000;811,000;2348,000;1,000;0,043;0,228;0,035
SP01589;SP;5101,000;3963,000;1138,000;3337,000;1,000;0,030;0,228;0,025
SP01602;SP;5026,000;3719,000;1307,000;3000,000;6,000;0,200;1,367;0,161
SP01610;SP;3105,000;2321,000;784,000;1935,000;1,000;0,052;0,228;0,043
SP01679;SP;6584,000;5223,000;1361,000;4406,000;1,000;0,023;0,228;0,019
SP01716;SP;3015,000;2185,000;830,000;1849,000;1,000;0,054;0,228;0,046
SP01720;SP;4886,000;3771,000;1115,000;3270,000;2,000;0,061;0,456;0,053
SP01721;SP;3300,000;2518,000;782,000;2118,000;1,000;0,047;0,228;0,040
SP01727;SP;4196,000;3134,000;1062,000;2630,000;1,000;0,038;0,228;0,032
SP01729;SP;3858,000;2903,000;955,000;2392,000;1,000;0,042;0,228;0,034
SP01731;SP;1980,000;1505,000;475,000;1257,000;1,000;0,080;0,228;0,066
SP01737;SP;4533,000;3032,000;1501,000;2598,000;28,000;1,078;6,378;0,923
SP01738;SP;6502,000;4692,000;1810,000;3933,000;46,000;1,170;10,478;0,980
SP01739;SP;4727,000;3508,000;1219,000;2932,000;34,000;1,160;7,745;0,969
SP01740;SP;5160,000;3900,000;1260,000;3207,000;3,000;0,094;0,683;0,077
SP01741;SP;2084,000;1633,000;451,000;1382,000;11,000;0,796;2,506;0,674
SP01742;SP;2540,000;1993,000;547,000;1660,000;20,000;1,205;4,556;1,004
SP01743;SP;4150,000;3091,000;1059,000;2542,000;44,000;1,731;10,023;1,423
SP01744;SP;2443,000;1903,000;540,000;1614,000;66,000;4,089;15,034;3,468
SP01745;SP;3806,000;2617,000;1189,000;2071,000;32,000;1,545;7,289;1,223
