CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00015;SP;4890,000;3200,000;1690,000;2777,000;1,000;0,036;0,350;0,031
SP00062;SP;4386,000;2971,000;1415,000;2589,000;1,000;0,039;0,350;0,034
SP00139;SP;7945,000;5514,000;2431,000;4905,000;2,000;0,041;0,699;0,036
SP00145;SP;4652,000;3551,000;1101,000;3217,000;1,000;0,031;0,350;0,028
SP00151;SP;4988,000;3688,000;1300,000;3066,000;2,000;0,065;0,699;0,054
SP00153;SP;6503,000;4705,000;1798,000;3830,000;1,000;0,026;0,350;0,021
SP00154;SP;6876,000;4799,000;2077,000;4025,000;2,000;0,050;0,699;0,042
SP00156;SP;7080,000;4869,000;2211,000;4038,000;2,000;0,050;0,699;0,041
SP00158;SP;5902,000;3987,000;1915,000;3372,000;1,000;0,030;0,350;0,025
SP00159;SP;8207,000;5759,000;2448,000;4847,000;2,000;0,041;0,699;0,035
SP00160;SP;7072,000;5254,000;1818,000;4369,000;1,000;0,023;0,350;0,019
SP00161;SP;7454,000;5453,000;2001,000;4461,000;1,000;0,022;0,350;0,018
SP00162;SP;7705,000;5622,000;2083,000;4624,000;3,000;0,065;1,049;0,053
SP00164;SP;5864,000;4364,000;1500,000;3543,000;1,000;0,028;0,350;0,023
SP00165;SP;5151,000;3881,000;1270,000;3088,000;1,000;0,032;0,350;0,026
SP00166;SP;3724,000;2789,000;935,000;2307,000;1,000;0,043;0,350;0,036
SP00167;SP;6528,000;4883,000;1645,000;3930,000;2,000;0,051;0,699;0,041
SP00168;SP;4204,000;3050,000;1154,000;2550,000;4,000;0,157;1,399;0,131
SP00169;SP;6507,000;4898,000;1609,000;3997,000;1,000;0,025;0,350;0,020
SP00171;SP;6293,000;4730,000;1563,000;3938,000;2,000;0,051;0,699;0,042
SP00172;SP;4627,000;3517,000;1110,000;2935,000;1,000;0,034;0,350;0,028
SP00173;SP;1568,000;1128,000;440,000;942,000;1,000;0,106;0,350;0,089
SP00176;SP;4725,000;3530,000;1195,000;2946,000;4,000;0,136;1,399;0,113
SP00177;SP;6291,000;4620,000;1671,000;3718,000;2,000;0,054;0,699;0,043
SP00179;SP;3023,000;2176,000;847,000;1776,000;1,000;0,056;0,350;0,046
SP00183;SP;1181,000;745,000;436,000;604,000;1,000;0,166;0,350;0,134
SP00184;SP;781,000;570,000;211,000;453,000;1,000;0,221;0,350;0,175
SP00187;SP;792,000;555,000;237,000;428,000;1,000;0,234;0,350;0,180
SP00189;SP;5717,000;3833,000;1884,000;3381,000;1,000;0,030;0,350;0,026
SP00215;SP;993,000;761,000;232,000;665,000;1,000;0,150;0,350;0,131
SP00220;SP;2119,000;1454,000;665,000;1292,000;1,000;0,077;0,350;0,069
SP00438;SP;3263,000;2333,000;930,000;2012,000;1,000;0,050;0,350;0,043
SP00622;SP;8525,000;5893,000;2632,000;5358,000;1,000;0,019;0,350;0,017
SP00630;SP;5514,000;3774,000;1740,000;3466,000;1,000;0,029;0,350;0,026
SP00635;SP;5917,000;4054,000;1863,000;3591,000;1,000;0,028;0,350;0,025
SP00641;SP;6983,000;4703,000;2280,000;4242,000;1,000;0,024;0,350;0,021
SP00645;SP;3823,000;2661,000;1162,000;2407,000;1,000;0,042;0,350;0,038
SP00657;SP;6658,000;4729,000;1929,000;4302,000;1,000;0,023;0,350;0,021
SP00670;SP;5766,000;4219,000;1547,000;3799,000;1,000;0,026;0,350;0,024
SP00674;SP;3396,000;2582,000;814,000;2220,000;1,000;0,045;0,350;0,039
SP00678;SP;3777,000;2815,000;962,000;2493,000;1,000;0,040;0,350;0,036
SP00679;SP;4304,000;3017,000;1287,000;2683,000;1,000;0,037;0,350;0,033
SP00736;SP;6501,000;5079,000;1422,000;4352,000;1,000;0,023;0,350;0,020
SP00779;SP;7813,000;5789,000;2024,000;4877,000;1,000;0,021;0,350;0,017
SP00797;SP;3693,000;2666,000;1027,000;2284,000;1,000;0,044;0,350;0,038
SP00934;SP;5284,000;3737,000;1547,000;3064,000;1,000;0,033;0,350;0,027
SP00939;SP;6851,000;5005,000;1846,000;4282,000;2,000;0,047;0,699;0,040
SP00943;SP;5578,000;4080,000;1498,000;3484,000;1,000;0,029;0,350;0,025
SP00944;SP;6614,000;4784,000;1830,000;3934,000;1,000;0,025;0,350;0,021
SP00946;SP;4553,000;3449,000;1104,000;2787,000;3,000;0,108;1,049;0,087
SP00949;SP;6028,000;4426,000;1602,000;3627,000;1,000;0,028;0,350;0,023
SP00952;SP;13315,000;8912,000;4403,000;7365,000;2,000;0,027;0,699;0,022
SP00959;SP;7126,000;5108,000;2018,000;4199,000;1,000;0,024;0,350;0,020
SP00972;SP;5527,000;3750,000;1777,000;3325,000;1,000;0,030;0,350;0,027
SP00989;SP;4732,000;3471,000;1261,000;3057,000;1,000;0,033;0,350;0,029
SP00991;SP;3538,000;2527,000;1011,000;2242,000;1,000;0,045;0,350;0,040
SP01313;SP;5646,000;4362,000;1284,000;3544,000;2,000;0,056;0,699;0,046
SP01315;SP;5836,000;4110,000;1726,000;3568,000;1,000;0,028;0,350;0,024
SP01318;SP;5897,000;4085,000;1812,000;3426,000;4,000;0,117;1,399;0,098
SP01319;SP;6497,000;4542,000;1955,000;3670,000;1,000;0,027;0,350;0,022
SP01320;SP;8209,000;6019,000;2190,000;5015,000;3,000;0,060;1,049;0,050
SP01321;SP;5117,000;3907,000;1210,000;3326,000;3,000;0,090;1,049;0,077
SP01322;SP;6445,000;4994,000;1451,000;4166,000;2,000;0,048;0,699;0,040
SP01323;SP;6741,000;5078,000;1663,000;4301,000;1,000;0,023;0,350;0,020
SP01326;SP;4913,000;3679,000;1234,000;2940,000;1,000;0,034;0,350;0,027
SP01329;SP;3596,000;2704,000;892,000;2290,000;3,000;0,131;1,049;0,111
SP01335;SP;7407,000;5504,000;1903,000;4414,000;1,000;0,023;0,350;0,018
SP01336;SP;6381,000;4725,000;1656,000;3753,000;1,000;0,027;0,350;0,021
SP01340;SP;6735,000;5134,000;1601,000;4118,000;1,000;0,024;0,350;0,019
SP01341;SP;3295,000;2546,000;749,000;2084,000;1,000;0,048;0,350;0,039
SP01342;SP;1975,000;1567,000;408,000;1312,000;1,000;0,076;0,350;0,064
SP01343;SP;2274,000;1747,000;527,000;1438,000;2,000;0,139;0,699;0,114
SP01347;SP;7950,000;5978,000;1972,000;5066,000;2,000;0,039;0,699;0,033
SP01349;SP;7723,000;5766,000;1957,000;4646,000;2,000;0,043;0,699;0,035
SP01350;SP;8729,000;6265,000;2464,000;5053,000;1,000;0,020;0,350;0,016
SP01351;SP;1693,000;1310,000;383,000;1037,000;1,000;0,096;0,350;0,076
SP01352;SP;9339,000;6776,000;2563,000;5651,000;2,000;0,035;0,699;0,030
SP01355;SP;1496,000;1068,000;428,000;855,000;1,000;0,117;0,350;0,094
SP01360;SP;4177,000;2805,000;1372,000;2337,000;1,000;0,043;0,350;0,036
SP01361;SP;7818,000;5512,000;2306,000;4598,000;5,000;0,109;1,748;0,091
SP01362;SP;7767,000;5488,000;2279,000;4591,000;5,000;0,109;1,748;0,091
SP01363;SP;5696,000;3998,000;1698,000;3277,000;3,000;0,092;1,049;0,075
SP01365;SP;4472,000;3176,000;1296,000;2649,000;2,000;0,076;0,699;0,063
SP01366;SP;6944,000;5099,000;1845,000;4243,000;2,000;0,047;0,699;0,039
SP01367;SP;4323,000;3020,000;1303,000;2537,000;2,000;0,079;0,699;0,066
SP01368;SP;6668,000;5077,000;1591,000;4150,000;4,000;0,096;1,399;0,079
SP01370;SP;6243,000;4702,000;1541,000;3926,000;2,000;0,051;0,699;0,043
SP01371;SP;7808,000;5764,000;2044,000;4744,000;4,000;0,084;1,399;0,069
SP01372;SP;2774,000;2111,000;663,000;1744,000;2,000;0,115;0,699;0,095
SP01374;SP;3027,000;2274,000;753,000;1892,000;2,000;0,106;0,699;0,088
SP01375;SP;4586,000;3582,000;1004,000;2958,000;3,000;0,101;1,049;0,084
SP01377;SP;6246,000;4413,000;1833,000;3586,000;1,000;0,028;0,350;0,023
SP01380;SP;6398,000;4752,000;1646,000;3983,000;1,000;0,025;0,350;0,021
