CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;1,000;0,016;0,526;0,015
SP00012;SP;9441,000;6116,000;3325,000;5498,000;2,000;0,036;1,053;0,033
SP00028;SP;8070,000;5175,000;2895,000;4726,000;2,000;0,042;1,053;0,039
SP00029;SP;17797,000;12599,000;5198,000;11769,000;8,000;0,068;4,211;0,063
SP00030;SP;2911,000;1924,000;987,000;1764,000;1,000;0,057;0,526;0,052
SP00031;SP;6412,000;4268,000;2144,000;3816,000;1,000;0,026;0,526;0,023
SP00032;SP;11991,000;8507,000;3484,000;8030,000;2,000;0,025;1,053;0,024
SP00033;SP;7735,000;5271,000;2464,000;4792,000;1,000;0,021;0,526;0,019
SP00036;SP;6716,000;4776,000;1940,000;4457,000;2,000;0,045;1,053;0,042
SP00037;SP;5446,000;3922,000;1524,000;3606,000;1,000;0,028;0,526;0,025
SP00038;SP;8044,000;5650,000;2394,000;5177,000;2,000;0,039;1,053;0,035
SP00047;SP;4672,000;3348,000;1324,000;3050,000;1,000;0,033;0,526;0,030
SP00050;SP;1956,000;1443,000;513,000;1344,000;2,000;0,149;1,053;0,139
SP00051;SP;9919,000;6324,000;3595,000;5895,000;3,000;0,051;1,579;0,047
SP00078;SP;6145,000;4471,000;1674,000;4014,000;2,000;0,050;1,053;0,045
SP00081;SP;4985,000;3194,000;1791,000;2755,000;1,000;0,036;0,526;0,031
SP00099;SP;4550,000;3344,000;1206,000;2841,000;2,000;0,070;1,053;0,060
SP00106;SP;4729,000;3001,000;1728,000;2772,000;1,000;0,036;0,526;0,033
SP00107;SP;5091,000;3438,000;1653,000;3201,000;1,000;0,031;0,526;0,029
SP00108;SP;7706,000;4996,000;2710,000;4672,000;1,000;0,021;0,526;0,020
SP00114;SP;11524,000;7280,000;4244,000;6663,000;2,000;0,030;1,053;0,027
SP00116;SP;13458,000;8809,000;4649,000;8195,000;1,000;0,012;0,526;0,011
SP00118;SP;11540,000;7496,000;4044,000;6933,000;3,000;0,043;1,579;0,040
SP00119;SP;8699,000;5629,000;3070,000;5241,000;3,000;0,057;1,579;0,053
SP00120;SP;7492,000;5053,000;2439,000;4694,000;1,000;0,021;0,526;0,020
SP00122;SP;2338,000;1648,000;690,000;1510,000;1,000;0,066;0,526;0,061
SP00126;SP;3970,000;2788,000;1182,000;2578,000;1,000;0,039;0,526;0,036
SP00127;SP;7300,000;5121,000;2179,000;4725,000;1,000;0,021;0,526;0,020
SP00136;SP;9241,000;6497,000;2744,000;5815,000;4,000;0,069;2,105;0,062
SP00143;SP;8101,000;5686,000;2415,000;5122,000;1,000;0,020;0,526;0,018
SP00151;SP;4988,000;3688,000;1300,000;3066,000;1,000;0,033;0,526;0,027
SP00194;SP;8615,000;6268,000;2347,000;5780,000;2,000;0,035;1,053;0,032
SP00195;SP;3523,000;2306,000;1217,000;2013,000;1,000;0,050;0,526;0,043
SP00197;SP;4829,000;3340,000;1489,000;3099,000;1,000;0,032;0,526;0,030
SP00203;SP;7005,000;4837,000;2168,000;4332,000;1,000;0,023;0,526;0,021
