CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00005;SP;7574,000;4851,000;2723,000;4286,000;1,000;0,023;0,129;0,021
SP00006;SP;6187,000;4196,000;1991,000;3800,000;1,000;0,026;0,129;0,024
SP00007;SP;9748,000;5727,000;4021,000;5077,000;2,000;0,039;0,258;0,035
SP00013;SP;4269,000;2958,000;1311,000;2742,000;1,000;0,036;0,129;0,034
SP00018;SP;5238,000;3256,000;1982,000;2906,000;1,000;0,034;0,129;0,031
SP00031;SP;6412,000;4268,000;2144,000;3816,000;1,000;0,026;0,129;0,023
SP00093;SP;4638,000;3524,000;1114,000;3163,000;1,000;0,032;0,129;0,028
SP00102;SP;4710,000;2822,000;1888,000;2446,000;1,000;0,041;0,129;0,035
SP00118;SP;11540,000;7496,000;4044,000;6933,000;1,000;0,014;0,129;0,013
SP00120;SP;7492,000;5053,000;2439,000;4694,000;1,000;0,021;0,129;0,020
SP00122;SP;2338,000;1648,000;690,000;1510,000;1,000;0,066;0,129;0,061
SP00128;SP;9830,000;6546,000;3284,000;5910,000;1,000;0,017;0,129;0,015
SP00149;SP;3452,000;2590,000;862,000;2234,000;1,000;0,045;0,129;0,039
SP00195;SP;3523,000;2306,000;1217,000;2013,000;1,000;0,050;0,129;0,043
SP00221;SP;3925,000;2950,000;975,000;2531,000;1,000;0,040;0,129;0,034
SP00223;SP;2666,000;1909,000;757,000;1662,000;1,000;0,060;0,129;0,052
SP00224;SP;4682,000;3295,000;1387,000;2841,000;1,000;0,035;0,129;0,030
SP00231;SP;4477,000;3485,000;992,000;2989,000;1,000;0,033;0,129;0,029
SP00233;SP;2180,000;1518,000;662,000;1306,000;1,000;0,077;0,129;0,066
SP00237;SP;4589,000;3414,000;1175,000;2908,000;1,000;0,034;0,129;0,029
SP00247;SP;3039,000;2356,000;683,000;1915,000;1,000;0,052;0,129;0,042
SP00248;SP;2993,000;2193,000;800,000;1833,000;1,000;0,055;0,129;0,046
SP00249;SP;3623,000;2627,000;996,000;2284,000;2,000;0,088;0,258;0,076
SP00250;SP;4023,000;3125,000;898,000;2566,000;2,000;0,078;0,258;0,064
SP00251;SP;3854,000;2856,000;998,000;2435,000;1,000;0,041;0,129;0,035
SP00253;SP;6617,000;5105,000;1512,000;4218,000;1,000;0,024;0,129;0,020
SP00255;SP;6778,000;5044,000;1734,000;4293,000;1,000;0,023;0,129;0,020
SP00256;SP;4254,000;3283,000;971,000;2674,000;6,000;0,224;0,775;0,183
SP00257;SP;5556,000;4081,000;1475,000;3166,000;1,000;0,032;0,129;0,025
SP00258;SP;2237,000;1521,000;716,000;1192,000;1,000;0,084;0,129;0,066
SP00262;SP;6791,000;4838,000;1953,000;4128,000;2,000;0,048;0,258;0,041
SP00266;SP;6960,000;5099,000;1861,000;4318,000;1,000;0,023;0,129;0,020
SP00277;SP;4274,000;3219,000;1055,000;2691,000;1,000;0,037;0,129;0,031
SP00280;SP;6493,000;4855,000;1638,000;3966,000;2,000;0,050;0,258;0,041
SP00286;SP;6009,000;4463,000;1546,000;3798,000;1,000;0,026;0,129;0,022
SP00311;SP;4745,000;3212,000;1533,000;2868,000;1,000;0,035;0,129;0,031
SP00317;SP;2042,000;1501,000;541,000;1271,000;1,000;0,079;0,129;0,067
SP00395;SP;7319,000;5036,000;2283,000;4255,000;2,000;0,047;0,258;0,040
SP00399;SP;4200,000;2969,000;1231,000;2600,000;1,000;0,038;0,129;0,034
SP00403;SP;6930,000;5024,000;1906,000;4268,000;3,000;0,070;0,388;0,060
SP00404;SP;5256,000;3768,000;1488,000;3185,000;4,000;0,126;0,517;0,106
SP00409;SP;5537,000;4146,000;1391,000;3428,000;1,000;0,029;0,129;0,024
SP00412;SP;2247,000;1715,000;532,000;1480,000;2,000;0,135;0,258;0,117
SP00416;SP;1565,000;1172,000;393,000;969,000;2,000;0,206;0,258;0,171
SP00419;SP;4961,000;3484,000;1477,000;3096,000;1,000;0,032;0,129;0,029
SP00432;SP;3964,000;2754,000;1210,000;2401,000;1,000;0,042;0,129;0,036
SP00447;SP;4015,000;3076,000;939,000;2611,000;2,000;0,077;0,258;0,065
SP00583;SP;4985,000;3669,000;1316,000;3192,000;1,000;0,031;0,129;0,027
SP00625;SP;10784,000;7630,000;3154,000;7038,000;1,000;0,014;0,129;0,013
SP00627;SP;7090,000;4763,000;2327,000;4286,000;1,000;0,023;0,129;0,021
SP00629;SP;3705,000;2452,000;1253,000;2194,000;1,000;0,046;0,129;0,041
SP00747;SP;4941,000;3778,000;1163,000;3217,000;1,000;0,031;0,129;0,026
SP00770;SP;6150,000;4203,000;1947,000;3615,000;1,000;0,028;0,129;0,024
SP00843;SP;5641,000;3932,000;1709,000;3203,000;28,000;0,874;3,618;0,712
SP00844;SP;1541,000;1163,000;378,000;977,000;6,000;0,614;0,775;0,516
SP00845;SP;1830,000;1419,000;411,000;1181,000;2,000;0,169;0,258;0,141
SP00846;SP;7352,000;5299,000;2053,000;4323,000;10,000;0,231;1,292;0,189
SP00847;SP;4082,000;3056,000;1026,000;2550,000;5,000;0,196;0,646;0,164
SP00848;SP;5251,000;3634,000;1617,000;3006,000;18,000;0,599;2,326;0,495
SP00849;SP;3277,000;2481,000;796,000;2090,000;10,000;0,478;1,292;0,403
SP00850;SP;5224,000;3817,000;1407,000;3220,000;31,000;0,963;4,005;0,812
SP00851;SP;5695,000;3897,000;1798,000;3271,000;42,000;1,284;5,426;1,078
SP00852;SP;1783,000;1336,000;447,000;1128,000;7,000;0,621;0,904;0,524
SP00853;SP;4081,000;3040,000;1041,000;2553,000;17,000;0,666;2,196;0,559
SP00854;SP;6049,000;4219,000;1830,000;3570,000;56,000;1,569;7,235;1,327
SP00856;SP;6062,000;4538,000;1524,000;3805,000;99,000;2,602;12,791;2,182
SP00857;SP;3507,000;2824,000;683,000;2367,000;10,000;0,422;1,292;0,354
SP00858;SP;6096,000;4589,000;1507,000;3794,000;33,000;0,870;4,264;0,719
SP00859;SP;4366,000;3337,000;1029,000;2773,000;19,000;0,685;2,455;0,569
SP00860;SP;3076,000;2411,000;665,000;1994,000;4,000;0,201;0,517;0,166
SP00861;SP;3884,000;2990,000;894,000;2383,000;6,000;0,252;0,775;0,201
SP00862;SP;4149,000;3028,000;1121,000;2481,000;19,000;0,766;2,455;0,627
SP00863;SP;3714,000;2835,000;879,000;2384,000;6,000;0,252;0,775;0,212
SP00864;SP;2151,000;1674,000;477,000;1405,000;3,000;0,214;0,388;0,179
SP00865;SP;5331,000;4079,000;1252,000;3454,000;16,000;0,463;2,067;0,392
SP00866;SP;2305,000;1801,000;504,000;1511,000;15,000;0,993;1,938;0,833
SP00867;SP;2195,000;1726,000;469,000;1441,000;7,000;0,486;0,904;0,406
SP00868;SP;4537,000;3375,000;1162,000;2769,000;45,000;1,625;5,814;1,333
SP00869;SP;2469,000;1895,000;574,000;1521,000;6,000;0,394;0,775;0,317
SP00872;SP;4150,000;2963,000;1187,000;2373,000;3,000;0,126;0,388;0,101
SP00873;SP;5220,000;3631,000;1589,000;3139,000;1,000;0,032;0,129;0,028
SP00874;SP;3637,000;2753,000;884,000;2278,000;1,000;0,044;0,129;0,036
SP00875;SP;4489,000;3490,000;999,000;2842,000;2,000;0,070;0,258;0,057
SP00876;SP;4758,000;3686,000;1072,000;3039,000;1,000;0,033;0,129;0,027
SP00877;SP;2332,000;1762,000;570,000;1425,000;6,000;0,421;0,775;0,341
SP00879;SP;5137,000;3540,000;1597,000;2959,000;3,000;0,101;0,388;0,085
SP00920;SP;6672,000;4828,000;1844,000;3916,000;1,000;0,026;0,129;0,021
SP01016;SP;7681,000;5440,000;2241,000;4570,000;1,000;0,022;0,129;0,018
SP01026;SP;4576,000;3267,000;1309,000;2774,000;1,000;0,036;0,129;0,031
SP01027;SP;3926,000;2963,000;963,000;2463,000;1,000;0,041;0,129;0,034
SP01028;SP;4443,000;3184,000;1259,000;2685,000;4,000;0,149;0,517;0,126
SP01030;SP;3473,000;2728,000;745,000;2337,000;1,000;0,043;0,129;0,037
SP01032;SP;4988,000;3787,000;1201,000;3216,000;2,000;0,062;0,258;0,053
SP01045;SP;4702,000;3558,000;1144,000;2953,000;1,000;0,034;0,129;0,028
SP01049;SP;2385,000;1831,000;554,000;1538,000;1,000;0,065;0,129;0,055
SP01051;SP;3156,000;2436,000;720,000;2042,000;1,000;0,049;0,129;0,041
SP01066;SP;2883,000;2142,000;741,000;1859,000;1,000;0,054;0,129;0,047
SP01077;SP;3176,000;2582,000;594,000;2292,000;1,000;0,044;0,129;0,039
SP01134;SP;4563,000;3326,000;1237,000;2843,000;2,000;0,070;0,258;0,060
SP01139;SP;2703,000;2011,000;692,000;1677,000;3,000;0,179;0,388;0,149
SP01189;SP;5883,000;4012,000;1871,000;3366,000;1,000;0,030;0,129;0,025
SP01195;SP;5991,000;4371,000;1620,000;3710,000;4,000;0,108;0,517;0,092
SP01202;SP;6413,000;4790,000;1623,000;3995,000;1,000;0,025;0,129;0,021
SP01206;SP;4510,000;3346,000;1164,000;2819,000;1,000;0,035;0,129;0,030
SP01208;SP;6891,000;5231,000;1660,000;4256,000;2,000;0,047;0,258;0,038
SP01209;SP;7838,000;5777,000;2061,000;4668,000;1,000;0,021;0,129;0,017
SP01214;SP;5318,000;3918,000;1400,000;3148,000;2,000;0,064;0,258;0,051
SP01215;SP;6563,000;4951,000;1612,000;3868,000;1,000;0,026;0,129;0,020
SP01220;SP;2623,000;2080,000;543,000;1725,000;1,000;0,058;0,129;0,048
SP01221;SP;4891,000;3743,000;1148,000;3051,000;1,000;0,033;0,129;0,027
SP01222;SP;2122,000;1664,000;458,000;1336,000;1,000;0,075;0,129;0,060
SP01225;SP;458,000;358,000;100,000;286,000;1,000;0,350;0,129;0,279
SP01236;SP;4335,000;3024,000;1311,000;2493,000;1,000;0,040;0,129;0,033
SP01240;SP;2099,000;1609,000;490,000;1314,000;1,000;0,076;0,129;0,062
SP01244;SP;3449,000;2654,000;795,000;2184,000;1,000;0,046;0,129;0,038
SP01253;SP;1578,000;1203,000;375,000;980,000;1,000;0,102;0,129;0,083
SP01364;SP;3423,000;2550,000;873,000;2100,000;2,000;0,095;0,258;0,078
SP01392;SP;5417,000;4157,000;1260,000;3419,000;1,000;0,029;0,129;0,024
SP01397;SP;8800,000;6245,000;2555,000;5280,000;1,000;0,019;0,129;0,016
SP01418;SP;3824,000;2872,000;952,000;2479,000;1,000;0,040;0,129;0,035
SP01439;SP;4463,000;3192,000;1271,000;2737,000;1,000;0,037;0,129;0,031
SP01444;SP;5456,000;4304,000;1152,000;3559,000;2,000;0,056;0,258;0,046
SP01452;SP;5785,000;4402,000;1383,000;3633,000;1,000;0,028;0,129;0,023
SP01456;SP;5392,000;4124,000;1268,000;3409,000;1,000;0,029;0,129;0,024
SP01463;SP;4734,000;3558,000;1176,000;2951,000;1,000;0,034;0,129;0,028
SP01583;SP;5432,000;4096,000;1336,000;3442,000;1,000;0,029;0,129;0,024
SP01612;SP;5316,000;3928,000;1388,000;3419,000;1,000;0,029;0,129;0,025
SP01617;SP;6274,000;4569,000;1705,000;3806,000;2,000;0,053;0,258;0,044
SP01618;SP;8129,000;6088,000;2041,000;4942,000;4,000;0,081;0,517;0,066
SP01620;SP;3851,000;2955,000;896,000;2529,000;2,000;0,079;0,258;0,068
SP01621;SP;5101,000;3838,000;1263,000;3203,000;9,000;0,281;1,163;0,234
SP01624;SP;7719,000;5518,000;2201,000;4630,000;1,000;0,022;0,129;0,018
SP01625;SP;5942,000;4747,000;1195,000;4037,000;10,000;0,248;1,292;0,211
SP01626;SP;2768,000;2232,000;536,000;1856,000;1,000;0,054;0,129;0,045
SP01627;SP;4603,000;3009,000;1594,000;2576,000;1,000;0,039;0,129;0,033
SP01633;SP;5184,000;3704,000;1480,000;3122,000;3,000;0,096;0,388;0,081
SP01635;SP;6200,000;4212,000;1988,000;3548,000;2,000;0,056;0,258;0,047
