CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00033;SP;7735,000;5271,000;2464,000;4792,000;2,000;0,042;0,847;0,038
SP00034;SP;5401,000;3246,000;2155,000;2941,000;1,000;0,034;0,424;0,031
SP00069;SP;2939,000;2032,000;907,000;1793,000;3,000;0,167;1,271;0,148
SP00072;SP;4862,000;3103,000;1759,000;2736,000;1,000;0,037;0,424;0,032
SP00265;SP;5313,000;3854,000;1459,000;3315,000;1,000;0,030;0,424;0,026
SP00281;SP;5656,000;4194,000;1462,000;3612,000;1,000;0,028;0,424;0,024
SP00307;SP;3529,000;2356,000;1173,000;2055,000;1,000;0,049;0,424;0,042
SP00330;SP;4062,000;2873,000;1189,000;2547,000;2,000;0,079;0,847;0,070
SP00332;SP;3054,000;2284,000;770,000;2099,000;1,000;0,048;0,424;0,044
SP00501;SP;4776,000;3340,000;1436,000;2871,000;1,000;0,035;0,424;0,030
SP00507;SP;9953,000;7335,000;2618,000;6265,000;1,000;0,016;0,424;0,014
SP00513;SP;4106,000;2993,000;1113,000;2609,000;1,000;0,038;0,424;0,033
SP00515;SP;4792,000;3544,000;1248,000;3046,000;2,000;0,066;0,847;0,056
SP00516;SP;6938,000;4877,000;2061,000;4090,000;1,000;0,024;0,424;0,021
SP00518;SP;4780,000;3303,000;1477,000;2826,000;1,000;0,035;0,424;0,030
SP00521;SP;5002,000;3490,000;1512,000;2901,000;1,000;0,034;0,424;0,029
SP00530;SP;1521,000;1164,000;357,000;979,000;1,000;0,102;0,424;0,086
SP00555;SP;3492,000;2514,000;978,000;2184,000;2,000;0,092;0,847;0,080
SP00565;SP;3148,000;2356,000;792,000;2001,000;1,000;0,050;0,424;0,042
SP00694;SP;8474,000;6228,000;2246,000;5583,000;1,000;0,018;0,424;0,016
SP00730;SP;5502,000;4153,000;1349,000;3563,000;1,000;0,028;0,424;0,024
SP00811;SP;4790,000;3322,000;1468,000;2896,000;2,000;0,069;0,847;0,060
SP00812;SP;6537,000;4507,000;2030,000;3857,000;2,000;0,052;0,847;0,044
SP00816;SP;4010,000;2677,000;1333,000;2281,000;1,000;0,044;0,424;0,037
SP00817;SP;5075,000;3549,000;1526,000;2989,000;1,000;0,033;0,424;0,028
SP00821;SP;3156,000;2353,000;803,000;2019,000;1,000;0,050;0,424;0,042
SP00824;SP;5510,000;4207,000;1303,000;3616,000;2,000;0,055;0,847;0,048
SP00826;SP;2231,000;1737,000;494,000;1498,000;4,000;0,267;1,695;0,230
SP00876;SP;4758,000;3686,000;1072,000;3039,000;1,000;0,033;0,424;0,027
SP00884;SP;6025,000;4117,000;1908,000;3528,000;1,000;0,028;0,424;0,024
SP00890;SP;6506,000;4670,000;1836,000;4087,000;1,000;0,024;0,424;0,021
SP00891;SP;6195,000;4624,000;1571,000;4037,000;1,000;0,025;0,424;0,022
SP00892;SP;4485,000;3072,000;1413,000;2701,000;1,000;0,037;0,424;0,033
SP00893;SP;4866,000;3614,000;1252,000;3170,000;5,000;0,158;2,119;0,138
SP00895;SP;4545,000;3059,000;1486,000;2625,000;7,000;0,267;2,966;0,229
SP00897;SP;4232,000;3120,000;1112,000;2666,000;2,000;0,075;0,847;0,064
SP00908;SP;2080,000;1573,000;507,000;1325,000;1,000;0,075;0,424;0,064
SP00912;SP;2322,000;1799,000;523,000;1573,000;1,000;0,064;0,424;0,056
SP00915;SP;1861,000;1401,000;460,000;1187,000;1,000;0,084;0,424;0,071
SP00919;SP;1249,000;996,000;253,000;833,000;1,000;0,120;0,424;0,100
SP00920;SP;6672,000;4828,000;1844,000;3916,000;4,000;0,102;1,695;0,083
SP00922;SP;8638,000;6089,000;2549,000;5158,000;10,000;0,194;4,237;0,164
SP00923;SP;5779,000;3898,000;1881,000;3357,000;4,000;0,119;1,695;0,103
SP00925;SP;5327,000;3864,000;1463,000;3310,000;3,000;0,091;1,271;0,078
SP00926;SP;5575,000;3935,000;1640,000;3387,000;10,000;0,295;4,237;0,254
SP00927;SP;4583,000;3288,000;1295,000;2862,000;2,000;0,070;0,847;0,061
SP00928;SP;5132,000;3949,000;1183,000;3288,000;11,000;0,335;4,661;0,279
SP00929;SP;2588,000;2013,000;575,000;1723,000;2,000;0,116;0,847;0,099
SP00930;SP;2858,000;2200,000;658,000;1854,000;4,000;0,216;1,695;0,182
SP00932;SP;3504,000;2674,000;830,000;2191,000;1,000;0,046;0,424;0,037
