CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;1,000;0,016;0,676;0,015
SP00003;SP;6223,000;3562,000;2661,000;3191,000;2,000;0,063;1,351;0,056
SP00005;SP;7574,000;4851,000;2723,000;4286,000;1,000;0,023;0,676;0,021
SP00006;SP;6187,000;4196,000;1991,000;3800,000;1,000;0,026;0,676;0,024
SP00007;SP;9748,000;5727,000;4021,000;5077,000;1,000;0,020;0,676;0,017
SP00010;SP;9269,000;6039,000;3230,000;5553,000;1,000;0,018;0,676;0,017
SP00016;SP;4976,000;3125,000;1851,000;2763,000;1,000;0,036;0,676;0,032
SP00056;SP;5794,000;3640,000;2154,000;3156,000;1,000;0,032;0,676;0,027
SP00102;SP;4710,000;2822,000;1888,000;2446,000;1,000;0,041;0,676;0,035
SP00146;SP;7336,000;5404,000;1932,000;4752,000;1,000;0,021;0,676;0,019
SP00157;SP;1487,000;928,000;559,000;782,000;1,000;0,128;0,676;0,108
SP00222;SP;5627,000;4034,000;1593,000;3525,000;1,000;0,028;0,676;0,025
SP00229;SP;6362,000;4716,000;1646,000;4007,000;1,000;0,025;0,676;0,021
SP00247;SP;3039,000;2356,000;683,000;1915,000;1,000;0,052;0,676;0,042
SP00256;SP;4254,000;3283,000;971,000;2674,000;1,000;0,037;0,676;0,030
SP00268;SP;6330,000;4415,000;1915,000;3742,000;1,000;0,027;0,676;0,023
SP00280;SP;6493,000;4855,000;1638,000;3966,000;1,000;0,025;0,676;0,021
SP00286;SP;6009,000;4463,000;1546,000;3798,000;1,000;0,026;0,676;0,022
SP00289;SP;3751,000;2887,000;864,000;2359,000;2,000;0,085;1,351;0,069
SP00394;SP;2651,000;1853,000;798,000;1621,000;1,000;0,062;0,676;0,054
SP00403;SP;6930,000;5024,000;1906,000;4268,000;1,000;0,023;0,676;0,020
SP00522;SP;4695,000;3519,000;1176,000;2921,000;1,000;0,034;0,676;0,028
SP00525;SP;5945,000;4545,000;1400,000;3796,000;1,000;0,026;0,676;0,022
SP00551;SP;4597,000;3270,000;1327,000;2815,000;1,000;0,036;0,676;0,031
SP00659;SP;4066,000;2843,000;1223,000;2587,000;1,000;0,039;0,676;0,035
SP00770;SP;6150,000;4203,000;1947,000;3615,000;1,000;0,028;0,676;0,024
SP00858;SP;6096,000;4589,000;1507,000;3794,000;1,000;0,026;0,676;0,022
SP00868;SP;4537,000;3375,000;1162,000;2769,000;1,000;0,036;0,676;0,030
SP00871;SP;4180,000;3171,000;1009,000;2619,000;1,000;0,038;0,676;0,032
SP00923;SP;5779,000;3898,000;1881,000;3357,000;1,000;0,030;0,676;0,026
SP00953;SP;6513,000;4880,000;1633,000;4005,000;1,000;0,025;0,676;0,020
SP00954;SP;4954,000;3697,000;1257,000;3067,000;1,000;0,033;0,676;0,027
SP01068;SP;3742,000;2791,000;951,000;2367,000;1,000;0,042;0,676;0,036
SP01153;SP;12021,000;8675,000;3346,000;7258,000;1,000;0,014;0,676;0,012
SP01183;SP;6376,000;4658,000;1718,000;4013,000;1,000;0,025;0,676;0,021
SP01191;SP;7205,000;5151,000;2054,000;4314,000;2,000;0,046;1,351;0,039
SP01192;SP;5481,000;3973,000;1508,000;3323,000;1,000;0,030;0,676;0,025
SP01193;SP;6918,000;4893,000;2025,000;4015,000;1,000;0,025;0,676;0,020
SP01199;SP;4561,000;3429,000;1132,000;2819,000;4,000;0,142;2,703;0,117
SP01204;SP;5365,000;4097,000;1268,000;3436,000;1,000;0,029;0,676;0,024
SP01210;SP;3150,000;2428,000;722,000;1963,000;1,000;0,051;0,676;0,041
SP01224;SP;2283,000;1638,000;645,000;1302,000;1,000;0,077;0,676;0,061
SP01241;SP;6681,000;4962,000;1719,000;3929,000;2,000;0,051;1,351;0,040
SP01249;SP;7808,000;5587,000;2221,000;4469,000;1,000;0,022;0,676;0,018
SP01267;SP;3668,000;2674,000;994,000;2188,000;1,000;0,046;0,676;0,037
SP01289;SP;8261,000;6336,000;1925,000;5214,000;1,000;0,019;0,676;0,016
SP01297;SP;5073,000;3989,000;1084,000;3288,000;1,000;0,030;0,676;0,025
SP01443;SP;6125,000;4668,000;1457,000;3875,000;1,000;0,026;0,676;0,021
SP01459;SP;4391,000;3272,000;1119,000;2705,000;1,000;0,037;0,676;0,031
SP01496;SP;5781,000;4430,000;1351,000;3721,000;1,000;0,027;0,676;0,023
SP01642;SP;2330,000;1658,000;672,000;1391,000;1,000;0,072;0,676;0,060
SP01644;SP;6058,000;4635,000;1423,000;3858,000;5,000;0,130;3,378;0,108
SP01645;SP;4193,000;2916,000;1277,000;2472,000;1,000;0,040;0,676;0,034
SP01658;SP;4665,000;3405,000;1260,000;2870,000;2,000;0,070;1,351;0,059
SP01675;SP;7296,000;5435,000;1861,000;4628,000;8,000;0,173;5,405;0,147
SP01678;SP;6291,000;4642,000;1649,000;3951,000;16,000;0,405;10,811;0,345
SP01681;SP;6345,000;4849,000;1496,000;4083,000;4,000;0,098;2,703;0,082
SP01684;SP;4928,000;3721,000;1207,000;3132,000;4,000;0,128;2,703;0,107
SP01687;SP;5072,000;3960,000;1112,000;3344,000;2,000;0,060;1,351;0,051
SP01688;SP;5851,000;4458,000;1393,000;3814,000;17,000;0,446;11,486;0,381
SP01694;SP;6468,000;4848,000;1620,000;4112,000;2,000;0,049;1,351;0,041
SP01697;SP;6299,000;4729,000;1570,000;4049,000;3,000;0,074;2,027;0,063
SP01698;SP;4270,000;3456,000;814,000;2903,000;4,000;0,138;2,703;0,116
SP01699;SP;2649,000;2123,000;526,000;1787,000;4,000;0,224;2,703;0,188
SP01702;SP;2682,000;2122,000;560,000;1782,000;1,000;0,056;0,676;0,047
SP01703;SP;2290,000;1786,000;504,000;1471,000;2,000;0,136;1,351;0,112
SP01705;SP;1680,000;1237,000;443,000;999,000;6,000;0,601;4,054;0,485
SP01740;SP;5160,000;3900,000;1260,000;3207,000;1,000;0,031;0,676;0,026
SP01756;SP;6967,000;5286,000;1681,000;4434,000;1,000;0,023;0,676;0,019
SP01793;SP;3967,000;2708,000;1259,000;2244,000;1,000;0,045;0,676;0,037
SP01799;SP;7489,000;5627,000;1862,000;4802,000;1,000;0,021;0,676;0,018
SP01807;SP;4489,000;3336,000;1153,000;2767,000;1,000;0,036;0,676;0,030
SP01884;SP;7365,000;5467,000;1898,000;4519,000;1,000;0,022;0,676;0,018
SP01906;SP;4600,000;3470,000;1130,000;2856,000;1,000;0,035;0,676;0,029
SP01972;SP;4287,000;3177,000;1110,000;2711,000;1,000;0,037;0,676;0,031
SP01992;SP;6492,000;4575,000;1917,000;3943,000;1,000;0,025;0,676;0,022
