CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00003;SP;6223,000;3562,000;2661,000;3191,000;1,000;0,031;0,334;0,028
SP00007;SP;9748,000;5727,000;4021,000;5077,000;1,000;0,020;0,334;0,017
SP00008;SP;4250,000;2710,000;1540,000;2422,000;1,000;0,041;0,334;0,037
SP00012;SP;9441,000;6116,000;3325,000;5498,000;1,000;0,018;0,334;0,016
SP00017;SP;6847,000;4140,000;2707,000;3704,000;1,000;0,027;0,334;0,024
SP00019;SP;4798,000;3546,000;1252,000;3272,000;1,000;0,031;0,334;0,028
SP00023;SP;2029,000;1448,000;581,000;1264,000;1,000;0,079;0,334;0,069
SP00024;SP;629,000;454,000;175,000;420,000;1,000;0,238;0,334;0,220
SP00025;SP;3193,000;2227,000;966,000;2052,000;1,000;0,049;0,334;0,045
SP00029;SP;17797,000;12599,000;5198,000;11769,000;2,000;0,017;0,669;0,016
SP00031;SP;6412,000;4268,000;2144,000;3816,000;1,000;0,026;0,334;0,023
SP00032;SP;11991,000;8507,000;3484,000;8030,000;1,000;0,012;0,334;0,012
SP00033;SP;7735,000;5271,000;2464,000;4792,000;3,000;0,063;1,003;0,057
SP00034;SP;5401,000;3246,000;2155,000;2941,000;1,000;0,034;0,334;0,031
SP00038;SP;8044,000;5650,000;2394,000;5177,000;1,000;0,019;0,334;0,018
SP00039;SP;6391,000;4336,000;2055,000;3981,000;1,000;0,025;0,334;0,023
SP00043;SP;3049,000;2192,000;857,000;1985,000;1,000;0,050;0,334;0,046
SP00046;SP;8211,000;6097,000;2114,000;5678,000;2,000;0,035;0,669;0,033
SP00047;SP;4672,000;3348,000;1324,000;3050,000;6,000;0,197;2,007;0,179
SP00048;SP;5609,000;4361,000;1248,000;4021,000;1,000;0,025;0,334;0,023
SP00049;SP;2731,000;2018,000;713,000;1902,000;1,000;0,053;0,334;0,050
SP00052;SP;5165,000;3133,000;2032,000;2746,000;2,000;0,073;0,669;0,064
SP00053;SP;6007,000;3594,000;2413,000;3140,000;8,000;0,255;2,676;0,223
