CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00015;SP;4890,000;3200,000;1690,000;2777,000;3,000;0,108;0,414;0,094
SP00016;SP;4976,000;3125,000;1851,000;2763,000;1,000;0,036;0,138;0,032
SP00033;SP;7735,000;5271,000;2464,000;4792,000;1,000;0,021;0,138;0,019
SP00034;SP;5401,000;3246,000;2155,000;2941,000;1,000;0,034;0,138;0,031
SP00038;SP;8044,000;5650,000;2394,000;5177,000;1,000;0,019;0,138;0,018
SP00040;SP;7288,000;5434,000;1854,000;4999,000;1,000;0,020;0,138;0,018
SP00042;SP;3797,000;2921,000;876,000;2677,000;1,000;0,037;0,138;0,034
SP00045;SP;3377,000;2532,000;845,000;2298,000;1,000;0,044;0,138;0,039
SP00046;SP;8211,000;6097,000;2114,000;5678,000;1,000;0,018;0,138;0,016
SP00052;SP;5165,000;3133,000;2032,000;2746,000;1,000;0,036;0,138;0,032
SP00059;SP;6072,000;4040,000;2032,000;3525,000;1,000;0,028;0,138;0,025
SP00061;SP;5110,000;3413,000;1697,000;2995,000;5,000;0,167;0,691;0,146
SP00062;SP;4386,000;2971,000;1415,000;2589,000;8,000;0,309;1,105;0,269
SP00064;SP;6208,000;4037,000;2171,000;3511,000;1,000;0,028;0,138;0,025
SP00073;SP;14871,000;9817,000;5054,000;8895,000;2,000;0,022;0,276;0,020
SP00076;SP;7781,000;5170,000;2611,000;4521,000;1,000;0,022;0,138;0,019
SP00079;SP;6753,000;5126,000;1627,000;4484,000;3,000;0,067;0,414;0,059
SP00081;SP;4985,000;3194,000;1791,000;2755,000;1,000;0,036;0,138;0,031
SP00083;SP;12710,000;9298,000;3412,000;8373,000;4,000;0,048;0,552;0,043
SP00086;SP;5934,000;4153,000;1781,000;3692,000;1,000;0,027;0,138;0,024
SP00088;SP;8110,000;5666,000;2444,000;5056,000;3,000;0,059;0,414;0,053
SP00092;SP;8010,000;5674,000;2336,000;5030,000;1,000;0,020;0,138;0,018
SP00093;SP;4638,000;3524,000;1114,000;3163,000;6,000;0,190;0,829;0,170
SP00094;SP;3713,000;2680,000;1033,000;2357,000;3,000;0,127;0,414;0,112
SP00095;SP;7262,000;5378,000;1884,000;4657,000;5,000;0,107;0,691;0,093
SP00096;SP;3961,000;2845,000;1116,000;2437,000;2,000;0,082;0,276;0,070
SP00098;SP;5038,000;3701,000;1337,000;3156,000;2,000;0,063;0,276;0,054
SP00099;SP;4550,000;3344,000;1206,000;2841,000;5,000;0,176;0,691;0,150
SP00101;SP;8957,000;6780,000;2177,000;6001,000;4,000;0,067;0,552;0,059
SP00103;SP;2478,000;1733,000;745,000;1529,000;1,000;0,065;0,138;0,058
SP00106;SP;4729,000;3001,000;1728,000;2772,000;1,000;0,036;0,138;0,033
SP00118;SP;11540,000;7496,000;4044,000;6933,000;3,000;0,043;0,414;0,040
SP00121;SP;4046,000;2658,000;1388,000;2420,000;2,000;0,083;0,276;0,075
SP00123;SP;2390,000;1759,000;631,000;1653,000;2,000;0,121;0,276;0,114
SP00125;SP;8768,000;6055,000;2713,000;5539,000;1,000;0,018;0,138;0,017
SP00127;SP;7300,000;5121,000;2179,000;4725,000;3,000;0,063;0,414;0,059
SP00128;SP;9830,000;6546,000;3284,000;5910,000;2,000;0,034;0,276;0,031
SP00136;SP;9241,000;6497,000;2744,000;5815,000;2,000;0,034;0,276;0,031
SP00140;SP;5793,000;3889,000;1904,000;3467,000;1,000;0,029;0,138;0,026
SP00145;SP;4652,000;3551,000;1101,000;3217,000;1,000;0,031;0,138;0,028
SP00149;SP;3452,000;2590,000;862,000;2234,000;1,000;0,045;0,138;0,039
SP00153;SP;6503,000;4705,000;1798,000;3830,000;2,000;0,052;0,276;0,043
SP00158;SP;5902,000;3987,000;1915,000;3372,000;1,000;0,030;0,138;0,025
SP00160;SP;7072,000;5254,000;1818,000;4369,000;1,000;0,023;0,138;0,019
SP00176;SP;4725,000;3530,000;1195,000;2946,000;2,000;0,068;0,276;0,057
SP00189;SP;5717,000;3833,000;1884,000;3381,000;1,000;0,030;0,138;0,026
SP00198;SP;9846,000;7057,000;2789,000;6333,000;2,000;0,032;0,276;0,028
SP00199;SP;9351,000;6697,000;2654,000;6031,000;1,000;0,017;0,138;0,015
SP00204;SP;4526,000;3486,000;1040,000;3183,000;1,000;0,031;0,138;0,029
SP00210;SP;2712,000;2153,000;559,000;1857,000;1,000;0,054;0,138;0,046
SP00218;SP;3583,000;2575,000;1008,000;2277,000;1,000;0,044;0,138;0,039
SP00219;SP;5453,000;3846,000;1607,000;3316,000;1,000;0,030;0,138;0,026
SP00226;SP;6504,000;4681,000;1823,000;3905,000;2,000;0,051;0,276;0,043
SP00234;SP;1126,000;832,000;294,000;718,000;1,000;0,139;0,138;0,120
SP00235;SP;6359,000;4733,000;1626,000;4005,000;1,000;0,025;0,138;0,021
SP00238;SP;6012,000;4671,000;1341,000;3951,000;1,000;0,025;0,138;0,021
SP00239;SP;5869,000;4516,000;1353,000;3700,000;1,000;0,027;0,138;0,022
SP00249;SP;3623,000;2627,000;996,000;2284,000;1,000;0,044;0,138;0,038
SP00251;SP;3854,000;2856,000;998,000;2435,000;1,000;0,041;0,138;0,035
SP00254;SP;4716,000;3494,000;1222,000;2936,000;3,000;0,102;0,414;0,086
SP00256;SP;4254,000;3283,000;971,000;2674,000;1,000;0,037;0,138;0,030
SP00259;SP;1803,000;1399,000;404,000;1139,000;1,000;0,088;0,138;0,071
SP00260;SP;6967,000;4886,000;2081,000;4112,000;1,000;0,024;0,138;0,020
SP00262;SP;6791,000;4838,000;1953,000;4128,000;1,000;0,024;0,138;0,021
SP00263;SP;10873,000;8161,000;2712,000;7067,000;7,000;0,099;0,967;0,086
SP00266;SP;6960,000;5099,000;1861,000;4318,000;1,000;0,023;0,138;0,020
SP00267;SP;6197,000;4417,000;1780,000;3682,000;3,000;0,081;0,414;0,068
SP00269;SP;4567,000;3317,000;1250,000;2813,000;2,000;0,071;0,276;0,060
SP00270;SP;6129,000;4512,000;1617,000;3803,000;1,000;0,026;0,138;0,022
SP00273;SP;5615,000;4390,000;1225,000;3670,000;1,000;0,027;0,138;0,023
SP00275;SP;4248,000;3284,000;964,000;2804,000;1,000;0,036;0,138;0,030
SP00278;SP;3874,000;2884,000;990,000;2434,000;2,000;0,082;0,276;0,069
SP00283;SP;4282,000;3227,000;1055,000;2653,000;1,000;0,038;0,138;0,031
SP00284;SP;4514,000;3367,000;1147,000;2775,000;2,000;0,072;0,276;0,059
SP00285;SP;2333,000;1770,000;563,000;1490,000;4,000;0,268;0,552;0,226
SP00286;SP;6009,000;4463,000;1546,000;3798,000;3,000;0,079;0,414;0,067
SP00288;SP;2503,000;1898,000;605,000;1542,000;1,000;0,065;0,138;0,053
SP00290;SP;2127,000;1639,000;488,000;1389,000;1,000;0,072;0,138;0,061
SP00300;SP;5119,000;3795,000;1324,000;3340,000;2,000;0,060;0,276;0,053
SP00306;SP;5275,000;3647,000;1628,000;3252,000;1,000;0,031;0,138;0,027
SP00308;SP;4601,000;3237,000;1364,000;2784,000;1,000;0,036;0,138;0,031
SP00311;SP;4745,000;3212,000;1533,000;2868,000;1,000;0,035;0,138;0,031
SP00316;SP;8808,000;6530,000;2278,000;5921,000;3,000;0,051;0,414;0,046
SP00324;SP;4770,000;3319,000;1451,000;2949,000;1,000;0,034;0,138;0,030
SP00325;SP;4286,000;3094,000;1192,000;2780,000;3,000;0,108;0,414;0,097
SP00338;SP;4592,000;3124,000;1468,000;2780,000;1,000;0,036;0,138;0,032
SP00340;SP;3747,000;2675,000;1072,000;2391,000;1,000;0,042;0,138;0,037
SP00341;SP;3178,000;2297,000;881,000;2077,000;1,000;0,048;0,138;0,044
SP00342;SP;5123,000;3662,000;1461,000;3278,000;2,000;0,061;0,276;0,055
SP00343;SP;5204,000;3721,000;1483,000;3344,000;1,000;0,030;0,138;0,027
SP00345;SP;7886,000;5416,000;2470,000;4892,000;2,000;0,041;0,276;0,037
SP00366;SP;5574,000;3886,000;1688,000;3655,000;2,000;0,055;0,276;0,051
SP00368;SP;4441,000;3045,000;1396,000;2778,000;1,000;0,036;0,138;0,033
SP00378;SP;3829,000;2734,000;1095,000;2571,000;3,000;0,117;0,414;0,110
SP00379;SP;4356,000;2992,000;1364,000;2717,000;1,000;0,037;0,138;0,033
SP00387;SP;3215,000;2482,000;733,000;2310,000;1,000;0,043;0,138;0,040
SP00390;SP;4307,000;3128,000;1179,000;2733,000;2,000;0,073;0,276;0,064
SP00391;SP;3539,000;2437,000;1102,000;2119,000;2,000;0,094;0,276;0,082
SP00392;SP;4859,000;3569,000;1290,000;3137,000;3,000;0,096;0,414;0,084
SP00393;SP;3958,000;2809,000;1149,000;2404,000;2,000;0,083;0,276;0,071
SP00395;SP;7319,000;5036,000;2283,000;4255,000;1,000;0,024;0,138;0,020
SP00396;SP;2981,000;2015,000;966,000;1734,000;1,000;0,058;0,138;0,050
SP00397;SP;4072,000;2894,000;1178,000;2418,000;2,000;0,083;0,276;0,069
SP00399;SP;4200,000;2969,000;1231,000;2600,000;4,000;0,154;0,552;0,135
SP00400;SP;2153,000;1503,000;650,000;1323,000;1,000;0,076;0,138;0,067
SP00401;SP;6075,000;4286,000;1789,000;3723,000;3,000;0,081;0,414;0,070
SP00403;SP;6930,000;5024,000;1906,000;4268,000;1,000;0,023;0,138;0,020
SP00405;SP;4680,000;3515,000;1165,000;3097,000;6,000;0,194;0,829;0,171
SP00406;SP;3867,000;2759,000;1108,000;2325,000;3,000;0,129;0,414;0,109
SP00407;SP;4191,000;3035,000;1156,000;2536,000;19,000;0,749;2,624;0,626
SP00408;SP;7217,000;5129,000;2088,000;4414,000;5,000;0,113;0,691;0,097
SP00409;SP;5537,000;4146,000;1391,000;3428,000;4,000;0,117;0,552;0,096
SP00410;SP;1624,000;1232,000;392,000;1026,000;7,000;0,682;0,967;0,568
SP00412;SP;2247,000;1715,000;532,000;1480,000;1,000;0,068;0,138;0,058
SP00413;SP;5079,000;3987,000;1092,000;3298,000;1,000;0,030;0,138;0,025
SP00415;SP;3888,000;2993,000;895,000;2599,000;1,000;0,038;0,138;0,033
SP00418;SP;1339,000;967,000;372,000;784,000;1,000;0,128;0,138;0,103
SP00419;SP;4961,000;3484,000;1477,000;3096,000;1,000;0,032;0,138;0,029
SP00421;SP;3048,000;2181,000;867,000;1947,000;1,000;0,051;0,138;0,046
SP00422;SP;10320,000;7595,000;2725,000;6744,000;1,000;0,015;0,138;0,013
SP00423;SP;4513,000;3158,000;1355,000;2820,000;1,000;0,035;0,138;0,032
SP00425;SP;6519,000;4845,000;1674,000;4356,000;3,000;0,069;0,414;0,062
SP00426;SP;6948,000;4982,000;1966,000;4433,000;4,000;0,090;0,552;0,080
SP00428;SP;5397,000;3698,000;1699,000;3296,000;1,000;0,030;0,138;0,027
SP00430;SP;8129,000;5971,000;2158,000;5396,000;1,000;0,019;0,138;0,017
SP00433;SP;4353,000;3211,000;1142,000;2911,000;1,000;0,034;0,138;0,031
SP00435;SP;7037,000;5280,000;1757,000;4647,000;2,000;0,043;0,276;0,038
SP00442;SP;3055,000;2335,000;720,000;2045,000;1,000;0,049;0,138;0,043
SP00443;SP;5342,000;3920,000;1422,000;3502,000;2,000;0,057;0,276;0,051
SP00445;SP;2263,000;1802,000;461,000;1578,000;2,000;0,127;0,276;0,111
SP00446;SP;7010,000;5463,000;1547,000;4823,000;3,000;0,062;0,414;0,055
SP00449;SP;6333,000;4838,000;1495,000;4289,000;1,000;0,023;0,138;0,021
SP00452;SP;3018,000;2212,000;806,000;1929,000;1,000;0,052;0,138;0,045
SP00455;SP;4145,000;2936,000;1209,000;2668,000;2,000;0,075;0,276;0,068
SP00456;SP;4320,000;3095,000;1225,000;2792,000;2,000;0,072;0,276;0,065
SP00466;SP;6038,000;4389,000;1649,000;3812,000;1,000;0,026;0,138;0,023
SP00467;SP;5303,000;3827,000;1476,000;3421,000;1,000;0,029;0,138;0,026
SP00472;SP;2507,000;1806,000;701,000;1593,000;1,000;0,063;0,138;0,055
SP00473;SP;5477,000;3996,000;1481,000;3538,000;2,000;0,057;0,276;0,050
SP00476;SP;5975,000;4311,000;1664,000;3817,000;3,000;0,079;0,414;0,070
SP00478;SP;3496,000;2495,000;1001,000;2209,000;1,000;0,045;0,138;0,040
SP00479;SP;2742,000;2051,000;691,000;1807,000;2,000;0,111;0,276;0,098
SP00499;SP;6834,000;4904,000;1930,000;4285,000;1,000;0,023;0,138;0,020
SP00501;SP;4776,000;3340,000;1436,000;2871,000;1,000;0,035;0,138;0,030
SP00506;SP;4319,000;3065,000;1254,000;2647,000;1,000;0,038;0,138;0,033
SP00509;SP;4399,000;3005,000;1394,000;2554,000;1,000;0,039;0,138;0,033
SP00513;SP;4106,000;2993,000;1113,000;2609,000;1,000;0,038;0,138;0,033
SP00518;SP;4780,000;3303,000;1477,000;2826,000;2,000;0,071;0,276;0,061
SP00520;SP;3065,000;2185,000;880,000;1832,000;1,000;0,055;0,138;0,046
SP00531;SP;6972,000;5267,000;1705,000;4395,000;2,000;0,046;0,276;0,038
SP00535;SP;4936,000;3367,000;1569,000;2995,000;1,000;0,033;0,138;0,030
SP00536;SP;6329,000;4580,000;1749,000;3965,000;3,000;0,076;0,414;0,066
SP00544;SP;5536,000;3707,000;1829,000;3265,000;1,000;0,031;0,138;0,027
SP00577;SP;8415,000;5842,000;2573,000;5257,000;1,000;0,019;0,138;0,017
SP00579;SP;4397,000;3146,000;1251,000;2698,000;1,000;0,037;0,138;0,032
SP00580;SP;3133,000;2253,000;880,000;2017,000;1,000;0,050;0,138;0,044
SP00581;SP;5307,000;3773,000;1534,000;3338,000;1,000;0,030;0,138;0,027
SP00585;SP;4746,000;3318,000;1428,000;2911,000;1,000;0,034;0,138;0,030
SP00588;SP;5167,000;3521,000;1646,000;3105,000;1,000;0,032;0,138;0,028
SP00589;SP;4702,000;3299,000;1403,000;2808,000;1,000;0,036;0,138;0,030
SP00593;SP;5605,000;4143,000;1462,000;3635,000;1,000;0,028;0,138;0,024
SP00601;SP;6122,000;4375,000;1747,000;3842,000;1,000;0,026;0,138;0,023
SP00605;SP;4399,000;3458,000;941,000;2999,000;1,000;0,033;0,138;0,029
SP00606;SP;2414,000;1894,000;520,000;1650,000;1,000;0,061;0,138;0,053
SP00607;SP;2771,000;2166,000;605,000;1868,000;1,000;0,054;0,138;0,046
SP00610;SP;4996,000;3877,000;1119,000;3393,000;1,000;0,029;0,138;0,026
SP00616;SP;3937,000;3054,000;883,000;2687,000;2,000;0,074;0,276;0,065
SP00621;SP;7468,000;5058,000;2410,000;4641,000;1,000;0,022;0,138;0,020
SP00623;SP;5777,000;3983,000;1794,000;3670,000;2,000;0,054;0,276;0,050
SP00625;SP;10784,000;7630,000;3154,000;7038,000;1,000;0,014;0,138;0,013
SP00626;SP;6265,000;4313,000;1952,000;3939,000;2,000;0,051;0,276;0,046
SP00628;SP;7913,000;5698,000;2215,000;5302,000;3,000;0,057;0,414;0,053
SP00629;SP;3705,000;2452,000;1253,000;2194,000;2,000;0,091;0,276;0,082
SP00639;SP;9027,000;6272,000;2755,000;5745,000;1,000;0,017;0,138;0,016
SP00650;SP;4689,000;3535,000;1154,000;3191,000;3,000;0,094;0,414;0,085
SP00653;SP;9758,000;6871,000;2887,000;6317,000;1,000;0,016;0,138;0,015
SP00657;SP;6658,000;4729,000;1929,000;4302,000;1,000;0,023;0,138;0,021
SP00658;SP;4399,000;3055,000;1344,000;2774,000;1,000;0,036;0,138;0,033
SP00661;SP;3498,000;2295,000;1203,000;2021,000;1,000;0,049;0,138;0,044
SP00665;SP;4690,000;3236,000;1454,000;2925,000;2,000;0,068;0,276;0,062
SP00669;SP;4307,000;3090,000;1217,000;2819,000;1,000;0,035;0,138;0,032
SP00671;SP;7344,000;4961,000;2383,000;4380,000;2,000;0,046;0,276;0,040
SP00672;SP;5404,000;3859,000;1545,000;3453,000;1,000;0,029;0,138;0,026
