CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;4,000;0,066;0,839;0,060
SP00002;SP;8476,000;5539,000;2937,000;5059,000;1,000;0,020;0,210;0,018
SP00003;SP;6223,000;3562,000;2661,000;3191,000;2,000;0,063;0,419;0,056
SP00004;SP;6071,000;4117,000;1954,000;3653,000;2,000;0,055;0,419;0,049
SP00005;SP;7574,000;4851,000;2723,000;4286,000;1,000;0,023;0,210;0,021
SP00006;SP;6187,000;4196,000;1991,000;3800,000;1,000;0,026;0,210;0,024
SP00007;SP;9748,000;5727,000;4021,000;5077,000;3,000;0,059;0,629;0,052
SP00009;SP;5809,000;3876,000;1933,000;3552,000;3,000;0,084;0,629;0,077
SP00012;SP;9441,000;6116,000;3325,000;5498,000;1,000;0,018;0,210;0,016
SP00013;SP;4269,000;2958,000;1311,000;2742,000;2,000;0,073;0,419;0,068
SP00017;SP;6847,000;4140,000;2707,000;3704,000;1,000;0,027;0,210;0,024
SP00019;SP;4798,000;3546,000;1252,000;3272,000;1,000;0,031;0,210;0,028
SP00020;SP;1562,000;1060,000;502,000;914,000;1,000;0,109;0,210;0,094
SP00028;SP;8070,000;5175,000;2895,000;4726,000;1,000;0,021;0,210;0,019
SP00031;SP;6412,000;4268,000;2144,000;3816,000;1,000;0,026;0,210;0,023
SP00034;SP;5401,000;3246,000;2155,000;2941,000;1,000;0,034;0,210;0,031
SP00046;SP;8211,000;6097,000;2114,000;5678,000;1,000;0,018;0,210;0,016
SP00051;SP;9919,000;6324,000;3595,000;5895,000;1,000;0,017;0,210;0,016
SP00052;SP;5165,000;3133,000;2032,000;2746,000;1,000;0,036;0,210;0,032
SP00053;SP;6007,000;3594,000;2413,000;3140,000;1,000;0,032;0,210;0,028
SP00058;SP;5387,000;3548,000;1839,000;3095,000;1,000;0,032;0,210;0,028
SP00060;SP;6204,000;4150,000;2054,000;3582,000;3,000;0,084;0,629;0,072
SP00062;SP;4386,000;2971,000;1415,000;2589,000;1,000;0,039;0,210;0,034
SP00064;SP;6208,000;4037,000;2171,000;3511,000;2,000;0,057;0,419;0,050
SP00066;SP;2941,000;1926,000;1015,000;1623,000;1,000;0,062;0,210;0,052
SP00069;SP;2939,000;2032,000;907,000;1793,000;1,000;0,056;0,210;0,049
