CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;35,000;0,575;0,091;0,528
SP00002;SP;8476,000;5539,000;2937,000;5059,000;23,000;0,455;0,060;0,415
SP00003;SP;6223,000;3562,000;2661,000;3191,000;16,000;0,501;0,041;0,449
SP00004;SP;6071,000;4117,000;1954,000;3653,000;32,000;0,876;0,083;0,777
SP00005;SP;7574,000;4851,000;2723,000;4286,000;30,000;0,700;0,078;0,618
SP00006;SP;6187,000;4196,000;1991,000;3800,000;24,000;0,632;0,062;0,572
SP00007;SP;9748,000;5727,000;4021,000;5077,000;27,000;0,532;0,070;0,471
SP00008;SP;4250,000;2710,000;1540,000;2422,000;14,000;0,578;0,036;0,517
SP00009;SP;5809,000;3876,000;1933,000;3552,000;10,000;0,282;0,026;0,258
SP00010;SP;9269,000;6039,000;3230,000;5553,000;29,000;0,522;0,075;0,480
SP00011;SP;7822,000;5249,000;2573,000;4769,000;24,000;0,503;0,062;0,457
SP00012;SP;9441,000;6116,000;3325,000;5498,000;35,000;0,637;0,091;0,572
SP00013;SP;4269,000;2958,000;1311,000;2742,000;18,000;0,656;0,047;0,609
SP00014;SP;7153,000;4433,000;2720,000;3934,000;26,000;0,661;0,067;0,587
SP00015;SP;4890,000;3200,000;1690,000;2777,000;19,000;0,684;0,049;0,594
SP00016;SP;4976,000;3125,000;1851,000;2763,000;8,000;0,290;0,021;0,256
SP00017;SP;6847,000;4140,000;2707,000;3704,000;20,000;0,540;0,052;0,483
SP00018;SP;5238,000;3256,000;1982,000;2906,000;15,000;0,516;0,039;0,461
SP00019;SP;4798,000;3546,000;1252,000;3272,000;9,000;0,275;0,023;0,254
SP00020;SP;1562,000;1060,000;502,000;914,000;9,000;0,985;0,023;0,849
SP00021;SP;3914,000;2744,000;1170,000;2386,000;13,000;0,545;0,034;0,474
SP00022;SP;5474,000;3858,000;1616,000;3218,000;16,000;0,497;0,041;0,415
SP00023;SP;2029,000;1448,000;581,000;1264,000;13,000;1,028;0,034;0,898
SP00024;SP;629,000;454,000;175,000;420,000;3,000;0,714;0,008;0,661
SP00025;SP;3193,000;2227,000;966,000;2052,000;12,000;0,585;0,031;0,539
SP00026;SP;1515,000;1057,000;458,000;941,000;6,000;0,638;0,016;0,568
SP00027;SP;3011,000;1933,000;1078,000;1784,000;12,000;0,673;0,031;0,621
SP00028;SP;8070,000;5175,000;2895,000;4726,000;29,000;0,614;0,075;0,560
SP00029;SP;17797,000;12599,000;5198,000;11769,000;80,000;0,680;0,207;0,635
SP00030;SP;2911,000;1924,000;987,000;1764,000;11,000;0,624;0,028;0,572
SP00031;SP;6412,000;4268,000;2144,000;3816,000;24,000;0,629;0,062;0,562
SP00032;SP;11991,000;8507,000;3484,000;8030,000;20,000;0,249;0,052;0,235
SP00033;SP;7735,000;5271,000;2464,000;4792,000;28,000;0,584;0,073;0,531
SP00034;SP;5401,000;3246,000;2155,000;2941,000;21,000;0,714;0,054;0,647
SP00035;SP;5608,000;3859,000;1749,000;3432,000;22,000;0,641;0,057;0,570
