CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00003;SP;6223,000;3562,000;2661,000;3191,000;1,000;0,031;1,613;0,028
SP00010;SP;9269,000;6039,000;3230,000;5553,000;1,000;0,018;1,613;0,017
SP00011;SP;7822,000;5249,000;2573,000;4769,000;1,000;0,021;1,613;0,019
SP00013;SP;4269,000;2958,000;1311,000;2742,000;1,000;0,036;1,613;0,034
SP00019;SP;4798,000;3546,000;1252,000;3272,000;2,000;0,061;3,226;0,056
SP00022;SP;5474,000;3858,000;1616,000;3218,000;1,000;0,031;1,613;0,026
SP00032;SP;11991,000;8507,000;3484,000;8030,000;2,000;0,025;3,226;0,024
SP00094;SP;3713,000;2680,000;1033,000;2357,000;1,000;0,042;1,613;0,037
SP00096;SP;3961,000;2845,000;1116,000;2437,000;1,000;0,041;1,613;0,035
SP00118;SP;11540,000;7496,000;4044,000;6933,000;1,000;0,014;1,613;0,013
SP00121;SP;4046,000;2658,000;1388,000;2420,000;1,000;0,041;1,613;0,038
SP00144;SP;5788,000;3963,000;1825,000;3611,000;1,000;0,028;1,613;0,025
SP00148;SP;4985,000;3706,000;1279,000;3293,000;1,000;0,030;1,613;0,027
SP00190;SP;9191,000;6215,000;2976,000;5565,000;1,000;0,018;1,613;0,016
SP00222;SP;5627,000;4034,000;1593,000;3525,000;1,000;0,028;1,613;0,025
SP00274;SP;5083,000;4027,000;1056,000;3417,000;1,000;0,029;1,613;0,025
SP00304;SP;3481,000;2524,000;957,000;2284,000;1,000;0,044;1,613;0,040
SP00305;SP;2904,000;1801,000;1103,000;1620,000;1,000;0,062;1,613;0,056
SP00322;SP;8258,000;5548,000;2710,000;4975,000;1,000;0,020;1,613;0,018
SP00376;SP;4805,000;3354,000;1451,000;3098,000;1,000;0,032;1,613;0,030
SP00508;SP;5317,000;3827,000;1490,000;3334,000;1,000;0,030;1,613;0,026
SP00577;SP;8415,000;5842,000;2573,000;5257,000;1,000;0,019;1,613;0,017
SP00581;SP;5307,000;3773,000;1534,000;3338,000;1,000;0,030;1,613;0,027
SP00590;SP;7580,000;5281,000;2299,000;4546,000;1,000;0,022;1,613;0,019
SP00591;SP;6263,000;4400,000;1863,000;3772,000;1,000;0,027;1,613;0,023
SP00641;SP;6983,000;4703,000;2280,000;4242,000;1,000;0,024;1,613;0,021
SP00643;SP;3354,000;2459,000;895,000;2145,000;1,000;0,047;1,613;0,041
SP00657;SP;6658,000;4729,000;1929,000;4302,000;2,000;0,046;3,226;0,042
SP00667;SP;7365,000;5371,000;1994,000;4835,000;1,000;0,021;1,613;0,019
SP00714;SP;3081,000;2248,000;833,000;1931,000;1,000;0,052;1,613;0,044
SP00813;SP;5405,000;3715,000;1690,000;3298,000;1,000;0,030;1,613;0,027
SP00827;SP;7530,000;5704,000;1826,000;4991,000;2,000;0,040;3,226;0,035
SP00835;SP;4136,000;2891,000;1245,000;2501,000;1,000;0,040;1,613;0,035
SP00853;SP;4081,000;3040,000;1041,000;2553,000;1,000;0,039;1,613;0,033
SP00903;SP;1833,000;1397,000;436,000;1247,000;1,000;0,080;1,613;0,072
SP00944;SP;6614,000;4784,000;1830,000;3934,000;1,000;0,025;1,613;0,021
SP00990;SP;3164,000;2358,000;806,000;2053,000;1,000;0,049;1,613;0,042
SP01029;SP;3145,000;2379,000;766,000;1989,000;1,000;0,050;1,613;0,042
SP01076;SP;3137,000;2436,000;701,000;2116,000;1,000;0,047;1,613;0,041
SP01082;SP;2526,000;1599,000;927,000;1355,000;1,000;0,074;1,613;0,063
SP01089;SP;5551,000;4240,000;1311,000;3578,000;1,000;0,028;1,613;0,024
SP01094;SP;4951,000;3460,000;1491,000;3031,000;1,000;0,033;1,613;0,029
SP01100;SP;4090,000;2819,000;1271,000;2441,000;2,000;0,082;3,226;0,071
SP01108;SP;3363,000;2567,000;796,000;2199,000;1,000;0,045;1,613;0,039
SP01141;SP;6662,000;5002,000;1660,000;4271,000;1,000;0,023;1,613;0,020
SP01158;SP;6016,000;4357,000;1659,000;3658,000;1,000;0,027;1,613;0,023
SP01202;SP;6413,000;4790,000;1623,000;3995,000;1,000;0,025;1,613;0,021
SP01205;SP;6483,000;4885,000;1598,000;4000,000;1,000;0,025;1,613;0,020
SP01216;SP;4894,000;3798,000;1096,000;2945,000;1,000;0,034;1,613;0,026
SP01217;SP;2233,000;1667,000;566,000;1283,000;1,000;0,078;1,613;0,060
SP01224;SP;2283,000;1638,000;645,000;1302,000;1,000;0,077;1,613;0,061
SP01297;SP;5073,000;3989,000;1084,000;3288,000;1,000;0,030;1,613;0,025
SP01349;SP;7723,000;5766,000;1957,000;4646,000;1,000;0,022;1,613;0,017
SP01396;SP;6178,000;4398,000;1780,000;3609,000;1,000;0,028;1,613;0,023
SP01529;SP;8092,000;6107,000;1985,000;5030,000;1,000;0,020;1,613;0,016
SP01858;SP;8697,000;5871,000;2826,000;5026,000;1,000;0,020;1,613;0,017
SP01968;SP;6332,000;4433,000;1899,000;3881,000;1,000;0,026;1,613;0,023
