CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00003;SP;6223,000;3562,000;2661,000;3191,000;1,000;0,031;0,641;0,028
SP00014;SP;7153,000;4433,000;2720,000;3934,000;1,000;0,025;0,641;0,023
SP00032;SP;11991,000;8507,000;3484,000;8030,000;1,000;0,012;0,641;0,012
SP00060;SP;6204,000;4150,000;2054,000;3582,000;1,000;0,028;0,641;0,024
SP00061;SP;5110,000;3413,000;1697,000;2995,000;1,000;0,033;0,641;0,029
SP00076;SP;7781,000;5170,000;2611,000;4521,000;1,000;0,022;0,641;0,019
SP00084;SP;8514,000;5960,000;2554,000;5282,000;1,000;0,019;0,641;0,017
SP00087;SP;7025,000;4901,000;2124,000;4319,000;1,000;0,023;0,641;0,020
SP00091;SP;6781,000;4661,000;2120,000;4098,000;1,000;0,024;0,641;0,021
SP00114;SP;11524,000;7280,000;4244,000;6663,000;1,000;0,015;0,641;0,014
SP00124;SP;5471,000;3750,000;1721,000;3417,000;1,000;0,029;0,641;0,027
SP00126;SP;3970,000;2788,000;1182,000;2578,000;1,000;0,039;0,641;0,036
SP00135;SP;10099,000;6853,000;3246,000;5983,000;1,000;0,017;0,641;0,015
SP00136;SP;9241,000;6497,000;2744,000;5815,000;1,000;0,017;0,641;0,015
SP00204;SP;4526,000;3486,000;1040,000;3183,000;1,000;0,031;0,641;0,029
SP00224;SP;4682,000;3295,000;1387,000;2841,000;1,000;0,035;0,641;0,030
SP00228;SP;3772,000;2679,000;1093,000;2265,000;1,000;0,044;0,641;0,037
SP00253;SP;6617,000;5105,000;1512,000;4218,000;1,000;0,024;0,641;0,020
SP00263;SP;10873,000;8161,000;2712,000;7067,000;2,000;0,028;1,282;0,025
SP00268;SP;6330,000;4415,000;1915,000;3742,000;1,000;0,027;0,641;0,023
SP00274;SP;5083,000;4027,000;1056,000;3417,000;1,000;0,029;0,641;0,025
