CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00038;SP;8044,000;5650,000;2394,000;5177,000;1,000;0,019;1,282;0,018
SP00040;SP;7288,000;5434,000;1854,000;4999,000;1,000;0,020;1,282;0,018
SP00074;SP;4599,000;3060,000;1539,000;2770,000;1,000;0,036;1,282;0,033
SP00090;SP;5982,000;4272,000;1710,000;3906,000;1,000;0,026;1,282;0,023
SP00091;SP;6781,000;4661,000;2120,000;4098,000;1,000;0,024;1,282;0,021
SP00098;SP;5038,000;3701,000;1337,000;3156,000;1,000;0,032;1,282;0,027
SP00114;SP;11524,000;7280,000;4244,000;6663,000;1,000;0,015;1,282;0,014
SP00130;SP;7718,000;5325,000;2393,000;4865,000;1,000;0,021;1,282;0,019
SP00133;SP;4191,000;2905,000;1286,000;2648,000;1,000;0,038;1,282;0,034
SP00158;SP;5902,000;3987,000;1915,000;3372,000;1,000;0,030;1,282;0,025
SP00190;SP;9191,000;6215,000;2976,000;5565,000;1,000;0,018;1,282;0,016
SP00197;SP;4829,000;3340,000;1489,000;3099,000;1,000;0,032;1,282;0,030
SP00202;SP;7973,000;5469,000;2504,000;5015,000;1,000;0,020;1,282;0,018
SP00204;SP;4526,000;3486,000;1040,000;3183,000;1,000;0,031;1,282;0,029
SP00205;SP;3126,000;2267,000;859,000;2107,000;1,000;0,047;1,282;0,044
SP00227;SP;5078,000;3646,000;1432,000;3077,000;1,000;0,032;1,282;0,027
SP00232;SP;6760,000;5102,000;1658,000;4371,000;1,000;0,023;1,282;0,020
SP00238;SP;6012,000;4671,000;1341,000;3951,000;1,000;0,025;1,282;0,021
SP00304;SP;3481,000;2524,000;957,000;2284,000;1,000;0,044;1,282;0,040
SP00318;SP;2552,000;1822,000;730,000;1585,000;2,000;0,126;2,564;0,110
SP00322;SP;8258,000;5548,000;2710,000;4975,000;2,000;0,040;2,564;0,036
SP00323;SP;4008,000;2671,000;1337,000;2414,000;1,000;0,041;1,282;0,037
SP00326;SP;3933,000;2749,000;1184,000;2471,000;1,000;0,040;1,282;0,036
SP00340;SP;3747,000;2675,000;1072,000;2391,000;1,000;0,042;1,282;0,037
SP00354;SP;1134,000;865,000;269,000;715,000;1,000;0,140;1,282;0,116
SP00369;SP;4203,000;2956,000;1247,000;2789,000;3,000;0,108;3,846;0,101
SP00371;SP;7513,000;5272,000;2241,000;4897,000;2,000;0,041;2,564;0,038
SP00372;SP;5891,000;3989,000;1902,000;3708,000;1,000;0,027;1,282;0,025
SP00374;SP;4011,000;2670,000;1341,000;2516,000;2,000;0,079;2,564;0,075
SP00375;SP;4721,000;3317,000;1404,000;3093,000;1,000;0,032;1,282;0,030
SP00376;SP;4805,000;3354,000;1451,000;3098,000;1,000;0,032;1,282;0,030
SP00401;SP;6075,000;4286,000;1789,000;3723,000;1,000;0,027;1,282;0,023
SP00409;SP;5537,000;4146,000;1391,000;3428,000;1,000;0,029;1,282;0,024
SP00417;SP;1590,000;1256,000;334,000;1074,000;1,000;0,093;1,282;0,080
SP00446;SP;7010,000;5463,000;1547,000;4823,000;1,000;0,021;1,282;0,018
SP00518;SP;4780,000;3303,000;1477,000;2826,000;1,000;0,035;1,282;0,030
SP00525;SP;5945,000;4545,000;1400,000;3796,000;1,000;0,026;1,282;0,022
SP00526;SP;3210,000;2393,000;817,000;2007,000;1,000;0,050;1,282;0,042
SP00574;SP;4916,000;3364,000;1552,000;2734,000;1,000;0,037;1,282;0,030
SP00605;SP;4399,000;3458,000;941,000;2999,000;1,000;0,033;1,282;0,029
SP00613;SP;1184,000;914,000;270,000;787,000;1,000;0,127;1,282;0,109
SP00624;SP;6339,000;4326,000;2013,000;3981,000;1,000;0,025;1,282;0,023
SP00636;SP;7155,000;4893,000;2262,000;4473,000;1,000;0,022;1,282;0,020
SP00647;SP;7403,000;5083,000;2320,000;4634,000;1,000;0,022;1,282;0,020
SP00657;SP;6658,000;4729,000;1929,000;4302,000;1,000;0,023;1,282;0,021
SP00658;SP;4399,000;3055,000;1344,000;2774,000;1,000;0,036;1,282;0,033
SP00664;SP;4189,000;2951,000;1238,000;2669,000;1,000;0,037;1,282;0,034
SP00669;SP;4307,000;3090,000;1217,000;2819,000;1,000;0,035;1,282;0,032
SP00671;SP;7344,000;4961,000;2383,000;4380,000;1,000;0,023;1,282;0,020
SP00673;SP;3585,000;2570,000;1015,000;2364,000;1,000;0,042;1,282;0,039
SP00692;SP;8151,000;5848,000;2303,000;5192,000;1,000;0,019;1,282;0,017
SP00708;SP;5710,000;3952,000;1758,000;3354,000;1,000;0,030;1,282;0,025
SP00718;SP;3625,000;2512,000;1113,000;2090,000;1,000;0,048;1,282;0,040
SP00723;SP;5496,000;4095,000;1401,000;3502,000;1,000;0,029;1,282;0,024
SP00738;SP;8744,000;6776,000;1968,000;5693,000;1,000;0,018;1,282;0,015
SP00748;SP;3624,000;2591,000;1033,000;2215,000;1,000;0,045;1,282;0,039
SP00804;SP;1445,000;1087,000;358,000;869,000;1,000;0,115;1,282;0,092
SP00939;SP;6851,000;5005,000;1846,000;4282,000;1,000;0,023;1,282;0,020
SP00952;SP;13315,000;8912,000;4403,000;7365,000;1,000;0,014;1,282;0,011
SP00975;SP;5925,000;4068,000;1857,000;3551,000;1,000;0,028;1,282;0,025
SP00989;SP;4732,000;3471,000;1261,000;3057,000;1,000;0,033;1,282;0,029
SP01002;SP;3956,000;2855,000;1101,000;2507,000;1,000;0,040;1,282;0,035
SP01008;SP;3674,000;2717,000;957,000;2363,000;2,000;0,085;2,564;0,074
SP01011;SP;4250,000;3139,000;1111,000;2753,000;1,000;0,036;1,282;0,032
SP01176;SP;8236,000;5751,000;2485,000;4720,000;1,000;0,021;1,282;0,017
SP01421;SP;9984,000;7349,000;2635,000;6353,000;1,000;0,016;1,282;0,014
SP01651;SP;6989,000;5363,000;1626,000;4534,000;1,000;0,022;1,282;0,019
SP01663;SP;4863,000;3380,000;1483,000;2815,000;1,000;0,036;1,282;0,030
SP01882;SP;1632,000;1172,000;460,000;988,000;2,000;0,202;2,564;0,171
SP01987;SP;4784,000;3488,000;1296,000;2971,000;1,000;0,034;1,282;0,029
