CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00016;SP;4976,000;3125,000;1851,000;2763,000;1,000;0,036;0,270;0,032
SP00021;SP;3914,000;2744,000;1170,000;2386,000;1,000;0,042;0,270;0,036
SP00081;SP;4985,000;3194,000;1791,000;2755,000;1,000;0,036;0,270;0,031
SP00099;SP;4550,000;3344,000;1206,000;2841,000;3,000;0,106;0,811;0,090
SP00100;SP;4225,000;2928,000;1297,000;2539,000;1,000;0,039;0,270;0,034
SP00139;SP;7945,000;5514,000;2431,000;4905,000;1,000;0,020;0,270;0,018
SP00142;SP;4541,000;2990,000;1551,000;2638,000;1,000;0,038;0,270;0,033
SP00406;SP;3867,000;2759,000;1108,000;2325,000;2,000;0,086;0,541;0,072
SP00434;SP;5194,000;3618,000;1576,000;3183,000;1,000;0,031;0,270;0,028
SP00564;SP;6019,000;4389,000;1630,000;3561,000;1,000;0,028;0,270;0,023
SP00581;SP;5307,000;3773,000;1534,000;3338,000;1,000;0,030;0,270;0,027
SP00582;SP;4259,000;3081,000;1178,000;2707,000;1,000;0,037;0,270;0,032
SP00583;SP;4985,000;3669,000;1316,000;3192,000;1,000;0,031;0,270;0,027
SP00589;SP;4702,000;3299,000;1403,000;2808,000;1,000;0,036;0,270;0,030
SP00591;SP;6263,000;4400,000;1863,000;3772,000;6,000;0,159;1,622;0,136
SP00592;SP;5506,000;4004,000;1502,000;3466,000;1,000;0,029;0,270;0,025
SP00593;SP;5605,000;4143,000;1462,000;3635,000;9,000;0,248;2,432;0,217
SP00594;SP;3522,000;2548,000;974,000;2172,000;4,000;0,184;1,081;0,157
SP00595;SP;3557,000;2586,000;971,000;2244,000;5,000;0,223;1,351;0,193
SP00596;SP;3534,000;2596,000;938,000;2206,000;8,000;0,363;2,162;0,308
SP00598;SP;4844,000;3433,000;1411,000;2954,000;2,000;0,068;0,541;0,058
SP00599;SP;6251,000;4342,000;1909,000;3651,000;5,000;0,137;1,351;0,115
SP00601;SP;6122,000;4375,000;1747,000;3842,000;2,000;0,052;0,541;0,046
SP00603;SP;4959,000;3460,000;1499,000;2923,000;1,000;0,034;0,270;0,029
SP00604;SP;3537,000;2594,000;943,000;2222,000;6,000;0,270;1,622;0,231
SP00606;SP;2414,000;1894,000;520,000;1650,000;2,000;0,121;0,541;0,106
SP00608;SP;3524,000;2701,000;823,000;2326,000;2,000;0,086;0,541;0,074
SP00609;SP;2139,000;1671,000;468,000;1413,000;3,000;0,212;0,811;0,180
SP00611;SP;1902,000;1499,000;403,000;1287,000;3,000;0,233;0,811;0,200
SP00614;SP;6485,000;4910,000;1575,000;4153,000;2,000;0,048;0,541;0,041
SP00615;SP;1062,000;843,000;219,000;710,000;1,000;0,141;0,270;0,119
SP00618;SP;5671,000;3944,000;1727,000;3400,000;2,000;0,059;0,541;0,051
SP00653;SP;9758,000;6871,000;2887,000;6317,000;1,000;0,016;0,270;0,015
SP00666;SP;4794,000;3234,000;1560,000;2902,000;1,000;0,034;0,270;0,031
SP00672;SP;5404,000;3859,000;1545,000;3453,000;1,000;0,029;0,270;0,026
SP00686;SP;9715,000;6586,000;3129,000;5733,000;1,000;0,017;0,270;0,015
SP00700;SP;2038,000;1296,000;742,000;1148,000;1,000;0,087;0,270;0,077
SP00905;SP;5577,000;4262,000;1315,000;3604,000;1,000;0,028;0,270;0,023
SP01016;SP;7681,000;5440,000;2241,000;4570,000;1,000;0,022;0,270;0,018
SP01044;SP;4726,000;3643,000;1083,000;3151,000;1,000;0,032;0,270;0,027
SP01047;SP;2728,000;2106,000;622,000;1772,000;1,000;0,056;0,270;0,047
SP01057;SP;6658,000;5029,000;1629,000;4330,000;2,000;0,046;0,541;0,040
SP01064;SP;6076,000;4508,000;1568,000;3796,000;1,000;0,026;0,270;0,022
SP01068;SP;3742,000;2791,000;951,000;2367,000;3,000;0,127;0,811;0,107
SP01076;SP;3137,000;2436,000;701,000;2116,000;1,000;0,047;0,270;0,041
SP01079;SP;8588,000;6157,000;2431,000;5169,000;1,000;0,019;0,270;0,016
SP01081;SP;4604,000;3442,000;1162,000;2917,000;1,000;0,034;0,270;0,029
SP01085;SP;3957,000;3131,000;826,000;2527,000;1,000;0,040;0,270;0,032
SP01086;SP;4668,000;3625,000;1043,000;3064,000;2,000;0,065;0,541;0,055
SP01087;SP;3331,000;2631,000;700,000;2223,000;1,000;0,045;0,270;0,038
SP01090;SP;4652,000;3593,000;1059,000;2985,000;2,000;0,067;0,541;0,056
SP01091;SP;3433,000;2756,000;677,000;2254,000;1,000;0,044;0,270;0,036
SP01123;SP;8211,000;5806,000;2405,000;4970,000;1,000;0,020;0,270;0,017
SP01124;SP;6479,000;4476,000;2003,000;3780,000;2,000;0,053;0,541;0,045
SP01125;SP;3476,000;2517,000;959,000;2129,000;2,000;0,094;0,541;0,079
SP01126;SP;6161,000;4278,000;1883,000;3664,000;3,000;0,082;0,811;0,070
SP01127;SP;7942,000;5676,000;2266,000;4893,000;4,000;0,082;1,081;0,070
SP01128;SP;4920,000;3469,000;1451,000;2978,000;23,000;0,772;6,216;0,663
SP01129;SP;6181,000;4505,000;1676,000;3834,000;34,000;0,887;9,189;0,755
SP01130;SP;6066,000;4251,000;1815,000;3689,000;36,000;0,976;9,730;0,847
SP01131;SP;5996,000;4609,000;1387,000;3959,000;21,000;0,530;5,676;0,456
SP01132;SP;5881,000;4069,000;1812,000;3481,000;1,000;0,029;0,270;0,025
SP01133;SP;5893,000;4168,000;1725,000;3571,000;3,000;0,084;0,811;0,072
SP01134;SP;4563,000;3326,000;1237,000;2843,000;2,000;0,070;0,541;0,060
SP01135;SP;5468,000;3955,000;1513,000;3382,000;2,000;0,059;0,541;0,051
SP01136;SP;6560,000;4999,000;1561,000;4267,000;1,000;0,023;0,270;0,020
SP01138;SP;3414,000;2601,000;813,000;2219,000;4,000;0,180;1,081;0,154
SP01140;SP;4702,000;3629,000;1073,000;3096,000;33,000;1,066;8,919;0,909
SP01141;SP;6662,000;5002,000;1660,000;4271,000;4,000;0,094;1,081;0,080
SP01142;SP;5011,000;3854,000;1157,000;3252,000;1,000;0,031;0,270;0,026
SP01143;SP;3097,000;2339,000;758,000;2010,000;2,000;0,100;0,541;0,086
SP01144;SP;3086,000;2381,000;705,000;2043,000;5,000;0,245;1,351;0,210
SP01145;SP;5008,000;3768,000;1240,000;3211,000;1,000;0,031;0,270;0,027
SP01146;SP;4300,000;3212,000;1088,000;2676,000;1,000;0,037;0,270;0,031
SP01148;SP;2683,000;2057,000;626,000;1715,000;12,000;0,700;3,243;0,583
SP01150;SP;1851,000;1423,000;428,000;1168,000;9,000;0,771;2,432;0,632
SP01153;SP;12021,000;8675,000;3346,000;7258,000;6,000;0,083;1,622;0,069
SP01155;SP;4827,000;3705,000;1122,000;3096,000;4,000;0,129;1,081;0,108
SP01156;SP;4593,000;3443,000;1150,000;2878,000;2,000;0,069;0,541;0,058
SP01157;SP;6773,000;5060,000;1713,000;4280,000;3,000;0,070;0,811;0,059
SP01158;SP;6016,000;4357,000;1659,000;3658,000;3,000;0,082;0,811;0,069
SP01161;SP;2722,000;2141,000;581,000;1793,000;1,000;0,056;0,270;0,047
SP01162;SP;1286,000;971,000;315,000;836,000;1,000;0,120;0,270;0,103
SP01241;SP;6681,000;4962,000;1719,000;3929,000;1,000;0,025;0,270;0,020
SP01317;SP;7496,000;5230,000;2266,000;4360,000;1,000;0,023;0,270;0,019
SP01391;SP;5920,000;4493,000;1427,000;3657,000;1,000;0,027;0,270;0,022
SP01453;SP;6778,000;5078,000;1700,000;4140,000;1,000;0,024;0,270;0,020
SP01457;SP;4727,000;3479,000;1248,000;2704,000;1,000;0,037;0,270;0,029
SP01463;SP;4734,000;3558,000;1176,000;2951,000;1,000;0,034;0,270;0,028
SP01465;SP;3773,000;2818,000;955,000;2190,000;1,000;0,046;0,270;0,035
SP01466;SP;5214,000;3923,000;1291,000;3163,000;1,000;0,032;0,270;0,025
SP01468;SP;3098,000;2339,000;759,000;1922,000;1,000;0,052;0,270;0,043
SP01489;SP;7577,000;5491,000;2086,000;4714,000;2,000;0,042;0,541;0,036
SP01652;SP;5410,000;3880,000;1530,000;3273,000;1,000;0,031;0,270;0,026
SP01691;SP;6176,000;4697,000;1479,000;3802,000;1,000;0,026;0,270;0,021
SP01715;SP;3987,000;2703,000;1284,000;2302,000;1,000;0,043;0,270;0,037
SP01754;SP;5351,000;3944,000;1407,000;3266,000;1,000;0,031;0,270;0,025
SP01803;SP;6098,000;4524,000;1574,000;3804,000;1,000;0,026;0,270;0,022
SP01865;SP;4732,000;3337,000;1395,000;2900,000;1,000;0,034;0,270;0,030
SP01872;SP;7613,000;5835,000;1778,000;5033,000;1,000;0,020;0,270;0,017
SP01877;SP;5858,000;4452,000;1406,000;3755,000;1,000;0,027;0,270;0,022
SP01880;SP;4589,000;3325,000;1264,000;2844,000;1,000;0,035;0,270;0,030
SP01884;SP;7365,000;5467,000;1898,000;4519,000;1,000;0,022;0,270;0,018
SP01887;SP;11149,000;7662,000;3487,000;6482,000;1,000;0,015;0,270;0,013
SP01895;SP;4468,000;3366,000;1102,000;2872,000;1,000;0,035;0,270;0,030
SP01926;SP;6354,000;4642,000;1712,000;4010,000;1,000;0,025;0,270;0,022
SP01987;SP;4784,000;3488,000;1296,000;2971,000;1,000;0,034;0,270;0,029
SP01989;SP;5992,000;4344,000;1648,000;3718,000;1,000;0,027;0,270;0,023
SP01990;SP;6386,000;4883,000;1503,000;4034,000;3,000;0,074;0,811;0,061
