CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00017;SP;6847,000;4140,000;2707,000;3704,000;1,000;0,027;0,136;0,024
SP00064;SP;6208,000;4037,000;2171,000;3511,000;2,000;0,057;0,271;0,050
SP00079;SP;6753,000;5126,000;1627,000;4484,000;1,000;0,022;0,136;0,020
SP00081;SP;4985,000;3194,000;1791,000;2755,000;1,000;0,036;0,136;0,031
SP00084;SP;8514,000;5960,000;2554,000;5282,000;1,000;0,019;0,136;0,017
SP00086;SP;5934,000;4153,000;1781,000;3692,000;1,000;0,027;0,136;0,024
SP00093;SP;4638,000;3524,000;1114,000;3163,000;2,000;0,063;0,271;0,057
SP00121;SP;4046,000;2658,000;1388,000;2420,000;1,000;0,041;0,136;0,038
SP00123;SP;2390,000;1759,000;631,000;1653,000;1,000;0,060;0,136;0,057
SP00199;SP;9351,000;6697,000;2654,000;6031,000;1,000;0,017;0,136;0,015
SP00209;SP;4117,000;3042,000;1075,000;2774,000;1,000;0,036;0,136;0,033
SP00221;SP;3925,000;2950,000;975,000;2531,000;1,000;0,040;0,136;0,034
SP00222;SP;5627,000;4034,000;1593,000;3525,000;1,000;0,028;0,136;0,025
SP00223;SP;2666,000;1909,000;757,000;1662,000;2,000;0,120;0,271;0,105
SP00224;SP;4682,000;3295,000;1387,000;2841,000;1,000;0,035;0,136;0,030
SP00231;SP;4477,000;3485,000;992,000;2989,000;2,000;0,067;0,271;0,057
SP00232;SP;6760,000;5102,000;1658,000;4371,000;1,000;0,023;0,136;0,020
SP00235;SP;6359,000;4733,000;1626,000;4005,000;1,000;0,025;0,136;0,021
SP00236;SP;4570,000;3488,000;1082,000;2996,000;2,000;0,067;0,271;0,057
SP00237;SP;4589,000;3414,000;1175,000;2908,000;4,000;0,138;0,543;0,117
SP00240;SP;3251,000;2449,000;802,000;2056,000;1,000;0,049;0,136;0,041
SP00245;SP;1860,000;1458,000;402,000;1167,000;3,000;0,257;0,407;0,206
SP00248;SP;2993,000;2193,000;800,000;1833,000;4,000;0,218;0,543;0,182
SP00250;SP;4023,000;3125,000;898,000;2566,000;2,000;0,078;0,271;0,064
SP00252;SP;4288,000;3078,000;1210,000;2638,000;1,000;0,038;0,136;0,032
SP00253;SP;6617,000;5105,000;1512,000;4218,000;4,000;0,095;0,543;0,078
SP00254;SP;4716,000;3494,000;1222,000;2936,000;3,000;0,102;0,407;0,086
SP00255;SP;6778,000;5044,000;1734,000;4293,000;2,000;0,047;0,271;0,040
SP00260;SP;6967,000;4886,000;2081,000;4112,000;6,000;0,146;0,814;0,123
SP00261;SP;5727,000;3983,000;1744,000;3376,000;5,000;0,148;0,678;0,126
SP00262;SP;6791,000;4838,000;1953,000;4128,000;6,000;0,145;0,814;0,124
SP00263;SP;10873,000;8161,000;2712,000;7067,000;1,000;0,014;0,136;0,012
SP00264;SP;6606,000;4757,000;1849,000;3973,000;1,000;0,025;0,136;0,021
SP00265;SP;5313,000;3854,000;1459,000;3315,000;1,000;0,030;0,136;0,026
SP00266;SP;6960,000;5099,000;1861,000;4318,000;1,000;0,023;0,136;0,020
SP00267;SP;6197,000;4417,000;1780,000;3682,000;4,000;0,109;0,543;0,091
SP00270;SP;6129,000;4512,000;1617,000;3803,000;2,000;0,053;0,271;0,044
SP00271;SP;6516,000;4689,000;1827,000;3929,000;2,000;0,051;0,271;0,043
SP00272;SP;3513,000;2773,000;740,000;2324,000;3,000;0,129;0,407;0,108
SP00273;SP;5615,000;4390,000;1225,000;3670,000;2,000;0,054;0,271;0,046
SP00274;SP;5083,000;4027,000;1056,000;3417,000;2,000;0,059;0,271;0,050
SP00276;SP;4234,000;3269,000;965,000;2704,000;3,000;0,111;0,407;0,092
SP00277;SP;4274,000;3219,000;1055,000;2691,000;2,000;0,074;0,271;0,062
SP00278;SP;3874,000;2884,000;990,000;2434,000;3,000;0,123;0,407;0,104
SP00282;SP;6521,000;4899,000;1622,000;4004,000;3,000;0,075;0,407;0,061
SP00284;SP;4514,000;3367,000;1147,000;2775,000;1,000;0,036;0,136;0,030
SP00285;SP;2333,000;1770,000;563,000;1490,000;1,000;0,067;0,136;0,056
SP00286;SP;6009,000;4463,000;1546,000;3798,000;2,000;0,053;0,271;0,045
SP00287;SP;1938,000;1490,000;448,000;1274,000;1,000;0,078;0,136;0,067
SP00289;SP;3751,000;2887,000;864,000;2359,000;1,000;0,042;0,136;0,035
SP00299;SP;2182,000;1568,000;614,000;1389,000;1,000;0,072;0,136;0,064
SP00320;SP;4504,000;3135,000;1369,000;2784,000;2,000;0,072;0,271;0,064
SP00390;SP;4307,000;3128,000;1179,000;2733,000;1,000;0,037;0,136;0,032
SP00391;SP;3539,000;2437,000;1102,000;2119,000;1,000;0,047;0,136;0,041
SP00394;SP;2651,000;1853,000;798,000;1621,000;1,000;0,062;0,136;0,054
SP00400;SP;2153,000;1503,000;650,000;1323,000;3,000;0,227;0,407;0,200
SP00402;SP;4338,000;3200,000;1138,000;2741,000;1,000;0,036;0,136;0,031
SP00403;SP;6930,000;5024,000;1906,000;4268,000;10,000;0,234;1,357;0,199
SP00404;SP;5256,000;3768,000;1488,000;3185,000;4,000;0,126;0,543;0,106
SP00405;SP;4680,000;3515,000;1165,000;3097,000;2,000;0,065;0,271;0,057
SP00406;SP;3867,000;2759,000;1108,000;2325,000;4,000;0,172;0,543;0,145
SP00407;SP;4191,000;3035,000;1156,000;2536,000;2,000;0,079;0,271;0,066
SP00408;SP;7217,000;5129,000;2088,000;4414,000;4,000;0,091;0,543;0,078
SP00409;SP;5537,000;4146,000;1391,000;3428,000;3,000;0,088;0,407;0,072
SP00410;SP;1624,000;1232,000;392,000;1026,000;3,000;0,292;0,407;0,244
SP00411;SP;1750,000;1339,000;411,000;1163,000;2,000;0,172;0,271;0,149
SP00414;SP;2489,000;1977,000;512,000;1655,000;1,000;0,060;0,136;0,051
SP00415;SP;3888,000;2993,000;895,000;2599,000;2,000;0,077;0,271;0,067
SP00428;SP;5397,000;3698,000;1699,000;3296,000;1,000;0,030;0,136;0,027
SP00430;SP;8129,000;5971,000;2158,000;5396,000;1,000;0,019;0,136;0,017
SP00434;SP;5194,000;3618,000;1576,000;3183,000;1,000;0,031;0,136;0,028
SP00435;SP;7037,000;5280,000;1757,000;4647,000;2,000;0,043;0,271;0,038
SP00440;SP;4147,000;2940,000;1207,000;2548,000;1,000;0,039;0,136;0,034
SP00449;SP;6333,000;4838,000;1495,000;4289,000;1,000;0,023;0,136;0,021
SP00453;SP;1256,000;908,000;348,000;767,000;1,000;0,130;0,136;0,110
SP00464;SP;4296,000;3192,000;1104,000;2765,000;1,000;0,036;0,136;0,031
SP00480;SP;1874,000;1351,000;523,000;1236,000;1,000;0,081;0,136;0,074
SP00507;SP;9953,000;7335,000;2618,000;6265,000;1,000;0,016;0,136;0,014
SP00537;SP;4344,000;3031,000;1313,000;2660,000;1,000;0,038;0,136;0,033
SP00594;SP;3522,000;2548,000;974,000;2172,000;1,000;0,046;0,136;0,039
SP00598;SP;4844,000;3433,000;1411,000;2954,000;1,000;0,034;0,136;0,029
SP00599;SP;6251,000;4342,000;1909,000;3651,000;1,000;0,027;0,136;0,023
SP00639;SP;9027,000;6272,000;2755,000;5745,000;1,000;0,017;0,136;0,016
SP00653;SP;9758,000;6871,000;2887,000;6317,000;1,000;0,016;0,136;0,015
SP00657;SP;6658,000;4729,000;1929,000;4302,000;1,000;0,023;0,136;0,021
SP00706;SP;5478,000;3976,000;1502,000;3402,000;1,000;0,029;0,136;0,025
SP00707;SP;6988,000;4980,000;2008,000;4238,000;1,000;0,024;0,136;0,020
SP00719;SP;6130,000;4359,000;1771,000;3647,000;1,000;0,027;0,136;0,023
SP00743;SP;4240,000;3246,000;994,000;2798,000;1,000;0,036;0,136;0,031
SP00843;SP;5641,000;3932,000;1709,000;3203,000;6,000;0,187;0,814;0,153
SP00844;SP;1541,000;1163,000;378,000;977,000;3,000;0,307;0,407;0,258
SP00845;SP;1830,000;1419,000;411,000;1181,000;3,000;0,254;0,407;0,211
SP00846;SP;7352,000;5299,000;2053,000;4323,000;10,000;0,231;1,357;0,189
SP00847;SP;4082,000;3056,000;1026,000;2550,000;13,000;0,510;1,764;0,425
SP00848;SP;5251,000;3634,000;1617,000;3006,000;3,000;0,100;0,407;0,083
SP00850;SP;5224,000;3817,000;1407,000;3220,000;3,000;0,093;0,407;0,079
SP00851;SP;5695,000;3897,000;1798,000;3271,000;4,000;0,122;0,543;0,103
SP00853;SP;4081,000;3040,000;1041,000;2553,000;3,000;0,118;0,407;0,099
SP00854;SP;6049,000;4219,000;1830,000;3570,000;5,000;0,140;0,678;0,119
SP00856;SP;6062,000;4538,000;1524,000;3805,000;4,000;0,105;0,543;0,088
SP00857;SP;3507,000;2824,000;683,000;2367,000;3,000;0,127;0,407;0,106
SP00859;SP;4366,000;3337,000;1029,000;2773,000;3,000;0,108;0,407;0,090
SP00860;SP;3076,000;2411,000;665,000;1994,000;1,000;0,050;0,136;0,041
SP00861;SP;3884,000;2990,000;894,000;2383,000;7,000;0,294;0,950;0,234
SP00862;SP;4149,000;3028,000;1121,000;2481,000;2,000;0,081;0,271;0,066
SP00864;SP;2151,000;1674,000;477,000;1405,000;2,000;0,142;0,271;0,119
SP00866;SP;2305,000;1801,000;504,000;1511,000;1,000;0,066;0,136;0,056
SP00869;SP;2469,000;1895,000;574,000;1521,000;4,000;0,263;0,543;0,211
SP00873;SP;5220,000;3631,000;1589,000;3139,000;1,000;0,032;0,136;0,028
SP00874;SP;3637,000;2753,000;884,000;2278,000;2,000;0,088;0,271;0,073
