CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;1,000;0,016;0,180;0,015
SP00009;SP;5809,000;3876,000;1933,000;3552,000;2,000;0,056;0,360;0,052
SP00010;SP;9269,000;6039,000;3230,000;5553,000;1,000;0,018;0,180;0,017
SP00012;SP;9441,000;6116,000;3325,000;5498,000;3,000;0,055;0,540;0,049
SP00014;SP;7153,000;4433,000;2720,000;3934,000;3,000;0,076;0,540;0,068
SP00023;SP;2029,000;1448,000;581,000;1264,000;1,000;0,079;0,180;0,069
SP00028;SP;8070,000;5175,000;2895,000;4726,000;1,000;0,021;0,180;0,019
SP00029;SP;17797,000;12599,000;5198,000;11769,000;4,000;0,034;0,719;0,032
SP00032;SP;11991,000;8507,000;3484,000;8030,000;1,000;0,012;0,180;0,012
SP00033;SP;7735,000;5271,000;2464,000;4792,000;2,000;0,042;0,360;0,038
SP00034;SP;5401,000;3246,000;2155,000;2941,000;1,000;0,034;0,180;0,031
SP00036;SP;6716,000;4776,000;1940,000;4457,000;2,000;0,045;0,360;0,042
SP00038;SP;8044,000;5650,000;2394,000;5177,000;2,000;0,039;0,360;0,035
SP00042;SP;3797,000;2921,000;876,000;2677,000;2,000;0,075;0,360;0,068
SP00044;SP;7789,000;5743,000;2046,000;5331,000;1,000;0,019;0,180;0,017
SP00047;SP;4672,000;3348,000;1324,000;3050,000;3,000;0,098;0,540;0,090
SP00049;SP;2731,000;2018,000;713,000;1902,000;1,000;0,053;0,180;0,050
SP00051;SP;9919,000;6324,000;3595,000;5895,000;2,000;0,034;0,360;0,032
SP00054;SP;5696,000;3753,000;1943,000;3197,000;1,000;0,031;0,180;0,027
SP00061;SP;5110,000;3413,000;1697,000;2995,000;1,000;0,033;0,180;0,029
SP00064;SP;6208,000;4037,000;2171,000;3511,000;1,000;0,028;0,180;0,025
SP00073;SP;14871,000;9817,000;5054,000;8895,000;2,000;0,022;0,360;0,020
SP00074;SP;4599,000;3060,000;1539,000;2770,000;1,000;0,036;0,180;0,033
SP00076;SP;7781,000;5170,000;2611,000;4521,000;1,000;0,022;0,180;0,019
SP00083;SP;12710,000;9298,000;3412,000;8373,000;1,000;0,012;0,180;0,011
SP00084;SP;8514,000;5960,000;2554,000;5282,000;1,000;0,019;0,180;0,017
SP00087;SP;7025,000;4901,000;2124,000;4319,000;1,000;0,023;0,180;0,020
SP00092;SP;8010,000;5674,000;2336,000;5030,000;1,000;0,020;0,180;0,018
SP00095;SP;7262,000;5378,000;1884,000;4657,000;1,000;0,021;0,180;0,019
SP00101;SP;8957,000;6780,000;2177,000;6001,000;1,000;0,017;0,180;0,015
SP00108;SP;7706,000;4996,000;2710,000;4672,000;1,000;0,021;0,180;0,020
SP00112;SP;5370,000;3564,000;1806,000;3242,000;1,000;0,031;0,180;0,028
SP00115;SP;6789,000;4670,000;2119,000;4276,000;2,000;0,047;0,360;0,043
SP00116;SP;13458,000;8809,000;4649,000;8195,000;1,000;0,012;0,180;0,011
SP00119;SP;8699,000;5629,000;3070,000;5241,000;1,000;0,019;0,180;0,018
SP00121;SP;4046,000;2658,000;1388,000;2420,000;1,000;0,041;0,180;0,038
SP00131;SP;5037,000;3622,000;1415,000;3345,000;1,000;0,030;0,180;0,028
SP00134;SP;5615,000;3841,000;1774,000;3504,000;1,000;0,029;0,180;0,026
SP00135;SP;10099,000;6853,000;3246,000;5983,000;2,000;0,033;0,360;0,029
SP00136;SP;9241,000;6497,000;2744,000;5815,000;1,000;0,017;0,180;0,015
SP00140;SP;5793,000;3889,000;1904,000;3467,000;1,000;0,029;0,180;0,026
SP00142;SP;4541,000;2990,000;1551,000;2638,000;1,000;0,038;0,180;0,033
SP00145;SP;4652,000;3551,000;1101,000;3217,000;1,000;0,031;0,180;0,028
SP00149;SP;3452,000;2590,000;862,000;2234,000;1,000;0,045;0,180;0,039
SP00155;SP;6109,000;4286,000;1823,000;3668,000;1,000;0,027;0,180;0,023
SP00158;SP;5902,000;3987,000;1915,000;3372,000;1,000;0,030;0,180;0,025
SP00159;SP;8207,000;5759,000;2448,000;4847,000;1,000;0,021;0,180;0,017
SP00165;SP;5151,000;3881,000;1270,000;3088,000;1,000;0,032;0,180;0,026
SP00171;SP;6293,000;4730,000;1563,000;3938,000;1,000;0,025;0,180;0,021
SP00172;SP;4627,000;3517,000;1110,000;2935,000;1,000;0,034;0,180;0,028
SP00175;SP;4700,000;3395,000;1305,000;2728,000;1,000;0,037;0,180;0,029
SP00176;SP;4725,000;3530,000;1195,000;2946,000;1,000;0,034;0,180;0,028
SP00178;SP;8552,000;6363,000;2189,000;5204,000;1,000;0,019;0,180;0,016
SP00179;SP;3023,000;2176,000;847,000;1776,000;1,000;0,056;0,180;0,046
SP00188;SP;4302,000;3191,000;1111,000;2652,000;1,000;0,038;0,180;0,031
SP00189;SP;5717,000;3833,000;1884,000;3381,000;1,000;0,030;0,180;0,026
SP00191;SP;4893,000;3386,000;1507,000;3120,000;1,000;0,032;0,180;0,030
SP00194;SP;8615,000;6268,000;2347,000;5780,000;1,000;0,017;0,180;0,016
SP00195;SP;3523,000;2306,000;1217,000;2013,000;1,000;0,050;0,180;0,043
SP00197;SP;4829,000;3340,000;1489,000;3099,000;1,000;0,032;0,180;0,030
SP00198;SP;9846,000;7057,000;2789,000;6333,000;4,000;0,063;0,719;0,057
SP00207;SP;4643,000;3544,000;1099,000;3043,000;1,000;0,033;0,180;0,028
SP00222;SP;5627,000;4034,000;1593,000;3525,000;1,000;0,028;0,180;0,025
SP00223;SP;2666,000;1909,000;757,000;1662,000;1,000;0,060;0,180;0,052
SP00224;SP;4682,000;3295,000;1387,000;2841,000;1,000;0,035;0,180;0,030
SP00228;SP;3772,000;2679,000;1093,000;2265,000;1,000;0,044;0,180;0,037
SP00251;SP;3854,000;2856,000;998,000;2435,000;1,000;0,041;0,180;0,035
SP00255;SP;6778,000;5044,000;1734,000;4293,000;1,000;0,023;0,180;0,020
SP00256;SP;4254,000;3283,000;971,000;2674,000;1,000;0,037;0,180;0,030
SP00260;SP;6967,000;4886,000;2081,000;4112,000;1,000;0,024;0,180;0,020
SP00263;SP;10873,000;8161,000;2712,000;7067,000;1,000;0,014;0,180;0,012
SP00266;SP;6960,000;5099,000;1861,000;4318,000;1,000;0,023;0,180;0,020
SP00269;SP;4567,000;3317,000;1250,000;2813,000;1,000;0,036;0,180;0,030
SP00270;SP;6129,000;4512,000;1617,000;3803,000;1,000;0,026;0,180;0,022
SP00280;SP;6493,000;4855,000;1638,000;3966,000;1,000;0,025;0,180;0,021
SP00298;SP;4475,000;3118,000;1357,000;2813,000;1,000;0,036;0,180;0,032
SP00313;SP;5494,000;4051,000;1443,000;3634,000;1,000;0,028;0,180;0,025
SP00315;SP;5861,000;4276,000;1585,000;3850,000;1,000;0,026;0,180;0,023
SP00316;SP;8808,000;6530,000;2278,000;5921,000;1,000;0,017;0,180;0,015
SP00319;SP;2366,000;1775,000;591,000;1580,000;1,000;0,063;0,180;0,056
SP00322;SP;8258,000;5548,000;2710,000;4975,000;1,000;0,020;0,180;0,018
SP00325;SP;4286,000;3094,000;1192,000;2780,000;2,000;0,072;0,360;0,065
SP00329;SP;3347,000;2208,000;1139,000;1860,000;1,000;0,054;0,180;0,045
SP00330;SP;4062,000;2873,000;1189,000;2547,000;2,000;0,079;0,360;0,070
SP00334;SP;1713,000;1283,000;430,000;1116,000;1,000;0,090;0,180;0,078
SP00337;SP;1495,000;1118,000;377,000;942,000;1,000;0,106;0,180;0,089
SP00341;SP;3178,000;2297,000;881,000;2077,000;2,000;0,096;0,360;0,087
SP00342;SP;5123,000;3662,000;1461,000;3278,000;1,000;0,031;0,180;0,027
SP00345;SP;7886,000;5416,000;2470,000;4892,000;2,000;0,041;0,360;0,037
SP00355;SP;1892,000;1470,000;422,000;1316,000;1,000;0,076;0,180;0,068
SP00367;SP;3181,000;2043,000;1138,000;1835,000;1,000;0,054;0,180;0,049
SP00370;SP;7693,000;5691,000;2002,000;5410,000;1,000;0,018;0,180;0,018
SP00372;SP;5891,000;3989,000;1902,000;3708,000;1,000;0,027;0,180;0,025
SP00379;SP;4356,000;2992,000;1364,000;2717,000;2,000;0,074;0,360;0,067
SP00387;SP;3215,000;2482,000;733,000;2310,000;1,000;0,043;0,180;0,040
SP00392;SP;4859,000;3569,000;1290,000;3137,000;1,000;0,032;0,180;0,028
SP00393;SP;3958,000;2809,000;1149,000;2404,000;1,000;0,042;0,180;0,036
SP00401;SP;6075,000;4286,000;1789,000;3723,000;2,000;0,054;0,360;0,047
SP00403;SP;6930,000;5024,000;1906,000;4268,000;1,000;0,023;0,180;0,020
SP00404;SP;5256,000;3768,000;1488,000;3185,000;1,000;0,031;0,180;0,027
SP00406;SP;3867,000;2759,000;1108,000;2325,000;2,000;0,086;0,360;0,072
SP00409;SP;5537,000;4146,000;1391,000;3428,000;2,000;0,058;0,360;0,048
SP00413;SP;5079,000;3987,000;1092,000;3298,000;1,000;0,030;0,180;0,025
SP00418;SP;1339,000;967,000;372,000;784,000;1,000;0,128;0,180;0,103
SP00421;SP;3048,000;2181,000;867,000;1947,000;1,000;0,051;0,180;0,046
SP00423;SP;4513,000;3158,000;1355,000;2820,000;1,000;0,035;0,180;0,032
SP00424;SP;4823,000;3449,000;1374,000;3041,000;1,000;0,033;0,180;0,029
SP00425;SP;6519,000;4845,000;1674,000;4356,000;1,000;0,023;0,180;0,021
SP00430;SP;8129,000;5971,000;2158,000;5396,000;1,000;0,019;0,180;0,017
SP00436;SP;2845,000;1967,000;878,000;1697,000;1,000;0,059;0,180;0,051
SP00443;SP;5342,000;3920,000;1422,000;3502,000;1,000;0,029;0,180;0,026
SP00446;SP;7010,000;5463,000;1547,000;4823,000;4,000;0,083;0,719;0,073
SP00449;SP;6333,000;4838,000;1495,000;4289,000;1,000;0,023;0,180;0,021
SP00470;SP;4692,000;3265,000;1427,000;2911,000;1,000;0,034;0,180;0,031
SP00472;SP;2507,000;1806,000;701,000;1593,000;1,000;0,063;0,180;0,055
SP00473;SP;5477,000;3996,000;1481,000;3538,000;1,000;0,028;0,180;0,025
SP00476;SP;5975,000;4311,000;1664,000;3817,000;1,000;0,026;0,180;0,023
SP00478;SP;3496,000;2495,000;1001,000;2209,000;1,000;0,045;0,180;0,040
SP00482;SP;6633,000;4865,000;1768,000;4345,000;2,000;0,046;0,360;0,041
SP00498;SP;3111,000;2164,000;947,000;1894,000;1,000;0,053;0,180;0,046
SP00499;SP;6834,000;4904,000;1930,000;4285,000;1,000;0,023;0,180;0,020
SP00500;SP;6586,000;4736,000;1850,000;4014,000;1,000;0,025;0,180;0,021
SP00503;SP;6619,000;4634,000;1985,000;4034,000;2,000;0,050;0,360;0,043
