CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;1,000;0,016;0,339;0,015
SP00002;SP;8476,000;5539,000;2937,000;5059,000;2,000;0,040;0,678;0,036
SP00003;SP;6223,000;3562,000;2661,000;3191,000;1,000;0,031;0,339;0,028
SP00004;SP;6071,000;4117,000;1954,000;3653,000;1,000;0,027;0,339;0,024
SP00006;SP;6187,000;4196,000;1991,000;3800,000;1,000;0,026;0,339;0,024
SP00011;SP;7822,000;5249,000;2573,000;4769,000;1,000;0,021;0,339;0,019
SP00019;SP;4798,000;3546,000;1252,000;3272,000;2,000;0,061;0,678;0,056
SP00028;SP;8070,000;5175,000;2895,000;4726,000;1,000;0,021;0,339;0,019
SP00029;SP;17797,000;12599,000;5198,000;11769,000;3,000;0,025;1,017;0,024
SP00040;SP;7288,000;5434,000;1854,000;4999,000;2,000;0,040;0,678;0,037
SP00044;SP;7789,000;5743,000;2046,000;5331,000;1,000;0,019;0,339;0,017
SP00045;SP;3377,000;2532,000;845,000;2298,000;1,000;0,044;0,339;0,039
SP00046;SP;8211,000;6097,000;2114,000;5678,000;2,000;0,035;0,678;0,033
SP00047;SP;4672,000;3348,000;1324,000;3050,000;1,000;0,033;0,339;0,030
SP00048;SP;5609,000;4361,000;1248,000;4021,000;3,000;0,075;1,017;0,069
SP00052;SP;5165,000;3133,000;2032,000;2746,000;1,000;0,036;0,339;0,032
SP00056;SP;5794,000;3640,000;2154,000;3156,000;2,000;0,063;0,678;0,055
SP00059;SP;6072,000;4040,000;2032,000;3525,000;1,000;0,028;0,339;0,025
SP00064;SP;6208,000;4037,000;2171,000;3511,000;2,000;0,057;0,678;0,050
SP00074;SP;4599,000;3060,000;1539,000;2770,000;2,000;0,072;0,678;0,065
SP00078;SP;6145,000;4471,000;1674,000;4014,000;1,000;0,025;0,339;0,022
SP00083;SP;12710,000;9298,000;3412,000;8373,000;1,000;0,012;0,339;0,011
SP00085;SP;7942,000;5522,000;2420,000;4861,000;1,000;0,021;0,339;0,018
