CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;1,000;0,016;0,439;0,015
SP00015;SP;4890,000;3200,000;1690,000;2777,000;1,000;0,036;0,439;0,031
SP00018;SP;5238,000;3256,000;1982,000;2906,000;1,000;0,034;0,439;0,031
SP00028;SP;8070,000;5175,000;2895,000;4726,000;3,000;0,063;1,316;0,058
SP00029;SP;17797,000;12599,000;5198,000;11769,000;3,000;0,025;1,316;0,024
SP00032;SP;11991,000;8507,000;3484,000;8030,000;1,000;0,012;0,439;0,012
SP00035;SP;5608,000;3859,000;1749,000;3432,000;2,000;0,058;0,877;0,052
SP00038;SP;8044,000;5650,000;2394,000;5177,000;5,000;0,097;2,193;0,088
SP00040;SP;7288,000;5434,000;1854,000;4999,000;3,000;0,060;1,316;0,055
SP00047;SP;4672,000;3348,000;1324,000;3050,000;1,000;0,033;0,439;0,030
SP00048;SP;5609,000;4361,000;1248,000;4021,000;1,000;0,025;0,439;0,023
SP00051;SP;9919,000;6324,000;3595,000;5895,000;1,000;0,017;0,439;0,016
SP00056;SP;5794,000;3640,000;2154,000;3156,000;2,000;0,063;0,877;0,055
SP00069;SP;2939,000;2032,000;907,000;1793,000;1,000;0,056;0,439;0,049
SP00070;SP;4221,000;2997,000;1224,000;2670,000;1,000;0,037;0,439;0,033
SP00073;SP;14871,000;9817,000;5054,000;8895,000;1,000;0,011;0,439;0,010
SP00078;SP;6145,000;4471,000;1674,000;4014,000;1,000;0,025;0,439;0,022
SP00079;SP;6753,000;5126,000;1627,000;4484,000;1,000;0,022;0,439;0,020
SP00090;SP;5982,000;4272,000;1710,000;3906,000;1,000;0,026;0,439;0,023
SP00094;SP;3713,000;2680,000;1033,000;2357,000;1,000;0,042;0,439;0,037
SP00096;SP;3961,000;2845,000;1116,000;2437,000;1,000;0,041;0,439;0,035
SP00112;SP;5370,000;3564,000;1806,000;3242,000;1,000;0,031;0,439;0,028
SP00118;SP;11540,000;7496,000;4044,000;6933,000;1,000;0,014;0,439;0,013
SP00125;SP;8768,000;6055,000;2713,000;5539,000;1,000;0,018;0,439;0,017
SP00126;SP;3970,000;2788,000;1182,000;2578,000;2,000;0,078;0,877;0,072
SP00130;SP;7718,000;5325,000;2393,000;4865,000;1,000;0,021;0,439;0,019
SP00142;SP;4541,000;2990,000;1551,000;2638,000;1,000;0,038;0,439;0,033
SP00177;SP;6291,000;4620,000;1671,000;3718,000;1,000;0,027;0,439;0,022
SP00205;SP;3126,000;2267,000;859,000;2107,000;1,000;0,047;0,439;0,044
SP00209;SP;4117,000;3042,000;1075,000;2774,000;2,000;0,072;0,877;0,066
SP00223;SP;2666,000;1909,000;757,000;1662,000;1,000;0,060;0,439;0,052
SP00248;SP;2993,000;2193,000;800,000;1833,000;1,000;0,055;0,439;0,046
SP00268;SP;6330,000;4415,000;1915,000;3742,000;1,000;0,027;0,439;0,023
SP00310;SP;5928,000;4260,000;1668,000;3647,000;1,000;0,027;0,439;0,023
SP00322;SP;8258,000;5548,000;2710,000;4975,000;3,000;0,060;1,316;0,054
SP00325;SP;4286,000;3094,000;1192,000;2780,000;1,000;0,036;0,439;0,032
SP00326;SP;3933,000;2749,000;1184,000;2471,000;3,000;0,121;1,316;0,109
SP00328;SP;3718,000;2674,000;1044,000;2278,000;1,000;0,044;0,439;0,037
SP00332;SP;3054,000;2284,000;770,000;2099,000;2,000;0,095;0,877;0,088
SP00339;SP;3299,000;2272,000;1027,000;2075,000;1,000;0,048;0,439;0,044
SP00340;SP;3747,000;2675,000;1072,000;2391,000;1,000;0,042;0,439;0,037
SP00341;SP;3178,000;2297,000;881,000;2077,000;1,000;0,048;0,439;0,044
SP00343;SP;5204,000;3721,000;1483,000;3344,000;5,000;0,150;2,193;0,134
SP00345;SP;7886,000;5416,000;2470,000;4892,000;1,000;0,020;0,439;0,018
SP00348;SP;4643,000;3365,000;1278,000;3024,000;1,000;0,033;0,439;0,030
SP00353;SP;2983,000;2278,000;705,000;2068,000;1,000;0,048;0,439;0,044
SP00356;SP;6871,000;5190,000;1681,000;4713,000;1,000;0,021;0,439;0,019
SP00362;SP;1767,000;1220,000;547,000;1081,000;2,000;0,185;0,877;0,164
SP00368;SP;4441,000;3045,000;1396,000;2778,000;1,000;0,036;0,439;0,033
SP00369;SP;4203,000;2956,000;1247,000;2789,000;1,000;0,036;0,439;0,034
SP00370;SP;7693,000;5691,000;2002,000;5410,000;2,000;0,037;0,877;0,035
SP00373;SP;5182,000;3550,000;1632,000;3328,000;1,000;0,030;0,439;0,028
SP00375;SP;4721,000;3317,000;1404,000;3093,000;1,000;0,032;0,439;0,030
SP00412;SP;2247,000;1715,000;532,000;1480,000;1,000;0,068;0,439;0,058
SP00434;SP;5194,000;3618,000;1576,000;3183,000;1,000;0,031;0,439;0,028
SP00456;SP;4320,000;3095,000;1225,000;2792,000;1,000;0,036;0,439;0,032
SP00474;SP;5075,000;3543,000;1532,000;3133,000;1,000;0,032;0,439;0,028
SP00497;SP;6925,000;4935,000;1990,000;4441,000;2,000;0,045;0,877;0,041
SP00503;SP;6619,000;4634,000;1985,000;4034,000;2,000;0,050;0,877;0,043
SP00506;SP;4319,000;3065,000;1254,000;2647,000;1,000;0,038;0,439;0,033
SP00507;SP;9953,000;7335,000;2618,000;6265,000;1,000;0,016;0,439;0,014
SP00515;SP;4792,000;3544,000;1248,000;3046,000;2,000;0,066;0,877;0,056
SP00527;SP;3105,000;2475,000;630,000;2136,000;1,000;0,047;0,439;0,040
