CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;4,000;0,066;0,227;0,060
SP00002;SP;8476,000;5539,000;2937,000;5059,000;2,000;0,040;0,113;0,036
SP00003;SP;6223,000;3562,000;2661,000;3191,000;1,000;0,031;0,057;0,028
SP00007;SP;9748,000;5727,000;4021,000;5077,000;3,000;0,059;0,170;0,052
SP00009;SP;5809,000;3876,000;1933,000;3552,000;3,000;0,084;0,170;0,077
SP00010;SP;9269,000;6039,000;3230,000;5553,000;1,000;0,018;0,057;0,017
SP00011;SP;7822,000;5249,000;2573,000;4769,000;2,000;0,042;0,113;0,038
SP00017;SP;6847,000;4140,000;2707,000;3704,000;2,000;0,054;0,113;0,048
SP00018;SP;5238,000;3256,000;1982,000;2906,000;3,000;0,103;0,170;0,092
SP00019;SP;4798,000;3546,000;1252,000;3272,000;1,000;0,031;0,057;0,028
SP00020;SP;1562,000;1060,000;502,000;914,000;1,000;0,109;0,057;0,094
SP00021;SP;3914,000;2744,000;1170,000;2386,000;1,000;0,042;0,057;0,036
SP00028;SP;8070,000;5175,000;2895,000;4726,000;6,000;0,127;0,340;0,116
SP00029;SP;17797,000;12599,000;5198,000;11769,000;1,000;0,008;0,057;0,008
SP00032;SP;11991,000;8507,000;3484,000;8030,000;2,000;0,025;0,113;0,024
SP00037;SP;5446,000;3922,000;1524,000;3606,000;1,000;0,028;0,057;0,025
SP00038;SP;8044,000;5650,000;2394,000;5177,000;1,000;0,019;0,057;0,018
SP00039;SP;6391,000;4336,000;2055,000;3981,000;4,000;0,100;0,227;0,092
SP00040;SP;7288,000;5434,000;1854,000;4999,000;1,000;0,020;0,057;0,018
SP00041;SP;4585,000;3191,000;1394,000;2950,000;2,000;0,068;0,113;0,063
SP00042;SP;3797,000;2921,000;876,000;2677,000;1,000;0,037;0,057;0,034
SP00043;SP;3049,000;2192,000;857,000;1985,000;1,000;0,050;0,057;0,046
SP00044;SP;7789,000;5743,000;2046,000;5331,000;1,000;0,019;0,057;0,017
SP00046;SP;8211,000;6097,000;2114,000;5678,000;3,000;0,053;0,170;0,049
SP00048;SP;5609,000;4361,000;1248,000;4021,000;3,000;0,075;0,170;0,069
SP00055;SP;8226,000;5391,000;2835,000;4660,000;2,000;0,043;0,113;0,037
SP00056;SP;5794,000;3640,000;2154,000;3156,000;2,000;0,063;0,113;0,055
SP00058;SP;5387,000;3548,000;1839,000;3095,000;2,000;0,065;0,113;0,056
SP00061;SP;5110,000;3413,000;1697,000;2995,000;4,000;0,134;0,227;0,117
SP00062;SP;4386,000;2971,000;1415,000;2589,000;5,000;0,193;0,283;0,168
SP00064;SP;6208,000;4037,000;2171,000;3511,000;2,000;0,057;0,113;0,050
SP00069;SP;2939,000;2032,000;907,000;1793,000;1,000;0,056;0,057;0,049
SP00070;SP;4221,000;2997,000;1224,000;2670,000;1,000;0,037;0,057;0,033
SP00073;SP;14871,000;9817,000;5054,000;8895,000;1,000;0,011;0,057;0,010
SP00075;SP;2374,000;1530,000;844,000;1347,000;1,000;0,074;0,057;0,065
SP00076;SP;7781,000;5170,000;2611,000;4521,000;12,000;0,265;0,680;0,232
SP00077;SP;5316,000;3714,000;1602,000;3239,000;8,000;0,247;0,453;0,215
SP00078;SP;6145,000;4471,000;1674,000;4014,000;13,000;0,324;0,736;0,291
SP00079;SP;6753,000;5126,000;1627,000;4484,000;8,000;0,178;0,453;0,156
SP00082;SP;2042,000;1343,000;699,000;1191,000;2,000;0,168;0,113;0,149
SP00083;SP;12710,000;9298,000;3412,000;8373,000;21,000;0,251;1,189;0,226
SP00084;SP;8514,000;5960,000;2554,000;5282,000;10,000;0,189;0,566;0,168
SP00085;SP;7942,000;5522,000;2420,000;4861,000;7,000;0,144;0,396;0,127
SP00086;SP;5934,000;4153,000;1781,000;3692,000;8,000;0,217;0,453;0,193
SP00087;SP;7025,000;4901,000;2124,000;4319,000;10,000;0,232;0,566;0,204
SP00088;SP;8110,000;5666,000;2444,000;5056,000;10,000;0,198;0,566;0,176
SP00089;SP;6261,000;4229,000;2032,000;3816,000;4,000;0,105;0,227;0,095
SP00090;SP;5982,000;4272,000;1710,000;3906,000;10,000;0,256;0,566;0,234
SP00091;SP;6781,000;4661,000;2120,000;4098,000;4,000;0,098;0,227;0,086
SP00092;SP;8010,000;5674,000;2336,000;5030,000;9,000;0,179;0,510;0,159
SP00093;SP;4638,000;3524,000;1114,000;3163,000;13,000;0,411;0,736;0,369
SP00094;SP;3713,000;2680,000;1033,000;2357,000;6,000;0,255;0,340;0,224
SP00095;SP;7262,000;5378,000;1884,000;4657,000;5,000;0,107;0,283;0,093
