CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;1,000;0,016;0,100;0,015
SP00002;SP;8476,000;5539,000;2937,000;5059,000;1,000;0,020;0,100;0,018
SP00004;SP;6071,000;4117,000;1954,000;3653,000;1,000;0,027;0,100;0,024
SP00009;SP;5809,000;3876,000;1933,000;3552,000;1,000;0,028;0,100;0,026
SP00012;SP;9441,000;6116,000;3325,000;5498,000;1,000;0,018;0,100;0,016
SP00022;SP;5474,000;3858,000;1616,000;3218,000;2,000;0,062;0,200;0,052
SP00025;SP;3193,000;2227,000;966,000;2052,000;1,000;0,049;0,100;0,045
SP00032;SP;11991,000;8507,000;3484,000;8030,000;1,000;0,012;0,100;0,012
SP00038;SP;8044,000;5650,000;2394,000;5177,000;2,000;0,039;0,200;0,035
SP00039;SP;6391,000;4336,000;2055,000;3981,000;3,000;0,075;0,300;0,069
SP00040;SP;7288,000;5434,000;1854,000;4999,000;2,000;0,040;0,200;0,037
SP00046;SP;8211,000;6097,000;2114,000;5678,000;1,000;0,018;0,100;0,016
SP00051;SP;9919,000;6324,000;3595,000;5895,000;1,000;0,017;0,100;0,016
SP00055;SP;8226,000;5391,000;2835,000;4660,000;1,000;0,021;0,100;0,019
SP00059;SP;6072,000;4040,000;2032,000;3525,000;2,000;0,057;0,200;0,050
SP00081;SP;4985,000;3194,000;1791,000;2755,000;2,000;0,073;0,200;0,063
SP00083;SP;12710,000;9298,000;3412,000;8373,000;7,000;0,084;0,700;0,075
SP00084;SP;8514,000;5960,000;2554,000;5282,000;5,000;0,095;0,500;0,084
SP00085;SP;7942,000;5522,000;2420,000;4861,000;2,000;0,041;0,200;0,036
SP00087;SP;7025,000;4901,000;2124,000;4319,000;2,000;0,046;0,200;0,041
SP00089;SP;6261,000;4229,000;2032,000;3816,000;2,000;0,052;0,200;0,047
SP00090;SP;5982,000;4272,000;1710,000;3906,000;4,000;0,102;0,400;0,094
SP00091;SP;6781,000;4661,000;2120,000;4098,000;5,000;0,122;0,500;0,107
SP00092;SP;8010,000;5674,000;2336,000;5030,000;3,000;0,060;0,300;0,053
SP00095;SP;7262,000;5378,000;1884,000;4657,000;1,000;0,021;0,100;0,019
SP00096;SP;3961,000;2845,000;1116,000;2437,000;3,000;0,123;0,300;0,105
SP00097;SP;4480,000;3320,000;1160,000;2831,000;1,000;0,035;0,100;0,030
SP00098;SP;5038,000;3701,000;1337,000;3156,000;1,000;0,032;0,100;0,027
SP00099;SP;4550,000;3344,000;1206,000;2841,000;1,000;0,035;0,100;0,030
SP00100;SP;4225,000;2928,000;1297,000;2539,000;4,000;0,158;0,400;0,137
SP00101;SP;8957,000;6780,000;2177,000;6001,000;1,000;0,017;0,100;0,015
SP00102;SP;4710,000;2822,000;1888,000;2446,000;2,000;0,082;0,200;0,071
SP00124;SP;5471,000;3750,000;1721,000;3417,000;1,000;0,029;0,100;0,027
SP00125;SP;8768,000;6055,000;2713,000;5539,000;1,000;0,018;0,100;0,017
SP00127;SP;7300,000;5121,000;2179,000;4725,000;1,000;0,021;0,100;0,020
SP00130;SP;7718,000;5325,000;2393,000;4865,000;1,000;0,021;0,100;0,019
SP00136;SP;9241,000;6497,000;2744,000;5815,000;2,000;0,034;0,200;0,031
SP00140;SP;5793,000;3889,000;1904,000;3467,000;1,000;0,029;0,100;0,026
SP00141;SP;4594,000;3186,000;1408,000;2804,000;1,000;0,036;0,100;0,031
SP00143;SP;8101,000;5686,000;2415,000;5122,000;2,000;0,039;0,200;0,035
SP00145;SP;4652,000;3551,000;1101,000;3217,000;1,000;0,031;0,100;0,028
SP00147;SP;7272,000;5483,000;1789,000;5016,000;1,000;0,020;0,100;0,018
SP00155;SP;6109,000;4286,000;1823,000;3668,000;1,000;0,027;0,100;0,023
SP00198;SP;9846,000;7057,000;2789,000;6333,000;1,000;0,016;0,100;0,014
SP00199;SP;9351,000;6697,000;2654,000;6031,000;2,000;0,033;0,200;0,030
SP00221;SP;3925,000;2950,000;975,000;2531,000;2,000;0,079;0,200;0,068
SP00222;SP;5627,000;4034,000;1593,000;3525,000;3,000;0,085;0,300;0,074
SP00224;SP;4682,000;3295,000;1387,000;2841,000;1,000;0,035;0,100;0,030
SP00230;SP;4442,000;3139,000;1303,000;2668,000;1,000;0,037;0,100;0,032
SP00234;SP;1126,000;832,000;294,000;718,000;1,000;0,139;0,100;0,120
SP00243;SP;3895,000;2713,000;1182,000;2275,000;1,000;0,044;0,100;0,037
SP00260;SP;6967,000;4886,000;2081,000;4112,000;3,000;0,073;0,300;0,061
SP00263;SP;10873,000;8161,000;2712,000;7067,000;1,000;0,014;0,100;0,012
SP00264;SP;6606,000;4757,000;1849,000;3973,000;1,000;0,025;0,100;0,021
SP00266;SP;6960,000;5099,000;1861,000;4318,000;1,000;0,023;0,100;0,020
SP00282;SP;6521,000;4899,000;1622,000;4004,000;1,000;0,025;0,100;0,020
SP00294;SP;5157,000;3659,000;1498,000;3309,000;3,000;0,091;0,300;0,082
SP00303;SP;3512,000;2379,000;1133,000;2163,000;3,000;0,139;0,300;0,126
SP00322;SP;8258,000;5548,000;2710,000;4975,000;1,000;0,020;0,100;0,018
SP00323;SP;4008,000;2671,000;1337,000;2414,000;1,000;0,041;0,100;0,037
SP00324;SP;4770,000;3319,000;1451,000;2949,000;1,000;0,034;0,100;0,030
SP00326;SP;3933,000;2749,000;1184,000;2471,000;1,000;0,040;0,100;0,036
