CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00004;SP;6071,000;4117,000;1954,000;3653,000;1,000;0,027;0,123;0,024
SP00005;SP;7574,000;4851,000;2723,000;4286,000;1,000;0,023;0,123;0,021
SP00008;SP;4250,000;2710,000;1540,000;2422,000;1,000;0,041;0,123;0,037
SP00009;SP;5809,000;3876,000;1933,000;3552,000;1,000;0,028;0,123;0,026
SP00010;SP;9269,000;6039,000;3230,000;5553,000;1,000;0,018;0,123;0,017
SP00011;SP;7822,000;5249,000;2573,000;4769,000;2,000;0,042;0,247;0,038
SP00013;SP;4269,000;2958,000;1311,000;2742,000;3,000;0,109;0,370;0,101
SP00014;SP;7153,000;4433,000;2720,000;3934,000;1,000;0,025;0,123;0,023
SP00017;SP;6847,000;4140,000;2707,000;3704,000;1,000;0,027;0,123;0,024
SP00022;SP;5474,000;3858,000;1616,000;3218,000;1,000;0,031;0,123;0,026
SP00027;SP;3011,000;1933,000;1078,000;1784,000;2,000;0,112;0,247;0,103
SP00028;SP;8070,000;5175,000;2895,000;4726,000;3,000;0,063;0,370;0,058
SP00029;SP;17797,000;12599,000;5198,000;11769,000;1,000;0,008;0,123;0,008
SP00032;SP;11991,000;8507,000;3484,000;8030,000;1,000;0,012;0,123;0,012
SP00033;SP;7735,000;5271,000;2464,000;4792,000;1,000;0,021;0,123;0,019
SP00034;SP;5401,000;3246,000;2155,000;2941,000;1,000;0,034;0,123;0,031
SP00035;SP;5608,000;3859,000;1749,000;3432,000;1,000;0,029;0,123;0,026
SP00040;SP;7288,000;5434,000;1854,000;4999,000;4,000;0,080;0,493;0,074
SP00041;SP;4585,000;3191,000;1394,000;2950,000;2,000;0,068;0,247;0,063
SP00043;SP;3049,000;2192,000;857,000;1985,000;1,000;0,050;0,123;0,046
SP00044;SP;7789,000;5743,000;2046,000;5331,000;1,000;0,019;0,123;0,017
SP00046;SP;8211,000;6097,000;2114,000;5678,000;4,000;0,070;0,493;0,066
SP00048;SP;5609,000;4361,000;1248,000;4021,000;1,000;0,025;0,123;0,023
SP00051;SP;9919,000;6324,000;3595,000;5895,000;2,000;0,034;0,247;0,032
SP00065;SP;3705,000;2327,000;1378,000;1980,000;1,000;0,051;0,123;0,043
SP00073;SP;14871,000;9817,000;5054,000;8895,000;1,000;0,011;0,123;0,010
SP00079;SP;6753,000;5126,000;1627,000;4484,000;1,000;0,022;0,123;0,020
SP00087;SP;7025,000;4901,000;2124,000;4319,000;2,000;0,046;0,247;0,041
SP00089;SP;6261,000;4229,000;2032,000;3816,000;1,000;0,026;0,123;0,024
SP00091;SP;6781,000;4661,000;2120,000;4098,000;1,000;0,024;0,123;0,021
SP00092;SP;8010,000;5674,000;2336,000;5030,000;2,000;0,040;0,247;0,035
SP00098;SP;5038,000;3701,000;1337,000;3156,000;2,000;0,063;0,247;0,054
SP00100;SP;4225,000;2928,000;1297,000;2539,000;1,000;0,039;0,123;0,034
SP00101;SP;8957,000;6780,000;2177,000;6001,000;1,000;0,017;0,123;0,015
SP00106;SP;4729,000;3001,000;1728,000;2772,000;1,000;0,036;0,123;0,033
SP00108;SP;7706,000;4996,000;2710,000;4672,000;2,000;0,043;0,247;0,040
SP00109;SP;3531,000;2268,000;1263,000;2068,000;1,000;0,048;0,123;0,044
SP00111;SP;5405,000;3713,000;1692,000;3463,000;1,000;0,029;0,123;0,027
SP00112;SP;5370,000;3564,000;1806,000;3242,000;1,000;0,031;0,123;0,028
SP00115;SP;6789,000;4670,000;2119,000;4276,000;7,000;0,164;0,863;0,150
SP00116;SP;13458,000;8809,000;4649,000;8195,000;2,000;0,024;0,247;0,023
SP00117;SP;12258,000;8026,000;4232,000;7396,000;3,000;0,041;0,370;0,037
SP00118;SP;11540,000;7496,000;4044,000;6933,000;1,000;0,014;0,123;0,013
SP00119;SP;8699,000;5629,000;3070,000;5241,000;3,000;0,057;0,370;0,053
SP00120;SP;7492,000;5053,000;2439,000;4694,000;1,000;0,021;0,123;0,020
SP00121;SP;4046,000;2658,000;1388,000;2420,000;4,000;0,165;0,493;0,150
SP00124;SP;5471,000;3750,000;1721,000;3417,000;1,000;0,029;0,123;0,027
SP00125;SP;8768,000;6055,000;2713,000;5539,000;1,000;0,018;0,123;0,017
SP00126;SP;3970,000;2788,000;1182,000;2578,000;2,000;0,078;0,247;0,072
SP00127;SP;7300,000;5121,000;2179,000;4725,000;3,000;0,063;0,370;0,059
SP00128;SP;9830,000;6546,000;3284,000;5910,000;2,000;0,034;0,247;0,031
SP00129;SP;8021,000;5609,000;2412,000;5146,000;1,000;0,019;0,123;0,018
SP00131;SP;5037,000;3622,000;1415,000;3345,000;3,000;0,090;0,370;0,083
SP00133;SP;4191,000;2905,000;1286,000;2648,000;1,000;0,038;0,123;0,034
SP00136;SP;9241,000;6497,000;2744,000;5815,000;3,000;0,052;0,370;0,046
SP00137;SP;6956,000;4953,000;2003,000;4471,000;3,000;0,067;0,370;0,061
SP00139;SP;7945,000;5514,000;2431,000;4905,000;1,000;0,020;0,123;0,018
SP00140;SP;5793,000;3889,000;1904,000;3467,000;1,000;0,029;0,123;0,026
SP00143;SP;8101,000;5686,000;2415,000;5122,000;3,000;0,059;0,370;0,053
SP00144;SP;5788,000;3963,000;1825,000;3611,000;2,000;0,055;0,247;0,050
SP00146;SP;7336,000;5404,000;1932,000;4752,000;1,000;0,021;0,123;0,019
SP00147;SP;7272,000;5483,000;1789,000;5016,000;1,000;0,020;0,123;0,018
SP00148;SP;4985,000;3706,000;1279,000;3293,000;1,000;0,030;0,123;0,027
SP00150;SP;2320,000;1742,000;578,000;1615,000;4,000;0,248;0,493;0,230
SP00154;SP;6876,000;4799,000;2077,000;4025,000;1,000;0,025;0,123;0,021
SP00158;SP;5902,000;3987,000;1915,000;3372,000;2,000;0,059;0,247;0,050
SP00176;SP;4725,000;3530,000;1195,000;2946,000;2,000;0,068;0,247;0,057
SP00180;SP;2715,000;1992,000;723,000;1618,000;2,000;0,124;0,247;0,100
SP00190;SP;9191,000;6215,000;2976,000;5565,000;10,000;0,180;1,233;0,161
SP00191;SP;4893,000;3386,000;1507,000;3120,000;3,000;0,096;0,370;0,089
SP00192;SP;3326,000;2267,000;1059,000;2028,000;4,000;0,197;0,493;0,176
