CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;2,000;0,033;0,175;0,030
SP00005;SP;7574,000;4851,000;2723,000;4286,000;1,000;0,023;0,088;0,021
SP00008;SP;4250,000;2710,000;1540,000;2422,000;1,000;0,041;0,088;0,037
SP00015;SP;4890,000;3200,000;1690,000;2777,000;1,000;0,036;0,088;0,031
SP00041;SP;4585,000;3191,000;1394,000;2950,000;1,000;0,034;0,088;0,031
SP00051;SP;9919,000;6324,000;3595,000;5895,000;1,000;0,017;0,088;0,016
SP00058;SP;5387,000;3548,000;1839,000;3095,000;1,000;0,032;0,088;0,028
SP00078;SP;6145,000;4471,000;1674,000;4014,000;1,000;0,025;0,088;0,022
SP00083;SP;12710,000;9298,000;3412,000;8373,000;1,000;0,012;0,088;0,011
SP00091;SP;6781,000;4661,000;2120,000;4098,000;1,000;0,024;0,088;0,021
SP00109;SP;3531,000;2268,000;1263,000;2068,000;2,000;0,097;0,175;0,088
SP00110;SP;4331,000;2860,000;1471,000;2625,000;1,000;0,038;0,088;0,035
SP00115;SP;6789,000;4670,000;2119,000;4276,000;1,000;0,023;0,088;0,021
SP00126;SP;3970,000;2788,000;1182,000;2578,000;1,000;0,039;0,088;0,036
SP00130;SP;7718,000;5325,000;2393,000;4865,000;1,000;0,021;0,088;0,019
SP00133;SP;4191,000;2905,000;1286,000;2648,000;2,000;0,076;0,175;0,069
SP00136;SP;9241,000;6497,000;2744,000;5815,000;1,000;0,017;0,088;0,015
SP00151;SP;4988,000;3688,000;1300,000;3066,000;1,000;0,033;0,088;0,027
SP00154;SP;6876,000;4799,000;2077,000;4025,000;1,000;0,025;0,088;0,021
SP00155;SP;6109,000;4286,000;1823,000;3668,000;1,000;0,027;0,088;0,023
SP00158;SP;5902,000;3987,000;1915,000;3372,000;3,000;0,089;0,263;0,075
SP00160;SP;7072,000;5254,000;1818,000;4369,000;2,000;0,046;0,175;0,038
SP00161;SP;7454,000;5453,000;2001,000;4461,000;5,000;0,112;0,438;0,092
SP00162;SP;7705,000;5622,000;2083,000;4624,000;5,000;0,108;0,438;0,089
SP00163;SP;6612,000;4970,000;1642,000;4153,000;1,000;0,024;0,088;0,020
SP00164;SP;5864,000;4364,000;1500,000;3543,000;1,000;0,028;0,088;0,023
SP00165;SP;5151,000;3881,000;1270,000;3088,000;3,000;0,097;0,263;0,077
SP00166;SP;3724,000;2789,000;935,000;2307,000;1,000;0,043;0,088;0,036
SP00168;SP;4204,000;3050,000;1154,000;2550,000;1,000;0,039;0,088;0,033
SP00169;SP;6507,000;4898,000;1609,000;3997,000;2,000;0,050;0,175;0,041
SP00170;SP;3660,000;2732,000;928,000;2322,000;1,000;0,043;0,088;0,037
SP00171;SP;6293,000;4730,000;1563,000;3938,000;2,000;0,051;0,175;0,042
SP00174;SP;4271,000;3221,000;1050,000;2581,000;1,000;0,039;0,088;0,031
SP00175;SP;4700,000;3395,000;1305,000;2728,000;6,000;0,220;0,525;0,177
SP00176;SP;4725,000;3530,000;1195,000;2946,000;1,000;0,034;0,088;0,028
SP00177;SP;6291,000;4620,000;1671,000;3718,000;2,000;0,054;0,175;0,043
SP00178;SP;8552,000;6363,000;2189,000;5204,000;3,000;0,058;0,263;0,047
SP00179;SP;3023,000;2176,000;847,000;1776,000;1,000;0,056;0,088;0,046
SP00183;SP;1181,000;745,000;436,000;604,000;1,000;0,166;0,088;0,134
SP00189;SP;5717,000;3833,000;1884,000;3381,000;2,000;0,059;0,175;0,052
SP00190;SP;9191,000;6215,000;2976,000;5565,000;3,000;0,054;0,263;0,048
SP00191;SP;4893,000;3386,000;1507,000;3120,000;1,000;0,032;0,088;0,030
SP00193;SP;4453,000;3011,000;1442,000;2715,000;1,000;0,037;0,088;0,033
SP00194;SP;8615,000;6268,000;2347,000;5780,000;1,000;0,017;0,088;0,016
SP00195;SP;3523,000;2306,000;1217,000;2013,000;3,000;0,149;0,263;0,130
SP00196;SP;3423,000;2500,000;923,000;2236,000;2,000;0,089;0,175;0,080
SP00197;SP;4829,000;3340,000;1489,000;3099,000;1,000;0,032;0,088;0,030
SP00198;SP;9846,000;7057,000;2789,000;6333,000;3,000;0,047;0,263;0,043
SP00201;SP;9459,000;6572,000;2887,000;5989,000;2,000;0,033;0,175;0,030
SP00202;SP;7973,000;5469,000;2504,000;5015,000;3,000;0,060;0,263;0,055
SP00203;SP;7005,000;4837,000;2168,000;4332,000;9,000;0,208;0,788;0,186
SP00206;SP;3004,000;2207,000;797,000;2000,000;2,000;0,100;0,175;0,091
SP00207;SP;4643,000;3544,000;1099,000;3043,000;1,000;0,033;0,088;0,028
SP00212;SP;5586,000;4124,000;1462,000;3719,000;1,000;0,027;0,088;0,024
SP00213;SP;4732,000;3454,000;1278,000;3107,000;1,000;0,032;0,088;0,029
SP00214;SP;5779,000;4297,000;1482,000;3759,000;1,000;0,027;0,088;0,023
SP00218;SP;3583,000;2575,000;1008,000;2277,000;1,000;0,044;0,088;0,039
SP00219;SP;5453,000;3846,000;1607,000;3316,000;1,000;0,030;0,088;0,026
SP00231;SP;4477,000;3485,000;992,000;2989,000;1,000;0,033;0,088;0,029
SP00242;SP;4031,000;3017,000;1014,000;2461,000;1,000;0,041;0,088;0,033
SP00244;SP;1594,000;1206,000;388,000;978,000;1,000;0,102;0,088;0,083
SP00267;SP;6197,000;4417,000;1780,000;3682,000;1,000;0,027;0,088;0,023
SP00279;SP;3855,000;2853,000;1002,000;2307,000;1,000;0,043;0,088;0,035
SP00287;SP;1938,000;1490,000;448,000;1274,000;1,000;0,078;0,088;0,067
SP00290;SP;2127,000;1639,000;488,000;1389,000;1,000;0,072;0,088;0,061
