CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00004;SP;6071,000;4117,000;1954,000;3653,000;1,000;0,027;0,067;0,024
SP00040;SP;7288,000;5434,000;1854,000;4999,000;1,000;0,020;0,067;0,018
SP00056;SP;5794,000;3640,000;2154,000;3156,000;1,000;0,032;0,067;0,027
SP00059;SP;6072,000;4040,000;2032,000;3525,000;1,000;0,028;0,067;0,025
SP00083;SP;12710,000;9298,000;3412,000;8373,000;1,000;0,012;0,067;0,011
SP00085;SP;7942,000;5522,000;2420,000;4861,000;1,000;0,021;0,067;0,018
SP00087;SP;7025,000;4901,000;2124,000;4319,000;1,000;0,023;0,067;0,020
SP00090;SP;5982,000;4272,000;1710,000;3906,000;3,000;0,077;0,201;0,070
SP00091;SP;6781,000;4661,000;2120,000;4098,000;1,000;0,024;0,067;0,021
SP00092;SP;8010,000;5674,000;2336,000;5030,000;3,000;0,060;0,201;0,053
SP00093;SP;4638,000;3524,000;1114,000;3163,000;1,000;0,032;0,067;0,028
SP00094;SP;3713,000;2680,000;1033,000;2357,000;1,000;0,042;0,067;0,037
SP00095;SP;7262,000;5378,000;1884,000;4657,000;2,000;0,043;0,134;0,037
SP00097;SP;4480,000;3320,000;1160,000;2831,000;3,000;0,106;0,201;0,090
SP00098;SP;5038,000;3701,000;1337,000;3156,000;7,000;0,222;0,470;0,189
SP00099;SP;4550,000;3344,000;1206,000;2841,000;6,000;0,211;0,403;0,179
SP00101;SP;8957,000;6780,000;2177,000;6001,000;2,000;0,033;0,134;0,029
SP00141;SP;4594,000;3186,000;1408,000;2804,000;1,000;0,036;0,067;0,031
SP00168;SP;4204,000;3050,000;1154,000;2550,000;1,000;0,039;0,067;0,033
SP00238;SP;6012,000;4671,000;1341,000;3951,000;1,000;0,025;0,067;0,021
SP00240;SP;3251,000;2449,000;802,000;2056,000;1,000;0,049;0,067;0,041
SP00260;SP;6967,000;4886,000;2081,000;4112,000;2,000;0,049;0,134;0,041
SP00265;SP;5313,000;3854,000;1459,000;3315,000;1,000;0,030;0,067;0,026
SP00267;SP;6197,000;4417,000;1780,000;3682,000;1,000;0,027;0,067;0,023
SP00268;SP;6330,000;4415,000;1915,000;3742,000;1,000;0,027;0,067;0,023
SP00271;SP;6516,000;4689,000;1827,000;3929,000;1,000;0,025;0,067;0,021
SP00272;SP;3513,000;2773,000;740,000;2324,000;1,000;0,043;0,067;0,036
SP00274;SP;5083,000;4027,000;1056,000;3417,000;4,000;0,117;0,269;0,099
SP00275;SP;4248,000;3284,000;964,000;2804,000;1,000;0,036;0,067;0,030
SP00282;SP;6521,000;4899,000;1622,000;4004,000;3,000;0,075;0,201;0,061
SP00333;SP;2049,000;1351,000;698,000;1203,000;1,000;0,083;0,067;0,074
SP00376;SP;4805,000;3354,000;1451,000;3098,000;1,000;0,032;0,067;0,030
SP00396;SP;2981,000;2015,000;966,000;1734,000;1,000;0,058;0,067;0,050
SP00402;SP;4338,000;3200,000;1138,000;2741,000;1,000;0,036;0,067;0,031
SP00404;SP;5256,000;3768,000;1488,000;3185,000;1,000;0,031;0,067;0,027
SP00405;SP;4680,000;3515,000;1165,000;3097,000;1,000;0,032;0,067;0,028
SP00423;SP;4513,000;3158,000;1355,000;2820,000;1,000;0,035;0,067;0,032
SP00426;SP;6948,000;4982,000;1966,000;4433,000;1,000;0,023;0,067;0,020
SP00434;SP;5194,000;3618,000;1576,000;3183,000;2,000;0,063;0,134;0,055
SP00435;SP;7037,000;5280,000;1757,000;4647,000;1,000;0,022;0,067;0,019
SP00440;SP;4147,000;2940,000;1207,000;2548,000;4,000;0,157;0,269;0,136
