CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00084;SP;8514,000;5960,000;2554,000;5282,000;2,000;0,038;2,532;0,034
SP00130;SP;7718,000;5325,000;2393,000;4865,000;1,000;0,021;1,266;0,019
SP00132;SP;4938,000;3378,000;1560,000;3079,000;1,000;0,032;1,266;0,030
SP00147;SP;7272,000;5483,000;1789,000;5016,000;1,000;0,020;1,266;0,018
SP00263;SP;10873,000;8161,000;2712,000;7067,000;1,000;0,014;1,266;0,012
SP00265;SP;5313,000;3854,000;1459,000;3315,000;1,000;0,030;1,266;0,026
SP00278;SP;3874,000;2884,000;990,000;2434,000;1,000;0,041;1,266;0,035
SP00289;SP;3751,000;2887,000;864,000;2359,000;2,000;0,085;2,532;0,069
SP00363;SP;6587,000;4335,000;2252,000;4017,000;1,000;0,025;1,266;0,023
SP00422;SP;10320,000;7595,000;2725,000;6744,000;1,000;0,015;1,266;0,013
SP00424;SP;4823,000;3449,000;1374,000;3041,000;1,000;0,033;1,266;0,029
SP00425;SP;6519,000;4845,000;1674,000;4356,000;1,000;0,023;1,266;0,021
SP00449;SP;6333,000;4838,000;1495,000;4289,000;3,000;0,070;3,797;0,062
SP00509;SP;4399,000;3005,000;1394,000;2554,000;1,000;0,039;1,266;0,033
SP00578;SP;2949,000;2238,000;711,000;2000,000;1,000;0,050;1,266;0,045
SP00593;SP;5605,000;4143,000;1462,000;3635,000;1,000;0,028;1,266;0,024
SP00738;SP;8744,000;6776,000;1968,000;5693,000;2,000;0,035;2,532;0,030
SP00880;SP;4156,000;3214,000;942,000;2672,000;1,000;0,037;1,266;0,031
SP00922;SP;8638,000;6089,000;2549,000;5158,000;1,000;0,019;1,266;0,016
SP00924;SP;5898,000;4232,000;1666,000;3558,000;1,000;0,028;1,266;0,024
SP00938;SP;7741,000;5514,000;2227,000;4610,000;1,000;0,022;1,266;0,018
SP00962;SP;709,000;496,000;213,000;397,000;1,000;0,252;1,266;0,202
SP01016;SP;7681,000;5440,000;2241,000;4570,000;1,000;0,022;1,266;0,018
SP01022;SP;7237,000;5347,000;1890,000;4505,000;1,000;0,022;1,266;0,019
SP01056;SP;6196,000;4361,000;1835,000;3772,000;3,000;0,080;3,797;0,069
SP01063;SP;4282,000;3023,000;1259,000;2516,000;1,000;0,040;1,266;0,033
SP01070;SP;3112,000;2381,000;731,000;2017,000;4,000;0,198;5,063;0,168
SP01078;SP;10615,000;7516,000;3099,000;6404,000;1,000;0,016;1,266;0,013
SP01084;SP;4187,000;3316,000;871,000;2810,000;1,000;0,036;1,266;0,030
SP01090;SP;4652,000;3593,000;1059,000;2985,000;1,000;0,034;1,266;0,028
SP01118;SP;3117,000;2195,000;922,000;1851,000;1,000;0,054;1,266;0,046
SP01173;SP;4537,000;3315,000;1222,000;2833,000;1,000;0,035;1,266;0,030
SP01195;SP;5991,000;4371,000;1620,000;3710,000;1,000;0,027;1,266;0,023
SP01199;SP;4561,000;3429,000;1132,000;2819,000;1,000;0,035;1,266;0,029
SP01222;SP;2122,000;1664,000;458,000;1336,000;1,000;0,075;1,266;0,060
SP01256;SP;6264,000;4532,000;1732,000;3688,000;1,000;0,027;1,266;0,022
SP01286;SP;5329,000;4185,000;1144,000;3573,000;1,000;0,028;1,266;0,024
SP01339;SP;6726,000;4990,000;1736,000;3954,000;2,000;0,051;2,532;0,040
SP01350;SP;8729,000;6265,000;2464,000;5053,000;1,000;0,020;1,266;0,016
SP01445;SP;5567,000;4250,000;1317,000;3503,000;1,000;0,029;1,266;0,024
SP01493;SP;3722,000;2712,000;1010,000;2272,000;1,000;0,044;1,266;0,037
SP01549;SP;4270,000;3162,000;1108,000;2619,000;1,000;0,038;1,266;0,032
SP01620;SP;3851,000;2955,000;896,000;2529,000;1,000;0,040;1,266;0,034
SP01629;SP;3617,000;2806,000;811,000;2389,000;1,000;0,042;1,266;0,036
SP01632;SP;5894,000;4098,000;1796,000;3431,000;1,000;0,029;1,266;0,024
SP01666;SP;3664,000;2776,000;888,000;2237,000;1,000;0,045;1,266;0,036
SP01714;SP;3989,000;2965,000;1024,000;2432,000;1,000;0,041;1,266;0,034
SP01718;SP;6133,000;4462,000;1671,000;3746,000;1,000;0,027;1,266;0,022
SP01732;SP;5337,000;4122,000;1215,000;3348,000;1,000;0,030;1,266;0,024
SP01757;SP;6189,000;4696,000;1493,000;4013,000;1,000;0,025;1,266;0,021
SP01759;SP;4843,000;3633,000;1210,000;3053,000;1,000;0,033;1,266;0,028
SP01773;SP;5046,000;3650,000;1396,000;3134,000;1,000;0,032;1,266;0,027
SP01786;SP;5053,000;3795,000;1258,000;3160,000;1,000;0,032;1,266;0,026
SP01802;SP;4568,000;3396,000;1172,000;2879,000;3,000;0,104;3,797;0,088
SP01889;SP;7228,000;5214,000;2014,000;4452,000;1,000;0,022;1,266;0,019
SP01901;SP;2685,000;2070,000;615,000;1730,000;1,000;0,058;1,266;0,048
SP01913;SP;4665,000;3457,000;1208,000;2853,000;3,000;0,105;3,797;0,087
SP01931;SP;5097,000;3731,000;1366,000;3193,000;1,000;0,031;1,266;0,027
SP01935;SP;6268,000;4538,000;1730,000;3717,000;1,000;0,027;1,266;0,022
SP01973;SP;4606,000;3323,000;1283,000;2903,000;1,000;0,034;1,266;0,030
SP01991;SP;6762,000;5186,000;1576,000;4448,000;1,000;0,022;1,266;0,019
SP02011;SP;1844,000;1364,000;480,000;1118,000;2,000;0,179;2,532;0,147
SP02021;SP;4916,000;3842,000;1074,000;3229,000;1,000;0,031;1,266;0,026
