CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00007;SP;9748,000;5727,000;4021,000;5077,000;2,000;0,039;0,243;0,035
SP00009;SP;5809,000;3876,000;1933,000;3552,000;1,000;0,028;0,122;0,026
SP00014;SP;7153,000;4433,000;2720,000;3934,000;1,000;0,025;0,122;0,023
SP00033;SP;7735,000;5271,000;2464,000;4792,000;1,000;0,021;0,122;0,019
SP00036;SP;6716,000;4776,000;1940,000;4457,000;1,000;0,022;0,122;0,021
SP00041;SP;4585,000;3191,000;1394,000;2950,000;1,000;0,034;0,122;0,031
SP00053;SP;6007,000;3594,000;2413,000;3140,000;1,000;0,032;0,122;0,028
SP00054;SP;5696,000;3753,000;1943,000;3197,000;2,000;0,063;0,243;0,053
SP00058;SP;5387,000;3548,000;1839,000;3095,000;2,000;0,065;0,243;0,056
SP00060;SP;6204,000;4150,000;2054,000;3582,000;1,000;0,028;0,122;0,024
SP00062;SP;4386,000;2971,000;1415,000;2589,000;1,000;0,039;0,122;0,034
SP00065;SP;3705,000;2327,000;1378,000;1980,000;2,000;0,101;0,243;0,086
SP00071;SP;6547,000;4082,000;2465,000;3615,000;2,000;0,055;0,243;0,049
SP00073;SP;14871,000;9817,000;5054,000;8895,000;1,000;0,011;0,122;0,010
SP00074;SP;4599,000;3060,000;1539,000;2770,000;1,000;0,036;0,122;0,033
SP00075;SP;2374,000;1530,000;844,000;1347,000;1,000;0,074;0,122;0,065
SP00078;SP;6145,000;4471,000;1674,000;4014,000;1,000;0,025;0,122;0,022
SP00083;SP;12710,000;9298,000;3412,000;8373,000;1,000;0,012;0,122;0,011
SP00084;SP;8514,000;5960,000;2554,000;5282,000;1,000;0,019;0,122;0,017
SP00085;SP;7942,000;5522,000;2420,000;4861,000;1,000;0,021;0,122;0,018
SP00088;SP;8110,000;5666,000;2444,000;5056,000;1,000;0,020;0,122;0,018
SP00091;SP;6781,000;4661,000;2120,000;4098,000;1,000;0,024;0,122;0,021
SP00092;SP;8010,000;5674,000;2336,000;5030,000;3,000;0,060;0,365;0,053
SP00095;SP;7262,000;5378,000;1884,000;4657,000;1,000;0,021;0,122;0,019
SP00096;SP;3961,000;2845,000;1116,000;2437,000;1,000;0,041;0,122;0,035
SP00101;SP;8957,000;6780,000;2177,000;6001,000;1,000;0,017;0,122;0,015
