CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00129;SP;8021,000;5609,000;2412,000;5146,000;1,000;0,019;0,476;0,018
SP00133;SP;4191,000;2905,000;1286,000;2648,000;1,000;0,038;0,476;0,034
SP00152;SP;857,000;541,000;316,000;441,000;1,000;0,227;0,476;0,185
SP00168;SP;4204,000;3050,000;1154,000;2550,000;1,000;0,039;0,476;0,033
SP00302;SP;5488,000;4163,000;1325,000;3804,000;1,000;0,026;0,476;0,024
SP00372;SP;5891,000;3989,000;1902,000;3708,000;1,000;0,027;0,476;0,025
SP00543;SP;8077,000;5459,000;2618,000;4653,000;1,000;0,021;0,476;0,018
SP00597;SP;5301,000;3798,000;1503,000;3190,000;1,000;0,031;0,476;0,026
SP00626;SP;6265,000;4313,000;1952,000;3939,000;1,000;0,025;0,476;0,023
SP00627;SP;7090,000;4763,000;2327,000;4286,000;1,000;0,023;0,476;0,021
SP00632;SP;9851,000;7134,000;2717,000;6537,000;1,000;0,015;0,476;0,014
SP00640;SP;6187,000;4214,000;1973,000;3845,000;1,000;0,026;0,476;0,024
SP00678;SP;3777,000;2815,000;962,000;2493,000;2,000;0,080;0,952;0,071
SP00709;SP;5869,000;4162,000;1707,000;3614,000;1,000;0,028;0,476;0,024
SP00732;SP;3768,000;2783,000;985,000;2391,000;1,000;0,042;0,476;0,036
SP00738;SP;8744,000;6776,000;1968,000;5693,000;3,000;0,053;1,429;0,044
SP00760;SP;6093,000;4322,000;1771,000;3614,000;1,000;0,028;0,476;0,023
SP00765;SP;8135,000;5621,000;2514,000;4929,000;1,000;0,020;0,476;0,018
SP00766;SP;7053,000;4968,000;2085,000;4402,000;2,000;0,045;0,952;0,040
SP00767;SP;6440,000;4457,000;1983,000;3930,000;4,000;0,102;1,905;0,090
SP00768;SP;4292,000;2930,000;1362,000;2636,000;1,000;0,038;0,476;0,034
SP00769;SP;5078,000;3464,000;1614,000;3068,000;1,000;0,033;0,476;0,029
SP00770;SP;6150,000;4203,000;1947,000;3615,000;2,000;0,055;0,952;0,048
SP00771;SP;7436,000;5164,000;2272,000;4500,000;1,000;0,022;0,476;0,019
SP00773;SP;6264,000;4426,000;1838,000;3805,000;3,000;0,079;1,429;0,068
SP00775;SP;7449,000;5305,000;2144,000;4528,000;2,000;0,044;0,952;0,038
SP00776;SP;6598,000;4696,000;1902,000;4003,000;13,000;0,325;6,190;0,277
SP00777;SP;5853,000;4038,000;1815,000;3381,000;11,000;0,325;5,238;0,272
SP00778;SP;7392,000;5180,000;2212,000;4241,000;4,000;0,094;1,905;0,077
SP00779;SP;7813,000;5789,000;2024,000;4877,000;44,000;0,902;20,952;0,760
SP00780;SP;3820,000;2943,000;877,000;2559,000;3,000;0,117;1,429;0,102
SP00781;SP;4179,000;2991,000;1188,000;2524,000;3,000;0,119;1,429;0,100
SP00782;SP;6626,000;4932,000;1694,000;4068,000;1,000;0,025;0,476;0,020
SP00786;SP;4539,000;3402,000;1137,000;2835,000;20,000;0,705;9,524;0,588
SP00787;SP;2366,000;1797,000;569,000;1532,000;1,000;0,065;0,476;0,056
SP00788;SP;6979,000;5171,000;1808,000;4203,000;1,000;0,024;0,476;0,019
SP00792;SP;2736,000;2040,000;696,000;1747,000;4,000;0,229;1,905;0,196
SP00793;SP;2523,000;1921,000;602,000;1605,000;4,000;0,249;1,905;0,208
SP00794;SP;5472,000;4057,000;1415,000;3352,000;1,000;0,030;0,476;0,025
SP00795;SP;5107,000;3746,000;1361,000;3093,000;3,000;0,097;1,429;0,080
SP00796;SP;1001,000;710,000;291,000;595,000;1,000;0,168;0,476;0,141
SP00797;SP;3693,000;2666,000;1027,000;2284,000;1,000;0,044;0,476;0,038
SP00799;SP;7792,000;5629,000;2163,000;4646,000;3,000;0,065;1,429;0,053
SP00800;SP;5404,000;4006,000;1398,000;3410,000;2,000;0,059;0,952;0,050
SP00801;SP;3726,000;2817,000;909,000;2456,000;1,000;0,041;0,476;0,035
SP00802;SP;2293,000;1707,000;586,000;1374,000;1,000;0,073;0,476;0,059
SP00934;SP;5284,000;3737,000;1547,000;3064,000;1,000;0,033;0,476;0,027
SP00938;SP;7741,000;5514,000;2227,000;4610,000;1,000;0,022;0,476;0,018
SP00941;SP;8289,000;6027,000;2262,000;5126,000;2,000;0,039;0,952;0,033
SP00942;SP;6510,000;5027,000;1483,000;4307,000;1,000;0,023;0,476;0,020
SP00945;SP;6631,000;4923,000;1708,000;4190,000;1,000;0,024;0,476;0,020
SP00958;SP;5350,000;3284,000;2066,000;2681,000;1,000;0,037;0,476;0,030
SP01163;SP;4114,000;2788,000;1326,000;2400,000;1,000;0,042;0,476;0,036
SP01164;SP;5708,000;3888,000;1820,000;3284,000;1,000;0,030;0,476;0,026
SP01166;SP;5277,000;3758,000;1519,000;3179,000;1,000;0,031;0,476;0,027
SP01167;SP;6259,000;4450,000;1809,000;3620,000;3,000;0,083;1,429;0,067
SP01168;SP;5911,000;4089,000;1822,000;3473,000;1,000;0,029;0,476;0,024
SP01169;SP;6535,000;4709,000;1826,000;3984,000;1,000;0,025;0,476;0,021
SP01170;SP;7817,000;5560,000;2257,000;4585,000;1,000;0,022;0,476;0,018
SP01174;SP;6350,000;4434,000;1916,000;3606,000;1,000;0,028;0,476;0,023
SP01177;SP;4264,000;3029,000;1235,000;2602,000;1,000;0,038;0,476;0,033
SP01180;SP;4666,000;3372,000;1294,000;2690,000;1,000;0,037;0,476;0,030
SP01181;SP;4741,000;3452,000;1289,000;2824,000;3,000;0,106;1,429;0,087
SP01184;SP;4359,000;3297,000;1062,000;2764,000;2,000;0,072;0,952;0,061
SP01185;SP;3511,000;2582,000;929,000;2032,000;1,000;0,049;0,476;0,039
SP01197;SP;6065,000;4526,000;1539,000;3795,000;1,000;0,026;0,476;0,022
SP01242;SP;3576,000;2712,000;864,000;2164,000;1,000;0,046;0,476;0,037
SP01288;SP;3628,000;2787,000;841,000;2393,000;1,000;0,042;0,476;0,036
SP01326;SP;4913,000;3679,000;1234,000;2940,000;1,000;0,034;0,476;0,027
SP01327;SP;5676,000;4019,000;1657,000;3252,000;1,000;0,031;0,476;0,025
SP01332;SP;5043,000;3673,000;1370,000;3047,000;1,000;0,033;0,476;0,027
SP01381;SP;5235,000;3846,000;1389,000;3111,000;1,000;0,032;0,476;0,026
SP01402;SP;5706,000;3956,000;1750,000;3495,000;1,000;0,029;0,476;0,025
SP01417;SP;8205,000;6028,000;2177,000;5141,000;1,000;0,019;0,476;0,017
SP01549;SP;4270,000;3162,000;1108,000;2619,000;1,000;0,038;0,476;0,032
SP01722;SP;4433,000;3424,000;1009,000;2973,000;1,000;0,034;0,476;0,029
SP01734;SP;4835,000;3770,000;1065,000;3245,000;2,000;0,062;0,952;0,053
SP01826;SP;6250,000;4422,000;1828,000;3846,000;1,000;0,026;0,476;0,023
SP01889;SP;7228,000;5214,000;2014,000;4452,000;1,000;0,022;0,476;0,019
SP01897;SP;3517,000;2672,000;845,000;2257,000;1,000;0,044;0,476;0,037
SP01898;SP;4700,000;3612,000;1088,000;2987,000;1,000;0,033;0,476;0,028
SP01916;SP;6631,000;4767,000;1864,000;4053,000;1,000;0,025;0,476;0,021
SP01922;SP;4328,000;3109,000;1219,000;2674,000;1,000;0,037;0,476;0,032
