CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00018;SP;5238,000;3256,000;1982,000;2906,000;2,000;0,069;0,136;0,061
SP00019;SP;4798,000;3546,000;1252,000;3272,000;1,000;0,031;0,068;0,028
SP00022;SP;5474,000;3858,000;1616,000;3218,000;1,000;0,031;0,068;0,026
SP00026;SP;1515,000;1057,000;458,000;941,000;1,000;0,106;0,068;0,095
SP00032;SP;11991,000;8507,000;3484,000;8030,000;1,000;0,012;0,068;0,012
SP00079;SP;6753,000;5126,000;1627,000;4484,000;1,000;0,022;0,068;0,020
SP00089;SP;6261,000;4229,000;2032,000;3816,000;1,000;0,026;0,068;0,024
SP00118;SP;11540,000;7496,000;4044,000;6933,000;1,000;0,014;0,068;0,013
SP00121;SP;4046,000;2658,000;1388,000;2420,000;1,000;0,041;0,068;0,038
SP00149;SP;3452,000;2590,000;862,000;2234,000;1,000;0,045;0,068;0,039
SP00157;SP;1487,000;928,000;559,000;782,000;1,000;0,128;0,068;0,108
SP00176;SP;4725,000;3530,000;1195,000;2946,000;1,000;0,034;0,068;0,028
SP00178;SP;8552,000;6363,000;2189,000;5204,000;2,000;0,038;0,136;0,031
SP00182;SP;780,000;558,000;222,000;444,000;1,000;0,225;0,068;0,179
SP00190;SP;9191,000;6215,000;2976,000;5565,000;2,000;0,036;0,136;0,032
SP00193;SP;4453,000;3011,000;1442,000;2715,000;1,000;0,037;0,068;0,033
SP00198;SP;9846,000;7057,000;2789,000;6333,000;1,000;0,016;0,068;0,014
SP00207;SP;4643,000;3544,000;1099,000;3043,000;1,000;0,033;0,068;0,028
SP00211;SP;6388,000;4682,000;1706,000;4168,000;1,000;0,024;0,068;0,021
SP00213;SP;4732,000;3454,000;1278,000;3107,000;2,000;0,064;0,136;0,058
SP00214;SP;5779,000;4297,000;1482,000;3759,000;4,000;0,106;0,272;0,093
SP00219;SP;5453,000;3846,000;1607,000;3316,000;1,000;0,030;0,068;0,026
SP00251;SP;3854,000;2856,000;998,000;2435,000;1,000;0,041;0,068;0,035
SP00254;SP;4716,000;3494,000;1222,000;2936,000;1,000;0,034;0,068;0,029
SP00339;SP;3299,000;2272,000;1027,000;2075,000;3,000;0,145;0,204;0,132
SP00352;SP;2374,000;1814,000;560,000;1639,000;1,000;0,061;0,068;0,055
SP00355;SP;1892,000;1470,000;422,000;1316,000;1,000;0,076;0,068;0,068
SP00373;SP;5182,000;3550,000;1632,000;3328,000;1,000;0,030;0,068;0,028
SP00396;SP;2981,000;2015,000;966,000;1734,000;1,000;0,058;0,068;0,050
SP00449;SP;6333,000;4838,000;1495,000;4289,000;1,000;0,023;0,068;0,021
SP00477;SP;2863,000;2003,000;860,000;1768,000;1,000;0,057;0,068;0,050
SP00626;SP;6265,000;4313,000;1952,000;3939,000;1,000;0,025;0,068;0,023
SP00648;SP;3841,000;2877,000;964,000;2605,000;1,000;0,038;0,068;0,035
SP00651;SP;4603,000;3022,000;1581,000;2669,000;1,000;0,037;0,068;0,033
SP00689;SP;6259,000;4395,000;1864,000;3885,000;1,000;0,026;0,068;0,023
SP00701;SP;4091,000;3020,000;1071,000;2626,000;1,000;0,038;0,068;0,033
SP00710;SP;3923,000;2817,000;1106,000;2427,000;1,000;0,041;0,068;0,035
SP00724;SP;3664,000;2699,000;965,000;2432,000;3,000;0,123;0,204;0,111
SP00725;SP;5899,000;4174,000;1725,000;3691,000;1,000;0,027;0,068;0,024
SP00729;SP;8105,000;5929,000;2176,000;5111,000;3,000;0,059;0,204;0,051
SP00730;SP;5502,000;4153,000;1349,000;3563,000;2,000;0,056;0,136;0,048
SP00731;SP;4685,000;3466,000;1219,000;3004,000;3,000;0,100;0,204;0,087
SP00732;SP;3768,000;2783,000;985,000;2391,000;2,000;0,084;0,136;0,072
SP00733;SP;6587,000;4986,000;1601,000;4131,000;4,000;0,097;0,272;0,080
