CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00017;SP;6847,000;4140,000;2707,000;3704,000;1,000;0,027;0,243;0,024
SP00019;SP;4798,000;3546,000;1252,000;3272,000;1,000;0,031;0,243;0,028
SP00034;SP;5401,000;3246,000;2155,000;2941,000;1,000;0,034;0,243;0,031
SP00038;SP;8044,000;5650,000;2394,000;5177,000;1,000;0,019;0,243;0,018
SP00059;SP;6072,000;4040,000;2032,000;3525,000;1,000;0,028;0,243;0,025
SP00060;SP;6204,000;4150,000;2054,000;3582,000;1,000;0,028;0,243;0,024
SP00062;SP;4386,000;2971,000;1415,000;2589,000;1,000;0,039;0,243;0,034
SP00069;SP;2939,000;2032,000;907,000;1793,000;1,000;0,056;0,243;0,049
SP00070;SP;4221,000;2997,000;1224,000;2670,000;1,000;0,037;0,243;0,033
SP00073;SP;14871,000;9817,000;5054,000;8895,000;1,000;0,011;0,243;0,010
SP00076;SP;7781,000;5170,000;2611,000;4521,000;1,000;0,022;0,243;0,019
SP00077;SP;5316,000;3714,000;1602,000;3239,000;1,000;0,031;0,243;0,027
SP00083;SP;12710,000;9298,000;3412,000;8373,000;3,000;0,036;0,728;0,032
SP00093;SP;4638,000;3524,000;1114,000;3163,000;2,000;0,063;0,485;0,057
SP00095;SP;7262,000;5378,000;1884,000;4657,000;1,000;0,021;0,243;0,019
SP00097;SP;4480,000;3320,000;1160,000;2831,000;1,000;0,035;0,243;0,030
SP00098;SP;5038,000;3701,000;1337,000;3156,000;1,000;0,032;0,243;0,027
SP00102;SP;4710,000;2822,000;1888,000;2446,000;2,000;0,082;0,485;0,071
SP00139;SP;7945,000;5514,000;2431,000;4905,000;2,000;0,041;0,485;0,036
SP00149;SP;3452,000;2590,000;862,000;2234,000;1,000;0,045;0,243;0,039
SP00150;SP;2320,000;1742,000;578,000;1615,000;1,000;0,062;0,243;0,057
SP00159;SP;8207,000;5759,000;2448,000;4847,000;1,000;0,021;0,243;0,017
SP00178;SP;8552,000;6363,000;2189,000;5204,000;1,000;0,019;0,243;0,016
SP00185;SP;785,000;570,000;215,000;463,000;1,000;0,216;0,243;0,175
SP00228;SP;3772,000;2679,000;1093,000;2265,000;1,000;0,044;0,243;0,037
SP00236;SP;4570,000;3488,000;1082,000;2996,000;1,000;0,033;0,243;0,029
SP00263;SP;10873,000;8161,000;2712,000;7067,000;2,000;0,028;0,485;0,025
SP00273;SP;5615,000;4390,000;1225,000;3670,000;1,000;0,027;0,243;0,023
SP00303;SP;3512,000;2379,000;1133,000;2163,000;5,000;0,231;1,214;0,210
SP00392;SP;4859,000;3569,000;1290,000;3137,000;2,000;0,064;0,485;0,056
SP00393;SP;3958,000;2809,000;1149,000;2404,000;1,000;0,042;0,243;0,036
SP00394;SP;2651,000;1853,000;798,000;1621,000;1,000;0,062;0,243;0,054
SP00402;SP;4338,000;3200,000;1138,000;2741,000;1,000;0,036;0,243;0,031
SP00403;SP;6930,000;5024,000;1906,000;4268,000;1,000;0,023;0,243;0,020
SP00421;SP;3048,000;2181,000;867,000;1947,000;1,000;0,051;0,243;0,046
SP00422;SP;10320,000;7595,000;2725,000;6744,000;2,000;0,030;0,485;0,026
SP00425;SP;6519,000;4845,000;1674,000;4356,000;1,000;0,023;0,243;0,021
SP00426;SP;6948,000;4982,000;1966,000;4433,000;2,000;0,045;0,485;0,040
SP00428;SP;5397,000;3698,000;1699,000;3296,000;1,000;0,030;0,243;0,027
SP00435;SP;7037,000;5280,000;1757,000;4647,000;1,000;0,022;0,243;0,019
SP00437;SP;4783,000;3440,000;1343,000;3049,000;1,000;0,033;0,243;0,029
SP00438;SP;3263,000;2333,000;930,000;2012,000;1,000;0,050;0,243;0,043
SP00443;SP;5342,000;3920,000;1422,000;3502,000;2,000;0,057;0,485;0,051
SP00446;SP;7010,000;5463,000;1547,000;4823,000;1,000;0,021;0,243;0,018
SP00448;SP;2058,000;1544,000;514,000;1354,000;1,000;0,074;0,243;0,065
SP00454;SP;6000,000;4085,000;1915,000;3524,000;11,000;0,312;2,670;0,269
SP00455;SP;4145,000;2936,000;1209,000;2668,000;7,000;0,262;1,699;0,238
SP00456;SP;4320,000;3095,000;1225,000;2792,000;11,000;0,394;2,670;0,355
SP00458;SP;8529,000;5970,000;2559,000;5339,000;36,000;0,674;8,738;0,603
SP00459;SP;4392,000;3188,000;1204,000;2896,000;2,000;0,069;0,485;0,063
SP00460;SP;6386,000;4591,000;1795,000;4104,000;5,000;0,122;1,214;0,109
SP00462;SP;5168,000;3650,000;1518,000;3226,000;5,000;0,155;1,214;0,137
SP00464;SP;4296,000;3192,000;1104,000;2765,000;7,000;0,253;1,699;0,219
SP00465;SP;7597,000;5474,000;2123,000;4737,000;2,000;0,042;0,485;0,037
SP00466;SP;6038,000;4389,000;1649,000;3812,000;7,000;0,184;1,699;0,159
SP00467;SP;5303,000;3827,000;1476,000;3421,000;89,000;2,602;21,602;2,326
SP00468;SP;5330,000;3854,000;1476,000;3503,000;1,000;0,029;0,243;0,026
SP00469;SP;5448,000;3854,000;1594,000;3445,000;1,000;0,029;0,243;0,026
SP00475;SP;5821,000;4091,000;1730,000;3609,000;2,000;0,055;0,485;0,049
SP00476;SP;5975,000;4311,000;1664,000;3817,000;6,000;0,157;1,456;0,139
SP00478;SP;3496,000;2495,000;1001,000;2209,000;2,000;0,091;0,485;0,080
SP00479;SP;2742,000;2051,000;691,000;1807,000;1,000;0,055;0,243;0,049
SP00480;SP;1874,000;1351,000;523,000;1236,000;2,000;0,162;0,485;0,148
SP00482;SP;6633,000;4865,000;1768,000;4345,000;10,000;0,230;2,427;0,206
SP00483;SP;2523,000;1867,000;656,000;1612,000;1,000;0,062;0,243;0,054
SP00485;SP;1466,000;1071,000;395,000;957,000;1,000;0,104;0,243;0,093
SP00486;SP;4286,000;3178,000;1108,000;2833,000;46,000;1,624;11,165;1,447
SP00488;SP;1859,000;1441,000;418,000;1270,000;3,000;0,236;0,728;0,208
SP00492;SP;847,000;671,000;176,000;585,000;1,000;0,171;0,243;0,149
SP00552;SP;5887,000;3978,000;1909,000;3352,000;1,000;0,030;0,243;0,025
SP00561;SP;4720,000;3508,000;1212,000;2955,000;1,000;0,034;0,243;0,029
SP00569;SP;2316,000;1676,000;640,000;1426,000;1,000;0,070;0,243;0,060
SP00570;SP;1547,000;1176,000;371,000;988,000;1,000;0,101;0,243;0,085
SP00573;SP;1187,000;887,000;300,000;742,000;1,000;0,135;0,243;0,113
SP00575;SP;1945,000;1339,000;606,000;1078,000;1,000;0,093;0,243;0,075
SP00617;SP;1349,000;956,000;393,000;839,000;1,000;0,119;0,243;0,105
SP00691;SP;2030,000;1356,000;674,000;1186,000;1,000;0,084;0,243;0,074
SP00737;SP;6265,000;4846,000;1419,000;4149,000;1,000;0,024;0,243;0,021
SP00775;SP;7449,000;5305,000;2144,000;4528,000;1,000;0,022;0,243;0,019
SP00857;SP;3507,000;2824,000;683,000;2367,000;1,000;0,042;0,243;0,035
SP00867;SP;2195,000;1726,000;469,000;1441,000;1,000;0,069;0,243;0,058
SP00880;SP;4156,000;3214,000;942,000;2672,000;1,000;0,037;0,243;0,031
SP00934;SP;5284,000;3737,000;1547,000;3064,000;1,000;0,033;0,243;0,027
SP00935;SP;6922,000;4974,000;1948,000;4152,000;1,000;0,024;0,243;0,020
SP00940;SP;7378,000;5137,000;2241,000;4304,000;1,000;0,023;0,243;0,019
SP00944;SP;6614,000;4784,000;1830,000;3934,000;3,000;0,076;0,728;0,063
SP00948;SP;6371,000;4901,000;1470,000;3965,000;1,000;0,025;0,243;0,020
SP01011;SP;4250,000;3139,000;1111,000;2753,000;1,000;0,036;0,243;0,032
SP01014;SP;3487,000;2551,000;936,000;2157,000;1,000;0,046;0,243;0,039
SP01022;SP;7237,000;5347,000;1890,000;4505,000;1,000;0,022;0,243;0,019
SP01056;SP;6196,000;4361,000;1835,000;3772,000;1,000;0,027;0,243;0,023
SP01063;SP;4282,000;3023,000;1259,000;2516,000;1,000;0,040;0,243;0,033
SP01079;SP;8588,000;6157,000;2431,000;5169,000;2,000;0,039;0,485;0,032
SP01091;SP;3433,000;2756,000;677,000;2254,000;1,000;0,044;0,243;0,036
SP01111;SP;1699,000;1262,000;437,000;1087,000;1,000;0,092;0,243;0,079
SP01118;SP;3117,000;2195,000;922,000;1851,000;1,000;0,054;0,243;0,046
SP01120;SP;6954,000;4897,000;2057,000;4084,000;1,000;0,024;0,243;0,020
SP01123;SP;8211,000;5806,000;2405,000;4970,000;1,000;0,020;0,243;0,017
SP01129;SP;6181,000;4505,000;1676,000;3834,000;1,000;0,026;0,243;0,022
SP01132;SP;5881,000;4069,000;1812,000;3481,000;1,000;0,029;0,243;0,025
SP01157;SP;6773,000;5060,000;1713,000;4280,000;1,000;0,023;0,243;0,020
SP01176;SP;8236,000;5751,000;2485,000;4720,000;2,000;0,042;0,485;0,035
SP01194;SP;3150,000;2305,000;845,000;1880,000;1,000;0,053;0,243;0,043
SP01330;SP;7538,000;5905,000;1633,000;5127,000;1,000;0,020;0,243;0,017
SP01350;SP;8729,000;6265,000;2464,000;5053,000;1,000;0,020;0,243;0,016
SP01358;SP;931,000;614,000;317,000;523,000;1,000;0,191;0,243;0,163
SP01367;SP;4323,000;3020,000;1303,000;2537,000;1,000;0,039;0,243;0,033
SP01387;SP;3279,000;2548,000;731,000;2113,000;1,000;0,047;0,243;0,039
SP01475;SP;3961,000;2752,000;1209,000;2310,000;1,000;0,043;0,243;0,036
SP01488;SP;4853,000;3805,000;1048,000;3190,000;4,000;0,125;0,971;0,105
SP01580;SP;12295,000;8363,000;3932,000;6990,000;1,000;0,014;0,243;0,012
SP01612;SP;5316,000;3928,000;1388,000;3419,000;2,000;0,058;0,485;0,051
SP01619;SP;6560,000;4738,000;1822,000;3972,000;1,000;0,025;0,243;0,021
SP01622;SP;4052,000;2947,000;1105,000;2495,000;1,000;0,040;0,243;0,034
SP01623;SP;3923,000;2803,000;1120,000;2393,000;2,000;0,084;0,485;0,071
SP01634;SP;1387,000;1023,000;364,000;842,000;1,000;0,119;0,243;0,098
